index,cp
"(0, (0,))",(-0.3856932108931634-0.02402239627714471j)
"(0, (1,))",(-0.3946667483783808+0.03670295554660146j)
"(0, (2,))",(-0.7999999999999999+2.7560742787181334e-16j)
"(0, (3,))",(-0.8+3.875984928511324e-17j)
"(0, (4,))",(-0.8+1.571836385784634e-16j)
"(0, (5,))",(-0.3946667483783812+0.036702955546601405j)
"(0, (6,))",(-0.39466674837838106-0.03670295554660128j)
"(0, (7,))",(-0.8000000000000002+2.0452045361561715e-17j)
"(0, (8,))",(-0.8+2.0452045361562224e-17j)
"(0, (9,))",(-0.8-3.8759849285112994e-17j)
"(1, (0,))",(-0.3856932108931634-0.02402239627714471j)
"(1, (1,))",(-0.3946667483783808+0.03670295554660146j)
"(1, (2,))",(-0.7999999999999999+2.7560742787181334e-16j)
"(1, (3,))",(-0.8+3.875984928511324e-17j)
"(1, (4,))",(-0.8+1.571836385784634e-16j)
"(1, (5,))",(-0.3946667483783812+0.036702955546601405j)
"(1, (6,))",(-0.39466674837838106-0.03670295554660128j)
"(1, (7,))",(-0.8000000000000002+2.0452045361561715e-17j)
"(1, (8,))",(-0.8+2.0452045361562224e-17j)
"(1, (9,))",(-0.8-3.8759849285112994e-17j)
"(2, (0,))",(-0.3856932108931634-0.02402239627714471j)
"(2, (1,))",(-0.3946667483783808+0.03670295554660146j)
"(2, (2,))",(-0.7999999999999999+2.7560742787181334e-16j)
"(2, (3,))",(-0.8+3.875984928511324e-17j)
"(2, (4,))",(-0.8+1.571836385784634e-16j)
"(2, (5,))",(-0.3946667483783812+0.036702955546601405j)
"(2, (6,))",(-0.39466674837838106-0.03670295554660128j)
"(2, (7,))",(-0.8000000000000002+2.0452045361561715e-17j)
"(2, (8,))",(-0.8+2.0452045361562224e-17j)
"(2, (9,))",(-0.8-3.8759849285112994e-17j)
