index,x,value,0,1,2
"(-1.0, -7.0)","(-1.0, -7.0)",(0.6237965815500043+0.2369132946791636j),(0.30880039258079006-0.2515607358633618j),(0.37123853554364095+0.3207254773474958j),(1.191350816525582+0.6415751425533569j)
"(-0.736842105263158, -7.0)","(-0.736842105263158, -7.0)",(0.4528084323962099-0.5056524217820234j),(0.1541206454208222-0.4012899459750658j),(0.5566068719242097+0.05825506201682806j),(0.647697779843598-1.1739223813878326j)
"(-0.4736842105263158, -7.0)","(-0.4736842105263158, -7.0)",(-0.44812884435529476+0.5826816735968114j),(-0.011457053363403247-0.4423175321052032j),(0.6276571307414927-0.3898562899689547j),(-1.9605866104439738+2.5802188428645922j)
"(-0.21052631578947367, -7.0)","(-0.21052631578947367, -7.0)",(0.8986553774756014-0.5467426419392281j),(-0.12292552520623773-0.42018746628627524j),(0.4980319164304058-0.8179752554881686j),(2.3208597412026366-0.4020652040432403j)
"(0.05263157894736836, -7.0)","(0.05263157894736836, -7.0)",(0.5075703410900698-0.597362410092676j),(-0.1704765257403167-0.3855271172777708j),(0.48334878767643186-1.116831862346589j),(1.2098387613340942-0.2897282506536685j)
"(0.3157894736842104, -7.0)","(0.3157894736842104, -7.0)",(0.0322855648469081-0.15849058637406524j),(-0.16991623824433655-0.366931963094078j),(0.9014321044766862-1.2108705085125466j),(-0.6346591716916253+1.1023307124844288j)
"(0.5789473684210527, -7.0)","(0.5789473684210527, -7.0)",(0.649453962333874-0.2632808576683597j),(-0.13333217298362895-0.3802380887611052j),(1.7126626514158898-0.5945035418493455j),(0.36903140856936123+0.18489905760537156j)
"(0.8421052631578947, -7.0)","(0.8421052631578947, -7.0)",(0.6550724994657249-0.11583964192490577j),(-0.038815993514381336-0.43315208529398297j),(1.7090715678483797+1.1867017455169915j),(0.29496192406317634-1.1010685859977258j)
"(1.1052631578947367, -7.0)","(1.1052631578947367, -7.0)",(-0.2809289031221828+0.513424843181901j),(0.18444592513968336-0.4716126168425273j),(-0.6539245148733578+2.132687418529192j),(-0.37330811963287414-0.1208002721409619j)
"(1.3684210526315788, -7.0)","(1.3684210526315788, -7.0)",(-0.6730904527724311-0.6101692980555301j),(0.536103641249462-0.2849284923490589j),(-2.0649450743200943-0.6054848930053963j),(-0.490429925246661-0.9400945088121353j)
"(1.6315789473684208, -7.0)","(1.6315789473684208, -7.0)",(0.16638208986849926-0.6201238493282382j),(0.6421933283831676+0.32001127530700324j),(0.9004026513710064-1.4985111504525204j),(-1.0434497101486762-0.6818716728391974j)
"(1.8947368421052628, -7.0)","(1.8947368421052628, -7.0)",(-0.09413792937200238+0.039570068919897894j),(-0.052620207743702824+0.8139810933368898j),(0.5646002297579402+0.8470845170197455j),(-0.7943938101302446-1.5423554035969416j)
"(2.1578947368421053, -7.0)","(2.1578947368421053, -7.0)",(-0.3982561738336526-0.40739564955999585j),(-0.8729389201063757+0.11329990262370171j),(-0.17677939436628923+0.2573280444203482j),(-0.14505020702829283-1.5928148957240376j)
"(2.4210526315789473, -7.0)","(2.4210526315789473, -7.0)",(0.07012201434165928-0.921164320819433j),(-0.11939217073169038-0.8846694474576098j),(-0.8438433012821845-0.4051167534082969j),(1.1736015150388528-1.4737067615923927j)
"(2.6842105263157894, -7.0)","(2.6842105263157894, -7.0)",(1.292566377344707-0.006646152307934555j),(0.8400036311783694+0.028152915995102418j),(1.4246312972484048+0.16373361568181732j),(1.6130642036073466-0.2118249886007234j)
"(2.9473684210526314, -7.0)","(2.9473684210526314, -7.0)",(-0.02030756902490949+0.49688322965890297j),(-0.24847569308846107+0.6773061868165706j),(-1.3874262137007916-0.19994312786456234j),(1.5749791997145242+1.0132866300247008j)
"(3.2105263157894735, -7.0)","(3.2105263157894735, -7.0)",(0.40034685821235205+0.44378125849584427j),(-0.3924964870357083-0.3841900922846384j),(0.8013300877402202+0.4385888707383797j),(0.7922069739325444+1.2769449970337914j)
"(3.473684210526316, -7.0)","(3.473684210526316, -7.0)",(0.19215522328476178+0.3407382100533888j),(0.33737865594337313-0.13986168487487663j),(-0.006334970706182108-0.3190667332771009j),(0.24542198461709436+1.481143048312144j)
