index,cp
"(0, (0,))",(-0.04713558331552933-0.06878310258025351j)
"(0, (1,))",(0.030395749314608204+0.019327438990802106j)
"(0, (2,))",(-0.0328190520961689-0.014844571191133698j)
"(0, (3,))",(0.034585481326884424+0.010064589198144996j)
"(0, (4,))",(-0.03565968191369187-0.005083164383925162j)
"(0, (5,))",(0.03602015372454265+1.7763568394002508e-17j)
"(0, (6,))",(-0.03565968191369175+0.005083164383925037j)
"(0, (7,))",(0.0345854813268844-0.0100645891981449j)
"(0, (8,))",(-0.03281905209616897+0.01484457119113367j)
"(0, (9,))",(0.030395749314608214-0.0193274389908021j)
"(0, (10,))",(-0.02076502315503294+0.05469650652839956j)
"(0, (11,))",(-0.05064586085725481+0.04335252267714116j)
"(0, (12,))",(-0.05064586085725469+0.04335252267714106j)
"(0, (13,))",(-0.050645860857254636+0.043352522677141014j)
"(0, (14,))",(-0.05064586085725474+0.043352522677141105j)
"(0, (15,))",(-0.050645860857254726+0.0433525226771411j)
"(0, (16,))",(-0.05064586085725487+0.04335252267714123j)
"(0, (17,))",(-0.050645860857254636+0.04335252267714101j)
"(0, (18,))",(-0.050645860857254615+0.043352522677141j)
"(0, (19,))",(-0.05064586085725487+0.04335252267714123j)
"(0, (20,))",(-0.05064586085725487+0.04335252267714123j)
"(0, (21,))",(-0.05064586085725474+0.043352522677141105j)
"(0, (22,))",(-0.050645860857254615+0.043352522677141j)
"(0, (23,))",(-0.05064586085725474+0.043352522677141105j)
"(0, (24,))",(-0.0506458608572548+0.04335252267714115j)
"(0, (25,))",(-0.05064586085725465+0.043352522677141035j)
"(0, (26,))",(-0.050645860857254796+0.04335252267714115j)
"(0, (27,))",(-0.050645860857254546+0.043352522677140945j)
"(0, (28,))",(-0.050645860857254664+0.04335252267714104j)
"(0, (29,))",(-0.0506458608572548+0.04335252267714116j)
"(0, (30,))",(-0.050645860857254574+0.043352522677140966j)
"(0, (31,))",(-0.050645860857254664+0.04335252267714104j)
"(0, (32,))",(-0.050645860857254886+0.043352522677141236j)
"(0, (33,))",(-0.050645860857254664+0.04335252267714104j)
"(0, (34,))",(-0.05064586085725458+0.043352522677140966j)
"(0, (35,))",(-0.050645860857254574+0.043352522677140966j)
"(0, (36,))",(-0.050645860857254664+0.04335252267714104j)
"(0, (37,))",(-0.050645860857254886+0.043352522677141236j)
"(0, (38,))",(-0.0506458608572548+0.04335252267714116j)
"(0, (39,))",(-0.05064586085725444+0.04335252267714085j)
"(0, (40,))",(-0.05064586085725471+0.04335252267714109j)
"(0, (41,))",(-0.050645860857254664+0.04335252267714104j)
"(0, (42,))",(-0.050645860857254886+0.043352522677141236j)
"(0, (43,))",(-0.0506458608572548+0.04335252267714116j)
"(0, (44,))",(-0.050645860857254574+0.043352522677140966j)
"(0, (45,))",(-0.05064586085725444+0.04335252267714085j)
"(0, (46,))",(-0.050645860857254664+0.04335252267714104j)
"(0, (47,))",(-0.050645860857255025+0.04335252267714135j)
"(0, (48,))",(-0.050645860857254796+0.04335252267714115j)
"(0, (49,))",(-0.05064586085725444+0.04335252267714085j)
"(0, (50,))",(-0.020765023155033095+0.05469650652839966j)
"(0, (51,))",(0.0303957493146089-0.01932743899080252j)
"(0, (52,))",(-0.032819052096169636+0.014844571191134111j)
"(0, (53,))",(0.034585481326885124-0.010064589198145213j)
"(0, (54,))",(-0.03565968191369262+0.0050831643839252694j)
"(0, (55,))",(0.036020153724543466-4.884981308350693e-17j)
"(0, (56,))",(-0.03565968191369264-0.005083164383925207j)
"(0, (57,))",(0.034585481326885215+0.01006458919814515j)
"(0, (58,))",(-0.03281905209616964-0.014844571191134056j)
"(0, (59,))",(0.030395749314607624+0.019327438990801457j)
"(0, (60,))",(-0.020765023155032383-0.0546965065283993j)
"(0, (61,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (62,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (63,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (64,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (65,))",(-0.05064586085725486-0.0433525226771412j)
"(0, (66,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (67,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (68,))",(-0.05064586085725453-0.043352522677140924j)
"(0, (69,))",(-0.05064586085725451-0.04335252267714092j)
"(0, (70,))",(-0.05064586085725486-0.0433525226771412j)
"(0, (71,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (72,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (73,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (74,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (75,))",(-0.05064586085725486-0.0433525226771412j)
"(0, (76,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (77,))",(-0.05064586085725453-0.043352522677140924j)
"(0, (78,))",(-0.05064586085725451-0.04335252267714092j)
"(0, (79,))",(-0.05064586085725481-0.04335252267714116j)
"(0, (80,))",(-0.050645860857254685-0.04335252267714107j)
"(0, (81,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (82,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (83,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (84,))",(-0.05064586085725497-0.043352522677141306j)
"(0, (85,))",(-0.05064586085725497-0.043352522677141306j)
"(0, (86,))",(-0.05064586085725453-0.043352522677140924j)
"(0, (87,))",(-0.05064586085725451-0.043352522677140924j)
"(0, (88,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (89,))",(-0.05064586085725497-0.043352522677141306j)
"(0, (90,))",(-0.05064586085725497-0.043352522677141306j)
"(0, (91,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (92,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (93,))",(-0.05064586085725508-0.043352522677141396j)
"(0, (94,))",(-0.05064586085725497-0.043352522677141306j)
"(0, (95,))",(-0.05064586085725443-0.04335252267714083j)
