index,cp
"(0, (0,))",(-0.8233124016534026-0.4794410755642493j)
"(0, (1,))",(-0.6788422345261688+0.35119739771933367j)
"(0, (2,))",(-0.607750330287057+0.5202302721256935j)
"(0, (3,))",(-0.6077503302870573+0.5202302721256935j)
"(0, (4,))",(-0.6077503302870572+0.5202302721256935j)
"(0, (5,))",(-0.6788422345261687+0.3511973977193326j)
"(0, (6,))",(-0.6788422345261687-0.35119739771933245j)
"(0, (7,))",(-0.607750330287057-0.5202302721256935j)
"(0, (8,))",(-0.6077503302870572-0.5202302721256936j)
"(0, (9,))",(-0.607750330287057-0.5202302721256934j)
"(1, (0,))",(-0.8233124016534026-0.4794410755642493j)
"(1, (1,))",(-0.6788422345261688+0.35119739771933367j)
"(1, (2,))",(-0.607750330287057+0.5202302721256935j)
"(1, (3,))",(-0.6077503302870573+0.5202302721256935j)
"(1, (4,))",(-0.6077503302870572+0.5202302721256935j)
"(1, (5,))",(-0.6788422345261687+0.3511973977193326j)
"(1, (6,))",(-0.6788422345261687-0.35119739771933245j)
"(1, (7,))",(-0.607750330287057-0.5202302721256935j)
"(1, (8,))",(-0.6077503302870572-0.5202302721256936j)
"(1, (9,))",(-0.607750330287057-0.5202302721256934j)
"(2, (0,))",(-0.8233124016534026-0.4794410755642493j)
"(2, (1,))",(-0.6788422345261688+0.35119739771933367j)
"(2, (2,))",(-0.607750330287057+0.5202302721256935j)
"(2, (3,))",(-0.6077503302870573+0.5202302721256935j)
"(2, (4,))",(-0.6077503302870572+0.5202302721256935j)
"(2, (5,))",(-0.6788422345261687+0.3511973977193326j)
"(2, (6,))",(-0.6788422345261687-0.35119739771933245j)
"(2, (7,))",(-0.607750330287057-0.5202302721256935j)
"(2, (8,))",(-0.6077503302870572-0.5202302721256936j)
"(2, (9,))",(-0.607750330287057-0.5202302721256934j)
