index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(-1.0, -7.0)",(0.007182214117027921+0.006525107587546662j),(0.004288634618048704-0.005464863800078008j),(-0.004079979975243904-0.0065127471844337766j),(-0.0029178211818370815+0.007212149326162747j),(0.00766106276561836-0.00039975939671906495j),(-0.002643181547189242-0.0038444909712304826j),(-0.0006464079471688571+0.008753108257154446j),(-0.007042844677955404+0.005182332023920564j),(-0.006137311588135878-0.006998815828781063j),(0.007085880990468632-0.0070396348787439295j)
"(-0.736842105263158, -7.0)",(0.011314707317446725+0.002412730644322016j),(-0.0080960319395174-0.0015698570766925768j),(-0.006259869573819888+0.005819048829129123j),(0.007568174844113657+0.0035324683359759263j),(0.0014815529424945463-0.00793436153205116j),(-0.005827052873811062+0.0012131512172886317j),(0.0034480759366055116+0.008573200656035538j),(-0.004786746355079511+0.0074324684099421785j),(-0.008567160917566563-0.003974372950584172j),(0.0030336958060102398-0.009727415353873552j)
"(-0.4736842105263158, -7.0)",(0.013819673095883448-0.0005218378120605818j),(-0.002215443884935953+0.009916551672525855j),(0.005310773333019855+0.007539410762135939j),(0.006140170111358962-0.006301782545761555j),(-0.006560214903042889-0.005221011353311349j),(-0.0033163558456073957+0.0063769298394629435j),(0.005454323088264455+0.007673465553063088j),(-0.004000178008376892+0.007914278099100029j),(-0.009015196088199968-0.0029395022480563446j),(0.0016636170798439054-0.01010992835286721j)
"(-0.21052631578947367, -7.0)",(0.015226178786993255+0.0003679086410271549j),(0.008808187345615419+0.007894022016228602j),(0.009613510036569012-0.0014043339977315703j),(-0.0015781091850156606-0.00898867983615791j),(-0.008509566835282567+0.0013427708931489793j),(0.0011737067922675758+0.008141253306940219j),(0.005408459797722212+0.007495383884355711j),(-0.00515911183886879+0.007162150256940648j),(-0.008298518549356758-0.004468168593142479j),(0.0036922033421079863-0.009466570204856473j)
"(0.05263157894736836, -7.0)",(0.013406262420981753+0.006553615164153414j),(0.01246877910516915+0.0013903726001176532j),(0.006185700496446593-0.007908890298621107j),(-0.006875662278662403-0.006326976152341454j),(-0.006546225087980347+0.005834577547317536j),(0.004429143119711744+0.007795310796376892j),(0.0033640331224397686+0.008033856044275051j),(-0.007518612136589715+0.004409343913234777j),(-0.005241977941903915-0.007644758719240332j),(0.007944282310910954-0.005957248978870605j)
"(0.3157894736842104, -7.0)",(0.003311987754032023+0.012509937047800016j),(0.011886121808925756-0.0012607009267099987j),(0.0024932307946820198-0.009903087069803572j),(-0.008760946023670658-0.0035674852098263633j),(-0.004478523947519154+0.007634824301794005j),(0.005662137130476055+0.007446855649852767j),(-0.0005905394615249542+0.007819233252161583j),(-0.00844348087438681-0.0012264840253783096j),(0.0015216928126854062-0.008879380901514095j),(0.009229970955481774+0.0024092794561559163j)
"(0.5789473684210527, -7.0)",(-0.00903545733084134+0.004718652330480019j),(0.01013470187451554+0.00036973286732476404j),(0.0018032654874644124-0.010080250579943157j),(-0.008975913010490213-0.0030455292880353334j),(-0.004081174728629766+0.007869752751934442j),(0.004910667941237914+0.007996621744313027j),(-0.004819613923210728+0.004668666859902437j),(-0.003933015203258299-0.007274123043064774j),(0.00814395828352206-0.0028692959464268215j),(0.0007083130786443652+0.00894633093373467j)
"(0.8421052631578947, -7.0)",(-0.0013370831754512486-0.007932850946465841j),(0.0069272357118023015+0.0034716137793519733j),(0.004453300927439375-0.009095171858499975j),(-0.007938884446505643-0.005036780936337106j),(-0.0055857476471234445+0.006813363757011303j),(0.002035361961104238+0.008854720783772472j),(-0.005293120263611896-0.0012270814214089838j),(0.00503267845465203-0.006118291068091193j),(0.004325465098527474+0.006893821964036913j),(-0.008195749156419801+0.0006840282159974575j)
"(1.1052631578947367, -7.0)",(0.00603948565539968+0.004023730081118371j),(0.002744919039009709+0.005262780888964165j),(0.00869953607233153-0.00465125026804668j),(-0.00418165413850993-0.00822379916353413j),(-0.007944318691015978+0.0035105349411382923j),(-0.0026498454294233698+0.008107159252327738j),(-0.0001818770768608418-0.004175945069827122j),(0.0063791400933247465+0.003917945188077077j),(-0.006591963713460098+0.0036099485204620072j),(0.0016823185054047418-0.007093718945192388j)
"(1.3684210526315788, -7.0)",(-0.007113558005369796-0.0002999108996834886j),(-0.0024425831292964086+0.005000168547799434j),(0.008391966471846804+0.004324460778400822j),(0.003142144354153502-0.008373223719377652j),(-0.008081479874896522-0.0025888509143103524j),(-0.006836713471620521+0.0037858535707407976j),(0.003173299650603449+0.00010118275600759903j),(-0.004254567853162249+0.005507629396527314j),(-0.001131003302893791-0.006673750871753832j),(0.004053410730717774+0.00468360739898427j)
"(1.6315789473684208, -7.0)",(0.00649911595780549-0.001626825946249265j),(-0.0053397107226246-0.002120838807266355j),(-0.0018268363953393258+0.008648466566131687j),(0.008509490863300937-0.0007823565461275427j),(-0.002260094999927195-0.007889462434505131j),(-0.006390865926473163-0.0030127920912896744j),(-0.0011631089783076289+0.002385061158245877j),(-0.0034079264991519606-0.005351633009026401j),(0.005370955327627059+0.002467668326651698j),(-0.004876160264205418-0.0010122189698962046j)
"(1.8947368421052628, -7.0)",(-0.00567076172278572+0.0012516775812665825j),(0.0038825667062329554-0.0034658796941156103j),(-0.0077626245588855915-0.002138617597093083j),(0.002036392003590651+0.007761367163556796j),(0.006402606014964141-0.004528487144658673j),(3.754370176301884e-05-0.006412433756186508j),(-0.001232329280264869-0.002310807941603342j),(0.005649104061215145+6.663047820074535e-05j),(-0.004763925026814827+0.001401176706546853j),(0.0036616502002785943-0.000645807216683001j)
