index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(-3.0, -6.0)",(-0.007764102871561393+0.009908453776381136j),(-0.0009008657913980946-0.006241409747282583j),(0.0034401802119733292+0.004872777491596627j),(-0.00852015322755536-0.0008953195347835564j),(-0.007934086732599798-0.006049338137944136j),(-0.005061036599850709-0.008366131232961847j),(0.0006709318450988423-0.009447298189506466j),(0.007179834311868391-0.005571252294220232j),(0.00801973599900556+0.0032686704093846013j),(-0.0004115314962611292+0.008206201171831096j),(-0.0077217234663254225+0.000933424350992331j),(-0.0010559094774475581-0.007282675962566373j),(0.006961996479401659-0.0002742398518854477j),(-0.0011626917830474457+0.006504228164598793j),(-0.0055402841659285456-0.002955435382043596j),(0.002093584932645751-0.007426698995995103j),(-0.004921335693587323-0.004642962566080683j),(-0.004731079391238018+0.005295442650556546j),(0.005101375852232918+0.004287706248806618j),(0.00089874333297538-0.006051217324580005j),(-0.0058280556112880084+0.002819275748177942j),(0.005683324175895801+0.003885744072116308j),(0.001269000537017278-0.007247724721849597j),(-0.007826232872275669+0.0010886153422367353j),(0.0025953026066203263+0.008114012736685057j),(0.008764367899270476-0.002810345608727332j),(-0.001041619970154973-0.009877540500497177j),(-0.010025409471224071-0.003602081490747197j),(-0.009945383264589274+0.005329546880783056j),(-0.0062317274168416145+0.009928439832692482j)
"(-2.7346938775510203, -6.0)",(0.013225625331297869+0.0015020095900766695j),(-0.005072865666924031+0.004259554633707933j),(0.0024362423215925936-0.005735728219131747j),(0.003852673631553733+0.008036207902613612j),(-0.0011495818857791523+0.010301202373862j),(-0.004997748051206342+0.008805197446205188j),(-0.009016728770810332+0.0037339533368845783j),(-0.008134022489713318-0.004530326292941427j),(0.0004855912051262972-0.008806305898728413j),(0.008146807252147203-0.0016920160541215115j),(0.002279353282407733+0.0074985834884684095j),(-0.007175607325731723+0.001742547280189902j),(-0.00037960987607431177-0.006957678115891338j),(0.006404903497486282+0.0015546627490991458j),(-0.00365319883155404+0.005073144425247578j),(-0.006943589926139825-0.00362966074819029j),(-0.006084552538297431+0.0035233945605581086j),(0.0032554884656176056+0.006623540360488338j),(0.006241360418151972-0.00269208368460054j),(-0.005108142182883014-0.0032418202995190856j),(0.0007061664287775546+0.006366992603725799j),(0.005141041736757057-0.004482361661580298j),(-0.006905081857212446-0.0023872323623058806j),(0.0006402672632968711+0.007848962550877367j),(0.0079834396839013-0.003027423336831275j),(-0.004269855233359562-0.008259476144993245j),(-0.009394322939742608+0.0038078067815678135j),(0.00043921579311153095+0.010992413262709864j),(0.009679521764660349+0.0067285215701565725j),(0.012348156344242375+0.00038889432989711443j)
"(-2.4693877551020407, -6.0)",(-0.006017001605700475-0.012832835376744147j),(0.0066482626416589875+0.0021766437529826426j),(-0.006461275119930839+0.0009983111308332318j),(0.00503530638671133-0.007821556225663722j),(0.009830354993286003-0.004474640746408818j),(0.010505701106740538+0.00013414656882159993j),(0.0075070700638612976+0.006706552412553005j),(-0.0012239639574278538+0.00945837539961355j),(-0.008704909841821968+0.0021726061472381332j),(-0.0034215168256605186-0.007683635101690923j),(0.007189542302895195-0.003226065807575678j),(0.0020310356698061793+0.007108243900227659j),(-0.006952851773884902+7.491236180051243e-05j),(0.0023215932402533995-0.006136653672120411j),(0.004225772211618921+0.004554435454910433j),(-0.0054537928136976+0.005780860068999968j),(0.0011674153411750383+0.007214001417657261j),(0.007666692671332926+9.209335110366158e-05j),(0.0010340181186840167-0.0068590518431451124j),(-0.005266983809060315+0.0028205460227572997j),(0.0059920715747065695+0.0020281742575319877j),(-0.0024140790353421333-0.006291958003828796j),(-0.004005633482905191+0.006018473362464173j),(0.00779873942382881+0.0005153125509088186j),(-0.002778809886459395-0.008051286716242112j),(-0.007859303487049265+0.005064109178486283j),(0.005897119197355961+0.008455872615136077j),(0.010509786717916096-0.004282394898684774j),(0.0019142849563093729-0.012196108950509918j),(-0.006182225848412203-0.011542590840582827j)
"(-2.204081632653061, -6.0)",(-0.00835699879603814+0.01273028217286904j),(-0.0017725761922304138-0.007223164909030115j),(0.004488673831020298+0.005232935986468012j),(-0.009746545235556047-0.00019673783665009385j),(-0.009271139451516216-0.006450811497668534j),(-0.005063590895801663-0.009684541439440725j),(0.003054209688490406-0.00993291242319694j),(0.009523775214350898-0.0021494797628856j),(0.0044073323762863666+0.007974069797880064j),(-0.0070747643647493495+0.00467871804371706j),(-0.003731493180623058-0.0069654429276397025j),(0.0071417438203291465-0.0018663880448673022j),(-0.0006922322846154088+0.006886756593606891j),(-0.005537633550607637-0.0034366863157572224j),(0.005474388410944886-0.002831068059484154j),(0.003611777991786594+0.007195305114498144j),(0.007284475906733311+0.002143121608619717j),(0.004311259472349276-0.006687850678307521j),(-0.004899523705648838-0.005112928812830786j),(-0.0007465322916738569+0.005846892395522596j),(0.004771032579105124-0.004017078003822208j),(-0.006613426128727765-0.0006229071670003326j),(0.0041395377740487465+0.005805001321701738j),(0.002434346542855028-0.007328383799357617j),(-0.008279548562735101+0.0016862137756031707j),(0.005100228178063635+0.007829499821091284j),(0.007562237916495585-0.0071791830569575546j),(-0.007363618530859645-0.009058908343036682j),(-0.012488044818737007+0.0034366401980183703j),(-0.00747162483538077+0.01180642806046789j)
"(-1.9387755102040816, -6.0)",(0.016551081420259267+0.0004898699725072106j),(-0.005560451386386467+0.005717528930426426j),(0.0021976066109028495-0.006978362467754706j),(0.005204519608163295+0.008848741670776553j),(-0.0008947474351310426+0.011825963908054783j),(-0.00649195868653291+0.009365371991197684j),(-0.010668681200551868+0.0011696448521944446j),(-0.005101299759917589-0.008579344407916219j),(0.00695742051559585-0.00606318814386739j),(0.005432785134319833+0.00657166652388135j),(-0.006950744664401309+0.0037508087061111236j),(-0.001171059380843206-0.007254261156760048j),(0.006588751528688807+0.0019510577362881326j),(-0.004758879693297536+0.004367989286517268j),(-0.0007704065856085245-0.0060539738039074534j),(0.00813796267906829-0.0002755528521597552j),(0.005776578843671065-0.0053636947486476036j),(-0.0027331614900694217-0.007777102832172825j),(-0.00723090206132494-9.197968564591476e-06j),(0.0037915097561506943+0.004405962840905234j),(-0.00022070439155113714-0.006139178025890045j),(-0.004097241259677419+0.005092174879449396j),(0.006952504456060417-0.0009028367051637151j),(-0.005798851023429743-0.0049068304438813866j),(-0.00045080618244956044+0.008319109598468943j),(0.008272021621951798-0.0041788235203819735j),(-0.007594746076278419-0.007195394266886261j),(-0.007359695117137456+0.009401743231905561j),(0.00825626202088303+0.010798368136079628j),(0.015001531293327977+0.0009297569907691955j)
"(-1.673469387755102, -6.0)",(-0.009120092608761466-0.01587414677334506j),(0.008459831413373404+0.0018056638111729484j),(-0.007577129092558923+0.001959885025330471j),(0.005091133919982551-0.009609810353008808j),(0.011255848252891302-0.00546968544456249j),(0.011797829107874696+0.0016472749016290319j),(0.005179027507941162+0.00979741384487405j),(-0.007057534816488947+0.007336486216226962j),(-0.007110345184523236-0.0060162236183408935j),(0.006384588794953819-0.005667539691835567j),(0.0031958692986915715+0.007185719942527116j),(-0.007289142157523954-0.00014679724950508716j),(0.003631967816756954-0.005752800995038571j),(0.0023762921378148593+0.005930150768693521j),(-0.005740608687069622-0.0018561013677273375j),(0.003849700159308254-0.007262326436271839j),(-0.000932856546104113-0.008117274910147649j),(-0.0077434511369325705-0.0035500129416093187j),(-0.005703269895299107+0.004688637295839978j),(0.00567271837540733+0.0008377303297631293j),(-0.0043904554595344675-0.00416268622392447j),(0.0010994326590364504+0.006330779075297439j),(0.003329756430090273-0.0060213882977502384j),(-0.007023851788506541+0.002471004584513963j),(0.007319882529561764+0.0036209346146909385j),(-0.0019225855529612353-0.008906814476015577j),(-0.007704742841200054+0.006957459127527606j),(0.010350821515556333+0.006236778452574816j),(0.007965029301619353-0.011778893898188253j),(-0.006662942008511843-0.01490062042192571j)
"(-1.4081632653061225, -6.0)",(-0.009926614731055041+0.018222704433706837j),(-0.0033138265658659923-0.008937660296499228j),(0.0061488978394674855+0.005812212612365185j),(-0.01158283999823649+0.0007524438754961302j),(-0.01098601154368487-0.007466228821724099j),(-0.0037779079545091536-0.011895829408544618j),(0.007772240311177437-0.008376520454068505j),(0.008777019139910516+0.00547029295332417j),(-0.005480283040733302+0.007580379504170557j),(-0.005310338261573465-0.006644794642931781j),(0.007558781473265397-0.0019133497490207562j),(-0.0021195886382627737+0.0068898707011575975j),(-0.003973376633379507-0.005417125985794627j),(0.006286171354388999+0.0005013118571848851j),(-0.004473973943394525+0.0039322871273127875j),(-0.0037056275532158438-0.007403109530922225j),(-0.006851887539003991-0.004944225052793626j),(-0.00848277479084444+0.0022372234350988476j),(-0.0023475315609600054+0.007160741041391208j),(0.005138220459804887-0.0023824482079420548j),(-0.005918186015649873-0.0007413603730169118j),(0.00482955865252992+0.004077168400634429j),(-0.0017961909810993394-0.006507488292928216j),(-0.0025944668887486325+0.006807349732073013j),(0.0068940030871512195-0.0039992999968770536j),(-0.008657493810762897-0.0019961293589859127j),(0.004691031599414813+0.009015969800948063j),(0.0064927184325527494-0.010121656209494082j),(-0.013723328158171467-0.005298006277880589j),(-0.01156007814141831+0.013666942125329816j)
"(-1.1428571428571428, -6.0)",(0.0244689130830048-0.001234067835246723j),(-0.006446137700408827+0.00860882802233094j),(0.0017819712552638641-0.00910794694102525j),(0.007239633717915576+0.010202144413875694j),(-0.001198259839663805+0.014147801471478023j),(-0.009814032149760534+0.008674524662222302j),(-0.01048628812133485-0.0052845177989424745j),(0.004324928206895453-0.009506290913259035j),(0.007457953571922482+0.0056114798992787j),(-0.007327813908414993+0.0041608483714728845j),(0.0002635648676443679-0.007691257288246948j),(0.00547806018588142+0.004522723796546842j),(-0.00654894577842037+0.0009587247046336067j),(0.0037649476969396074-0.0049455259824251665j),(0.00045085557008496963+0.005858167562630779j),(-0.008034751009555917-0.002149190287425156j),(-0.00867255024653329+0.0008081912122998588j),(-0.00611659009297469+0.006597149981070911j),(0.0009142682963971901+0.007630957741514255j),(0.003596350893521878-0.004300337024380652j),(-0.005520172059866212+0.0020626061971626124j),(0.006142434097030326+0.0010432837847681139j),(-0.005047255240146921-0.004307433369205665j),(0.002166752486413523+0.006797340702593223j),(0.002094574457250262-0.007482678350229549j),(-0.006722390513248632+0.005394537682747928j),(0.009825382018604225+0.00011996457976045697j),(-0.007954114432406303-0.008567084095111132j),(-0.0044905470720099675+0.014120981138047266j),(0.01873412004979961+0.00617343156398524j)
"(-0.8775510204081631, -6.0)",(-0.017549601523782824-0.025886862783854256j),(0.01259908883714464+0.0006662121317782413j),(-0.009665605301702681+0.0038304522511690173j),(0.005331732717411583-0.012577471229753799j),(0.014012266203133296-0.006157785535949539j),(0.012223500659707445+0.006278472530779567j),(-0.003117072926267048+0.01157426485774621j),(-0.009626076804499449-0.004079223153925885j),(0.006531587207907292-0.006534023715262194j),(0.001885247206869011+0.008080062689047386j),(-0.006816611026879046-0.0032768962406653944j),(0.006537152619131545-0.0024508563751308205j),(-0.0029413419289178798+0.005808115895815859j),(-0.001378005849628463-0.0059642617223815515j),(0.004490056615274654+0.003662235235844181j),(-0.007429852753549615+0.0037720344593689717j),(-0.006895430384882962+0.0056941167317467924j),(-0.00280921224852207+0.008738300636527146j),(0.003192487197736043+0.007148261274036723j),(0.0021841880657044337-0.005118808247161384j),(-0.004544041432981342+0.0036714741911503136j),(0.006055407518062867-0.0011570199087059438j),(-0.006245117816871911-0.001972708919175188j),(0.00485685468211021+0.005065185759243658j),(-0.0019219820044314004-0.007359209196428432j),(-0.0022115430933787364+0.00808160870541614j),(0.006874930955696691-0.006498405749464851j),(-0.010987143229056423+0.0018088279731526137j),(0.012132964272775439+0.007404604930175881j),(0.001559730104709796-0.02116059312586066j)
"(-0.6122448979591835, -6.0)",(-0.020309702333398228+0.04452474156692203j),(-0.008894494217216147-0.013297648183752389j),(0.009878976558960195+0.006897075906818943j),(-0.015022765219110428+0.0023108887082363976j),(-0.012947959196042918-0.010483510363696805j),(0.0024202767258350156-0.014145522350796766j),(0.011916381310282203+0.0020549074767611916j),(-0.005094052185379013+0.009001958986171319j),(-0.0042791424743861125-0.0079915768387241j),(0.00793636160758244+0.0017320404743181147j),(-0.006297570040521653+0.0039030157539115397j),(0.0020986947732351754-0.006520835207662956j),(0.002176259856398687+0.006019127631145387j),(-0.004978207175921197-0.003401730310148241j),(0.005717072835615348+2.846022698330738e-06j),(-0.003928953875965812+0.00733711095437498j),(-0.003645277177747376+0.008377772991962103j),(-7.824002815278365e-05+0.009310172575957325j),(0.00437407329521313+0.006651959236937757j),(0.001433761842706553-0.005356477000343994j),(-0.003901418242375901+0.004313643776183905j),(0.0057340671717792365-0.0021719335322283708j),(-0.006464680265731066-0.0007206367788819141j),(0.005804421170554268+0.0038327091175313567j),(-0.0037045581476450947-0.0065395732479354195j),(0.00036932095032249726+0.008230571163486862j),(0.0037910520305608356-0.008407671303751984j),(-0.008284705149605187+0.006738734926972142j),(0.012850294842620968-0.0029797521094724j),(-0.019325708863689308-0.00426232853343083j)
