index,x,value,0,1,2
"(-1.0, -7.0)","(-1.0, -7.0)",(0.13865116927372503+0.8037550684846085j),(-0.5188502105942314-0.49349539579138213j),(1.897155755867588-1.4306317329211369j),(-0.9623520374521815+4.335392334166345j)
"(-0.736842105263158, -7.0)","(-0.736842105263158, -7.0)",(1.1415393403870664-0.2144732306315582j),(2.182180359303527+4.388656355927099j),(-1.2951782523201096-1.4141314719015012j),(2.537615914177782-3.617944575920272j)
"(-0.4736842105263158, -7.0)","(-0.4736842105263158, -7.0)",(2.3342784572817417-0.10678811866071343j),(8.011491130648027+5.215249099548208j),(-1.6284914968126676+1.1802595044921569j),(0.6198357380098658-6.715872960022505j)
"(-0.21052631578947367, -7.0)","(-0.21052631578947367, -7.0)",(4.382318078127777+1.304111482081115j),(12.30854411683356+3.4482254419177503j),(-0.1283468478470192+2.3061338182305815j),(0.9667569653967925-1.8420248139049868j)
"(0.05263157894736836, -7.0)","(0.05263157894736836, -7.0)",(4.584776500950432+2.0600648416824954j),(13.869348969113723+2.2523923590134425j),(0.7123299992634586+2.1238213162929416j),(-0.8273494655258844+1.8039808497411027j)
"(0.3157894736842104, -7.0)","(0.3157894736842104, -7.0)",(4.206333483958716+1.6865916288159801j),(12.917396230085302+2.9244399414115483j),(0.43295283273572593+1.5288890532886623j),(-0.7313486109448804+0.6064458917477301j)
"(0.5789473684210527, -7.0)","(0.5789473684210527, -7.0)",(3.128297018893214+1.3213483733601743j),(9.726012142208234+4.407789090004362j),(-0.06936838930332134+0.32996549224242183j),(-0.27175269622526965-0.7737094621662608j)
"(0.8421052631578947, -7.0)","(0.8421052631578947, -7.0)",(2.0912241084820113+1.548954730658534j),(5.615544729401197+4.476183610525359j),(1.0747898490835128-0.7599336828195491j),(-0.4166622530386749+0.9306142642697924j)
"(1.1052631578947367, -7.0)","(1.1052631578947367, -7.0)",(1.5078765650077808+2.0555571977321043j),(3.607402841753142+2.91669305607841j),(2.435343693193465+1.4818421296530713j),(-1.5191168399232646+1.7681364074648325j)
"(1.3684210526315788, -7.0)","(1.3684210526315788, -7.0)",(1.311125583292478+0.5965856088662884j),(4.229567168873279+3.707617627616174j),(-1.435587316636931+3.290178960508284j),(1.139396897641086-5.208039761525593j)
"(1.6315789473684208, -7.0)","(1.6315789473684208, -7.0)",(0.8745505607316791+1.6155065364650731j),(0.964456636158038+7.8674924709151215j),(-2.9074590232959476-1.38767469495378j),(4.566654069332947-1.6332981665661226j)
"(1.8947368421052628, -7.0)","(1.8947368421052628, -7.0)",(-1.0938551844857876+0.9321645353833332j),(-7.87760078250705+4.970611601626075j),(1.054361976497853-2.1618821922415807j),(3.541673252551834-0.012235803234494469j)
"(2.1578947368421053, -7.0)","(2.1578947368421053, -7.0)",(-0.9778733515188682-1.4228553321762343j),(-6.350356326442152-6.8261164415879225j),(1.8308713724226604+1.1495800568882666j),(1.5858648994628863+1.4079703881709529j)
"(2.4210526315789473, -7.0)","(2.4210526315789473, -7.0)",(1.0499361085413177-1.675726986378358j),(6.0537952976234175-5.46991415231526j),(-1.5777398901202717+0.7086740463525996j),(-1.3262470818791923-0.2659408531724129j)
