index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(-0.0007432990565030674+0.0022470091484808235j),(-7.798766197558349e-05+0.0004396853407265692j),(-5.65141998257604e-05-1.847499120358206e-05j),(-5.021748430271919e-05+4.130556310258577e-06j),(-4.021435115506887e-05+1.7785417242889507e-05j),(0.00011150951086949869-0.00034279926764977243j),(0.0006103992906752538-0.0002495842403871786j),(0.0002601680609066453+0.0004307036993823184j),(-0.0003026753809441724-9.625189994023613e-05j),(0.00016320890382550855+7.499114763420247e-05j),(-3.4984434924211475e-05-8.95040094619912e-05j),(-3.697143530529109e-05+3.2518120941924535e-05j),(1.66511583572211e-05+1.6214359936886785e-05j),(5.6976166921852405e-06-7.3569751366242654e-06j),(-6.074039299541731e-06+3.2104554518585615e-07j),(-0.0003149195656167081+6.409194242626794e-06j),(-0.00010477244841068557+0.00032020561822156086j),(0.0004041902880645216+1.4866181219177092e-05j),(0.00013313678982474218-0.0004402434735929965j),(-0.00021509948897770816-0.0004400462010409192j),(-0.0002330926546837372-0.00010999690237015387j),(9.955562262751949e-06+2.7806153363132386e-05j),(1.6404488051634768e-06+3.1258002949626144e-05j),(-7.988079592133e-06+3.246147474110333e-05j),(-1.849623892222461e-05+3.0960523217996315e-05j),(-2.9406759516811697e-05+2.6284244536108777e-05j),(-4.02143511550661e-05+1.7785417242886898e-05j),(-5.021748430271884e-05+4.130556310258132e-06j),(-5.651419982576486e-05-1.847499120358165e-05j),(1.3325928638162836e-05+0.0003924494788205174j)
"(1,)",(-7.798766197558349e-05+0.0004396853407265692j),(-0.0007067001897588001+0.0018750612458779284j),(-4.2662813327856594e-05+0.0004822790971724621j),(8.274322534678516e-06+3.2009042174400693e-06j),(4.791563476520585e-06+6.3708402832856e-07j),(-2.3466338377280343e-05+1.8414229975700508e-05j),(-3.5091735687751414e-05-2.367176970456102e-05j),(4.578342133230091e-06-5.377671455745805e-06j),(1.882002436535865e-05-1.8313170204404174e-06j),(-1.99580892194062e-05-1.3998223370405116e-05j),(-6.30854609048979e-06+1.771041067059749e-05j),(8.75961492163238e-06+4.827524772908718e-06j),(2.1626062054678555e-06-1.8994468080568512e-07j),(3.023777179044772e-06+4.428832595675994e-06j),(1.00131799355125e-05+2.3644575584670234e-06j),(1.8187200579537846e-06+0.00029761514055187606j),(0.00033939015645052497+0.00023471979555104663j),(0.00036650892628680164-0.0003834479045498202j),(-6.204479589189844e-05-0.0006176308734224953j),(-0.00024921340038679005-0.0006056300282734332j),(-0.00024256521734984117-0.0002695774088619618j),(-8.37546288380208e-06+3.666489588126644e-05j),(-2.086333247207143e-05+3.3242908414529707e-05j),(-3.236786510776342e-05+2.5080725390579418e-05j),(-4.081625929543687e-05+1.1974237625031173e-05j),(-4.317021011934054e-05-5.397912528191224e-06j),(-3.509173568774786e-05-2.3671769704560814e-05j),(-1.3922385355632819e-05-3.1154123988968364e-05j),(-6.96292616309243e-06-8.487398280205992e-06j),(-2.0664015602142974e-05-5.7939138204943396e-05j)
"(2,)",(-5.65141998257604e-05-1.847499120358206e-05j),(-4.2662813327856594e-05+0.0004822790971724621j),(-0.0007067001897587975+0.0018750612458779228j),(-4.2662813327856594e-05+0.00048227909717246247j),(8.274322534678343e-06+3.20090421743973e-06j),(-3.157027470363236e-05+1.0914133289784116e-05j),(-1.3922385355633334e-05-3.115412398896779e-05j),(-5.514581009208369e-06-1.5522014482281444e-05j),(-3.388728963145946e-06+2.8414947087283946e-05j),(1.882002436535985e-05-1.8313170204415448e-06j),(2.2213552469206288e-06-5.271113828766657e-06j),(6.037012015162048e-06+5.228330250536022e-07j),(1.1143004998370045e-05-7.1989964866231615e-06j),(5.380830891671669e-06-1.7264534012052842e-05j),(-6.77828107702425e-06-2.0047163615578293e-05j),(0.00032517604169610256-9.267043786161698e-05j),(0.00036650892628680066-0.00038344790454981984j),(-6.204479589189864e-05-0.0006176308734224944j),(-0.00024921340038678967-0.0006056300282734321j),(-6.204479589189845e-05-0.0006176308734224939j),(-2.341135408128949e-06-0.00036215177152787464j),(-2.8964247891622444e-05+1.0777313627242614e-05j),(-3.0245790277555065e-05-3.0003856362537864e-06j),(-2.3868426033465246e-05-1.6310431182133334e-05j),(-1.0169614346849185e-05-2.3520791812955188e-05j),(4.358015296482425e-06-1.8515557951307902e-05j),(4.578342133229291e-06-5.377671455744074e-06j),(-5.514581009209037e-06-1.5522014482280987e-05j),(3.532457223426865e-05-9.322822229651318e-06j),(-6.96292616309118e-06-8.487398280203175e-06j)
"(3,)",(-5.021748430271919e-05+4.130556310258577e-06j),(8.274322534678516e-06+3.2009042174400693e-06j),(-4.2662813327856594e-05+0.00048227909717246247j),(-0.0007067001897587979+0.0018750612458779223j),(-4.266281332785657e-05+0.0004822790971724618j),(-3.636310769206302e-05-2.6528313944570492e-06j),(-6.962926163091663e-06-8.487398280203546e-06j),(3.532457223426867e-05-9.322822229652192e-06j),(-5.514581009208346e-06-1.5522014482280777e-05j),(4.578342133229189e-06-5.37767145574487e-06j),(4.358015296483055e-06-1.8515557951309064e-05j),(-1.0169614346847234e-05-2.352079181295241e-05j),(-2.386842603346303e-05-1.631043118213538e-05j),(-3.024579027755673e-05-3.0003856362544526e-06j),(-2.896424789162418e-05+1.0777313627243047e-05j),(-2.341135408132036e-06-0.00036215177152787437j),(-6.204479589189848e-05-0.0006176308734224942j),(-0.0002492134003867898-0.0006056300282734324j),(-6.204479589189868e-05-0.0006176308734224942j),(0.0003665089262868016-0.0003834479045498194j),(0.0003251760416961028-9.267043786161542e-05j),(-6.77828107702397e-06-2.0047163615576436e-05j),(5.380830891671108e-06-1.726453401205099e-05j),(1.1143004998370051e-05-7.198996486625289e-06j),(6.037012015164651e-06+5.228330250532326e-07j),(2.221355246921205e-06-5.271113828768097e-06j),(1.8820024365359644e-05-1.83131702044221e-06j),(-3.3887289631456405e-06+2.841494708728396e-05j),(-5.514581009208318e-06-1.5522014482281976e-05j),(-1.3922385355633496e-05-3.1154123988967944e-05j)
"(4,)",(-4.021435115506887e-05+1.7785417242889507e-05j),(4.791563476520585e-06+6.3708402832856e-07j),(8.274322534678343e-06+3.20090421743973e-06j),(-4.266281332785657e-05+0.0004822790971724618j),(-0.0007067001897587973+0.001875061245877922j),(-7.452089373670931e-06+0.0004766335705596943j),(-2.0664015602142497e-05-5.793913820494653e-05j),(-6.962926163090605e-06-8.487398280202926e-06j),(-1.392238535563366e-05-3.115412398897012e-05j),(-3.509173568775034e-05-2.3671769704561336e-05j),(-4.3170210119342344e-05-5.397912528192457e-06j),(-4.0816259295431504e-05+1.197423762502853e-05j),(-3.23678651077641e-05+2.5080725390576454e-05j),(-2.08633324720731e-05+3.324290841453117e-05j),(-8.375462883803787e-06+3.6664895881268015e-05j),(-0.0002425652173498413-0.0002695774088619593j),(-0.00024921340038678956-0.000605630028273432j),(-6.204479589189847e-05-0.000617630873422494j),(0.00036650892628680164-0.00038344790454981925j),(0.00033939015645052426+0.00023471979555104582j),(1.8187200579523347e-06+0.00029761514055187433j),(1.001317993551074e-05+2.364457558466326e-06j),(3.0237771790443876e-06+4.428832595674828e-06j),(2.162606205468628e-06-1.8994468080430233e-07j),(8.759614921630212e-06+4.827524772908725e-06j),(-6.308546090489633e-06+1.7710410670597465e-05j),(-1.995808921940543e-05-1.3998223370405143e-05j),(1.882002436535921e-05-1.8313170204412648e-06j),(4.578342133229886e-06-5.377671455746301e-06j),(-3.509173568775183e-05-2.367176970456139e-05j)
"(5,)",(0.00011150951086949869-0.00034279926764977243j),(-2.3466338377280343e-05+1.8414229975700508e-05j),(-3.157027470363236e-05+1.0914133289784116e-05j),(-3.636310769206302e-05-2.6528313944570492e-06j),(-7.452089373670931e-06+0.0004766335705596943j),(-0.0009966624533779935+0.00190368894649023j),(-7.452089373670888e-06+0.0004766335705596945j),(-3.636310769206338e-05-2.6528313944575833e-06j),(-3.157027470363357e-05+1.0914133289783935e-05j),(-2.346633837728065e-05+1.841422997569948e-05j),(-1.5112321981642832e-05+2.2409407826560312e-05j),(-7.128173545199879e-06+2.3814968801489193e-05j),(1.4369867496128083e-07+2.312965290803709e-05j),(6.414052107293768e-06+2.0746322349906534e-05j),(1.14429041161693e-05+1.7046215511346357e-05j),(-0.00018017284660550235-3.5012133855936687e-05j),(-0.00024256521734984126-0.00026957740886195933j),(-2.3411354081315455e-06-0.0003621517715278739j),(0.0003251760416961009-9.267043786161626e-05j),(1.818720057954144e-06+0.00029761514055187416j),(-0.00026950720497860955+0.00010427436782316381j),(-6.527561171948635e-06+2.1732506289429498e-06j),(2.2734726776263036e-06-1.0046742346190265e-05j),(2.257053401881161e-05+8.7396556235348e-06j),(-2.3872333454591235e-05+4.509144976046389e-05j),(-6.407317534533165e-05-7.552530071379816e-05j),(0.00017935152025046818+2.1924505984250408e-05j),(-0.000303002424534508-2.2240387965750476e-06j),(0.0003293335394910136+0.0002925890424924682j),(0.000400857749275956-0.00032354249153695595j)
"(6,)",(0.0006103992906752538-0.0002495842403871786j),(-3.5091735687751414e-05-2.367176970456102e-05j),(-1.3922385355633334e-05-3.115412398896779e-05j),(-6.962926163091663e-06-8.487398280203546e-06j),(-2.0664015602142497e-05-5.793913820494653e-05j),(-7.452089373670888e-06+0.0004766335705596945j),(-0.0007067001897587976+0.0018750612458779225j),(-4.26628133278567e-05+0.00048227909717246236j),(8.274322534678635e-06+3.200904217440405e-06j),(4.7915634765195625e-06+6.370840283295477e-07j),(3.710465394843469e-06-7.198223927419717e-07j),(2.8414852781658757e-06-1.5734118671737332e-06j),(2.004335881526188e-06-2.106490759735704e-06j),(1.1870828154440198e-06-2.383340477044473e-06j),(4.1255520826337475e-07-2.4391307301360923e-06j),(1.1442904116168674e-05+1.7046215511346015e-05j),(-8.375462883803765e-06+3.6664895881267215e-05j),(-2.8964247891624192e-05+1.0777313627242529e-05j),(-6.7782810770237235e-06-2.004716361557713e-05j),(1.0013179935511192e-05+2.3644575584674457e-06j),(-6.527561171949889e-06+2.1732506289426554e-06j),(1.394881713717164e-06-2.153446382332354e-06j),(4.369476226850626e-06+3.0073148029605524e-06j),(-9.552425187277098e-06+7.457359843154325e-06j),(-1.844020425241602e-06-3.0311691395655275e-05j),(4.6895832506721e-05+6.339005003249856e-05j),(-0.00012164697684362302-0.0001553525676424495j),(-1.6188638202162946e-05+0.00043341316842316686j),(0.0007455511343565693+4.8431283300351166e-05j),(0.0008127561603127917-0.00040634167928943655j)
"(7,)",(0.0002601680609066453+0.0004307036993823184j),(4.578342133230091e-06-5.377671455745805e-06j),(-5.514581009208369e-06-1.5522014482281444e-05j),(3.532457223426867e-05-9.322822229652192e-06j),(-6.962926163090605e-06-8.487398280202926e-06j),(-3.636310769206338e-05-2.6528313944575833e-06j),(-4.26628133278567e-05+0.00048227909717246236j),(-0.000706700189758798+0.0018750612458779236j),(-4.266281332785675e-05+0.00048227909717246247j),(8.274322534678255e-06+3.200904217439959e-06j),(4.791563476520012e-06+6.370840283289443e-07j),(3.710465394843445e-06-7.198223927425454e-07j),(2.8414852781660803e-06-1.5734118671737326e-06j),(2.0043358815253955e-06-2.1064907597365978e-06j),(1.1870828154435258e-06-2.3833404770439584e-06j),(6.414052107294295e-06+2.0746322349905738e-05j),(-2.0863332472070928e-05+3.324290841453111e-05j),(-3.024579027755633e-05-3.000385636252529e-06j),(5.380830891670511e-06-1.7264534012051873e-05j),(3.023777179045309e-06+4.428832595674661e-06j),(2.2734726776253507e-06-1.0046742346189235e-05j),(4.369476226849967e-06+3.007314802960246e-06j),(-9.552425187276052e-06+7.457359843153541e-06j),(-1.8440204252405632e-06-3.0311691395655512e-05j),(4.6895832506719504e-05+6.339005003249762e-05j),(-0.00012164697684362244-0.00015535256764245028j),(-1.618863820216411e-05+0.0004334131684231666j),(0.0007455511343565717+4.8431283300351444e-05j),(0.0008127561603127906-0.00040634167928943585j),(0.0007455511343565708+4.843128330035233e-05j)
"(8,)",(-0.0003026753809441724-9.625189994023613e-05j),(1.882002436535865e-05-1.8313170204404174e-06j),(-3.388728963145946e-06+2.8414947087283946e-05j),(-5.514581009208346e-06-1.5522014482280777e-05j),(-1.392238535563366e-05-3.115412398897012e-05j),(-3.157027470363357e-05+1.0914133289783935e-05j),(8.274322534678635e-06+3.200904217440405e-06j),(-4.266281332785675e-05+0.00048227909717246247j),(-0.0007067001897587976+0.0018750612458779236j),(-4.266281332785668e-05+0.00048227909717246176j),(8.274322534678608e-06+3.2009042174404106e-06j),(4.7915634765195625e-06+6.370840283287783e-07j),(3.7104653948438556e-06-7.198223927418052e-07j),(2.84148527816603e-06-1.5734118671738175e-06j),(2.0043358815259986e-06-2.1064907597359125e-06j),(1.4369867496218552e-07+2.31296529080394e-05j),(-3.236786510776565e-05+2.5080725390581214e-05j),(-2.3868426033467493e-05-1.6310431182134835e-05j),(1.114300499837127e-05-7.198996486626146e-06j),(2.1626062054687262e-06-1.8994468080411747e-07j),(2.2570534018810982e-05+8.739655623534658e-06j),(-9.552425187276474e-06+7.457359843154347e-06j),(-1.8440204252419547e-06-3.0311691395655183e-05j),(4.689583250672071e-05+6.339005003249878e-05j),(-0.00012164697684362252-0.00015535256764244825j),(-1.6188638202161906e-05+0.00043341316842316583j),(0.000745551134356571+4.843128330035123e-05j),(0.0008127561603127913-0.00040634167928943677j),(0.000745551134356569+4.8431283300351464e-05j),(-1.618863820216391e-05+0.0004334131684231659j)
"(9,)",(0.00016320890382550855+7.499114763420247e-05j),(-1.99580892194062e-05-1.3998223370405116e-05j),(1.882002436535985e-05-1.8313170204415448e-06j),(4.578342133229189e-06-5.37767145574487e-06j),(-3.509173568775034e-05-2.3671769704561336e-05j),(-2.346633837728065e-05+1.841422997569948e-05j),(4.7915634765195625e-06+6.370840283295477e-07j),(8.274322534678255e-06+3.200904217439959e-06j),(-4.266281332785668e-05+0.00048227909717246176j),(-0.0007067001897587983+0.0018750612458779267j),(-4.2662813327856425e-05+0.0004822790971724616j),(8.274322534678475e-06+3.2009042174404094e-06j),(4.791563476519956e-06+6.37084028328341e-07j),(3.710465394843417e-06-7.19822392741945e-07j),(2.8414852781655975e-06-1.5734118671734095e-06j),(-7.128173545198554e-06+2.3814968801489813e-05j),(-4.0816259295431294e-05+1.1974237625030256e-05j),(-1.0169614346848257e-05-2.3520791812951383e-05j),(6.0370120151612726e-06+5.228330250527537e-07j),(8.759614921632931e-06+4.827524772909637e-06j),(-2.3872333454594172e-05+4.509144976046527e-05j),(-1.8440204252403747e-06-3.0311691395656044e-05j),(4.689583250672038e-05+6.339005003249899e-05j),(-0.00012164697684362253-0.0001553525676424505j),(-1.618863820216264e-05+0.0004334131684231657j),(0.0007455511343565717+4.843128330035171e-05j),(0.0008127561603127922-0.00040634167928943775j),(0.0007455511343565717+4.8431283300352494e-05j),(-1.6188638202163356e-05+0.00043341316842316637j),(-0.00012164697684362198-0.00015535256764245183j)
