index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(-0.0013041987131007348+0.0035381656848823186j),(-0.00026411793709235827+0.0006522653711610819j),(-3.4027933422715096e-05+0.00010290630827895082j),(0.0006176898701289-0.0009427649658488067j),(0.0010433766553007975+0.0003369619484138492j),(-0.0001836166932934435+7.317463665802997e-05j),(-6.8134895024290005e-06+4.286294186960856e-05j),(5.084946135804353e-06-5.8814704394555576e-06j),(-6.9789558281633e-06+3.397534301774813e-05j),(-1.885438584078589e-05-4.696571332532518e-05j),(3.668056545262712e-05+4.3652346195711646e-05j),(-4.2308491731862764e-05-3.99571671588379e-05j),(4.020501772786552e-05+4.0329414885862644e-05j),(-3.3029264660594294e-05-4.362987192947393e-05j),(2.192842704667333e-05+4.73797263486709e-05j),(-0.0005397548315716565-0.00025590996358190276j),(-0.0007246128920803365+0.00035593205932201534j),(-6.765608262231785e-05+0.0009493981216011148j),(0.00035823220516994114+0.0004480375669937885j),(-3.3394686507255956e-05-2.8856604065613078e-05j),(4.594805145553116e-05+6.302140268740504e-06j),(-4.4343991247565555e-05+2.0876326320740213e-05j),(2.747306712551112e-05-4.434706454983007e-05j),(1.1807272872635322e-06+5.602913262405487e-05j),(-3.419633925228561e-05-5.0457307980705854e-05j),(6.202812249001379e-05+2.6476927319045013e-05j),(-7.546835445091984e-05+1.2285627976109728e-05j),(6.796811235839216e-05-5.8372194947534125e-05j),(-3.402793342272671e-05+0.00010290630827891603j),(9.857399607032504e-05+0.000631690899667663j)
"(1,)",(-0.00026411793709235827+0.0006522653711610819j),(-0.001632705199316934+0.0026297442689198368j),(-0.00011599528412003948+0.0008399251228739285j),(-1.5500807572276672e-06+7.985255853526451e-05j),(-3.185841198595517e-05-3.8795331971450136e-05j),(9.184173040552387e-06+1.6257494974173977e-05j),(-5.84947685887332e-06-1.735052749137352e-05j),(1.4123241471143497e-05+2.2607549698248717e-05j),(-1.3410052567858436e-05-3.285726113109852e-05j),(1.2187833204094946e-05+4.399787027344429e-05j),(-5.968166163624715e-06-5.1498433023051106e-05j),(-6.087345317090469e-06+5.4291079307492166e-05j),(2.1740839701639525e-05-5.090115684701212e-05j),(-3.7340214282214055e-05+4.02893290849213e-05j),(4.880573152067435e-05-2.2941118281548326e-05j),(-0.0004828854833743346+0.0005320424495645753j),(-0.00039600681648968556+0.0010879886704688222j),(5.884877811886832e-05+0.001278317321455238j),(0.00023182426360345536+0.0007476026767333559j),(-1.5061031822059687e-05-5.581380518205102e-05j),(4.279797225042439e-05+4.273636734575701e-05j),(-6.106808844377409e-05-1.7234807868597602e-05j),(6.514550759506723e-05-1.432616862601387e-05j),(-5.4404335938506115e-05+4.4176701821001446e-05j),(3.255360021281134e-05-6.545892478895702e-05j),(-6.736055998186014e-06+7.408924989797405e-05j),(-1.4452977706622292e-05-6.897067444083784e-05j),(2.6932715485830812e-05+5.0401109022601216e-05j),(-3.1858411985944585e-05-3.8795331971456296e-05j),(4.274284745069245e-05+4.212661842595643e-05j)
"(2,)",(-3.4027933422715096e-05+0.00010290630827895082j),(-0.00011599528412003948+0.0008399251228739285j),(-0.0016327051993169281+0.0026297442689198276j),(-0.00011064445143587458+0.0007714433823669499j),(4.2742847450683526e-05+4.21266184259563e-05j),(-3.1858411985959046e-05-3.8795331971452806e-05j),(2.693271548584102e-05+5.0401109022600966e-05j),(-1.4452977706611758e-05-6.897067444084502e-05j),(-6.736055998178816e-06+7.408924989796346e-05j),(3.2553600212815774e-05-6.545892478897987e-05j),(-5.440433593851487e-05+4.4176701821012986e-05j),(6.514550759507338e-05-1.4326168626000309e-05j),(-6.106808844376818e-05-1.723480786859591e-05j),(4.279797225041927e-05+4.273636734575101e-05j),(-1.5061031822061669e-05-5.581380518205682e-05j),(0.00023182426360345685+0.000747602676733366j),(5.88487781188682e-05+0.0012783173214552352j),(-0.00039600681648968366+0.001087988670468821j),(-0.0004828854833743246+0.0005320424495645697j),(4.88057315206716e-05-2.2941118281546632e-05j),(-3.734021428222024e-05+4.0289329084923896e-05j),(2.1740839701643744e-05-5.090115684701541e-05j),(-6.087345317080264e-06+5.429107930748955e-05j),(-5.968166163622693e-06-5.149843302304738e-05j),(1.2187833204088563e-05+4.3997870273435326e-05j),(-1.3410052567858336e-05-3.28572611311015e-05j),(1.4123241471141288e-05+2.2607549698247647e-05j),(-5.849476858868587e-06-1.735052749137305e-05j),(9.184173040549617e-06+1.6257494974172218e-05j),(-3.185841198595367e-05-3.879533197145117e-05j)
"(3,)",(0.0006176898701289-0.0009427649658488067j),(-1.5500807572276672e-06+7.985255853526451e-05j),(-0.00011064445143587458+0.0007714433823669499j),(-0.0018183865390119214+0.0027785782289233073j),(-0.0001106444514358718+0.0007714433823669543j),(-1.5500807572285409e-06+7.985255853527668e-05j),(3.273052191654892e-05-5.644461331274488e-05j),(-4.929365140293896e-05+2.72498215077428e-05j),(4.9966258253436596e-05+2.7995493283493044e-06j),(-3.685209988464261e-05-2.660815331351411e-05j),(1.526296809761244e-05+3.906381743137302e-05j),(7.85668515197177e-06-3.8347715693681325e-05j),(-2.5849359275902837e-05+2.626677872474758e-05j),(3.410484223134881e-05-7.546292905925146e-06j),(-3.1174382077151096e-05-1.1664386299448303e-05j),(0.00038028056092141493+0.000229822264704725j),(0.00023182426360345468+0.0007476026767333747j),(-0.00048288548337434143+0.0005320424495645693j),(-0.0005619518343341401-2.1282768769894183e-05j),(3.839958689178236e-05+3.315057032828629e-05j),(-4.7768948814038806e-05-2.5585504456214322e-05j),(5.422154259944774e-05+1.961960260864873e-05j),(-5.780710897226259e-05-1.808692590799864e-05j),(5.690840449141067e-05+2.3723685999396743e-05j),(-4.5689819173342375e-05-3.646865937097266e-05j),(1.5801538845849065e-05+4.392709069208637e-05j),(1.1156243561275702e-05-1.192109103012546e-05j),(3.12978825366507e-05+5.71225738336994e-05j),(-0.00016561347321215978+0.0001318916179154501j),(0.0010381923741290885+7.070268472059347e-06j)
"(4,)",(0.0010433766553007975+0.0003369619484138492j),(-3.185841198595517e-05-3.8795331971450136e-05j),(4.2742847450683526e-05+4.21266184259563e-05j),(-0.0001106444514358718+0.0007714433823669543j),(-0.0016327051993169296+0.0026297442689198216j),(-0.00011599528412004054+0.0008399251228739319j),(4.369599873701501e-06+1.47661592773928e-05j),(2.2902274842712173e-06-6.135846328793607e-06j),(-4.1514869403366935e-06+2.2409828351946743e-06j),(3.881649964680391e-06+6.949661854744398e-07j),(-2.392686143269315e-06-2.544196728756981e-06j),(4.299772086225054e-07+3.153882427122883e-06j),(1.3407079061692554e-06-2.6282200202452223e-06j),(-2.4276727511028963e-06+1.3250184186232845e-06j),(2.6019977393834228e-06+2.469511229865032e-07j),(-3.117438207714589e-05-1.1664386299444332e-05j),(-1.5061031822060371e-05-5.581380518204876e-05j),(4.8805731520668826e-05-2.2941118281545727e-05j),(3.83995868917806e-05+3.3150570328283996e-05j),(1.336401088561744e-07-5.247849445047846e-06j),(2.0245138618380532e-07+5.7773150895173175e-06j),(1.734741806660831e-07-6.204450724454144e-06j),(-1.5474895206669215e-06+5.9972590526777325e-06j),(3.041052378290072e-06-3.994148189005151e-06j),(-1.670341752383122e-06+2.1767917103840433e-06j),(7.071457800949014e-06-2.387448732255271e-06j),(1.535834070426594e-05+5.2108885311897485e-06j),(-0.0001197647424087494+2.5861722126359044e-05j),(0.0007961892987670574+0.00047778394358228025j),(0.002151183087892266-0.00047467879939285543j)
"(5,)",(-0.0001836166932934435+7.317463665802997e-05j),(9.184173040552387e-06+1.6257494974173977e-05j),(-3.1858411985959046e-05-3.8795331971452806e-05j),(-1.5500807572285409e-06+7.985255853527668e-05j),(-0.00011599528412004054+0.0008399251228739319j),(-0.0016327051993169286+0.002629744268919824j),(-0.0001159952841200403+0.0008399251228739272j),(4.369599873699243e-06+1.4766159277393494e-05j),(2.290227484273136e-06-6.135846328794702e-06j),(-4.151486940339333e-06+2.2409828351958843e-06j),(3.88164996468146e-06+6.949661854769068e-07j),(-2.392686143269528e-06-2.5441967287583453e-06j),(4.299772086233277e-07+3.15388242712609e-06j),(1.3407079061695315e-06-2.6282200202449796e-06j),(-2.4276727511040063e-06+1.325018418623668e-06j),(3.410484223135503e-05-7.546292905927029e-06j),(4.2797972250425876e-05+4.273636734575811e-05j),(-3.7340214282220885e-05+4.028932908492518e-05j),(-4.7768948814036786e-05-2.5585504456214634e-05j),(2.0245138618342116e-07+5.777315089519623e-06j),(1.7347418066432863e-07-6.204450724456719e-06j),(-1.5474895206674748e-06+5.997259052680137e-06j),(3.0410523782928407e-06-3.994148189005835e-06j),(-1.6703417523839962e-06+2.1767917103879045e-06j),(7.071457800950125e-06-2.387448732256624e-06j),(1.5358340704267707e-05+5.210888531193146e-06j),(-0.00011976474240875028+2.586172212635874e-05j),(0.0007961892987670609+0.000477783943582288j),(0.002151183087892262-0.00047467879939285315j),(0.0007961892987670609+0.0004777839435822843j)
"(6,)",(-6.8134895024290005e-06+4.286294186960856e-05j),(-5.84947685887332e-06-1.735052749137352e-05j),(2.693271548584102e-05+5.0401109022600966e-05j),(3.273052191654892e-05-5.644461331274488e-05j),(4.369599873701501e-06+1.47661592773928e-05j),(-0.0001159952841200403+0.0008399251228739272j),(-0.001632705199316927+0.0026297442689198307j),(-0.00011599528412003969+0.0008399251228739274j),(4.369599873698792e-06+1.4766159277393072e-05j),(2.290227484272757e-06-6.1358463287958104e-06j),(-4.151486940339634e-06+2.2409828351950623e-06j),(3.881649964681478e-06+6.949661854768503e-07j),(-2.3926861432696375e-06-2.5441967287577694e-06j),(4.2997720862321876e-07+3.153882427125958e-06j),(1.3407079061695862e-06-2.6282200202446776e-06j),(-2.5849359275906337e-05+2.6266778724746805e-05j),(-6.106808844377314e-05-1.723480786860363e-05j),(2.1740839701643954e-05-5.090115684701302e-05j),(5.422154259944064e-05+1.9619602608648728e-05j),(1.7347418066498624e-07-6.2044507244549e-06j),(-1.5474895206669812e-06+5.997259052678464e-06j),(3.0410523782882456e-06-3.994148189004464e-06j),(-1.6703417523861894e-06+2.1767917103808593e-06j),(7.071457800949482e-06-2.3874487322558657e-06j),(1.5358340704268256e-05+5.210888531192453e-06j),(-0.00011976474240875218+2.5861722126358685e-05j),(0.0007961892987670544+0.0004777839435822886j),(0.002151183087892268-0.000474678799392857j),(0.000796189298767062+0.0004777839435822825j),(-0.00011976474240875248+2.5861722126361426e-05j)
"(7,)",(5.084946135804353e-06-5.8814704394555576e-06j),(1.4123241471143497e-05+2.2607549698248717e-05j),(-1.4452977706611758e-05-6.897067444084502e-05j),(-4.929365140293896e-05+2.72498215077428e-05j),(2.2902274842712173e-06-6.135846328793607e-06j),(4.369599873699243e-06+1.4766159277393494e-05j),(-0.00011599528412003969+0.0008399251228739274j),(-0.0016327051993169238+0.0026297442689198224j),(-0.00011599528412004074+0.0008399251228739272j),(4.369599873701844e-06+1.4766159277394929e-05j),(2.290227484272537e-06-6.135846328795424e-06j),(-4.151486940337676e-06+2.240982835193685e-06j),(3.881649964682133e-06+6.94966185474931e-07j),(-2.392686143270134e-06-2.5441967287564293e-06j),(4.299772086238217e-07+3.1538824271255454e-06j),(7.856685151960382e-06-3.834771569368439e-05j),(6.514550759506735e-05-1.4326168626011828e-05j),(-6.087345317080546e-06+5.4291079307491664e-05j),(-5.780710897226033e-05-1.8086925907999787e-05j),(-1.5474895206661555e-06+5.997259052678179e-06j),(3.0410523782929593e-06-3.99414818900571e-06j),(-1.670341752384947e-06+2.1767917103816335e-06j),(7.0714578009464376e-06-2.387448732252877e-06j),(1.535834070426946e-05+5.210888531192305e-06j),(-0.00011976474240874762+2.586172212635918e-05j),(0.0007961892987670544+0.0004777839435822882j),(0.002151183087892265-0.0004746787993928541j),(0.0007961892987670649+0.00047778394358227787j),(-0.00011976474240875001+2.5861722126362303e-05j),(1.5358340704269397e-05+5.210888531194049e-06j)
"(8,)",(-6.9789558281633e-06+3.397534301774813e-05j),(-1.3410052567858436e-05-3.285726113109852e-05j),(-6.736055998178816e-06+7.408924989796346e-05j),(4.9966258253436596e-05+2.7995493283493044e-06j),(-4.1514869403366935e-06+2.2409828351946743e-06j),(2.290227484273136e-06-6.135846328794702e-06j),(4.369599873698792e-06+1.4766159277393072e-05j),(-0.00011599528412004074+0.0008399251228739272j),(-0.0016327051993169305+0.002629744268919833j),(-0.00011599528412004077+0.0008399251228739292j),(4.369599873699814e-06+1.4766159277395464e-05j),(2.290227484271434e-06-6.13584632879497e-06j),(-4.151486940337513e-06+2.2409828351941784e-06j),(3.881649964680989e-06+6.949661854735067e-07j),(-2.3926861432696955e-06-2.5441967287564293e-06j),(1.5262968097616067e-05+3.906381743136023e-05j),(-5.440433593849669e-05+4.417670182101054e-05j),(-5.968166163627937e-06-5.149843302304486e-05j),(5.690840449141157e-05+2.372368599939194e-05j),(3.0410523782915558e-06-3.994148189004278e-06j),(-1.6703417523847e-06+2.1767917103860745e-06j),(7.0714578009481596e-06-2.387448732254612e-06j),(1.535834070426706e-05+5.210888531189837e-06j),(-0.00011976474240874902+2.5861722126361497e-05j),(0.0007961892987670583+0.00047778394358228134j),(0.0021511830878922643-0.0004746787993928566j),(0.0007961892987670635+0.00047778394358228063j),(-0.00011976474240874924+2.5861722126361768e-05j),(1.5358340704268835e-05+5.210888531191765e-06j),(7.071457800949092e-06-2.387448732255681e-06j)
"(9,)",(-1.885438584078589e-05-4.696571332532518e-05j),(1.2187833204094946e-05+4.399787027344429e-05j),(3.2553600212815774e-05-6.545892478897987e-05j),(-3.685209988464261e-05-2.660815331351411e-05j),(3.881649964680391e-06+6.949661854744398e-07j),(-4.151486940339333e-06+2.2409828351958843e-06j),(2.290227484272757e-06-6.1358463287958104e-06j),(4.369599873701844e-06+1.4766159277394929e-05j),(-0.00011599528412004077+0.0008399251228739292j),(-0.0016327051993169329+0.002629744268919834j),(-0.00011599528412003917+0.000839925122873928j),(4.3695998736984595e-06+1.4766159277395093e-05j),(2.290227484273084e-06-6.135846328794381e-06j),(-4.151486940337417e-06+2.2409828351950093e-06j),(3.881649964680887e-06+6.949661854758657e-07j),(-3.685209988463666e-05-2.660815331352011e-05j),(3.2553600212827266e-05-6.545892478897357e-05j),(1.2187833204093709e-05+4.399787027344909e-05j),(-4.5689819173353895e-05-3.646865937098368e-05j),(-1.6703417523850436e-06+2.1767917103853897e-06j),(7.0714578009507515e-06-2.3874487322582213e-06j),(1.5358340704266124e-05+5.210888531191757e-06j),(-0.00011976474240874926+2.5861722126358204e-05j),(0.0007961892987670601+0.0004777839435822849j),(0.0021511830878922665-0.0004746787993928534j),(0.0007961892987670628+0.00047778394358228996j),(-0.00011976474240875418+2.5861722126360596e-05j),(1.5358340704269103e-05+5.210888531192069e-06j),(7.071457800949424e-06-2.3874487322570114e-06j),(-1.6703417523856492e-06+2.176791710384516e-06j)
