index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(-0.0013041987131007346+0.003538165684882316j),(-0.0002641179370923578+0.0006522653711610825j),(-3.4027933422714655e-05+0.00010290630827895004j),(0.0006176898701289007-0.000942764965848804j),(0.001043376655300798+0.0003369619484138491j),(-0.0001836166932934392+7.317463665803285e-05j),(-6.813489502430317e-06+4.286294186961024e-05j),(5.084946135803021e-06-5.881470439455668e-06j),(-6.978955828164643e-06+3.397534301774267e-05j),(-1.8854385840783903e-05-4.69657133253177e-05j),(3.668056545261847e-05+4.365234619569989e-05j),(-4.230849173186215e-05-3.995716715883384e-05j),(4.0205017727867946e-05+4.0329414885860326e-05j),(-3.3029264660601714e-05-4.362987192948137e-05j),(2.1928427046673466e-05+4.7379726348679426e-05j),(-0.0005397548315716633-0.00025590996358190526j),(-0.0007246128920803405+0.0003559320593220192j),(-6.765608262231642e-05+0.0009493981216011204j),(0.00035823220516994353+0.0004480375669937903j),(-3.339468650725465e-05-2.8856604065609354e-05j),(4.5948051455540554e-05+6.302140268747374e-06j),(-4.4343991247572114e-05+2.0876326320741236e-05j),(2.7473067125517587e-05-4.434706454983748e-05j),(1.18072728727458e-06+5.6029132624055626e-05j),(-3.419633925228496e-05-5.045730798071359e-05j),(6.20281224900298e-05+2.6476927319037092e-05j),(-7.546835445093467e-05+1.2285627976108605e-05j),(6.796811235839334e-05-5.83721949475449e-05j),(-3.402793342271777e-05+0.0001029063082789315j),(0.00010028574129509674+0.000631690899667666j)
"(1,)",(-0.0002641179370923578+0.0006522653711610825j),(-0.001632705199316934+0.0026297442689198368j),(-0.00011599528412003948+0.0008399251228739285j),(-1.550080757228513e-06+7.98525585352655e-05j),(-3.185841198595484e-05-3.879533197145199e-05j),(9.184173040552387e-06+1.625749497417269e-05j),(-5.849476858871695e-06-1.7350527491373465e-05j),(1.4123241471142359e-05+2.260754969824999e-05j),(-1.3410052567856528e-05-3.2857261131092065e-05j),(1.2187833204094341e-05+4.399787027343708e-05j),(-5.968166163626031e-06-5.1498433023044485e-05j),(-6.0873453170856445e-06+5.4291079307490146e-05j),(2.1740839701637604e-05-5.0901156847011405e-05j),(-3.734021428221986e-05+4.028932908492681e-05j),(4.8805731520684486e-05-2.2941118281548407e-05j),(-0.0004828854833743351+0.0005320424495645795j),(-0.00039600681648968556+0.0010879886704688222j),(5.884877811886832e-05+0.001278317321455238j),(0.00023182426360345503+0.0007476026767333558j),(-1.5061031822059988e-05-5.5813805182048825e-05j),(4.2797972250428987e-05+4.273636734577153e-05j),(-6.106808844378578e-05-1.7234807868603714e-05j),(6.514550759507764e-05-1.4326168626015598e-05j),(-5.440433593849768e-05+4.417670182100937e-05j),(3.2553600212817895e-05-6.545892478896369e-05j),(-6.736055998170114e-06+7.408924989798324e-05j),(-1.4452977706624569e-05-6.897067444085074e-05j),(2.6932715485837277e-05+5.0401109022599766e-05j),(-3.185841198594935e-05-3.879533197145194e-05j),(4.27428474506916e-05+4.212661842595525e-05j)
"(2,)",(-3.4027933422714655e-05+0.00010290630827895004j),(-0.00011599528412003948+0.0008399251228739285j),(-0.0016327051993169281+0.0026297442689198276j),(-0.00011064445143587449+0.0007714433823669507j),(4.274284745069029e-05+4.212661842595653e-05j),(-3.185841198595606e-05-3.879533197144754e-05j),(2.6932715485838473e-05+5.040110902259757e-05j),(-1.4452977706609647e-05-6.897067444084937e-05j),(-6.736055998172183e-06+7.408924989795053e-05j),(3.2553600212804234e-05-6.545892478897464e-05j),(-5.4404335938500314e-05+4.4176701821004813e-05j),(6.514550759506676e-05-1.4326168626001571e-05j),(-6.106808844376898e-05-1.7234807868592266e-05j),(4.27979722504281e-05+4.273636734575685e-05j),(-1.5061031822058518e-05-5.581380518206862e-05j),(0.00023182426360346265+0.0007476026767333697j),(5.88487781188682e-05+0.0012783173214552352j),(-0.00039600681648968366+0.001087988670468821j),(-0.0004828854833743247+0.0005320424495645694j),(4.8805731520668866e-05-2.294111828154545e-05j),(-3.734021428222712e-05+4.0289329084929276e-05j),(2.1740839701646674e-05-5.090115684702036e-05j),(-6.087345317082129e-06+5.4291079307498325e-05j),(-5.968166163626914e-06-5.149843302304303e-05j),(1.2187833204087356e-05+4.399787027343868e-05j),(-1.3410052567861748e-05-3.2857261131102866e-05j),(1.4123241471143535e-05+2.2607549698249127e-05j),(-5.8494768588709855e-06-1.7350527491373763e-05j),(9.184173040551206e-06+1.6257494974172547e-05j),(-3.1858411985953564e-05-3.879533197145128e-05j)
"(3,)",(0.0006176898701289007-0.000942764965848804j),(-1.550080757228513e-06+7.98525585352655e-05j),(-0.00011064445143587449+0.0007714433823669507j),(-0.001818386539011928+0.002778578228923306j),(-0.00011064445143587666+0.0007714433823669538j),(-1.550080757224255e-06+7.985255853526527e-05j),(3.2730521916546616e-05-5.6444613312737006e-05j),(-4.929365140294301e-05+2.7249821507738578e-05j),(4.996625825342777e-05+2.799549328341135e-06j),(-3.6852099884641315e-05-2.6608153313506327e-05j),(1.526296809761181e-05+3.906381743135909e-05j),(7.856685151970014e-06-3.83477156936787e-05j),(-2.584935927589867e-05+2.6266778724747716e-05j),(3.410484223135574e-05-7.546292905927696e-06j),(-3.1174382077153516e-05-1.166438629945532e-05j),(0.00038028056092141325+0.00022982226470471854j),(0.00023182426360345528+0.0007476026767333605j),(-0.000482885483374332+0.0005320424495645689j),(-0.0005619518343341333-2.128276876988922e-05j),(3.839958689177954e-05+3.315057032828394e-05j),(-4.776894881404108e-05-2.558550445621857e-05j),(5.422154259944709e-05+1.961960260865079e-05j),(-5.7807108972266626e-05-1.8086925908000562e-05j),(5.6908404491408255e-05+2.3723685999390434e-05j),(-4.5689819173346224e-05-3.646865937097978e-05j),(1.5801538845857237e-05+4.3927090692091974e-05j),(1.1156243561279938e-05-1.1921091030134145e-05j),(3.129788253665309e-05+5.712257383369791e-05j),(-0.0001656134732121602+0.00013189161791544803j),(0.0010381923741290958+7.0702684720588e-06j)
"(4,)",(0.001043376655300798+0.0003369619484138491j),(-3.185841198595484e-05-3.879533197145199e-05j),(4.274284745069029e-05+4.212661842595653e-05j),(-0.00011064445143587666+0.0007714433823669538j),(-0.0016327051993169275+0.002629744268919825j),(-0.00011599528412003981+0.000839925122873928j),(4.369599873702179e-06+1.4766159277393362e-05j),(2.290227484272972e-06-6.1358463287947025e-06j),(-4.151486940337516e-06+2.2409828351952224e-06j),(3.881649964682009e-06+6.949661854753719e-07j),(-2.3926861432694245e-06-2.544196728756817e-06j),(4.2997720862266983e-07+3.1538824271231847e-06j),(1.3407079061686523e-06-2.628220020245058e-06j),(-2.4276727511041444e-06+1.3250184186238875e-06j),(2.6019977393833817e-06+2.469511229869418e-07j),(-3.117438207715321e-05-1.1664386299449884e-05j),(-1.5061031822063634e-05-5.581380518206205e-05j),(4.8805731520678224e-05-2.2941118281550993e-05j),(3.839958689178758e-05+3.3150570328288387e-05j),(1.3364010885326864e-07-5.247849445048366e-06j),(2.024513861861628e-07+5.777315089521073e-06j),(1.734741806635063e-07-6.204450724456515e-06j),(-1.5474895206626998e-06+5.997259052676774e-06j),(3.041052378291087e-06-3.994148189004657e-06j),(-1.670341752386398e-06+2.1767917103802876e-06j),(7.071457800948329e-06-2.3874487322547777e-06j),(1.535834070426723e-05+5.210888531192024e-06j),(-0.00011976474240875166+2.5861722126359535e-05j),(0.0007961892987670558+0.0004777839435822839j),(0.002151183087892267-0.00047467879939285716j)
"(5,)",(-0.0001836166932934392+7.317463665803285e-05j),(9.184173040552387e-06+1.625749497417269e-05j),(-3.185841198595606e-05-3.879533197144754e-05j),(-1.550080757224255e-06+7.985255853526527e-05j),(-0.00011599528412003981+0.000839925122873928j),(-0.0016327051993169277+0.002629744268919827j),(-0.00011599528412004062+0.0008399251228739298j),(4.369599873699018e-06+1.4766159277393494e-05j),(2.290227484271217e-06-6.13584632879333e-06j),(-4.151486940337579e-06+2.240982835197639e-06j),(3.881649964680527e-06+6.949661854764134e-07j),(-2.3926861432692538e-06-2.544196728757057e-06j),(4.299772086238759e-07+3.153882427124691e-06j),(1.3407079061688736e-06-2.6282200202444036e-06j),(-2.4276727511043354e-06+1.3250184186232842e-06j),(3.410484223135133e-05-7.546292905923658e-06j),(4.279797225042022e-05+4.2736367345756785e-05j),(-3.7340214282218344e-05+4.0289329084922656e-05j),(-4.776894881403437e-05-2.558550445621143e-05j),(2.0245138618451767e-07+5.777315089516046e-06j),(1.7347418066476723e-07-6.204450724457597e-06j),(-1.547489520663198e-06+5.997259052679425e-06j),(3.0410523782867277e-06-3.99414818900456e-06j),(-1.6703417523847225e-06+2.176791710385602e-06j),(7.071457800948699e-06-2.387448732255267e-06j),(1.5358340704266595e-05+5.210888531191173e-06j),(-0.00011976474240875139+2.5861722126358793e-05j),(0.0007961892987670621+0.0004777839435822876j),(0.002151183087892263-0.0004746787993928553j),(0.0007961892987670597+0.00047778394358228475j)
"(6,)",(-6.813489502430317e-06+4.286294186961024e-05j),(-5.849476858871695e-06-1.7350527491373465e-05j),(2.6932715485838473e-05+5.040110902259757e-05j),(3.2730521916546616e-05-5.6444613312737006e-05j),(4.369599873702179e-06+1.4766159277393362e-05j),(-0.00011599528412004062+0.0008399251228739298j),(-0.001632705199316927+0.0026297442689198263j),(-0.00011599528412003955+0.0008399251228739264j),(4.369599873700709e-06+1.4766159277391973e-05j),(2.290227484271715e-06-6.135846328795592e-06j),(-4.151486940338072e-06+2.2409828351950623e-06j),(3.8816499646812845e-06+6.949661854764665e-07j),(-2.3926861432696375e-06-2.544196728757523e-06j),(4.299772086233284e-07+3.15388242712604e-06j),(1.340707906169367e-06-2.6282200202442118e-06j),(-2.5849359275901292e-05+2.626677872474675e-05j),(-6.106808844376642e-05-1.7234807868596718e-05j),(2.174083970164017e-05-5.090115684700851e-05j),(5.422154259943642e-05+1.9619602608647684e-05j),(1.7347418066685033e-07-6.204450724453076e-06j),(-1.5474895206675843e-06+5.997259052680822e-06j),(3.0410523782883e-06-3.994148189007233e-06j),(-1.6703417523857782e-06+2.176791710382148e-06j),(7.07145780094962e-06-2.3874487322568525e-06j),(1.535834070426821e-05+5.210888531192453e-06j),(-0.00011976474240874954+2.586172212635918e-05j),(0.00079618929876706+0.00047778394358228725j),(0.002151183087892266-0.0004746787993928598j),(0.000796189298767062+0.0004777839435822841j),(-0.0001197647424087519+2.5861722126358905e-05j)
"(7,)",(5.084946135803021e-06-5.881470439455668e-06j),(1.4123241471142359e-05+2.260754969824999e-05j),(-1.4452977706609647e-05-6.897067444084937e-05j),(-4.929365140294301e-05+2.7249821507738578e-05j),(2.290227484272972e-06-6.1358463287947025e-06j),(4.369599873699018e-06+1.4766159277393494e-05j),(-0.00011599528412003955+0.0008399251228739264j),(-0.0016327051993169272+0.002629744268919829j),(-0.00011599528412004082+0.0008399251228739289j),(4.369599873702409e-06+1.476615927739507e-05j),(2.2902274842716044e-06-6.135846328794821e-06j),(-4.1514869403379226e-06+2.2409828351952753e-06j),(3.881649964682079e-06+6.949661854724092e-07j),(-2.3926861432706277e-06-2.5441967287571968e-06j),(4.2997720862376684e-07+3.153882427126203e-06j),(7.856685151961629e-06-3.834771569368601e-05j),(6.514550759507014e-05-1.4326168626017612e-05j),(-6.087345317077531e-06+5.429107930749375e-05j),(-5.780710897226146e-05-1.8086925907997208e-05j),(-1.5474895206668135e-06+5.9972590526773285e-06j),(3.0410523782893954e-06-3.994148189007176e-06j),(-1.6703417523857144e-06+2.1767917103851694e-06j),(7.0714578009468755e-06-2.387448732252808e-06j),(1.5358340704268154e-05+5.210888531191399e-06j),(-0.00011976474240874799+2.5861722126359234e-05j),(0.0007961892987670556+0.0004777839435822882j),(0.0021511830878922665-0.00047467879939285673j),(0.0007961892987670594+0.00047778394358228513j),(-0.00011976474240875116+2.586172212636071e-05j),(1.535834070426819e-05+5.2108885311955015e-06j)
"(8,)",(-6.978955828164643e-06+3.397534301774267e-05j),(-1.3410052567856528e-05-3.2857261131092065e-05j),(-6.736055998172183e-06+7.408924989795053e-05j),(4.996625825342777e-05+2.799549328341135e-06j),(-4.151486940337516e-06+2.2409828351952224e-06j),(2.290227484271217e-06-6.13584632879333e-06j),(4.369599873700709e-06+1.4766159277391973e-05j),(-0.00011599528412004082+0.0008399251228739289j),(-0.001632705199316929+0.0026297442689198302j),(-0.00011599528412004135+0.0008399251228739282j),(4.36959987370004e-06+1.4766159277390362e-05j),(2.290227484271051e-06-6.1358463287929974e-06j),(-4.151486940337484e-06+2.2409828351941784e-06j),(3.881649964680577e-06+6.949661854748226e-07j),(-2.3926861432692567e-06-2.5441967287569223e-06j),(1.526296809760917e-05+3.90638174313553e-05j),(-5.4404335938491946e-05+4.417670182099905e-05j),(-5.968166163622782e-06-5.14984330230379e-05j),(5.6908404491402054e-05+2.3723685999392433e-05j),(3.0410523782927624e-06-3.994148189002852e-06j),(-1.670341752383768e-06+2.1767917103864857e-06j),(7.071457800948489e-06-2.387448732254708e-06j),(1.5358340704268235e-05+5.210888531191371e-06j),(-0.00011976474240874975+2.5861722126361443e-05j),(0.0007961892987670575+0.00047778394358228025j),(0.0021511830878922647-0.0004746787993928542j),(0.0007961892987670608+0.00047778394358228426j),(-0.00011976474240875009+2.5861722126360233e-05j),(1.5358340704265355e-05+5.210888531189983e-06j),(7.071457800949394e-06-2.387448732256229e-06j)
"(9,)",(-1.8854385840783903e-05-4.69657133253177e-05j),(1.2187833204094341e-05+4.399787027343708e-05j),(3.2553600212804234e-05-6.545892478897464e-05j),(-3.6852099884641315e-05-2.6608153313506327e-05j),(3.881649964682009e-06+6.949661854753719e-07j),(-4.151486940337579e-06+2.240982835197639e-06j),(2.290227484271715e-06-6.135846328795592e-06j),(4.369599873702409e-06+1.476615927739507e-05j),(-0.00011599528412004135+0.0008399251228739282j),(-0.0016327051993169307+0.002629744268919836j),(-0.00011599528412003921+0.0008399251228739299j),(4.369599873697669e-06+1.4766159277391144e-05j),(2.290227484272481e-06-6.135846328793393e-06j),(-4.1514869403388695e-06+2.240982835195338e-06j),(3.881649964681846e-06+6.949661854769623e-07j),(-3.685209988463036e-05-2.6608153313522136e-05j),(3.2553600212831434e-05-6.54589247889656e-05j),(1.2187833204088393e-05+4.399787027344218e-05j),(-4.568981917334814e-05-3.646865937098237e-05j),(-1.670341752383001e-06+2.176791710385856e-06j),(7.071457800947764e-06-2.3874487322522735e-06j),(1.5358340704267334e-05+5.210888531193675e-06j),(-0.0001197647424087506+2.5861722126356615e-05j),(0.000796189298767058+0.00047778394358228594j),(0.0021511830878922656-0.0004746787993928549j),(0.0007961892987670624+0.00047778394358228887j),(-0.00011976474240875184+2.5861722126358342e-05j),(1.5358340704268184e-05+5.210888531191629e-06j),(7.071457800946573e-06-2.387448732252351e-06j),(-1.6703417523853068e-06+2.1767917103838036e-06j)
