index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(-3.0, -6.0)",(-0.0013142207917752509+0.005534114506309085j),(-0.0028909264792090178+0.003494928818649496j),(-0.004453409571984662+0.0004389237864239234j),(-0.0033047387340307643-0.002925819721562071j),(6.991567727404789e-05-0.004351904391863649j),(0.0034464724954518075-0.0023311668414084455j),(0.003117717760225919+0.0024252801838457695j),(-0.0016038214122456227+0.0035398506390109407j),(-0.0037454069445726243-0.0007765052632129521j),(-1.1033506308693782e-05-0.0037662840377983148j),(0.003637612857750977-0.0007285270542117382j),(0.0013582522797101287+0.0033938811824079677j),(-0.0030666240034100596+0.0018921437845516955j),(-0.002329176515306307-0.002683251146735676j),(0.002266647107447005-0.0026731640426872426j),(0.003841941092030261+0.0008095843055885362j),(0.0038831665397379878-0.0005303524861063291j),(0.002752402539067326-0.0028384665402202583j),(0.0005560186920249904-0.003948526227495197j),(-0.0017636598364081369-0.0036125347323527415j),(-0.003510457196589345-0.0014991140211856632j),(-0.0020582744680303655+0.002876637646099056j),(0.002761233780249554+0.002291717958587538j),(0.002535477199881805-0.0026141596515494047j),(-0.0024301033740159756-0.0027867975372530556j),(-0.003041649247611984+0.0022032446250587114j),(0.0019273675443200534+0.003294360535582336j),(0.00353717626977946-0.0015960776675850487j),(-0.0012031725528934456-0.0037597432435601463j),(-0.003948536032644374+0.0007432335588182301j)
"(-2.7346938775510203, -6.0)",(0.003609499988291963+0.004463645532771118j),(0.001265835718996528+0.004437543455243853j),(-0.0019619227531200607+0.004111108453233097j),(-0.004209774872384077+0.0015753196971615333j),(-0.003989464876045311-0.0019346681880608142j),(-0.0008232906555334196-0.004135219282010933j),(0.00349831508276386-0.001878130519374749j),(0.002509059088573493+0.0029921605275764927j),(-0.0024198117846137364+0.002984233801019776j),(-0.003315040219760416-0.001819917139599959j),(0.0012216616494425932-0.0035178479670642956j),(0.0036111436532384336+0.0006459622465334888j),(-0.00010688997153669972+0.003613610249646891j),(-0.003542930252345323+0.00038691822675436787j),(-0.0008309829173295648-0.003415114055662192j),(0.003000314232093566-0.0025692450156962476j),(0.0021073163967095304-0.0033585359623465j),(-0.000232165797895241-0.003991503255808363j),(-0.002407473108370225-0.0032324103264510084j),(-0.0037623975807292184-0.0015291954043155278j),(-0.003689354300481113+0.0010907367612960006j),(0.00027207167280875704+0.0035329744735049184j),(0.0035941579792801333-8.609339036917622e-05j),(0.00012289590138093767-0.0036471392268073786j),(-0.003688436519581306-0.0003568506367421604j),(-0.0006176137777418819+0.0037137097307791246j),(0.00371759008138553+0.0009067628079627998j),(0.0012253851120954734-0.003693491812231804j),(-0.003633414250927719-0.001573756942099133j),(-0.001950892698837919+0.00352775178348658j)
"(-2.4693877551020407, -6.0)",(0.005776619036140788+0.0003617532034914935j),(0.004309772030738208+0.0018516884372888679j),(0.002237858656470211+0.004057375242400072j),(-0.000927487505570256+0.004479754895815841j),(-0.003691600190670576+0.0025989248144478497j),(-0.004118405653743804-0.0011349666556695825j),(-3.7645247268366694e-05-0.003989200910082324j),(0.0038554117807306732-0.0007190662534728924j),(0.0013128011009829392+0.0036271321427657583j),(-0.0033327600992426668+0.0018166281434442517j),(-0.002233425852639614-0.0029957339050557335j),(0.0026347790791696026-0.002569223848209525j),(0.002831781684501242+0.002264418260487033j),(-0.0018955835520368838+0.0030295935233600273j),(-0.00317122077461481-0.0015362360092180283j),(2.9630548589524708e-05-0.003971669046263865j),(-0.0010004168626956095-0.0038820609823689836j),(-0.0029602519214281895-0.002750251137268471j),(-0.003975996993182587-0.0008745643941751015j),(-0.003943823093836309+0.0011202884809391896j),(-0.002381730475956643+0.0030579358344128868j),(0.002296433762826602+0.0027056181813393874j),(0.0028267043821751134-0.002230941849721023j),(-0.002149858797189526-0.0029565678034843322j),(-0.003094942005476773+0.0020505688526003775j),(0.0019300380742606005+0.0032412247252430445j),(0.0033943517155924606-0.0017847667852321741j),(-0.0016107483115575848-0.0035526302995680177j),(-0.003713521123445817+0.001403442881922696j),(0.0011577810643682298+0.0038733541328384302j)
"(-2.204081632653061, -6.0)",(0.0045481451411421205-0.003646942586191275j),(0.004397279007185645-0.0018300887212864335j),(0.0046145091360284465+0.000938162740814216j),(0.0030857694601754636+0.003481884522840114j),(0.0001476727057665806+0.004591760610620885j),(-0.003123621986724592+0.0029945436846803013j),(-0.0034263761698071263-0.0020760361976830985j),(0.0015302269418311374-0.003627552163773472j),(0.003736758849186622+0.0010111405748879513j),(-0.0005279486023829785+0.0037714047742285505j),(-0.0037470194623890362-8.559869129761726e-05j),(-0.0003139911594349111-0.0036770379500986796j),(0.003572815713080827-0.0006710000742598654j),(0.0009869965632403927+0.003443772371169532j),(-0.00329759808372903+0.0012644145291468881j),(-0.002819618998855026-0.0028249227990212915j),(-0.003408849703239712-0.0021882172939972733j),(-0.00407530334297279-0.00020851481014761707j),(-0.0037360965691186736+0.001710124142229143j),(-0.0026681221396879433+0.0031594238554446203j),(-0.00043546862416235206+0.0038790300790364856j),(0.003380138629671288+0.0010957527626698305j),(0.0011805023297681218-0.0034072108379464496j),(-0.0034307201669328225-0.001277652975032317j),(-0.0013884737338469059+0.0034494890653261182j),(0.003462028699733238+0.0015143334307243827j),(0.0016566887858201341-0.003466462017911041j),(-0.003460428320882808-0.0018170599048171528j),(-0.0019969866037834218+0.003440965433723034j),(0.0034043652267578437+0.0021979560090978232j)
"(-1.9387755102040816, -6.0)",(0.001457498098368633-0.005681101430138142j),(0.0021792279198532024-0.004310184553737348j),(0.004004902248683357-0.002609278009292275j),(0.004726837585319782+3.2544462388899635e-06j),(0.003775431597416239+0.0027505674892626306j),(0.0006528201713375989+0.004332752076481601j),(-0.003709569428956801+0.0015519830381843004j),(-0.0019405521529464464-0.003441035438988691j),(0.0031569542254412247-0.002261256871668891j),(0.002521982337620379+0.002868009558592465j),(-0.0025819490769646357+0.0027305370706090554j),(-0.002894288905649589-0.002304219742114645j),(0.0020384974499494542-0.0030199721887088737j),(0.0031136064594003477+0.0017871165320821661j),(-0.0015514111109817107+0.003180485013859987j),(-0.004001137321151978-0.00024126805660626297j),(-0.0040652858087456495+0.0004493829864291159j),(-0.0034500081133523853+0.002247911221211897j),(-0.0022233599471993717+0.0034964883024169928j),(-0.0007493544207307106+0.004099323204117088j),(0.0014001765880148464+0.0036711436902413055j),(0.0035090197936762193-0.0005824011222175293j),(-0.0005685404956422059-0.003564898403784825j),(-0.003624304539004915+0.0005465914965441083j),(0.000515409298393807+0.0036873804520248924j),(0.0037542085354270427-0.00047366088476700867j),(-0.00041979131849374703-0.0038247826201365178j),(-0.0038989686131239787+0.0003519843321041999j),(0.0002681167555601741+0.003976450581164888j),(0.004056656936348393-0.0001657066451348226j)
"(-1.673469387755102, -6.0)",(-0.001705492283926244-0.005641111963861193j),(-0.0006997491729153071-0.004839604041491907j),(0.0014707364261251328-0.004616651679998324j),(0.0034936552405766034-0.0032865674663667584j),(0.004655686303841363-0.0009136383118795001j),(0.003786799607701186+0.002308468967393276j),(-0.0012457066013359544+0.003836911128604971j),(-0.003863510465770865-0.0008784635127562687j),(0.0005467768106606949-0.003855154973943849j),(0.0038205082756158585+0.00024940126631275603j),(1.5632268487663904e-05+0.0037665575688778695j),(-0.003698882142529514+0.00025067808861122773j),(-0.0004582477170840145-0.0036218969055014944j),(0.0035390647325356695-0.0006408608515051934j),(0.0008009516266629737+0.003453076904014276j),(-0.0033256591490347398+0.0022636103971335635j),(-0.0030984797780273963+0.0027251243177810066j),(-0.0017528524522429146+0.003763309731063875j),(-0.00026696929323642937+0.004165978027259941j),(0.001100638660869968+0.00404829515186156j),(0.002737275831247994+0.0028518057824654225j),(0.0030069440356045017-0.0019057444892191294j),(-0.001950553606111247-0.003041438565170304j),(-0.0030804905780414337+0.0019926334849352375j),(0.002031514132516693+0.003124703871709079j),(0.003174749697561612-0.0020666268618022097j),(-0.0020972802167168805-0.0032313735230833003j),(-0.0032954015894481256+0.002122629462666242j),(0.00214163776488231+0.003367746622720533j),(0.0034494116377503893-0.0021530265912272934j)
"(-1.4081632653061225, -6.0)",(-0.0039669445014408715-0.004385862840957673j),(-0.003008089036805703-0.003921038684297771j),(-0.0013496928344520747-0.004714138367152012j),(0.0007485024431358203-0.0048023345307639746j),(0.0028905022214076414-0.003848218562909538j),(0.004358941418091492-0.0010623993621724664j),(0.0018017510214026534+0.003621627073729874j),(-0.003433250393715894+0.0019973965555193578j),(-0.0021582294715190484-0.003251573661739238j),(0.0030787473246950037-0.0022894721948279605j),(0.0023956424437853187+0.002916062532072653j),(-0.00276419321700045+0.002480614962584743j),(-0.0025476925379779233-0.0026233761147635573j),(0.0024935437631150876-0.0025996777842461176j),(0.0026389410698557333+0.00237442215215483j),(-0.0015187066155482433+0.0037379576273989428j),(-0.0012681836836170369+0.003961209239283071j),(0.00020183193158335562+0.004176677013535604j),(0.0014946935878792616+0.00392662783062428j),(0.0025051174130782507+0.0033946559319009456j),(0.0035207001745914193+0.0018445166941528227j),(0.002253025426038163-0.002759305503321996j),(-0.002834326202276165-0.0022448863316786925j),(-0.002239081491812789+0.0029096818489689484j),(0.002985387904571027+0.0022360844740277803j),(0.0022364394743563686-0.003061450514324724j),(-0.0031378613794832344-0.002240774307537693j),(-0.002249816198934081+0.0032145906928316716j),(0.0032915774048265143+0.0022644110511877607j),(0.002285547029807608-0.0033687157899147608j)
"(-1.1428571428571428, -6.0)",(-0.005199856612185975-0.002842360038233448j),(-0.004349536114294109-0.002434696367695777j),(-0.003427574695044358-0.0035760061538100693j),(-0.0019504683306686907-0.004513217877363725j),(3.32266592736924e-05-0.004874810893560377j),(0.0026991420320625734-0.003645297364750504j),(0.003696575513696688+0.0016648887562582737j),(-0.0014792964179238578+0.003695110850519563j),(-0.003682016367746168-0.001315832976326049j),(0.0011724414554833975-0.003660245993432539j),(0.0036321004734692058+0.0010471762480283768j),(-0.0009382329357277202+0.003599365677606379j),(-0.003563422124335008-0.0008439601206497501j),(0.0007628601693575804-0.003525331463130053j),(0.0034859046541319666+0.0006935833954495131j),(0.0005184683516586778+0.004010206147790058j),(0.0006507952244267047+0.0041374574327400675j),(0.0018579018109252906+0.003775044342875883j),(0.0027695774990440405+0.0031893591924277314j),(0.0033935917337961285+0.0025384340002150077j),(0.0038815486491456832+0.000941125061651977j),(0.0015315466782623566-0.0032180856131646027j),(-0.0032998854493326586-0.001482104114856811j),(-0.0014322540956034611+0.0033826953881024107j),(0.0034666840223335155+0.0013821824490500736j),(0.0013321055181821787-0.003552044917883396j),(-0.0036390001348066124-0.001282276557646984j),(-0.001232993749092968+0.003727804307349685j),(0.003818749367545634+0.0011846103083763126j),(0.0011375473177770445-0.003912170001608945j)
"(-0.8775510204081631, -6.0)",(-0.005708395213074183-0.001605020745349225j),(-0.004904223599476709-0.0010559942468500055j),(-0.004545598021584721-0.0020670323130525313j),(-0.0037866609832079615-0.0032100822873445713j),(-0.0024951610245697174-0.004251049605829281j),(0.0001821008175808443-0.004578496547860402j),(0.004003793899436241-0.0006828141527038373j),(0.0007567752303284378+0.0039144025696628915j),(-0.003830446267133394+0.0008145503419347446j),(-0.0008584366288864439-0.0037519548306683475j),(0.003678810363972735-0.000890370905608317j),(0.0009119890568193466+0.0036107988563683466j),(-0.0035476465659736093+0.0009246758491893607j),(-0.0009296064704988091-0.003489045538335595j),(0.003434671371212502-0.0009277810569032168j),(0.002179535178621993+0.0034128896962012305j),(0.002188973423065452+0.003599885142282003j),(0.0030030250632969028+0.0029774662496097858j),(0.0035431053265063566+0.002332351133783718j),(0.003868323666573547+0.0017651261015595014j),(0.004000286928233529+0.00029160351552409236j),(0.0010035994825383764-0.0034208346836331004j),(-0.00349834056972561-0.0009251073774066696j),(-0.0008442652345140273+0.003576359424705149j),(0.003655026055894237+0.0007610447476405069j),(0.0006754153114307159-0.003734498381618196j),(-0.0038149612558733403-0.000587344095207604j),(-0.0004967962546737052+0.003896631091794689j),(0.003979761486355257+0.00040373534483511636j),(0.00030812402470981585-0.004064650109284742j)
"(-0.6122448979591835, -6.0)",(-0.005850200233142931-0.00093756174070368j),(-0.005035670303968-0.00012159021174467842j),(-0.004962156756543945-0.0007779756811771903j),(-0.004698784162506642-0.0017143388046561537j),(-0.004088042877099361-0.0028342296043885377j),(-0.002040189760275139-0.004150454470168346j),(0.003205224140373857-0.0025040564495412963j),(0.0024724181844268055+0.0031343514661814806j),(-0.0030727131240734402+0.0024354447379659316j),(-0.002394091426602307-0.0030192048564426843j),(0.002972846177813525-0.002349122191179481j),(0.002301150876489017+0.002932767240929092j),(-0.0028981963591930416+0.0022506731170230335j),(-0.0021980910868965387-0.002868448525956846j),(0.002842915061049425-0.0021437328020814978j),(0.003252289957261705+0.00241734323786593j),(0.003207006871752594+0.0027635201438501243j),(0.0036696707944606603+0.002134894292941733j),(0.003939156286857677+0.0016079319905017413j),(0.004078694603035186+0.0012327862290361245j),(0.004024813925767104-4.835145950539903e-05j),(0.0007396737709965521-0.0034879521632553323j),(-0.0035607887230075788-0.0006472548346819106j),(-0.0005515937394556418+0.0036336211346628374j),(0.00370652799326834+0.0004525667817840632j),(0.00035003357782436716-0.0037796027202086874j),(-0.0038529558491708035-0.000243834380319725j),(-0.0001337868836393006+0.003926717765496188j),(0.0040010420095599715+1.9682396533734348e-05j),(-9.871877185690742e-05-0.0040761092869712615j)
