index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(-3.0, -6.0)",(0.00458654245894307-0.005403783302010348j),(0.00553167690896304-0.0025410768317131027j),(0.005223910632020507+0.0028882049334838624j),(-0.0007427660629595582+0.004952399014195741j),(-0.002620471361196203-0.0028552413047098473j),(0.0037443881098781634+0.0005756955869882995j),(-0.003235558251508351+0.0018089242632562071j),(0.0014497181072659214-0.003328424645878261j),(0.0008058981575944401+0.0034660949298301433j),(-0.0026401181300968247-0.0022837436488372803j),(0.0034119813292893355+0.00031861093149535154j),(-0.0029237715235590116+0.0016683665832333062j),(0.0014342217698543555-0.002981913679282414j),(0.0004816830633335099+0.003218552615728225j),(-0.00215683245381016-0.002367367363403771j),(0.0046112816870158896-0.0012865577115875573j),(0.004631643506455562-0.002272278529425202j),(0.002350838633737997-0.004648926223540736j),(-0.0017746076400381797-0.004005211511239522j),(-0.0012632741731489546+0.0028950711536724514j),(0.0026037196687617187-0.001873534498823373j),(-0.003247530074681339+0.0002753010714027312j),(0.0029711182178233254+0.0014663355931025304j),(-0.0018047143270125935-0.0028462678156196005j),(4.536104149222455e-05+0.003429958699345226j),(0.001807361304675604-0.002989925243508781j),(-0.00318355435502423+0.001595471195539826j),(0.0036126960914220968+0.00037741212916817j),(-0.0028844909168112276-0.0023305321146015316j),(0.001149397963507026+0.003610866464741674j)
"(-2.7346938775510203, -6.0)",(0.000651435704309117-0.007072837755525419j),(0.002752003391852267-0.005529885170426918j),(0.0058795789874011755-0.0014831555695459706j),(0.0031006839887831026+0.003999222460526024j),(-0.003849736666446296-0.000126260188346909j),(0.003073169316530363-0.0021772038134790445j),(-0.0011490997361105599+0.0035024831179461847j),(-0.0011006911391615811-0.0034391894337931685j),(0.0028313341698354365+0.002125493198386424j),(-0.0034715420396902417-0.00012376087761980348j),(0.002881344637166204-0.0018252455586652081j),(-0.0013455313121333334+0.003069268079508626j),(-0.0005674806062466082-0.0032455168869388405j),(0.0022167961596457216+0.002364414085335178j),(-0.0030961357508981517-0.0007681978177891191j),(0.003200588745962017-0.003556287674308017j),(0.0029127361338494636-0.0043071043789758385j),(1.2190273606102664e-05-0.0052466273428096784j),(-0.003279595214802107-0.0029469740664186785j),(3.375382487217976e-05+0.0031486639282702787j),(0.0015691284140424704-0.0027856754140542068j),(-0.0028003097901173357+0.0016453911611569892j),(0.0033011999630050896-5.030301363726252e-06j),(-0.0028939328407542432-0.0017018596794172508j),(0.0016447979997014119+0.0029943332387255394j),(0.00013456096829450224-0.0034761418984255495j),(-0.0019551475181583348+0.0029568486658338366j),(0.003276651990893077-0.0015266747763777982j),(-0.003662789192483671-0.000442001547271463j),(0.0029248470691915543+0.0023767914554588005j)
"(-2.4693877551020407, -6.0)",(-0.0031438928079563088-0.006380924190757621j),(-0.000972142877424198-0.0061851570625998005j),(0.003625825367936284-0.0049728684487560385j),(0.005048727183956573+0.0008113428621845423j),(-0.0029086234318075246+0.0024895623845244564j),(0.0008861815694875768-0.0036382390807219735j),(0.0013421668274343158+0.0034114744063345596j),(-0.002982054378816194-0.0020028452986973234j),(0.003522755024034445-1.6762181971414574e-05j),(-0.0028663337046902194+0.0019331852675813198j),(0.0013088580459368023-0.0031330365373883717j),(0.0005963328963479123+0.0032831225739273313j),(-0.002234948458712105-0.0024024024387150735j),(0.0031222271179369055+0.0008210998692404459j),(-0.003033966341551154+0.0009461549907914936j),(0.0009937992933727814-0.004675438371423731j),(0.0006145775971312773-0.005201208132442082j),(-0.002151709062045557-0.0048225905821139845j),(-0.004160604061771509-0.0015418301641090724j),(0.0011854858616000023+0.002907511282765605j),(0.0004000675661909598-0.003162441094419476j),(-0.0019363468647284113+0.002594830236331251j),(0.003014883584610513-0.0013175415528953445j),(-0.0033257907173712864-0.00036193612285788016j),(0.002746677276099253+0.002010031143682178j),(-0.0013889331361136821-0.0031744251148942133j),(-0.0004146408646535516+0.0035054658924294595j),(0.0021832680656764226-0.0028607807402403953j),(-0.003409369525563641+0.001363245789589203j),(0.0036999517680120185+0.0006087158105152484j)
"(-2.204081632653061, -6.0)",(-0.005764261294508465-0.004178537114405883j),(-0.004137612065255322-0.004802759209020925j),(-2.12569902119957e-05-0.00623998877329558j),(0.004446717457173478-0.0026310509022153005j),(-0.0006763566981561895+0.003745479109236694j),(-0.0015236796937034831-0.0033977248388385j),(0.003094023397589127+0.0019299727599199133j),(-0.0035729860346026196+9.281686171626036e-05j),(0.0028885242248791504-0.0019870937675482356j),(-0.0013340300715712226+0.0031726148920038304j),(-0.0005596384788904305-0.0033341924704274857j),(0.002204476990534299+0.0024867301554616678j),(-0.003130700893640578-0.0009388811713071024j),(0.003109699171089674-0.0008216005006442578j),(-0.0021975565022627056+0.0022802446086705795j),(-0.0012765254053699463-0.004599875492826086j),(-0.0016368626151401636-0.005011832161915674j),(-0.0038002307235298453-0.003711389192710411j),(-0.004463422821448971-0.00010186127684558147j),(0.0020588027821995076+0.002360155346195752j),(-0.0006744841502547778-0.003106735086682939j),(-0.0009276588532816901+0.003092377946052526j),(0.0023498180834467097-0.002288907040086937j),(-0.0032200268689943352+0.0008674438467699515j),(0.0032881860242524913+0.0008333667759749456j),(-0.002497721459257318-0.0023836606430832252j),(0.0010130391017143536+0.003367397798893484j),(0.0008077395246209899-0.0034919156846501035j),(-0.0024925669447891656+0.0026744809017582817j),(0.0035722056309972915-0.00108146538869055j)
"(-1.9387755102040816, -6.0)",(-0.0069691415863819325-0.0014622051827363517j),(-0.005980244672228796-0.002308769852079543j),(-0.003435947596432084-0.005304226770677988j),(0.0020473365485044696-0.004801823234799992j),(0.0016372803265348023+0.0034120255637075316j),(-0.0031666866808119885-0.0019210640568104714j),(0.0036270226467477102-9.274325149521574e-05j),(-0.002955956888519634+0.001978770326461049j),(0.0014309152817449516-0.0031833659462796524j),(0.00044659084394420734+0.003397726426875105j),(-0.0021145269873365123-0.002620356232482288j),(0.0031120046593053835+0.0011287604815131207j),(-0.0031967290395093703+0.0006210514625017543j),(0.002392636162258331-0.0021327700852391547j),(-0.0009628566492081541+0.003005891333044823j),(-0.003095686891871642-0.003623642891608967j),(-0.003436034039675695-0.004040866185870458j),(-0.004828827786454379-0.0022790042834811655j),(-0.004336210481599707+0.001170799196472026j),(0.002630761054788871+0.0016866154313703433j),(-0.0015354630629131416-0.0027752168596596j),(2.83216504397052e-05+0.003220404425695007j),(0.0015371816058020091-0.00288815657497012j),(-0.002777431547240028+0.0018289637104563416j),(0.0033709284824662263-0.00027489086663748873j),(-0.0031406855921418137-0.0014077010024371747j),(0.002106269115339582+0.002801137056579409j),(-0.000490844890364856-0.003537372711963052j),(-0.0013216797179804974+0.0033935892192516115j),(0.0028727201133575847-0.002358634043574528j)
"(-1.673469387755102, -6.0)",(-0.007040743455047257+0.001042546531754748j),(-0.006463076136696531+0.0003708975403152918j),(-0.005646062567838039-0.0029985448309787777j),(-0.0008848502926108273-0.005198300929785831j),(0.0031950945104154203+0.0019902146253502105j),(-0.003685177739053476+2.526465201576868e-06j),(0.003073593804272484-0.001895352653631708j),(-0.001608859012826547+0.0031546667440560928j),(-0.00024389870870924972-0.003466886032685859j),(0.0019491249496437863+0.002802047833624802j),(-0.0030498977241125618-0.0013965258237589424j),(0.0032818674210914047-0.0003315065020162203j),(-0.0026272203308444785+0.0019054674077878752j),(0.0013011718356359034-0.0029179510748388j),(0.0003193713728249089+0.003130449988959366j),(-0.004236531734363324-0.002162502585051164j),(-0.004622793897904288-0.00265873076899594j),(-0.005300539042540711-0.0008215414460618196j),(-0.003955323133390625+0.0021829584328718478j),(0.0029468621038945056+0.00102226243369602j),(-0.0021539615687994674-0.0023195068714945513j),(0.000823452003206287+0.0031064885059772507j),(0.0007476232637513706-0.003177713857010961j),(-0.002193184178421576+0.0024893714166837697j),(0.0031616883928733677-0.001176854725863532j),(-0.003400304176465321-0.0004690590170166191j),(0.00282004212346965+0.0020639345043358378j),(-0.0015255545441031683-0.003216908908463525j),(-0.0001994282672006524+0.0036244117451857565j),(0.001950307673609478-0.0031487061823977733j)
"(-1.4081632653061225, -6.0)",(-0.006452928676232653+0.0029835882378430522j),(-0.005970576580251404+0.0026401041365533623j),(-0.006451594756353195-0.00029394725539033743j),(-0.0033352628725348017-0.004151771991857881j),(0.003740452770583634+0.00019472641987683097j),(-0.003240940063991065+0.001717697983746756j),(0.001875134926581239-0.0030674630971995456j),(-6.375123962236728e-05+0.003526093052209852j),(-0.0016864355729371888-0.003023469358727168j),(0.0029195534407218233+0.0017440981558898023j),(-0.003342322499894878-6.032745314169322e-05j),(0.0028859363191408153-0.001575171982557242j),(-0.0017077723326701963+0.0027480481899097744j),(0.00013765165251591288-0.0031826067463109954j),(0.0014140638987781768+0.0028013065392139685j),(-0.004708471471723805-0.0005921148484943662j),(-0.0052252233129741685-0.001185236830775752j),(-0.0053637352857044355+0.00047111411924024053j),(-0.0034789488150008875+0.0029219350075433874j),(0.003081612084389312+0.0004508286984498676j),(-0.0025568959643046123-0.001857382053830656j),(0.001421735715186527+0.002876103188548639j),(8.109976080326428e-05-0.003257582966139778j),(-0.001614958462167519+0.002890809189243053j),(0.002823269502611495-0.0018341116267289288j),(-0.0034110937331821426+0.0003085377921875549j),(0.0032160042004958775+0.0013464252848884469j),(-0.0022516603965530737-0.0027463609019758458j),(0.0007128577831908077+0.003549252343982781j),(0.001060992470460968-0.0035373641823267694j)
"(-1.1428571428571428, -6.0)",(-0.005647023478716442+0.004297387836396831j),(-0.00499567343678025+0.004272151876070218j),(-0.006162092618513222+0.0021155619220194744j),(-0.004839943240610769-0.0023426952495189802j),(0.00344795403653452-0.0014191455369785833j),(-0.0022316119306022984+0.0028914889248728708j),(0.0004916840031785241-0.0035470776164111457j),(0.001299038809923001+0.003264646107441867j),(-0.00268594328374052-0.002165153063530174j),(0.0033423515229151946+0.0005646024062521433j),(-0.0031401447957326942+0.0011159916148953141j),(0.002168005716713762-0.002459009333072766j),(-0.0006970486174143056+0.003150378214191189j),(-0.0008944001956794782-0.003048808174057281j),(0.002216672783519992+0.0022101465275692136j),(-0.004659644885103536+0.0008301774691262068j),(-0.005377033137159115+0.00016192415622477861j),(-0.005186569567861986+0.0015072873549042897j),(-0.0030273593261962535+0.003420578323346202j),(0.0031108320912258064+1.3875700832264824e-05j),(-0.0027949591036859262-0.0014668616795936807j),(0.0018313860418322663+0.0026292546564160905j),(-0.00041880325895248503-0.0032270966636239813j),(-0.0011355851420163858+0.00310541125539396j),(0.002481745952758431-0.002267325821118746j),(-0.0033044488280222772+0.0008790209974194227j),(0.003395913858019075+0.000761817516921584j),(-0.0027070494377209073-0.0022883429559881876j),(0.001365004237499733+0.0033449384477360657j),(0.00034823903297221407-0.003668416202561167j)
"(-0.8775510204081631, -6.0)",(-0.0049389554757635545+0.005070470068556851j),(-0.003951347588299585+0.005296695286193291j),(-0.005266410714232173+0.003915817916318918j),(-0.005412713778727964-0.00040027280247764604j),(0.0026684443746353833-0.002582827607320377j),(-0.0010503132752477807+0.0034840514702086612j),(-0.0007565614615862804-0.0034874426834814007j),(0.0023036022363063895+0.0026379517938309206j),(-0.0032300616706168205-0.00118175511937901j),(0.0033422184370809588-0.0005040710477884883j),(-0.002648893017856018+0.0020074070196886853j),(0.0013482008864509425-0.002979086495513915j),(0.00022837148756920287+0.0032107464362929796j),(-0.0016993797019747025-0.00267613981794493j),(0.002723927171981195+0.0015286398941142302j),(-0.0042857340334943915+0.001975120777842263j),(-0.005246114112666192+0.0012681734704517043j),(-0.0049175425952669+0.002264790746444125j),(-0.002681212637511037+0.0037273939295280225j),(0.0030964028723667594-0.00027409587074584123j),(-0.0029197253292195997-0.00119278194881035j),(0.002078970561816737+0.0024346234470528035j),(-0.0007427487784222362-0.0031652404104393185j),(-0.0008040557313832241+0.0032039968960951805j),(0.002220151902694211-0.0025194360884279203j),(-0.003182120972799965+0.0012411672505570181j),(0.00345714959752252+0.0003636017918159696j),(-0.0029581144714991773-0.0019448421149736582j),(0.0017682873184656945+0.0031447482336571836j),(-0.0001291804302800772-0.003677210239734946j)
"(-0.6122448979591835, -6.0)",(-0.004513623166662424+0.0054231704357627j),(-0.003110051271991782+0.005858058646885154j),(-0.004208190684781398+0.005084704315571001j),(-0.005324850950713635+0.001279166360089852j),(0.0017352158566239914-0.003269111943616131j),(3.30047412001513e-05+0.003627288400439895j),(-0.0017200194590797568-0.0031147060611846763j),(0.0029361648994059393+0.0018913100062461956j),(-0.003419769228475792-0.00027262079425925765j),(0.0030897631454307887-0.0013501520899933434j),(-0.0020549917244152313+0.0026025756716406873j),(0.000580548232485232-0.003210931943738516j),(0.0009791968010198686+0.0030595216295253224j),(-0.002264417733802201-0.0022099720119675664j),(0.0029911676454230877+0.000880056432680771j),(-0.003769383030322544+0.002813182554774092j),(-0.004988380396962384+0.002096653085257868j),(-0.004668697737594913+0.0027587819604114687j),(-0.0024885188680981492+0.0038856726227456265j),(0.0030799988832354245-0.0004115829125560704j),(-0.0029701932007245185-0.0010572566658689192j),(0.002190752777952977+0.002332746681515702j),(-0.0008956580621611084-0.003123940104132093j),(-0.0006416403773688181+0.00323886730284413j),(0.0020852197588440372-0.002630077197010383j),(-0.003109163429505747+0.0014096492804414288j),(0.003470052211272217+0.0001705054755954438j),(-0.003063566830341582-0.001769765791940489j),(0.0019523146546877295+0.00303110086483492j),(-0.0003578910862369589-0.0036593930702800577j)
