index,x,value,0,1,2
"(-0.2, -7.0)","(-0.2, -7.0)",(-1.3268038938886682-0.7055415518500601j),(-0.012236716733144162+0.06027420309666177j),(-0.15362475482494142-0.08651659055184285j),(-1.1609424223305826-0.679299164394879j)
"(-0.1575757575757576, -7.0)","(-0.1575757575757576, -7.0)",(-1.4853056058013783-0.5662815311882492j),(-0.012262463380379448+0.05708981378944931j),(-0.1615427962202948-0.08463964313999221j),(-1.311500346200704-0.5387317018377062j)
"(-0.11515151515151516, -7.0)","(-0.11515151515151516, -7.0)",(-1.586978455039532-0.42471477594414336j),(-0.012682273063277648+0.053698450507023675j),(-0.16895688269604076-0.08361053246022912j),(-1.4053392992802136-0.3948026939909379j)
"(-0.07272727272727272, -7.0)","(-0.07272727272727272, -7.0)",(-1.6369580874801106-0.30468531637246427j),(-0.013452300165928837+0.0500924843118589j),(-0.17589408706824036-0.08361097176320152j),(-1.4476117002459414-0.27116682892112165j)
"(-0.030303030303030304, -7.0)","(-0.030303030303030304, -7.0)",(-1.644450533503539-0.21905282581394137j),(-0.01452380808561798+0.04625801420400656j),(-0.18236294124728392-0.08481505121553574j),(-1.4475637841706372-0.18049578880241218j)
"(0.012121212121212116, -7.0)","(0.012121212121212116, -7.0)",(-1.61837077236486-0.16961952901231056j),(-0.015842765219696263+0.042176002380400514j),(-0.18834590082378083-0.08738990737574115j),(-1.4141821063213829-0.12440562401696992j)
"(0.054545454545454564, -7.0)","(0.054545454545454564, -7.0)",(-1.5666406726609692-0.1486377050330956j),(-0.017349298621616223+0.03782357589925399j),(-0.1937919477380818-0.09149539010956895j),(-1.3554994263012712-0.09496589082278062j)
"(0.09696969696969698, -7.0)","(0.09696969696969698, -7.0)",(-1.4988080853411716-0.1416475912509514j),(-0.018977050461574073+0.03317551617046341j),(-0.19860933557864507-0.09728225535996955j),(-1.2812216993009524-0.07754085206144523j)
"(0.1393939393939394, -7.0)","(0.1393939393939394, -7.0)",(-1.4303590648436908-0.13260302811387584j),(-0.020652490090838423+0.028205961126231756j),(-0.2026585787005688-0.1048884146137051j),(-1.2070479960522835-0.055920574626402486j)
"(0.18181818181818182, -7.0)","(0.18181818181818182, -7.0)",(-1.385572826556614-0.11231295429388674j),(-0.022294243388696913+0.022890345913591875j),(-0.20574592259351288-0.11443278283718583j),(-1.1575326605744043-0.020770517370292785j)
"(0.22424242424242424, -7.0)","(0.22424242424242424, -7.0)",(-1.3945345125614168-0.0893148530219627j),(-0.023812511181465913+0.017207606038040127j),(-0.2076177076532904-0.1260062986629634j),(-1.1631042937266605+0.019483839602960573j)
"(0.26666666666666666, -7.0)","(0.26666666666666666, -7.0)",(-1.4806143674208299-0.09843953473610902j),(-0.0251086597150215+0.011142661557551968j),(-0.20795624819142122-0.13965976020164894j),(-1.2475494595143872+0.03007756390798795j)
"(0.30909090909090914, -7.0)","(0.30909090909090914, -7.0)",(-1.6392915805741863-0.19851969990755441j),(-0.026075078085924498+0.0046891915986088245j),(-0.20637808529573326-0.15538824692688374j),(-1.4068384171925286-0.04782064457927947j)
"(0.3515151515151515, -7.0)","(0.3515151515151515, -7.0)",(-1.8176646776800691-0.45113843009910437j),(-0.02659540960543461-0.0021473054740154054j),(-0.20243572158985873-0.1731121047881248j),(-1.5886335464847758-0.27587901983696417j)
"(0.393939393939394, -7.0)","(0.393939393939394, -7.0)",(-1.9119056432943156-0.8811596884474335j),(-0.02654527543090867-0.009346190054221121j),(-0.19562418455393882-0.19265478043076437j),(-1.689736183309468-0.6791587179624481j)
"(0.43636363636363634, -7.0)","(0.43636363636363634, -7.0)",(-1.798611494082235-1.436150148517516j),(-0.025793618288789323-0.01686814618021757j),(-0.18539395806487036-0.21371822054545922j),(-1.5874239177285754-1.2055637817918394j)
"(0.4787878787878788, -7.0)","(0.4787878787878788, -7.0)",(-1.3985176206157612-1.97556799517637j),(-0.024204800233784657-0.024651513059617054j),(-0.17117192143978574-0.2358571156762888j),(-1.2031408989421908-1.7150593664404643j)
"(0.5212121212121212, -7.0)","(0.5212121212121212, -7.0)",(-0.7420162195174574-2.315474799649483j),(-0.021641589296546325-0.0326086002696938j),(-0.15239188055533925-0.25845396218543903j),(-0.5679827496655718-2.0244122371943503j)
"(0.5636363636363637, -7.0)","(0.5636363636363637, -7.0)",(0.01355714173466352-2.3217465019573558j),(-0.017969163377549988-0.04062214694873532j),(-0.12853599440505045-0.2806977179313511j),(0.16006229951726395-2.000426637077269j)
"(0.6060606060606062, -7.0)","(0.6060606060606062, -7.0)",(0.6486947465783482-1.9992813752578225j),(-0.013060243356089803-0.048542133780951596j),(-0.09918781473027057-0.3015696831196077j),(0.7609428046647086-1.6491695583572632j)
"(0.6484848484848484, -7.0)","(0.6484848484848484, -7.0)",(1.0057558517042353-1.505221882360241j),(-0.006801438385006454-0.056183208783267595j),(-0.06409669194526457-0.3198410562634623j),(1.0766539820345062-1.129197617313511j)
"(0.6909090909090909, -7.0)","(0.6909090909090909, -7.0)",(1.0887624850064628-1.054334474810147j),(0.0008991580641310309-0.0633230414694005j),(-0.023251902015209693-0.3340872607367921j),(1.1111152289575414-0.6569241726039545j)
"(0.7333333333333334, -7.0)","(0.7333333333333334, -7.0)",(1.050853231199592-0.7713940587840991j),(0.010103145340182758-0.06970197150092045j),(0.023037000260195478-0.3427244290774889j),(1.0177130855992138-0.35896765820568977j)
"(0.7757575757575759, -7.0)","(0.7757575757575759, -7.0)",(1.0610345664546572-0.608700368810018j),(0.02083187273792951-0.07502436285957303j),(0.07405934870259076-0.3440731500455122j),(0.966143345014137-0.18960285590493273j)
"(0.8181818181818183, -7.0)","(0.8181818181818183, -7.0)",(1.1541073523254832-0.4120219363271324j),(0.033055588164965684-0.07896210704150165j),(0.12863031908659747-0.3364534861597861j),(0.99242144507392+0.0033936568741553316j)
"(0.8606060606060608, -7.0)","(0.8606060606060608, -7.0)",(1.2045687800261191-0.08959838596414649j),(0.046682016822191794-0.08116073164788191j),(0.18503646331708393-0.31831312646321863j),(0.9728502998868435+0.30987547214695405j)
"(0.9030303030303031, -7.0)","(0.9030303030303031, -7.0)",(1.0648610849417017+0.27360322177313967j),(0.061544855984433273-0.08124855572115863j),(0.24101277595102327-0.28838717903861033j),(0.7623034530062451+0.6432389565329086j)
"(0.9454545454545455, -7.0)","(0.9454545454545455, -7.0)",(0.7429435274832104+0.48342827946188627j),(0.07739283645048171-0.07884928104998291j),(0.29376551249041055-0.24588348145340796j),(0.3717851785423181+0.8081610419652772j)
"(0.987878787878788, -7.0)","(0.987878787878788, -7.0)",(0.43102060152635163+0.43760635390446506j),(0.09388017578883562-0.07359830982264805j),(0.34005474165562216-0.19068156283682908j),(-0.002914315918106168+0.7018862265639422j)
"(1.0303030303030305, -7.0)","(1.0303030303030305, -7.0)",(0.3309087196514694+0.2564484873520665j),(0.11055942279707462-0.06516292416477863j),(0.37634821959596554-0.12352694775480566j),(-0.15599892274157082+0.4451383592716508j)
"(1.0727272727272728, -7.0)","(1.0727272727272728, -7.0)",(0.4414414025762101+0.18526805426596846j),(0.12687785225848683-0.053266244315277704j),(0.39905304476426406-0.04619609713642067j),(-0.08448949444654075+0.28473039571766684j)
"(1.1151515151515152, -7.0)","(1.1151515151515152, -7.0)",(0.5424796657369617+0.34550625370804017j),(0.14217869549545387-0.03771459421441059j),(0.4048233362645094+0.03839797026055962j),(-0.004522366023001639+0.3448228776618911j)
"(1.1575757575757577, -7.0)","(1.1575757575757577, -7.0)",(0.41937007195084197+0.5962751394834305j),(0.15570856258928187-0.01842754512398569j),(0.3909309343898369+0.1261920470739491j),(-0.12726942502827676+0.488510637533467j)
"(1.2000000000000002, -7.0)","(1.2000000000000002, -7.0)",(0.10043226600035682+0.6759999103539756j),(0.16663240006602856+0.004530515287384379j),(0.3556725083981942+0.21208239110308363j),(-0.4218726424638659+0.45938700396350757j)
