index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",,(-0.002618642301010763+0.0029256008826971736j),(0.00264179581564752+0.0020589207225113096j),(-0.0010646773185823111+0.001879744671909578j),(-0.0036029815387455294+0.0021399709326482253j),(-0.002467150832801668-0.0029087754634485466j),(0.0032335541826885453-0.0009653600976718173j),(-0.0013335543427875408+0.0026861486044310622j),(-0.0004446619801167635-0.0026670493906808075j),(0.0015464485123075026+0.0019301341512880624j),(-0.0020539460774362185-0.0010121017541228309j),(0.0021355033581612662+0.0001465037321744323j),(-0.0019337125196029403+0.0005719923757473333j),(0.0015559753118137556-0.0011105179029044095j),(0.0004497297625010363+0.0015083631655670349j),(-0.0007982507560009977+0.002004621242636312j),(-6.544028464808478e-05+0.004330949245789783j),(0.00040224371071990946+0.002165804837767535j),(0.001488142152820854+0.0006552785979003383j),(4.380125956820696e-05-0.0019015503879468852j),(-0.0005050927031855991+0.0019404300011473176j),(0.000993579159551523-0.001880599141429475j),(-0.0014946636087872715+0.0017139369973176363j),(0.001995347384860867-0.0014334088668420107j),(-0.002487029819588358+0.001030842103710824j),(0.0029711062107770367-0.0004916272265284437j),(-0.0034731229239461964-0.00021938527484787943j),(0.004089512370703875+0.001203822434442015j),(-0.0061216194257291325-0.0031003196886459743j),(-0.0016612426252826124+0.006212388545475793j)
"(1,)",(-0.002618642301010763+0.0029256008826971736j),(-0.007825731199882745+0.016773593342730486j),(-0.0016686170297634285+0.003874212009171646j),(-0.000493451410463548-0.0013518536893370352j),(0.002467336873602345-0.0015402872433795227j),(-0.000149825297790714+0.002998729483967798j),(-0.0015182697022548175-0.0023481311706544184j),(0.0021693930424865854+0.001315442447363909j),(-0.0022799012506585265-0.00040664691674381485j),(0.002113003381366426-0.0003145683268475201j),(-0.0017949795828926516+0.0008585619688044639j),(0.0013945006794868408-0.0012432798207215208j),(-0.0009553537589676857+0.0014850868614816359j),(0.0005092714513831798-0.0015990318137364932j),(0.001103608904102602+0.0008924502314637016j),(0.00013007375700056418+0.0019383474284857735j),(0.0005833238325082916+0.0038645634332846335j),(0.00013007375700056502+0.0019383474284857735j),(0.001103608904102601+0.0008924502314637092j),(0.000509271451383169-0.0015990318137364893j),(-0.0009553537589676896+0.0014850868614816326j),(0.0013945006794868456-0.001243279820721516j),(-0.0017949795828926338+0.0008585619688044715j),(0.0021130033813664215-0.00031456832684751833j),(-0.0022799012506585386-0.0004066469167438273j),(0.002169393042486597+0.0013154424473639102j),(-0.0015182697022548205-0.0023481311706544097j),(-0.00014982529779069477+0.002998729483967784j),(0.002467336873602348-0.0015402872433795498j),(-0.0004934514104635591-0.0013518536893370346j)
"(2,)",(0.00264179581564752+0.0020589207225113096j),(-0.0016686170297634285+0.003874212009171646j),(-0.0011501370537052974+0.009411076707900055j),(-0.003268817963586249+0.004495481122880663j),(-0.0026428964992891665-0.0020871196505228675j),(0.0018359301925998817+0.0006588133577375611j),(-0.0015582991499878676-0.00015447994454428625j),(0.0013347928899944798-0.00018516594945438652j),(-0.0011193896148101715+0.0004370492406956551j),(0.0009002828761482801-0.0006236037246548707j),(-0.0006768568974049069+0.0007535566939695572j),(0.0004530060179937071-0.0008314708910243671j),(-0.0002345811057417981+0.0008609262037385243j),(2.8135436163598827e-05-0.0008457808632532937j),(0.0006588873215602426+0.0002977130933647023j),(0.00019960058787800905+0.0009588820121288615j),(0.00013007375700056428+0.0019383474284857699j),(-0.00022765642318407813+0.0009457370304107492j),(0.000321940995879293+0.0006386950383212922j),(0.0005953617597486748-0.0006264381429417247j),(-0.0008036489868726113+0.00043804026409432437j),(0.0009631310097405307-0.00016354636634312886j),(-0.0010345285561300535-0.00019826129740678069j),(0.0009594297274906329+0.0006366004998123481j),(-0.0006473999855213033-0.0011074757097967987j),(-3.432180031968537e-05+0.0014682757081204553j),(0.0011817465246180487-0.0012873855097400046j),(-0.002135498004260736-0.0004304888056559622j),(-0.0006337212571046933+0.0026844385266510417j),(0.0005318302153322431+0.0014564245206661176j)
"(3,)",(-0.0010646773185823111+0.001879744671909578j),(-0.000493451410463548-0.0013518536893370352j),(-0.003268817963586249+0.004495481122880663j),(0.0009829289525514248+0.006277404940739899j),(-0.0017549233810369858+0.004012815290141701j),(0.0011106860309639986-0.0011949078955707333j),(-0.0006577297374464097+0.00100062885688265j),(0.00037617145817630426-0.0009462106134380784j),(-0.00014598425711203874+0.0008895669339259435j),(-4.82151163996602e-05-0.0008161226971132105j),(0.00021106776661457166+0.0007232920671263409j),(-0.00034342445651253567-0.0006127639230862961j),(0.0004449367202479931+0.00048824106001765083j),(-0.0005152122380246274-0.00035450960325105184j),(0.00044881151311637217-0.00029026316384488283j),(0.0006588873215602461+0.00029771309336470124j),(0.0011036089041026066+0.0008924502314637013j),(0.00032194099587929564+0.0006386950383212921j),(0.00046789274151888175+0.0002390693260108493j),(9.825480926461575e-05-0.0006384559807252091j),(-0.0003332320299029483+0.0006006193024270288j),(0.0005725414279502816-0.0004638033412802682j),(-0.0007735346526660542+0.00020247413623055073j),(0.0008581574973907155+0.00020009490798402268j),(-0.000686871051001915-0.000715096041541004j),(4.9908804035576824e-05+0.0011460498833422738j),(0.00109129800160797-0.0008310597653843946j),(-0.0012570212552270993-0.0011117007683949626j),(-0.0018470769257291925+0.0007206541536888096j),(-0.0008210155716714977+0.0006304896497247133j)
"(4,)",(-0.0036029815387455294+0.0021399709326482253j),(0.002467336873602345-0.0015402872433795227j),(-0.0026428964992891665-0.0020871196505228675j),(-0.0017549233810369858+0.004012815290141701j),(-0.0024578982749415028+0.014070298294242639j),(-0.002572326261985706+0.001970133871071915j),(0.0016480033741279+6.319112000753341e-05j),(-0.0012603764620238715+0.00011809585405594507j),(0.001055091295754435-0.0003021809396343335j),(-0.0008693694260056269+0.00045699961336093597j),(0.0006868808893821516-0.0005766671085393448j),(-0.0005043913400968561+0.0006597574286613341j),(0.00032373449277785514-0.0007062694281189864j),(-0.00014892114172838306+0.0007172590616271465j),(-0.0005152122380246243-0.00035450960325104653j),(2.8135436163593626e-05-0.0008457808632532871j),(0.0005092714513831668-0.0015990318137364833j),(0.0005953617597486729-0.0006264381429417244j),(9.82548092646194e-05-0.0006384559807252061j),(-0.000796199525867757+0.00013196855567667033j),(0.0008567752628809112+0.00017847832239086236j),(-0.0007894067368454709-0.0005534497720401007j),(0.0005209985416551241+0.0009522970107125379j),(4.7330122084511665e-05-0.0012596645869546298j),(-0.0009871970406715802+0.0011676906753686415j),(0.0019639945661060984+1.151034353413351e-05j),(-0.0008601235210185056-0.0025224764473786195j),(-0.0035718842503181477+0.00024389998813055349j),(-0.003503460881135581+0.002098347853758643j),(-0.0018470769257291815+0.0007206541536888071j)
"(5,)",(-0.002467150832801668-0.0029087754634485466j),(-0.000149825297790714+0.002998729483967798j),(0.0018359301925998817+0.0006588133577375611j),(0.0011106860309639986-0.0011949078955707333j),(-0.002572326261985706+0.001970133871071915j),(-0.002457898274941503+0.01407029829424263j),(-0.002572326261985708+0.0019701338710719266j),(0.0016480033741278946+6.319112000753205e-05j),(-0.0012603764620238809+0.00011809585405594947j),(0.0010550912957544305-0.0003021809396343341j),(-0.0008693694260056354+0.00045699961336093434j),(0.0006868808893821502-0.0005766671085393524j),(-0.0005043913400968584+0.0006597574286613328j),(0.0003237344927778592-0.0007062694281189905j),(0.0004449367202479931+0.0004882410600176487j),(-0.00023458110574179597+0.0008609262037385292j),(-0.0009553537589676797+0.0014850868614816374j),(-0.0008036489868726108+0.00043804026409432914j),(-0.00033323202990294946+0.0006006193024270282j),(0.0008567752628809152+0.00017847832239085965j),(-0.0007894067368454699-0.0005534497720401048j),(0.000520998541655126+0.000952297010712547j),(4.733012208450795e-05-0.0012596645869546337j),(-0.000987197040671566+0.00116769067536864j),(0.001963994566106105+1.151034353413793e-05j),(-0.0008601235210185124-0.0025224764473786216j),(-0.003571884250318153+0.00024389998813055357j),(-0.0035034608811355724+0.002098347853758633j),(-0.0035718842503181577+0.00024389998813055408j),(-0.0012570212552270989-0.00111170076839496j)
"(6,)",(0.0032335541826885453-0.0009653600976718173j),(-0.0015182697022548175-0.0023481311706544184j),(-0.0015582991499878676-0.00015447994454428625j),(-0.0006577297374464097+0.00100062885688265j),(0.0016480033741279+6.319112000753341e-05j),(-0.002572326261985708+0.0019701338710719266j),(-0.0024578982749414975+0.014070298294242634j),(-0.0025723262619857024+0.0019701338710719244j),(0.0016480033741279043+6.319112000752943e-05j),(-0.0012603764620238737+0.00011809585405595022j),(0.0010550912957544383-0.0003021809396343285j),(-0.000869369426005634+0.0004569996133609405j),(0.0006868808893821528-0.0005766671085393468j),(-0.0005043913400968638+0.0006597574286613341j),(-0.00034342445651253247-0.0006127639230862958j),(0.0004530060179937104-0.0008314708910243687j),(0.0013945006794868406-0.0012432798207215184j),(0.0009631310097405289-0.00016354636634313252j),(0.0005725414279502842-0.0004638033412802653j),(-0.0007894067368454745-0.0005534497720401012j),(0.0005209985416551197+0.0009522970107125496j),(4.7330122084515765e-05-0.0012596645869546422j),(-0.0009871970406715642+0.0011676906753686415j),(0.0019639945661060905+1.151034353413051e-05j),(-0.0008601235210185052-0.0025224764473786264j),(-0.0035718842503181534+0.00024389998813055484j),(-0.0035034608811355776+0.0020983478537586384j),(-0.0035718842503181477+0.0002438999881305494j),(-0.0008601235210185114-0.0025224764473786247j),(0.001091298001607964-0.0008310597653843968j)
"(7,)",(-0.0013335543427875408+0.0026861486044310622j),(0.0021693930424865854+0.001315442447363909j),(0.0013347928899944798-0.00018516594945438652j),(0.00037617145817630426-0.0009462106134380784j),(-0.0012603764620238715+0.00011809585405594507j),(0.0016480033741278946+6.319112000753205e-05j),(-0.0025723262619857024+0.0019701338710719244j),(-0.002457898274941514+0.014070298294242618j),(-0.0025723262619856994+0.0019701338710719275j),(0.0016480033741278865+6.319112000752112e-05j),(-0.0012603764620238744+0.00011809585405594473j),(0.0010550912957544318-0.0003021809396343372j),(-0.0008693694260056304+0.0004569996133609359j),(0.0006868808893821534-0.0005766671085393455j),(0.0002110677666145742+0.0007232920671263344j),(-0.0006768568974049011+0.0007535566939695582j),(-0.001794979582892644+0.0008585619688044717j),(-0.0010345285561300563-0.00019826129740678318j),(-0.0007735346526660553+0.00020247413623054547j),(0.0005209985416551238+0.0009522970107125441j),(4.7330122084515494e-05-0.0012596645869546346j),(-0.0009871970406715698+0.0011676906753686394j),(0.0019639945661060875+1.1510343534125939e-05j),(-0.0008601235210185104-0.002522476447378606j),(-0.0035718842503181573+0.00024389998813055126j),(-0.0035034608811355767+0.0020983478537586384j),(-0.003571884250318152+0.00024389998813055162j),(-0.0008601235210185042-0.0025224764473786108j),(0.0019639945661060984+1.1510343534135458e-05j),(4.990880403557876e-05+0.0011460498833422655j)
"(8,)",(-0.0004446619801167635-0.0026670493906808075j),(-0.0022799012506585265-0.00040664691674381485j),(-0.0011193896148101715+0.0004370492406956551j),(-0.00014598425711203874+0.0008895669339259435j),(0.001055091295754435-0.0003021809396343335j),(-0.0012603764620238809+0.00011809585405594947j),(0.0016480033741279043+6.319112000752943e-05j),(-0.0025723262619856994+0.0019701338710719275j),(-0.002457898274941506+0.014070298294242613j),(-0.0025723262619856985+0.001970133871071935j),(0.0016480033741279013+6.319112000754138e-05j),(-0.0012603764620238822+0.00011809585405594802j),(0.001055091295754439-0.0003021809396343285j),(-0.000869369426005642+0.00045699961336093326j),(-4.821511639965655e-05-0.0008161226971132139j),(0.0009002828761482882-0.0006236037246548684j),(0.0021130033813664423-0.00031456832684751345j),(0.0009594297274906373+0.0006366004998123563j),(0.0008581574973907218+0.0002000949079840314j),(4.733012208451443e-05-0.0012596645869546405j),(-0.0009871970406715772+0.0011676906753686383j),(0.001963994566106097+1.1510343534138685e-05j),(-0.00086012352101851-0.0025224764473786125j),(-0.003571884250318142+0.00024389998813055246j),(-0.003503460881135579+0.0020983478537586436j),(-0.0035718842503181534+0.00024389998813055378j),(-0.0008601235210185133-0.0025224764473786177j),(0.0019639945661060914+1.15103435341326e-05j),(-0.0009871970406715742+0.0011676906753686478j),(-0.0006868710510019149-0.0007150960415409928j)
"(9,)",(0.0015464485123075026+0.0019301341512880624j),(0.002113003381366426-0.0003145683268475201j),(0.0009002828761482801-0.0006236037246548707j),(-4.82151163996602e-05-0.0008161226971132105j),(-0.0008693694260056269+0.00045699961336093597j),(0.0010550912957544305-0.0003021809396343341j),(-0.0012603764620238737+0.00011809585405595022j),(0.0016480033741278865+6.319112000752112e-05j),(-0.0025723262619856985+0.001970133871071935j),(-0.0024578982749415062+0.014070298294242604j),(-0.0025723262619856955+0.001970133871071932j),(0.0016480033741278952+6.319112000752792e-05j),(-0.0012603764620238737+0.0001180958540559421j),(0.0010550912957544385-0.0003021809396343242j),(-0.00014598425711204096+0.0008895669339259353j),(-0.0011193896148101682+0.00043704924069564886j),(-0.0022799012506585135-0.0004066469167438196j),(-0.0006473999855212971-0.0011074757097967905j),(-0.0006868710510019055-0.0007150960415409996j),(-0.0009871970406715716+0.0011676906753686385j),(0.001963994566106093+1.1510343534139324e-05j),(-0.0008601235210185006-0.0025224764473786164j),(-0.003571884250318142+0.00024389998813055408j),(-0.0035034608811355637+0.002098347853758629j),(-0.0035718842503181547+0.00024389998813055918j),(-0.0008601235210185091-0.0025224764473786147j),(0.001963994566106092+1.1510343534129086e-05j),(-0.0009871970406715646+0.001167690675368633j),(4.733012208451021e-05-0.0012596645869546398j),(0.0008581574973907163+0.00020009490798401764j)
