index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(0.0045138635801454385+0.008631956230386161j),(-0.0014843743826500762+0.004940326201721999j),(-0.002467456430645492-0.001447710963198855j),(0.0013004110071520173-0.0018842855118037542j),(0.0015714256535422342+0.0011980307247397759j),(-0.0008999708975395149+0.0018412067523510853j),(-0.0016117197154824252+0.0013905485232711214j),(-0.001971297893049774+0.0005825183105447418j),(-0.0017847559071964242-0.0007595041936517665j),(-0.00047700978244898004-0.0017455265645543517j),(0.0012031225637757037-0.001178123291705242j),(0.0014425343335989543+0.0006216145153402642j),(-0.00015500496912614867+0.0014637300677161679j),(-0.0013744762581360725+0.00018100212311997853j),(-0.00041110561752381484-0.0012461697296177006j),(0.0009820499813952624-0.0010359199174691323j),(0.0006549006353473779-0.0012854453116385321j),(-6.249290320129996e-05-0.0014737358724219145j),(-0.0006010124743740875-0.0013718503307398214j),(-0.0008894335480769378-0.0012182474734716729j),(-0.0011746668727268816-0.0008199945064960146j),(-0.0009624636183431628+0.0008880818781555678j),(0.0009746452190201439+0.0009908534154674724j),(0.001025388341777685-0.0010768769971599844j),(-0.0012013217722109501-0.0010685024955521191j),(-0.0011239965797547324+0.0013591485073937717j),(0.0015714256535422346+0.0011980307247397748j),(0.001300411007152015-0.0018842855118037557j),(-0.002467456430645488-0.0014477109631988489j),(-0.001095150742125239+0.004720519668173342j)
"(1,)",(-0.0014843743826500762+0.004940326201721999j),(0.0030107604048659545+0.0075405835078600015j),(-0.0014412464510426437+0.003930873703161247j),(-0.001565199435850098-0.0012384184789695934j),(0.0010921571653801795-0.0011467854961964316j),(0.0013190092835747337+0.0008931019741523477j),(0.0007726196307077254+0.00144423379335744j),(-0.00010999807562656599+0.001569960887760885j),(-0.0011824319569200597+0.0009058726437790631j),(-0.0012909646271247162-0.0005444336608879599j),(3.1188961942859515e-05-0.0013167449610152037j),(0.0012014832378804182-0.00031101482351651266j),(0.0005224612846651793+0.001050871044813441j),(-0.0009065402285658652+0.0006474803972706023j),(-0.0007180904517572925-0.000781672105668892j),(0.0004571259816772347-0.001078179403376395j),(0.00026578576848465085-0.0011806490643618307j),(-0.00020250623914795556-0.0012280592562272047j),(-0.0004918009458108792-0.001167713696208372j),(-0.0005861572693739905-0.0011320959360399854j),(-0.0007757391538009487-0.0009365721680738696j),(-0.000998619792003526+0.00047414577612799893j),(0.0005228571974365156+0.0010484351344541157j),(0.0011101325537614276-0.0005767139511542653j),(-0.000636495824386281-0.0011891557832884112j),(-0.0012947967787403053+0.0007024886716981415j),(0.0007726196307077277+0.0014442337933574382j),(0.0016724445527767711-0.0008346782591038578j),(-0.0008276128438757008-0.002056869417067352j),(-0.0028067455798624773+0.00041207630299872007j)
"(2,)",(-0.002467456430645492-0.001447710963198855j),(-0.0014412464510426437+0.003930873703161247j),(0.0030107604048659445+0.007540583507859979j),(-0.0014412464510426375+0.003930873703161243j),(-0.0015651994358500964-0.0012384184789695882j),(0.0009631513208223631-0.0015778875668319334j),(0.0016724445527767696-0.0008346782591038545j),(0.0016968212029869543+0.00043498313689450583j),(0.00047305686825232823+0.0015455005883537275j),(-0.0011824319569200584+0.000905872643779064j),(-0.001074809293120196-0.0008647082271034019j),(0.000629653868426788-0.0011213157787271423j),(0.001114276501892751+0.000463362163308927j),(-0.00034686680687463024+0.0010850804665937324j),(-0.0010478857136903988-0.0002652645378392627j),(-0.00013147023050463303-0.0011878676890050366j),(-0.00020250623914795546-0.001228059256227202j),(-0.0004918009458108785-0.0011677136962083697j),(-0.0005861572693739897-0.0011320959360399837j),(-0.0004918009458108782-0.0011677136962083693j),(-0.0005566723026108392-0.0010751372313752912j),(-0.0010782051142568078+0.000196487463558343j),(0.0001935190638749972+0.0011426450053362094j),(0.0012207586972844287-0.00017692082545376392j),(-0.00013673114989419473-0.0013164379270911156j),(-0.0014333603517542428+5.390300718632695e-05j),(-0.0001099980756265635+0.001569960887760882j),(0.001696821202986955+0.0004349831368945046j),(0.0010710527976974728-0.001658605374988984j),(-0.0008276128438756984-0.002056869417067353j)
"(3,)",(0.0013004110071520173-0.0018842855118037542j),(-0.001565199435850098-0.0012384184789695934j),(-0.0014412464510426375+0.003930873703161243j),(0.0030107604048659436+0.007540583507859976j),(-0.0014412464510426375+0.003930873703161243j),(-0.002087595386216738-0.00108277180216044j),(-0.0008276128438756995-0.0020568694170673544j),(0.0010710527976974752-0.0016586053749889878j),(0.0016968212029869535+0.0004349831368945067j),(-0.00010999807562656553+0.0015699608877608844j),(-0.0014333603517542456+5.390300718632567e-05j),(-0.00013673114989419443-0.0013164379270911195j),(0.0012207586972844287-0.00017692082545376364j),(0.00019351906387499643+0.0011426450053362098j),(-0.0010782051142568087+0.0001964874635583432j),(-0.0005566723026108407-0.0010751372313752906j),(-0.0004918009458108784-0.0011677136962083697j),(-0.0005861572693739899-0.0011320959360399839j),(-0.0004918009458108785-0.0011677136962083695j),(-0.00020250623914795494-0.001228059256227202j),(-0.00013147023050463135-0.001187867689005037j),(-0.0010478857136903986-0.00026526453783926263j),(-0.00034686680687463+0.0010850804665937322j),(0.001114276501892752+0.0004633621633089269j),(0.0006296538684267867-0.0011213157787271395j),(-0.0010748092931201943-0.0008647082271034004j),(-0.001182431956920057+0.0009058726437790635j),(0.00047305686825232954+0.0015455005883537273j),(0.0016968212029869513+0.0004349831368945052j),(0.0016724445527767685-0.0008346782591038531j)
"(4,)",(0.0015714256535422342+0.0011980307247397759j),(0.0010921571653801795-0.0011467854961964316j),(-0.0015651994358500964-0.0012384184789695882j),(-0.0014412464510426375+0.003930873703161243j),(0.0030107604048659436+0.007540583507859972j),(-0.0013048516060558339+0.0048207501244108145j),(-0.002806745579862473+0.00041207630299871633j),(-0.0008276128438756996-0.002056869417067353j),(0.0016724445527767676-0.0008346782591038521j),(0.000772619630707725+0.0014442337933574384j),(-0.001294796778740306+0.0007024886716981397j),(-0.0006364958243862804-0.001189155783288412j),(0.0011101325537614254-0.0005767139511542635j),(0.0005228571974365139+0.0010484351344541144j),(-0.0009986197920035247+0.0004741457761279986j),(-0.0007757391538009477-0.0009365721680738668j),(-0.0005861572693739895-0.0011320959360399834j),(-0.0004918009458108783-0.0011677136962083695j),(-0.00020250623914795483-0.001228059256227202j),(0.00026578576848465-0.001180649064361828j),(0.0004571259816772343-0.0010781794033763927j),(-0.0007180904517572904-0.0007816721056688899j),(-0.0009065402285658629+0.0006474803972706015j),(0.0005224612846651793+0.0010508710448134386j),(0.0012014832378804128-0.00031101482351651244j),(3.1188961942858024e-05-0.0013167449610151992j),(-0.0012909646271247128-0.0005444336608879568j),(-0.001182431956920057+0.000905872643779064j),(-0.00010999807562656439+0.001569960887760879j),(0.0007726196307077244+0.0014442337933574358j)
"(5,)",(-0.0008999708975395149+0.0018412067523510853j),(0.0013190092835747337+0.0008931019741523477j),(0.0009631513208223631-0.0015778875668319334j),(-0.002087595386216738-0.00108277180216044j),(-0.0013048516060558339+0.0048207501244108145j),(0.0038112670052310544+0.008065296022206417j),(-0.0013048516060558339+0.004820750124410815j),(-0.002087595386216738-0.0010827718021604392j),(0.0009631513208223632-0.0015778875668319308j),(0.0013190092835747332+0.0008931019741523464j),(-0.0008421932523126124+0.0011438598217518602j),(-0.0010139168728308587-0.0008041360358041388j),(0.000774735565299266-0.0009116404130933667j),(0.0008277479631701314+0.0007513505342222334j),(-0.00073227292856825+0.000756806665465302j),(-0.0009813298341097485-0.000604480751818565j),(-0.0007757391538009467-0.0009365721680738669j),(-0.0005566723026108393-0.0010751372313752906j),(-0.00013147023050463178-0.0011878676890050355j),(0.00045712598167723317-0.001078179403376392j),(0.0007354947997156532-0.0008971663661877789j),(-0.0004073787904010906-0.000986595697103802j),(-0.0011051567729093706+0.000229140865047202j),(-3.781588218647096e-05+0.0011987691462981586j),(0.0012106827698435733+0.00041827326213098753j),(0.0009077207748498672-0.0010312603082287908j),(-0.0004926187765559109-0.0013917063486632492j),(-0.0014953891497158452-0.0005130345545728312j),(-0.0015665663957259658+0.0005828021584712104j),(-0.0012307727613743418+0.0012069597739026974j)
"(6,)",(-0.0016117197154824252+0.0013905485232711214j),(0.0007726196307077254+0.00144423379335744j),(0.0016724445527767696-0.0008346782591038545j),(-0.0008276128438756995-0.0020568694170673544j),(-0.002806745579862473+0.00041207630299871633j),(-0.0013048516060558339+0.004820750124410815j),(0.003010760404865944+0.007540583507859976j),(-0.001441246451042639+0.003930873703161244j),(-0.0015651994358500943-0.0012384184789695893j),(0.0010921571653801784-0.0011467854961964318j),(0.0009362246501989535+0.00100165926812434j),(-0.000933447252160994+0.0007950515941517117j),(-0.0006907438165520106-0.0008806414966759994j),(0.0008384505008085549-0.0006087700945941411j),(0.0005415418608685801+0.000803786508757954j),(-0.0007322729285682495+0.000756806665465302j),(-0.0009986197920035236+0.0004741457761279984j),(-0.0010782051142568074+0.00019648746355834296j),(-0.0010478857136903977-0.00026526453783926133j),(-0.0007180904517572908-0.0007816721056688884j),(-0.0004073787904010907-0.0009865956971038016j),(-0.0009871414099681757-0.00014791917510110892j),(-0.0004060587508574522+0.000988967208655072j),(0.0008864003591933863+0.0007391774455340937j),(0.001112238048958239-0.0005840941151096481j),(3.513330340222928e-05-0.0013764378989472464j),(-0.0011651276088021519-0.000964274004802332j),(-0.0016481119919107164+1.4598065994542464e-05j),(-0.0015760435162554124+0.000770891706352897j),(-0.0014733127862077277+0.0010263544687616113j)
"(7,)",(-0.001971297893049774+0.0005825183105447418j),(-0.00010999807562656599+0.001569960887760885j),(0.0016968212029869543+0.00043498313689450583j),(0.0010710527976974752-0.0016586053749889878j),(-0.0008276128438756996-0.002056869417067353j),(-0.002087595386216738-0.0010827718021604392j),(-0.001441246451042639+0.003930873703161244j),(0.003010760404865944+0.007540583507859981j),(-0.0014412464510426385+0.003930873703161245j),(-0.0015651994358500967-0.0012384184789695919j),(0.001092157165380179-0.0011467854961964318j),(0.0009362246501989519+0.0010016592681243378j),(-0.0009334472521609932+0.0007950515941517113j),(-0.0006907438165520112-0.000880641496676j),(0.0008384505008085545-0.0006087700945941415j),(0.0008277479631701302+0.0007513505342222323j),(0.0005228571974365115+0.0010484351344541133j),(0.00019351906387499518+0.001142645005336208j),(-0.0003468668068746302+0.00108508046659373j),(-0.000906540228565862+0.0006474803972705994j),(-0.0011051567729093697+0.00022914086504720037j),(-0.00040605875085745205+0.000988967208655071j),(0.0008864003591933863+0.0007391774455340944j),(0.001112238048958241-0.0005840941151096498j),(3.513330340223019e-05-0.0013764378989472438j),(-0.0011651276088021514-0.0009642740048023326j),(-0.0016481119919107162+1.4598065994541684e-05j),(-0.0015760435162554152+0.0007708917063528982j),(-0.0014733127862077262+0.00102635446876161j),(-0.0015760435162554146+0.0007708917063528973j)
"(8,)",(-0.0017847559071964242-0.0007595041936517665j),(-0.0011824319569200597+0.0009058726437790631j),(0.00047305686825232823+0.0015455005883537275j),(0.0016968212029869535+0.0004349831368945067j),(0.0016724445527767676-0.0008346782591038521j),(0.0009631513208223632-0.0015778875668319308j),(-0.0015651994358500943-0.0012384184789695893j),(-0.0014412464510426385+0.003930873703161245j),(0.0030107604048659462+0.00754058350785998j),(-0.0014412464510426403+0.003930873703161246j),(-0.0015651994358500977-0.0012384184789695901j),(0.0010921571653801751-0.001146785496196431j),(0.0009362246501989518+0.0010016592681243355j),(-0.0009334472521609925+0.0007950515941517114j),(-0.0006907438165520117-0.0008806414966759989j),(0.0007747355652992645-0.0009116404130933653j),(0.0011101325537614226-0.0005767139511542628j),(0.0012207586972844253-0.0001769208254537634j),(0.0011142765018927491+0.00046336216330892594j),(0.0005224612846651779+0.001050871044813436j),(-3.781588218647124e-05+0.0011987691462981569j),(0.0008864003591933855+0.0007391774455340931j),(0.00111223804895824-0.00058409411510965j),(3.513330340222904e-05-0.001376437898947246j),(-0.0011651276088021486-0.0009642740048023295j),(-0.0016481119919107155+1.459806599454272e-05j),(-0.0015760435162554143+0.0007708917063528976j),(-0.0014733127862077272+0.0010263544687616115j),(-0.0015760435162554117+0.000770891706352896j),(-0.0016481119919107142+1.4598065994541142e-05j)
"(9,)",(-0.00047700978244898004-0.0017455265645543517j),(-0.0012909646271247162-0.0005444336608879599j),(-0.0011824319569200584+0.000905872643779064j),(-0.00010999807562656553+0.0015699608877608844j),(0.000772619630707725+0.0014442337933574384j),(0.0013190092835747332+0.0008931019741523464j),(0.0010921571653801784-0.0011467854961964318j),(-0.0015651994358500967-0.0012384184789695919j),(-0.0014412464510426403+0.003930873703161246j),(0.0030107604048659523+0.007540583507859985j),(-0.001441246451042642+0.0039308737031612485j),(-0.0015651994358500977-0.0012384184789695906j),(0.0010921571653801777-0.0011467854961964318j),(0.0009362246501989534+0.0010016592681243392j),(-0.0009334472521609947+0.000795051594151713j),(-0.001013916872830859-0.0008041360358041392j),(-0.0006364958243862803-0.0011891557832884117j),(-0.00013673114989419394-0.0013164379270911182j),(0.0006296538684267887-0.0011213157787271408j),(0.0012014832378804147-0.0003110148235165117j),(0.0012106827698435763+0.00041827326213098867j),(0.001112238048958242-0.0005840941151096493j),(3.513330340222967e-05-0.0013764378989472481j),(-0.0011651276088021532-0.0009642740048023339j),(-0.0016481119919107147+1.45980659945421e-05j),(-0.0015760435162554159+0.0007708917063528986j),(-0.001473312786207729+0.0010263544687616126j),(-0.0015760435162554165+0.000770891706352898j),(-0.0016481119919107147+1.4598065994541857e-05j),(-0.0011651276088021512-0.0009642740048023338j)
