index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(0.0030080565776615183+0.018806064303579097j),(-0.005240295267851907+0.0032841621521647645j),(0.003024841446199827-0.0020962129434128215j),(-0.0009758315184518606+0.004506847995155821j),(-0.004402171147791347+0.0028018452638191595j),(-0.0039231392347562465-0.002236258082279975j),(0.0021084481348928666-0.0030734600747429446j),(0.001571615065923765+0.0027004837534035948j),(-0.002678815840450486-0.0003460994384001071j),(0.001897795344169704-0.001467671100873496j),(-0.00044680250703190734+0.0021288579279771526j),(-0.0008620163486906787-0.0018077030783626483j),(0.0016267440351541422+0.0009126043511446953j),(-0.001747537625168894+0.00013407569891541599j),(0.0013256619531700376-0.0009964630181792337j),(0.00027037134282532807+0.0024017372061252307j),(0.00028562029136209135+0.0026490795695825312j),(0.0010579994978592397+0.0024570642999740015j),(0.0017946141352138665+0.001398677811024494j),(-7.564916371149367e-05-0.0015648581227411629j),(-0.0006765240224531804+0.0014974264940032429j),(0.0013529455853157867-0.0010814319405208221j),(-0.001799393277820222+0.0003702117864332618j),(0.0018940325412810054+0.0005190308200931821j),(-0.0015716404738538884-0.0014243625353728253j),(0.0008362883405879882+0.0021673254453864325j),(0.00024214862265889073-0.002584719298989055j),(-0.0015528589439829405+0.002558599121497822j),(0.003024841446199806-0.0020962129434128037j),(-0.004479344100157726+0.003471386403654167j)
"(1,)",(-0.005240295267851907+0.0032841621521647645j),(0.0006780371991972901+0.014940240850844336j),(-0.002950612400747512+0.0024694378407304355j),(0.0023003828618641375-0.0019736392012933987j),(0.0029923383800137056+0.0014406722112574937j),(-0.001347672164844801+0.002650389405074998j),(-0.001488815934665703-0.0021723988451972463j),(0.002334594006600867+0.00032124015180325007j),(-0.0018002599360115166+0.0011569180456200573j),(0.000699026665064297-0.0018408298925268445j),(0.00041796353351584016+0.0017831150825785022j),(-0.0012266356306294387-0.0012030485903724408j),(0.0015801968331111836+0.00037026335290132515j),(-0.0014721935584795641+0.0004579995977786346j),(0.0010003637266697157-0.0010791359970625377j),(0.0004811168831191601+0.002118378269057053j),(0.00015550373124913102+0.0024771595020651044j),(0.00043035096477536184+0.002466803367983812j),(0.0010728408936923563+0.0018820141524211213j),(0.0005571312625692435-0.001367711029302572j),(-0.0011867391161968844+0.000994948551084162j),(0.001596510316818811-0.00033850410910852224j),(-0.0016614006647948985-0.00048371421763966226j),(0.0013137033197402179+0.0013009556748282236j),(-0.0005621942288924447-0.0019144212537988404j),(-0.0004994089557155278+0.0021243911287153958j),(0.001689810829435613-0.0017492392384850536j),(-0.0027160329838718943+0.0006207753264185985j),(0.0029923383800136896+0.0014406722112574833j),(-0.0007159352169372312-0.004170948156074849j)
"(2,)",(0.003024841446199827-0.0020962129434128215j),(-0.002950612400747512+0.0024694378407304355j),(0.0006780371991972878+0.014940240850844284j),(-0.0047720685974820785+0.0033428314884081443j),(-0.0007159352169372223-0.00417094815607484j),(0.002992338380013703+0.0014406722112574862j),(-0.002716032983871894+0.0006207753264186008j),(0.0016898108294355926-0.0017492392384850612j),(-0.0004994089557155241+0.0021243911287153867j),(-0.0005621942288924588-0.0019144212537988493j),(0.0013137033197402218+0.0013009556748282264j),(-0.0016614006647949-0.0004837142176396546j),(0.001596510316818806-0.00033850410910852836j),(-0.0011867391161968794+0.0009949485510841612j),(0.0005571312625692516-0.0013677110293025747j),(0.0010728408936923502+0.0018820141524211222j),(0.0004303509647753609+0.002466803367983807j),(0.0001555037312491319+0.0024771595020650987j),(0.0004811168831191646+0.002118378269057046j),(0.0010003637266697049-0.0010791359970625332j),(-0.001472193558479564+0.00045799959777863313j),(0.0015801968331111817+0.00037026335290133117j),(-0.001226635630629429-0.0012030485903724417j),(0.0004179635335158381+0.0017831150825784931j),(0.0006990266650643009-0.0018408298925268213j),(-0.0018002599360115153+0.0011569180456200566j),(0.0023345940066008637+0.00032124015180326476j),(-0.0014888159346656954-0.0021723988451972406j),(-0.0013476721648447941+0.0026503894050749783j),(0.0029923383800136982+0.0014406722112574844j)
"(3,)",(-0.0009758315184518606+0.004506847995155821j),(0.0023003828618641375-0.0019736392012933987j),(-0.0047720685974820785+0.0033428314884081443j),(0.0016386759149092938+0.01738018213623396j),(-0.004772068597482077+0.0033428314884081287j),(0.0023003828618641466-0.0019736392012933883j),(-0.0010265708134005462+0.002188083413320555j),(-2.6911896558797303e-05-0.002092868695266218j),(0.0008547713849160937+0.0016647334128160626j),(-0.0013796225437852543-0.0010064198506005671j),(0.0015600093913973891+0.00025408129587004393j),(-0.0014081665895737403+0.00044940257700361384j),(0.000990210623667858-0.0009802447451592782j),(-0.00041363096289252196+0.0012552389947677316j),(-0.00019369041950800152-0.001244988779371316j),(0.0015572293713323616+0.0009665316572837298j),(0.001072840893692343+0.0018820141524211258j),(0.00048111688311914847+0.0021183782690570507j),(0.0004553461844430837+0.0019272655736412376j),(0.0009816893534919757-0.0009444515661225865j),(-0.0014140421772768504+0.00028507866596889816j),(0.0014243050699439016+0.0005820935929214241j),(-0.0008927330797899047-0.0013953677144081826j),(-0.000147528180260714+0.0017988589991961219j),(0.0014147699750361813-0.0014107062216265577j),(-0.002258396210769006-6.0437376991418356e-06j),(0.0015912739029857988+0.0020842041829789632j),(0.0014423511553241014-0.0027818289938973096j),(-0.0034872282152343826-0.0014665954270304876j),(-0.0033479697317622082+0.002723617354719805j)
"(4,)",(-0.004402171147791347+0.0028018452638191595j),(0.0029923383800137056+0.0014406722112574937j),(-0.0007159352169372223-0.00417094815607484j),(-0.004772068597482077+0.0033428314884081287j),(0.0006780371991972692+0.014940240850844277j),(-0.002950612400747494+0.0024694378407304554j),(0.0017658948666750525-0.0008360833287427917j),(-0.0010806104256743138+0.0011530552339442434j),(0.0004382167466708123-0.0013037756305514904j),(0.00015206699498474538+0.0012234456587017174j),(-0.0006182026643848313-0.0009419416151594721j),(0.0009018056472039367+0.0005255937015566247j),(-0.0009748973051248731-6.0709969643864846e-05j),(0.0008465082614213559-0.0003633219394741094j),(-0.0005606140652778127+0.0006706271095559324j),(-0.00019369041950800518-0.0012449887793713078j),(0.0005571312625692473-0.0013677110293025684j),(0.0010003637266697077-0.0010791359970625314j),(0.0009816893534919714-0.0009444515661225909j),(-0.0009063977321095436-0.0002835224709657388j),(0.0006348000354007527+0.0007962430164397473j),(-5.6003799959029315e-05-0.0011034105011727949j),(-0.000697722409219248+0.0009982307214031836j),(0.0013314213441190945-0.0003329282358379771j),(-0.0013575616243980864-0.0008377632480265673j),(0.00017609319303936417+0.0019282532571605413j),(0.0021502716678409826-0.0012413990546687216j),(-0.0018954774361584295-0.0027446468955360332j),(-0.004334024596918785+0.000609356351168196j),(-0.004240016846484582+0.002480708648384929j)
"(5,)",(-0.0039231392347562465-0.002236258082279975j),(-0.001347672164844801+0.002650389405074998j),(0.002992338380013703+0.0014406722112574862j),(0.0023003828618641466-0.0019736392012933883j),(-0.002950612400747494+0.0024694378407304554j),(0.0006780371991972717+0.014940240850844274j),(-0.002950612400747508+0.0024694378407304346j),(0.0017658948666750488-0.0008360833287428031j),(-0.0010806104256743236+0.0011530552339442436j),(0.00043821674667081183-0.0013037756305515037j),(0.00015206699498474305+0.0012234456587017232j),(-0.0006182026643848336-0.0009419416151594723j),(0.0009018056472039404+0.0005255937015566264j),(-0.0009748973051248768-6.0709969643868403e-05j),(0.0008465082614213602-0.0003633219394741108j),(-0.00041363096289251703+0.0012552389947677316j),(-0.0011867391161968787+0.0009949485510841593j),(-0.0014721935584795605+0.0004579995977786341j),(-0.001414042177276845+0.00028507866596890694j),(0.0006348000354007525+0.0007962430164397442j),(-5.600379995903047e-05-0.0011034105011727988j),(-0.0006977224092192503+0.0009982307214031893j),(0.0013314213441190986-0.0003329282358379752j),(-0.0013575616243980974-0.0008377632480265699j),(0.00017609319303936495+0.0019282532571605394j),(0.002150271667840982-0.0012413990546687275j),(-0.0018954774361584327-0.0027446468955360354j),(-0.004334024596918799+0.0006093563511682015j),(-0.004240016846484573+0.0024807086483849237j),(-0.004334024596918797+0.0006093563511682041j)
"(6,)",(0.0021084481348928666-0.0030734600747429446j),(-0.001488815934665703-0.0021723988451972463j),(-0.002716032983871894+0.0006207753264186008j),(-0.0010265708134005462+0.002188083413320555j),(0.0017658948666750525-0.0008360833287427917j),(-0.002950612400747508+0.0024694378407304346j),(0.0006780371991973155+0.014940240850844284j),(-0.0029506124007475077+0.0024694378407304463j),(0.0017658948666750566-0.0008360833287427948j),(-0.0010806104256743277+0.0011530552339442538j),(0.0004382167466708172-0.0013037756305515043j),(0.00015206699498474327+0.0012234456587017202j),(-0.0006182026643848327-0.0009419416151594731j),(0.0009018056472039385+0.000525593701556632j),(-0.0009748973051248782-6.070996964387011e-05j),(0.0009902106236678596-0.0009802447451592764j),(0.0015965103168188097-0.0003385041091085202j),(0.0015801968331111802+0.00037026335290133187j),(0.0014243050699439032+0.0005820935929214164j),(-5.600379995903182e-05-0.0011034105011727942j),(-0.0006977224092192519+0.0009982307214031895j),(0.0013314213441190995-0.00033292823583797374j),(-0.001357561624398095-0.0008377632480265758j),(0.0001760931930393676+0.001928253257160546j),(0.0021502716678409774-0.0012413990546687203j),(-0.0018954774361584295-0.0027446468955360285j),(-0.004334024596918791+0.0006093563511681977j),(-0.00424001684648458+0.0024807086483849294j),(-0.004334024596918782+0.0006093563511682078j),(-0.0018954774361584353-0.0027446468955360285j)
"(7,)",(0.001571615065923765+0.0027004837534035948j),(0.002334594006600867+0.00032124015180325007j),(0.0016898108294355926-0.0017492392384850612j),(-2.6911896558797303e-05-0.002092868695266218j),(-0.0010806104256743138+0.0011530552339442434j),(0.0017658948666750488-0.0008360833287428031j),(-0.0029506124007475077+0.0024694378407304463j),(0.0006780371991972758+0.014940240850844248j),(-0.0029506124007475047+0.002469437840730443j),(0.0017658948666750564-0.0008360833287427916j),(-0.00108061042567433+0.0011530552339442406j),(0.00043821674667081817-0.0013037756305514924j),(0.0001520669949847367+0.0012234456587017146j),(-0.0006182026643848213-0.0009419416151594743j),(0.0009018056472039316+0.000525593701556635j),(-0.0014081665895737353+0.0004494025770036035j),(-0.0016614006647948886-0.0004837142176396675j),(-0.0012266356306294198-0.0012030485903724425j),(-0.0008927330797899051-0.0013953677144081763j),(-0.0006977224092192483+0.0009982307214031797j),(0.0013314213441190984-0.00033292823583796826j),(-0.0013575616243980892-0.0008377632480265774j),(0.00017609319303935587+0.0019282532571605403j),(0.0021502716678409818-0.001241399054668719j),(-0.0018954774361584193-0.002744646895536025j),(-0.004334024596918784+0.0006093563511681956j),(-0.004240016846484577+0.002480708648384927j),(-0.004334024596918793+0.0006093563511682136j),(-0.0018954774361584392-0.0027446468955360133j),(0.0021502716678409722-0.0012413990546687327j)
"(8,)",(-0.002678815840450486-0.0003460994384001071j),(-0.0018002599360115166+0.0011569180456200573j),(-0.0004994089557155241+0.0021243911287153867j),(0.0008547713849160937+0.0016647334128160626j),(0.0004382167466708123-0.0013037756305514904j),(-0.0010806104256743236+0.0011530552339442436j),(0.0017658948666750566-0.0008360833287427948j),(-0.0029506124007475047+0.002469437840730443j),(0.0006780371991972963+0.014940240850844309j),(-0.0029506124007475164+0.002469437840730441j),(0.0017658948666750573-0.0008360833287427958j),(-0.0010806104256743214+0.001153055233944244j),(0.000438216746670813-0.0013037756305514948j),(0.0001520669949847367+0.0012234456587017154j),(-0.0006182026643848252-0.0009419416151594732j),(0.0015600093913973772+0.00025408129587004154j),(0.0013137033197402077+0.0013009556748282214j),(0.0004179635335158309+0.0017831150825784894j),(-0.00014752818026070582+0.0017988589991961193j),(0.001331421344119092-0.00033292823583797574j),(-0.001357561624398092-0.0008377632480265749j),(0.00017609319303936292+0.0019282532571605429j),(0.0021502716678409813-0.0012413990546687227j),(-0.0018954774361584364-0.00274464689553603j),(-0.004334024596918785+0.0006093563511682001j),(-0.0042400168464845735+0.002480708648384927j),(-0.004334024596918794+0.0006093563511682098j),(-0.0018954774361584395-0.0027446468955360293j),(0.00215027166784097-0.001241399054668729j),(0.00017609319303936774+0.001928253257160541j)
"(9,)",(0.001897795344169704-0.001467671100873496j),(0.000699026665064297-0.0018408298925268445j),(-0.0005621942288924588-0.0019144212537988493j),(-0.0013796225437852543-0.0010064198506005671j),(0.00015206699498474538+0.0012234456587017174j),(0.00043821674667081183-0.0013037756305515037j),(-0.0010806104256743277+0.0011530552339442538j),(0.0017658948666750564-0.0008360833287427916j),(-0.0029506124007475164+0.002469437840730441j),(0.0006780371991972969+0.01494024085084432j),(-0.0029506124007475164+0.002469437840730435j),(0.0017658948666750636-0.0008360833287427924j),(-0.0010806104256743314+0.0011530552339442438j),(0.000438216746670826-0.0013037756305514965j),(0.00015206699498473118+0.0012234456587017232j),(-0.0013796225437852439-0.0010064198506005736j),(-0.0005621942288924379-0.001914421253798851j),(0.0006990266650643118-0.0018408298925268304j),(0.001414769975036189-0.0014107062216265668j),(-0.001357561624398091-0.0008377632480265759j),(0.00017609319303935763+0.0019282532571605496j),(0.0021502716678409896-0.0012413990546687184j),(-0.0018954774361584273-0.0027446468955360397j),(-0.004334024596918803+0.0006093563511682028j),(-0.004240016846484579+0.0024807086483849277j),(-0.004334024596918798+0.0006093563511682104j),(-0.001895477436158451-0.0027446468955360293j),(0.002150271667840982-0.0012413990546687413j),(0.0001760931930393789+0.0019282532571605418j),(-0.0013575616243981002-0.0008377632480265683j)
