index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(0.003008056577661519+0.018806064303579076j),(-0.005240295267851902+0.0032841621521647662j),(0.003024841446199825-0.0020962129434128223j),(-0.0009758315184518629+0.004506847995155822j),(-0.004402171147791341+0.00280184526381916j),(-0.003923139234756244-0.0022362580822799733j),(0.002108448134892871-0.003073460074742942j),(0.0015716150659237627+0.002700483753403604j),(-0.002678815840450483-0.0003460994384001108j),(0.0018977953441697117-0.0014676711008734847j),(-0.00044680250703190826+0.002128857927977147j),(-0.0008620163486906782-0.0018077030783626483j),(0.0016267440351541416+0.00091260435114469j),(-0.0017475376251688936+0.00013407569891542274j),(0.0013256619531700385-0.000996463018179238j),(0.0002703713428253298+0.00240173720612523j),(0.000285620291362091+0.002649079569582532j),(0.00105799949785924+0.0024570642999740024j),(0.0017946141352138656+0.0013986778110244946j),(-7.564916371148863e-05-0.001564858122741163j),(-0.0006765240224531814+0.001497426494003249j),(0.0013529455853157908-0.0010814319405208265j),(-0.0017993932778202315+0.000370211786433254j),(0.001894032541281003+0.0005190308200931921j),(-0.001571640473853885-0.0014243625353728296j),(0.0008362883405879766+0.002167325445386436j),(0.00024214862265888655-0.0025847192989890597j),(-0.0015528589439829388+0.0025585991214978317j),(0.0030248414461998166-0.002096212943412802j),(-0.0044776323549329585+0.0034713864036541517j)
"(1,)",(-0.005240295267851902+0.0032841621521647662j),(0.0006780371991972901+0.014940240850844336j),(-0.002950612400747512+0.0024694378407304355j),(0.0023003828618641396-0.001973639201293396j),(0.0029923383800137056+0.0014406722112574916j),(-0.001347672164844801+0.002650389405074998j),(-0.0014888159346657017-0.002172398845197248j),(0.0023345940066008724+0.0003212401518032564j),(-0.0018002599360115161+0.0011569180456200512j),(0.0006990266650643079-0.0018408298925268402j),(0.00041796353351583897+0.0017831150825784994j),(-0.0012266356306294387-0.0012030485903724404j),(0.0015801968331111812+0.0003702633529013206j),(-0.001472193558479562+0.00045799959777864023j),(0.0010003637266697161-0.001079135997062542j),(0.0004811168831191616+0.002118378269057051j),(0.00015550373124913102+0.0024771595020651044j),(0.00043035096477536184+0.002466803367983812j),(0.001072840893692355+0.0018820141524211204j),(0.0005571312625692488-0.001367711029302571j),(-0.0011867391161968866+0.0009949485510841677j),(0.0015965103168188157-0.0003385041091085227j),(-0.001661400664794902-0.0004837142176396718j),(0.0013137033197402107+0.0013009556748282292j),(-0.00056219422889244-0.0019144212537988404j),(-0.0004994089557155375+0.0021243911287153914j),(0.0016898108294356104-0.0017492392384850582j),(-0.0027160329838718964+0.0006207753264186054j),(0.0029923383800136926+0.0014406722112574864j),(-0.000715935216937229-0.004170948156074858j)
"(2,)",(0.003024841446199825-0.0020962129434128223j),(-0.002950612400747512+0.0024694378407304355j),(0.0006780371991972878+0.014940240850844284j),(-0.004772068597482082+0.003342831488408138j),(-0.0007159352169372254-0.004170948156074844j),(0.0029923383800137034+0.001440672211257487j),(-0.0027160329838718943+0.0006207753264185984j),(0.001689810829435603-0.0017492392384850634j),(-0.0004994089557155271+0.0021243911287153814j),(-0.0005621942288924474-0.0019144212537988527j),(0.001313703319740217+0.001300955674828223j),(-0.0016614006647948998-0.00048371421763965385j),(0.0015965103168188014-0.00033850410910853053j),(-0.0011867391161968748+0.000994948551084164j),(0.0005571312625692498-0.0013677110293025788j),(0.0010728408936923508+0.00188201415242112j),(0.0004303509647753609+0.002466803367983807j),(0.0001555037312491319+0.0024771595020650987j),(0.00048111688311916375+0.002118378269057045j),(0.001000363726669708-0.0010791359970625308j),(-0.0014721935584795676+0.0004579995977786366j),(0.0015801968331111843+0.0003702633529013316j),(-0.001226635630629427-0.001203048590372452j),(0.00041796353351582953+0.0017831150825784938j),(0.000699026665064303-0.0018408298925268196j),(-0.0018002599360115194+0.0011569180456200488j),(0.002334594006600865+0.0003212401518032615j),(-0.0014888159346657026-0.0021723988451972398j),(-0.0013476721648447963+0.0026503894050749826j),(0.0029923383800137004+0.0014406722112574857j)
"(3,)",(-0.0009758315184518629+0.004506847995155822j),(0.0023003828618641396-0.001973639201293396j),(-0.004772068597482082+0.003342831488408138j),(0.0016386759149092725+0.01738018213623397j),(-0.004772068597482077+0.0033428314884081435j),(0.0023003828618641323-0.001973639201293398j),(-0.0010265708134005343+0.002188083413320557j),(-2.691189655880191e-05-0.0020928686952662234j),(0.0008547713849160961+0.001664733412816054j),(-0.0013796225437852515-0.0010064198506005671j),(0.0015600093913973841+0.0002540812958700361j),(-0.0014081665895737342+0.00044940257700362034j),(0.000990210623667847-0.0009802447451592818j),(-0.0004136309628925099+0.0012552389947677331j),(-0.0001936904195080105-0.0012449887793713158j),(0.0015572293713323642+0.000966531657283719j),(0.0010728408936923515+0.00188201415242112j),(0.0004811168831191579+0.0021183782690570464j),(0.00045534618444309147+0.0019272655736412335j),(0.000981689353491973-0.0009444515661225887j),(-0.001414042177276851+0.0002850786659689062j),(0.0014243050699439075+0.0005820935929214204j),(-0.000892733079789908-0.0013953677144081867j),(-0.00014752818026071322+0.0017988589991961208j),(0.0014147699750361785-0.0014107062216265596j),(-0.002258396210769005-6.043737699140184e-06j),(0.0015912739029858122+0.0020842041829789563j),(0.0014423511553240888-0.002781828993897321j),(-0.003487228215234395-0.001466595427030482j),(-0.0033479697317622104+0.0027236173547198123j)
"(4,)",(-0.004402171147791341+0.00280184526381916j),(0.0029923383800137056+0.0014406722112574916j),(-0.0007159352169372254-0.004170948156074844j),(-0.004772068597482077+0.0033428314884081435j),(0.0006780371991972871+0.014940240850844276j),(-0.0029506124007475055+0.002469437840730437j),(0.0017658948666750603-0.0008360833287427896j),(-0.0010806104256743262+0.0011530552339442473j),(0.00043821674667081665-0.0013037756305514913j),(0.00015206699498473736+0.001223445658701723j),(-0.0006182026643848302-0.0009419416151594737j),(0.0009018056472039385+0.0005255937015566267j),(-0.0009748973051248739-6.070996964386283e-05j),(0.0008465082614213569-0.0003633219394741134j),(-0.0005606140652778152+0.0006706271095559368j),(-0.0001936904195080058-0.001244988779371311j),(0.0005571312625692507-0.0013677110293025716j),(0.0010003637266697118-0.0010791359970625334j),(0.0009816893534919744-0.0009444515661225909j),(-0.0009063977321095455-0.0002835224709657414j),(0.0006348000354007537+0.0007962430164397521j),(-5.600379995902838e-05-0.0011034105011727994j),(-0.0006977224092192572+0.0009982307214031867j),(0.0013314213441190995-0.0003329282358379713j),(-0.0013575616243980875-0.0008377632480265745j),(0.0001760931930393593+0.0019282532571605446j),(0.0021502716678409844-0.001241399054668725j),(-0.0018954774361584334-0.0027446468955360324j),(-0.004334024596918786+0.0006093563511681975j),(-0.00424001684648458+0.00248070864838493j)
"(5,)",(-0.003923139234756244-0.0022362580822799733j),(-0.001347672164844801+0.002650389405074998j),(0.0029923383800137034+0.001440672211257487j),(0.0023003828618641323-0.001973639201293398j),(-0.0029506124007475055+0.002469437840730437j),(0.0006780371991972915+0.014940240850844284j),(-0.002950612400747506+0.0024694378407304537j),(0.0017658948666750593-0.0008360833287428026j),(-0.0010806104256743236+0.0011530552339442408j),(0.00043821674667081904-0.001303775630551502j),(0.0001520669949847426+0.0012234456587017204j),(-0.000618202664384834-0.0009419416151594712j),(0.0009018056472039406+0.0005255937015566222j),(-0.0009748973051248773-6.070996964386382e-05j),(0.0008465082614213617-0.000363321939474114j),(-0.00041363096289251465+0.0012552389947677327j),(-0.0011867391161968783+0.0009949485510841623j),(-0.0014721935584795605+0.00045799959777863535j),(-0.0014140421772768437+0.0002850786659689083j),(0.0006348000354007519+0.0007962430164397455j),(-5.6003799959029945e-05-0.0011034105011728005j),(-0.0006977224092192503+0.0009982307214031923j),(0.0013314213441191012-0.00033292823583797097j),(-0.0013575616243980929-0.0008377632480265764j),(0.00017609319303936162+0.0019282532571605392j),(0.002150271667840984-0.0012413990546687233j),(-0.001895477436158435-0.0027446468955360332j),(-0.004334024596918795+0.000609356351168206j),(-0.004240016846484572+0.0024807086483849255j),(-0.004334024596918796+0.0006093563511682063j)
"(6,)",(0.002108448134892871-0.003073460074742942j),(-0.0014888159346657017-0.002172398845197248j),(-0.0027160329838718943+0.0006207753264185984j),(-0.0010265708134005343+0.002188083413320557j),(0.0017658948666750603-0.0008360833287427896j),(-0.002950612400747506+0.0024694378407304537j),(0.0006780371991972882+0.01494024085084428j),(-0.0029506124007475047+0.0024694378407304316j),(0.0017658948666750501-0.0008360833287427924j),(-0.0010806104256743333+0.0011530552339442475j),(0.000438216746670815-0.0013037756305514998j),(0.00015206699498474481+0.0012234456587017187j),(-0.0006182026643848348-0.0009419416151594679j),(0.0009018056472039407+0.000525593701556626j),(-0.0009748973051248804-6.0709969643867475e-05j),(0.000990210623667856-0.0009802447451592773j),(0.001596510316818807-0.000338504109108523j),(0.0015801968331111808+0.00037026335290132976j),(0.001424305069943903+0.0005820935929214142j),(-5.600379995903031e-05-0.0011034105011727949j),(-0.000697722409219251+0.0009982307214031934j),(0.0013314213441191006-0.0003329282358379758j),(-0.0013575616243980946-0.0008377632480265812j),(0.0001760931930393623+0.0019282532571605455j),(0.0021502716678409796-0.0012413990546687197j),(-0.0018954774361584297-0.002744646895536032j),(-0.004334024596918794+0.000609356351168204j),(-0.00424001684648458+0.002480708648384932j),(-0.004334024596918787+0.0006093563511682059j),(-0.001895477436158437-0.002744646895536032j)
"(7,)",(0.0015716150659237627+0.002700483753403604j),(0.0023345940066008724+0.0003212401518032564j),(0.001689810829435603-0.0017492392384850634j),(-2.691189655880191e-05-0.0020928686952662234j),(-0.0010806104256743262+0.0011530552339442473j),(0.0017658948666750593-0.0008360833287428026j),(-0.0029506124007475047+0.0024694378407304316j),(0.0006780371991972879+0.01494024085084428j),(-0.0029506124007475047+0.002469437840730447j),(0.0017658948666750675-0.0008360833287427859j),(-0.0010806104256743298+0.0011530552339442427j),(0.000438216746670816-0.0013037756305514965j),(0.00015206699498474294+0.0012234456587017152j),(-0.0006182026643848296-0.0009419416151594733j),(0.0009018056472039398+0.000525593701556634j),(-0.0014081665895737383+0.00044940257700360934j),(-0.0016614006647948962-0.0004837142176396657j),(-0.0012266356306294287-0.0012030485903724443j),(-0.0008927330797899112-0.001395367714408179j),(-0.000697722409219251+0.0009982307214031832j),(0.0013314213441191027-0.0003329282358379738j),(-0.0013575616243980955-0.0008377632480265793j),(0.0001760931930393525+0.001928253257160548j),(0.0021502716678409865-0.0012413990546687194j),(-0.001895477436158422-0.00274464689553603j),(-0.00433402459691879+0.0006093563511681981j),(-0.004240016846484578+0.002480708648384929j),(-0.004334024596918794+0.000609356351168206j),(-0.0018954774361584382-0.0027446468955360215j),(0.0021502716678409813-0.001241399054668733j)
"(8,)",(-0.002678815840450483-0.0003460994384001108j),(-0.0018002599360115161+0.0011569180456200512j),(-0.0004994089557155271+0.0021243911287153814j),(0.0008547713849160961+0.001664733412816054j),(0.00043821674667081665-0.0013037756305514913j),(-0.0010806104256743236+0.0011530552339442408j),(0.0017658948666750501-0.0008360833287427924j),(-0.0029506124007475047+0.002469437840730447j),(0.0006780371991972845+0.014940240850844298j),(-0.0029506124007475164+0.0024694378407304394j),(0.0017658948666750462-0.0008360833287427965j),(-0.0010806104256743149+0.0011530552339442436j),(0.00043821674667080386-0.0013037756305514909j),(0.00015206699498474462+0.001223445658701711j),(-0.0006182026643848299-0.000941941615159471j),(0.001560009391397375+0.000254081295870036j),(0.0013137033197402077+0.001300955674828217j),(0.000417963533515834+0.0017831150825784853j),(-0.00014752818026070276+0.0017988589991961158j),(0.001331421344119089-0.0003329282358379736j),(-0.0013575616243980957-0.0008377632480265714j),(0.000176093193039365+0.001928253257160543j),(0.002150271667840983-0.0012413990546687177j),(-0.001895477436158431-0.002744646895536031j),(-0.004334024596918787+0.0006093563511681976j),(-0.004240016846484577+0.002480708648384927j),(-0.004334024596918794+0.0006093563511682036j),(-0.0018954774361584301-0.0027446468955360306j),(0.002150271667840972-0.001241399054668727j),(0.0001760931930393653+0.0019282532571605418j)
"(9,)",(0.0018977953441697117-0.0014676711008734847j),(0.0006990266650643079-0.0018408298925268402j),(-0.0005621942288924474-0.0019144212537988527j),(-0.0013796225437852515-0.0010064198506005671j),(0.00015206699498473736+0.001223445658701723j),(0.00043821674667081904-0.001303775630551502j),(-0.0010806104256743333+0.0011530552339442475j),(0.0017658948666750675-0.0008360833287427859j),(-0.0029506124007475164+0.0024694378407304394j),(0.0006780371991973095+0.01494024085084432j),(-0.0029506124007475172+0.0024694378407304476j),(0.0017658948666750588-0.0008360833287428035j),(-0.0010806104256743192+0.0011530552339442527j),(0.0004382167466708124-0.0013037756305515026j),(0.00015206699498474156+0.0012234456587017256j),(-0.0013796225437852506-0.0010064198506005654j),(-0.0005621942288924481-0.0019144212537988497j),(0.0006990266650643034-0.0018408298925268341j),(0.0014147699750361805-0.0014107062216265744j),(-0.0013575616243980929-0.000837763248026573j),(0.0001760931930393661+0.001928253257160554j),(0.0021502716678409887-0.0012413990546687272j),(-0.0018954774361584273-0.0027446468955360397j),(-0.0043340245969188005+0.0006093563511682019j),(-0.004240016846484579+0.002480708648384928j),(-0.004334024596918797+0.0006093563511682091j),(-0.0018954774361584408-0.0027446468955360345j),(0.0021502716678409887-0.0012413990546687277j),(0.00017609319303937078+0.0019282532571605437j),(-0.0013575616243981002-0.0008377632480265761j)
