index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.039062430997066064+0.2075488678627232j),(0.8164119102152207+0.8366178522827658j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.17521347147100694+0.1269003246769302j),(0.06660940208350946+1.120985409623121j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.22090028319034008-0.022753043731188666j),(-0.6739424602820473+0.42362847969334916j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.15890872420248897-0.16415936805073258j),(-0.7005724311878343-0.6753268000423601j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(0.02413389152809687-0.2344103598614169j),(-0.010852671408838478-1.2337981426633982j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.12307463951041507-0.21030717564224607j),(0.6985563182981808-0.7803269728164578j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.227899863082545-0.10890734678733133j),(0.6959677868127676+0.2738047714907707j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.260749094053239+0.029083057399259j),(-0.08289424495540851+1.0131397898351424j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.22099033283046116+0.16013162728626504j),(-0.9524457931844332+0.842020848141353j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.12888397194762907+0.25305726287524016j),(-1.0980635861141892+0.006702081310172497j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(-0.013080883629719889+0.2949531053156056j),(-0.3301319586136734-0.6534553593511325j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.10024402910241649+0.2892879560750547j),(0.7264220785461547-0.49039213883236005j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.19365022566889917+0.24984115085383j),(1.1881317454641709+0.3547530509685757j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.2598802294126537+0.19401208308938525j),(0.709581570678985+1.087191070562368j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.29988349276883614+0.13777343039012852j),(-0.20808883061349598+0.9991468213638428j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.3192349594972411+0.09307210856804646j),(-0.6800160143159728+0.13176954173025568j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.32444759445077637+0.06734946871747437j),(-0.24861930458896647-0.7521591213686657j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.3200565013561349+0.06423037446618306j),(0.6993353048449455-0.8610520630760499j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.3068112747791137+0.08429096318823186j),(1.2902007789998848-0.09721684101981314j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.28109067140084243+0.12504821074684447j),(0.9656913664969062+0.8539665108834141j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.23577699199295743+0.1798428761227953j),(-0.006977554153107995+1.1499306197446895j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.16306324440968084+0.23610216888496743j),(-0.7841613486684125+0.5566728635344327j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.05952958307902693+0.2745062491815855j),(-0.7224703762947752-0.3487722307448211j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.06723609503562858+0.2714435559381667j),(0.03398218914736799-0.7234206855274968j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.19331522072227506+0.2068819567240152j),(0.6981876944610425-0.24613300132885832j)
"(0.8461538461538463, -3.0)",[ 0.84615385 -3.        ],(0.8632537488429478+0.5047702102032139j),(-0.2794518759282509+0.0772621323502482j),(0.583801872914697+0.5820323425534621j)
"(1.0, -3.0)",[ 1. -3.],(0.04240776977795813+0.999100385878446j),(-0.2832315471804221-0.09188443418282455j),(-0.24082377740246397+0.9072159516956214j)
"(1.1538461538461542, -3.0)",[ 1.15384615 -3.        ],(-0.8173749219347579+0.5761060987284793j),(-0.18227183814262538-0.24370581898118607j),(-0.9996467600773833+0.33240027974729325j)
"(1.3076923076923084, -3.0)",[ 1.30769231 -3.        ],(-0.9266844662156044-0.37584025871997856j),(0.0014520121543997976-0.3078767140778158j),(-0.9252324540612046-0.6837169727977943j)
"(1.4615384615384617, -3.0)",[ 1.46153846 -3.        ],(-0.18515825645731304-0.9827087157778178j),(0.19459057764873197-0.23808579971975727j),(0.00943232119141893-1.220794515497575j)
"(1.6153846153846159, -3.0)",[ 1.61538462 -3.        ],(0.7263710886646181-0.6873027291901128j),(0.29870480048001413-0.05119784540797602j),(1.0250758891446323-0.7385005745980888j)
"(1.7692307692307692, -3.0)",[ 1.76923077 -3.        ],(0.9709824962710165+0.23915056331797652j),(0.24646518075120327+0.1624163415406884j),(1.2174476770222198+0.4015669048586649j)
"(1.9230769230769234, -3.0)",[ 1.92307692 -3.        ],(0.3240858938776612+0.946027659949495j),(0.05623132126865599+0.2792228892452438j),(0.38031721514631717+1.2252505491947387j)
"(2.0769230769230775, -3.0)",[ 2.07692308 -3.        ],(-0.6203703158510077+0.7843090406280684j),(-0.16033202099312102+0.22126090798723597j),(-0.7807023368441287+1.0055699486153045j)
"(2.230769230769231, -3.0)",[ 2.23076923 -3.        ],(-0.9952332446799114-0.0975232725245396j),(-0.2606690762392537+0.02176524025073343j),(-1.255902320919165-0.07575803227380618j)
"(2.384615384615385, -3.0)",[ 2.38461538 -3.        ],(-0.45632232809179374-0.8898145497152119j),(-0.17311057765972065-0.18142854295218905j),(-0.6294329057515144-1.071243092667401j)
"(2.5384615384615383, -3.0)",[ 2.53846154 -3.        ],(0.5015611366090934-0.865122203069251j),(0.03801192537382891-0.2384288230329375j),(0.5395730619829223-1.1035510261021886j)
"(2.6923076923076925, -3.0)",[ 2.69230769 -3.        ],(0.9989360210741761-0.04611752162132389j),(0.20861080039609264-0.10574867401994789j),(1.2075468214702687-0.1518661956412718j)
"(2.8461538461538467, -3.0)",[ 2.84615385 -3.        ],(0.5791373543320645+0.8152299827761837j),(0.2008719575016456+0.10804785420327576j),(0.7800093118337101+0.9232778369794595j)
"(3.0, -3.0)",[ 3. -3.],(-0.3723965313866303+0.9280737165824741j),(0.022199342456791858+0.2227399737933876j),(-0.3501971889298385+1.1508136903758617j)
"(-3.0, -2.8461538461538463)",[-3.         -2.84615385],(0.3084073358240364+0.9512543903761601j),(0.1830394271851797+0.10867943647246461j),(0.4914467630092161+1.0599338268486247j)
"(-2.8461538461538463, -2.8461538461538463)",[-2.84615385 -2.84615385],(-0.6332472876405948+0.7739495285196767j),(0.21130123682550306-0.05325738788912394j),(-0.42194605081509173+0.7206921406305528j)
"(-2.6923076923076925, -2.8461538461538463)",[-2.69230769 -2.84615385],(-0.9934856328403785-0.11395743652676912j),(0.1205219594550907-0.18821928597583812j),(-0.8729636733852878-0.30217672250260724j)
"(-2.5384615384615383, -2.8461538461538463)",[-2.53846154 -2.84615385],(-0.4415547032094214-0.897234330637008j),(-0.03530059005535766-0.22702586544847475j),(-0.4768552932647791-1.1242601960854828j)
"(-2.3846153846153846, -2.8461538461538463)",[-2.38461538 -2.84615385],(0.5157898731927637-0.8567151257633968j),(-0.17715821890331215-0.15711530259975295j),(0.3386316542894515-1.0138304283631498j)
"(-2.230769230769231, -2.8461538461538463)",[-2.23076923 -2.84615385],(0.9995617485482756-0.0296025478483502j),(-0.2441357162183099-0.016994701953930047j),(0.7554260323299657-0.04659724980228025j)
"(-2.0769230769230766, -2.8461538461538463)",[-2.07692308 -2.84615385],(0.5655855607384725+0.82468962251513j),(-0.21634422502035314+0.1324118068879715j),(0.34924133571811944+0.9571014294031015j)
"(-1.923076923076923, -2.8461538461538463)",[-1.92307692 -2.84615385],(-0.38768326074390597+0.9217926498616555j),(-0.11285450464150999+0.2382169601651145j),(-0.500537765385416+1.16000961002677j)
"(-1.7692307692307692, -2.8461538461538463)",[-1.76923077 -2.84615385],(-0.985000524269936+0.1725513465260451j),(0.025974926702925994+0.27329296823544125j),(-0.95902559756701+0.44584431476148634j)
"(-1.6153846153846154, -2.8461538461538463)",[-1.61538462 -2.84615385],(-0.6779391191659766-0.7351180522232192j),(0.15865961088811747+0.23826827977940931j),(-0.5192795082778592-0.4968497724438099j)
