index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(-3.0, -3.0)",(0.011012527572662429+0.005638056814824426j),(-0.004822725783929863+0.014261039648057201j),(0.0024832133701086783+0.012384859638535216j),(0.0025022772347469075-0.005079858530542134j),(0.0015332666230827535+0.0017313093629502743j),(-0.0055276231939541814+0.003243306119347889j),(0.014853594704475273+0.009795106196445367j),(0.003537618103218179+0.01158757295541326j),(-0.00044555007184740564-0.003169621036030661j),(-0.0033110781991264188-0.0004154000161777174j)
"(-2.8461538461538463, -3.0)",(0.011122552367864955-0.005130943364487517j),(0.007265272763075585+0.013234832375572887j),(0.010525132065690336+0.007735083599791728j),(-0.0011835976729815461-0.005900831962210369j),(0.0022746701893946097+0.0006731568822252872j),(-0.0022827027130100717+0.005630415205569034j),(0.017414447192121974-0.0033209676451909876j),(0.011849013229567756+0.004867706299015653j),(-0.0030458888484409647-0.0014886819408139974j),(-0.002168103546316657+0.0024378129322696254j)
"(-2.6923076923076925, -3.0)",(0.0029663707499625012-0.01174324648954007j),(0.014615390311698796+0.0038601075626535225j),(0.013451788621876312-0.0011273842032048856j),(-0.004715155499407914-0.004333044082692626j),(0.002384608751927011-0.0005823783889924245j),(0.0013266015393785557+0.005578383315380292j),(0.010513030846056063-0.014097465226370391j),(0.012074417092516308-0.006167955850765579j),(-0.0031552880373826556+0.0017463654675213228j),(0.0007293477652420764+0.003101031300939256j)
"(-2.5384615384615383, -3.0)",(-0.007031421632661492-0.009675775818316563j),(0.013007588209498057-0.007683421066203314j),(0.009930074302357806-0.009783162609685536j),(-0.006752660804591243-0.0009592241006606859j),(0.0019005719846050637-0.0017188319662324683j),(0.003911360322401556+0.0037045143909181025j),(-0.0011829580322103475-0.017315206168249705j),(0.00371312205414139-0.013873684830830152j),(-0.0004747292721792888+0.003824084993933069j),(0.002869890463787242+0.0011912191143742406j)
"(-2.3846153846153846, -3.0)",(-0.011754321857038716-0.0009773734807555796j),(0.00395400731872514-0.014538913367404253j),(0.0017635477197998244-0.014271795390122815j),(-0.0066024833821940986+0.0030425087257917103j),(0.000980955379718074-0.0025132353335970475j),(0.004915154363668325+0.001110532574415189j),(-0.0115023315370907-0.01255694772028344j),(-0.007925637433121845-0.012991568444129206j),(0.0029610984653297124+0.0028885113736185023j),(0.0025965135120895296-0.0015585238427379762j)
"(-2.230769230769231, -3.0)",(-0.008428000050608328+0.00799108997942719j),(-0.006986622115893429-0.013264637722332748j),(-0.007376104837857649-0.012849537468386121j),(-0.004357455125455808+0.006412117886334465j),(-0.00016639186588088446-0.002857989091403228j),(0.004527328395338428-0.00123863033971545j),(-0.01628549481193364-0.0032105666828109542j),(-0.01564358115328058-0.0039010193260792126j),(0.00442671458318413-0.0005584429941168747j),(0.0003220064364034198-0.0029324776178875182j)
"(-2.0769230769230766, -3.0)",(0.0001231242256691219+0.011418081105137621j),(-0.013933499519618609-0.005220728253969451j),(-0.013835370015739245-0.006394686738305803j),(-0.0007205102802336749+0.008237718747524698j),(-0.0013420158937516521-0.002749177148058986j),(0.0033160053139600367-0.0028247933784129806j),(-0.014808923520769977+0.0062202163185454j),(-0.014973738937548305+0.008187203741562201j),(0.0026189401420184596-0.004065340547615786j),(-0.0020565707599869442-0.0020080476807759064j)
"(-1.923076923076923, -3.0)",(0.008143186322629522+0.007702568155505832j),(-0.013859724709728505+0.004976044145576793j),(-0.015463379589940839+0.002415394136521564j),(0.003338674668525161+0.00816260559555983j),(-0.0023919989821603173-0.00225731169740856j),(0.0018674492699908853-0.0035730451740012595j),(-0.009043106431335955+0.012488496493452801j),(-0.00640434687591015+0.016857654021004732j),(-0.001416682880739694-0.005072745146826748j),(-0.0027838347434464288+0.00033019460517877896j)
"(-1.7692307692307692, -3.0)",(0.010982548587383787-0.0002521398312121028j),(-0.0075792000278915835+0.012395128733734287j),(-0.01213579910919816+0.010483280341130335j),(0.006924170101479131+0.006358294270084603j),(-0.003224781351612554-0.0014929295882264119j),(0.0005831805192665895-0.0036806178950036543j),(-0.0019022280883175115+0.0145498168410012j),(0.005673446562260244+0.01813642347805043j),(-0.005097920288219583-0.0026892385735328406j),(-0.0014963279821209425+0.0022956568336668036j)
"(-1.6153846153846154, -3.0)",(0.007641198233146775-0.007560067260537605j),(0.0014393275128630147+0.01421278120766188j),(-0.005354306108174059+0.015492487782213803j),(0.009436675798264932+0.0033433932179515826j),(-0.0038115635887196564-0.0005755592950889094j),(-0.00035800945740726203-0.0034289831346233997j),(0.004262059533032827+0.013164048303203597j),(0.01592106904133187+0.012015157535552478j),(-0.006067489849643754+0.0018273496783807921j),(0.0007417346423983189+0.0025847411309989792j)
"(-1.4615384615384615, -3.0)",(0.0006165648039013075-0.010482993430738516j),(0.00924220818458682+0.01050847863551356j),(0.002650099628798651+0.01649597959547908j),(0.010644707933750582-0.00024359898132605878j),(-0.004175745633217135+0.00038876145088799084j),(-0.0009409672457978534-0.003061006836878687j),(0.008312264039892877+0.009895993702326973j),(0.02076615339327251+0.001552351893039959j),(-0.00359254056069403+0.006003854610544759j),(0.0023855590579680516+0.001164987099677875j)
"(-1.3076923076923075, -3.0)",(-0.006169302249615969-0.008176942557328827j),(0.013195842169099636+0.0035110861240237727j),(0.009811569477283774+0.013853339288155493j),(0.01063407045861399-0.003831857615899366j),(-0.004377189524905634+0.001319214032061208j),(-0.001230465944226156-0.002734618254787512j),(0.01020300092399466+0.006230123072433346j),(0.019500805037517-0.009269191250299178j),(0.0012111756827099377+0.0076596355453866305j),(0.0024744072882242336-0.0009311320560004122j)
