index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(-3.0, -3.0)",(0.010572269383835464+0.00530361711229552j),(-0.004044552327589269+0.011817881752183684j),(-0.004044552327589274+0.01181788175218369j),(0.008310364635249033+0.0033895370937761745j),(-0.004099774274359412-0.003410392302798507j),(0.004157863415571664+0.00020855838649322313j),(-0.006639896205311037+0.0029563377096445825j),(0.011790634074962274+0.00841309722067688j),(0.011790634074962324+0.00841309722067685j),(-0.006639896205311046+0.002956337709644621j),(0.004157863415571684+0.00020855838649323395j),(-0.004099774274359369-0.00341039230279849j)
"(-2.8461538461538463, -3.0)",(0.010622971726547597-0.005075031226801536j),(0.006161286479043669+0.010892389104505806j),(0.005392419802954992+0.01153508822700308j),(0.008894187036939536-0.0027639279239608425j),(-0.005549304385284222-0.00041198244374897916j),(0.0036081911420506744-0.0021262981987657946j),(-0.0034534948186659407+0.006135209341178605j),(0.014255749039671424-0.001780484197777633j),(0.014593531856765733-0.0035096151800449657j),(-0.001589199328196571+0.0074652726217318815j),(0.0025309006969378867-0.003413203129829827j),(-0.005103098514027093+0.0013932023387933715j)
"(-2.6923076923076925, -3.0)",(0.0026516900377910038-0.011402991827354592j),(0.01219722828056675+0.002832849601132069j),(0.012013848227575992+0.004889868492343164j),(0.005497349151990683-0.007951322189462876j),(-0.005054549642246665+0.0028786761551346457j),(0.001987498822417302-0.003731207756388767j),(0.0006110535570015922+0.006777938739821377j),(0.009516412355651347-0.010531795691890758j),(0.00751195711261326-0.013610154184367305j),(0.005263611226993908+0.006071666247200979j),(-0.0014162628532951936-0.004109726774162226j),(-0.0018281720321937328+0.004915193134295442j)
"(-2.5384615384615383, -3.0)",(-0.007066736036251559-0.009237015137611757j),(0.010453796802587742-0.006875073729630204j),(0.012449357089893478-0.004391203409929224j),(-0.0003442417226678415-0.01002697272670825j),(-0.0028705696710777362+0.005371801096972671j),(-0.0001024138207502971-0.004282300321302358j),(0.003989644324326331+0.005215071631027479j),(0.0008134243180646776-0.013939753037710372j),(-0.004724635055652658-0.015375655964500596j),(0.008472682571051568-0.00039977363538722485j),(-0.004280597436177134-0.0012468730697037297j),(0.002842646012421672+0.004349535278861172j)
"(-2.3846153846153846, -3.0)",(-0.011525460334284076-0.0006048904074286822j),(0.0024576212291355713-0.012238117238558712j),(0.006769391436831304-0.011588940396941345j),(-0.0062738859925121696-0.008308352547084827j),(0.0002584102575310469+0.006381986438139195j),(-0.002089830488123109-0.0038245155502119417j),(0.005833832950051616+0.0024461438946617306j),(-0.007488949972495531-0.011436285586614052j),(-0.014574520896726135-0.00798485994790107j),(0.005379422973882376-0.007186822597125472j),(-0.0036346241725947336+0.0027974171203263756j),(0.005132904643765219+0.0003669445022831834j)
"(-2.230769230769231, -3.0)",(-0.0080084010145378+0.008169792564362989j),(-0.006732571256619689-0.010450503915012567j),(-0.0020418477768342647-0.013474127282677214j),(-0.010181923826118941-0.0035993921157210277j),(0.0034427164144189316+0.005756213216461819j),(-0.003590175103101301-0.0026358375357754256j),(0.006070009926299121-0.00047591988713606664j),(-0.01228817384359909-0.0051207709788180485j),(-0.01665769737719058+0.004006335795359041j),(-0.002016482246697364-0.009309916012320233j),(3.1241980326968306e-05+0.0047339074784504285j),(0.0034249861633148895-0.003771573219843591j)
"(-2.0769230769230766, -3.0)",(0.0006062052591000932+0.011310574635953492j),(-0.011973544059172173-0.0030542405678319405j),(-0.009951447174008607-0.009586688650084095j),(-0.010938465973873877+0.002385255559037318j),(0.005945521670405803+0.003790479651810585j),(-0.0044454829995362105-0.0010702724517299242j),(0.0051271240608906365-0.002834900330023499j),(-0.012734247451151561+0.002000993561147031j),(-0.010451550439649787+0.014175063266644099j),(-0.00874378232491081-0.005121364467001253j),(0.0038659149740102915+0.0030183366985876052j),(-0.0007562277462885526-0.004985801785091775j)
"(-1.923076923076923, -3.0)",(0.00850466017444497+0.007288991217115558j),(-0.01089598722458002+0.005613738832811123j),(-0.013850724834887012-0.001950729293470113j),(-0.008579519901530486+0.0078018012715282145j),(0.0073469175238253265+0.001029957430243152j),(-0.004682766028613969+0.0005595210148239992j),(0.0035915630860526905-0.004349592842302157j),(-0.009821886738826927+0.00758048223407679j),(0.00040521662737363066+0.018030903407752714j),(-0.010423078316855293+0.0028432966244989633j),(0.004984359468445826-0.00109274426380601j),(-0.004252680622873079-0.0026138278624013925j)
"(-1.7692307692307692, -3.0)",(0.011028644899469375-0.0008646457002277202j),(-0.004660318510774486+0.011199220130388318j),(-0.01267263715643504+0.00625523734455521j),(-0.0040277844553752665+0.011302151304058707j),(0.007564221799968237-0.0019432990398876317j),(-0.004439797414036034+0.0020405464776559507j),(0.0019611934087465383-0.005074084362156607j),(-0.005323520744988968+0.010606515783862902j),(0.01089706437904324+0.014803365495171117j),(-0.005967900973092261+0.009878523055074057j),(0.0025644997569352073-0.004676232268998246j),(-0.0047254506994417+0.0014497449124572788j)
"(-1.6153846153846154, -3.0)",(0.007271038856201349-0.008136788943985663j),(0.003309054670062198+0.011508368367959518j),(-0.007371879367318851+0.012193421594473034j),(0.0014087681312151938+0.012316948428660029j),(0.006772193639791962-0.004664470602607455j),(-0.003895105890579998+0.003267957631689339j),(0.0005456278465867459-0.005232750780165301j),(-0.0008327116129607204+0.011250030887133682j),(0.017336718648206698+0.006807507000717939j),(0.002191959505755763+0.0121503439834999j),(-0.001779423070684124-0.005311952619788691j),(-0.0021155537534726307+0.004417599562134945j)
