index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)"
"(0,)",(-0.0011909643852685272+0.02492906684297322j),(-0.0019878352885480434+0.00206994818302139j),(0.0009288499198301238+0.002836543090472152j),(-0.0017797112747870744-0.003716526542046656j),(0.005589970949655455+0.0017711435050712305j),(-0.002527195769509772+0.007392438913902226j),(-0.008327457030755636+0.0038214129590908724j),(-0.008327457030755629+0.00382141295909087j),(-0.002527195769509767+0.0073924389139022224j),(0.005589970949655458+0.001771143505071225j),(-0.001779711274787075-0.003716526542046654j),(0.0009288499198301307+0.00283654309047215j),(-0.0006182728483044841+0.0021958196363638417j)
"(1,)",(-0.0019878352885480434+0.00206994818302139j),(-0.0034458293708758136+0.02215207431518466j),(-0.0013491673072276605+0.0023938875679547066j),(0.0006763241817461062+0.0019196963715310004j),(-0.0014102372437595767-0.002681757367330401j),(0.004384852119178126+0.0011636395695239846j),(-0.0017047312859195297+0.005973211634489766j),(-0.006530221512389809+0.0034151091488750962j),(-0.006530221512389802+0.0034151091488750954j),(-0.0017047312859195236+0.005973211634489757j),(0.004384852119178129+0.0011636395695239794j),(-0.0014102372437595889-0.002681757367330397j),(0.0006763241817461117+0.0019196963715309987j)
"(2,)",(0.0009288499198301238+0.002836543090472152j),(-0.0013491673072276605+0.0023938875679547066j),(-0.003445829370875808+0.02215207431518465j),(-0.0013491673072276614+0.0023938875679547066j),(0.0006763241817461066+0.0019196963715309996j),(-0.001410237243759579-0.002681757367330397j),(0.004384852119178128+0.0011636395695239882j),(-0.0017047312859195286+0.005973211634489756j),(-0.0065302215123898+0.003415109148875091j),(-0.006530221512389806+0.0034151091488750936j),(-0.0017047312859195176+0.005973211634489765j),(0.004384852119178125+0.0011636395695239755j),(-0.0014102372437595847-0.0026817573673303943j)
"(3,)",(-0.0017797112747870744-0.003716526542046656j),(0.0006763241817461062+0.0019196963715310004j),(-0.0013491673072276614+0.0023938875679547066j),(-0.0034458293708758076+0.022152074315184636j),(-0.0013491673072276618+0.0023938875679547036j),(0.0006763241817461064+0.0019196963715309942j),(-0.001410237243759582-0.0026817573673304034j),(0.004384852119178122+0.0011636395695239809j),(-0.0017047312859195221+0.005973211634489751j),(-0.006530221512389803+0.003415109148875099j),(-0.006530221512389806+0.0034151091488751084j),(-0.0017047312859195139+0.00597321163448976j),(0.004384852119178124+0.0011636395695239772j)
"(4,)",(0.005589970949655455+0.0017711435050712305j),(-0.0014102372437595767-0.002681757367330401j),(0.0006763241817461066+0.0019196963715309996j),(-0.0013491673072276618+0.0023938875679547036j),(-0.003445829370875806+0.02215207431518465j),(-0.0013491673072276614+0.0023938875679547075j),(0.0006763241817461054+0.0019196963715310002j),(-0.0014102372437595784-0.0026817573673303986j),(0.004384852119178123+0.0011636395695239809j),(-0.0017047312859195178+0.00597321163448976j),(-0.006530221512389808+0.003415109148875099j),(-0.006530221512389803+0.0034151091488750962j),(-0.0017047312859195267+0.005973211634489746j)
"(5,)",(-0.002527195769509772+0.007392438913902226j),(0.004384852119178126+0.0011636395695239846j),(-0.001410237243759579-0.002681757367330397j),(0.0006763241817461064+0.0019196963715309942j),(-0.0013491673072276614+0.0023938875679547075j),(-0.0034458293708758084+0.022152074315184636j),(-0.0013491673072276588+0.002393887567954708j),(0.0006763241817461041+0.0019196963715309974j),(-0.001410237243759581-0.0026817573673303995j),(0.004384852119178125+0.0011636395695239783j),(-0.0017047312859195215+0.005973211634489762j),(-0.006530221512389807+0.003415109148875092j),(-0.006530221512389798+0.003415109148875089j)
"(6,)",(-0.008327457030755636+0.0038214129590908724j),(-0.0017047312859195297+0.005973211634489766j),(0.004384852119178128+0.0011636395695239882j),(-0.001410237243759582-0.0026817573673304034j),(0.0006763241817461054+0.0019196963715310002j),(-0.0013491673072276588+0.002393887567954708j),(-0.0034458293708758175+0.022152074315184647j),(-0.001349167307227658+0.0023938875679547144j),(0.0006763241817461104+0.0019196963715309994j),(-0.0014102372437595871-0.0026817573673303965j),(0.004384852119178125+0.0011636395695239763j),(-0.0017047312859195273+0.005973211634489758j),(-0.006530221512389803+0.003415109148875096j)
"(7,)",(-0.008327457030755629+0.00382141295909087j),(-0.006530221512389809+0.0034151091488750962j),(-0.0017047312859195286+0.005973211634489756j),(0.004384852119178122+0.0011636395695239809j),(-0.0014102372437595784-0.0026817573673303986j),(0.0006763241817461041+0.0019196963715309974j),(-0.001349167307227658+0.0023938875679547144j),(-0.0034458293708758076+0.022152074315184636j),(-0.0013491673072276663+0.0023938875679546993j),(0.0006763241817461107+0.001919696371530996j),(-0.0014102372437595823-0.0026817573673303947j),(0.004384852119178125+0.0011636395695239824j),(-0.0017047312859195187+0.005973211634489753j)
"(8,)",(-0.002527195769509767+0.0073924389139022224j),(-0.006530221512389802+0.0034151091488750954j),(-0.0065302215123898+0.003415109148875091j),(-0.0017047312859195221+0.005973211634489751j),(0.004384852119178123+0.0011636395695239809j),(-0.001410237243759581-0.0026817573673303995j),(0.0006763241817461104+0.0019196963715309994j),(-0.0013491673072276663+0.0023938875679546993j),(-0.003445829370875793+0.02215207431518463j),(-0.0013491673072276687+0.0023938875679547014j),(0.0006763241817461047+0.0019196963715309918j),(-0.0014102372437595795-0.0026817573673303965j),(0.004384852119178122+0.0011636395695239824j)
"(9,)",(0.005589970949655458+0.001771143505071225j),(-0.0017047312859195236+0.005973211634489757j),(-0.006530221512389806+0.0034151091488750936j),(-0.006530221512389803+0.003415109148875099j),(-0.0017047312859195178+0.00597321163448976j),(0.004384852119178125+0.0011636395695239783j),(-0.0014102372437595871-0.0026817573673303965j),(0.0006763241817461107+0.001919696371530996j),(-0.0013491673072276687+0.0023938875679547014j),(-0.0034458293708758084+0.022152074315184636j),(-0.0013491673072276566+0.0023938875679547123j),(0.0006763241817460996+0.0019196963715309929j),(-0.0014102372437595765-0.002681757367330401j)
