index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)"
"(0,)",(0.0026419042860696116+0.01834500427366797j),(-0.004165885718676497+0.002879654850982152j),(0.002897696882032477-0.002056520151636371j),(-0.0008689922552822791+0.0032623070056085586j),(-0.002337544186396639-0.0026398541164802058j),(0.003448913549055457-0.0016851419242990312j),(0.0021828267303161857+0.0036191442825357968j),(-0.002382272572471087+0.003936192737176062j),(-0.004555413058897527+0.0017300073693678275j),(-0.004923863146454125+0.0006929848759769015j),(-0.004555413058897522+0.0017300073693678301j),(-0.0023822725724710774+0.003936192737176061j),(0.002182826730316193+0.003619144282535794j),(0.0034489135490554552-0.001685141924299038j),(-0.0023375441863966394-0.002639854116480198j),(-0.0008689922552822735+0.003262307005608564j),(0.002897696882032475-0.002056520151636373j),(-0.0020170795605324258+0.00344350543775001j)
"(1,)",(-0.004165885718676497+0.002879654850982152j),(0.0010491445986296408+0.01671103543850346j),(-0.0036434564771384106+0.0029215217576617322j),(0.0021606425384946833-0.0016058058554555153j),(-0.0005999904912120817+0.0024933960824114797j),(-0.0018517553204251721-0.00199497242192649j),(0.002666769567880055-0.0013852702237906243j),(0.0018010181849471385+0.0028186566718536444j),(-0.0018151442548391178+0.0031879847596005175j),(-0.0036088924670954377+0.0014833076095226302j),(-0.0039315624897550095+0.0006624798598857957j),(-0.0036088924670954372+0.0014833076095226252j),(-0.0018151442548391193+0.003187984759600519j),(0.001801018184947136+0.002818656671853648j),(0.002666769567880058-0.0013852702237906144j),(-0.0018517553204251656-0.001994972421926501j),(-0.0005999904912120956+0.0024933960824114762j),(0.002160642538494689-0.0016058058554555027j)
"(2,)",(0.002897696882032477-0.002056520151636371j),(-0.0036434564771384106+0.0029215217576617322j),(0.0010491445986296488+0.01671103543850349j),(-0.0036434564771384154+0.0029215217576617305j),(0.0021606425384946885-0.0016058058554555157j),(-0.0005999904912120818+0.002493396082411482j),(-0.0018517553204251737-0.001994972421926492j),(0.0026667695678800614-0.0013852702237906265j),(0.0018010181849471424+0.002818656671853646j),(-0.0018151442548391195+0.0031879847596005223j),(-0.0036088924670954416+0.0014833076095226304j),(-0.003931562489755012+0.0006624798598857973j),(-0.0036088924670954424+0.001483307609522633j),(-0.0018151442548391215+0.0031879847596005223j),(0.001801018184947133+0.002818656671853644j),(0.0026667695678800666-0.00138527022379062j),(-0.0018517553204251652-0.0019949724219265014j),(-0.0005999904912120886+0.0024933960824114806j)
"(3,)",(-0.0008689922552822791+0.0032623070056085586j),(0.0021606425384946833-0.0016058058554555153j),(-0.0036434564771384154+0.0029215217576617305j),(0.001049144598629646+0.01671103543850349j),(-0.0036434564771384167+0.00292152175766173j),(0.002160642538494689-0.0016058058554555138j),(-0.0005999904912120835+0.0024933960824114823j),(-0.0018517553204251737-0.001994972421926497j),(0.002666769567880061-0.0013852702237906254j),(0.0018010181849471387+0.002818656671853648j),(-0.0018151442548391195+0.00318798475960052j),(-0.003608892467095441+0.0014833076095226297j),(-0.0039315624897550165+0.0006624798598857998j),(-0.0036088924670954437+0.001483307609522629j),(-0.0018151442548391228+0.0031879847596005145j),(0.0018010181849471374+0.002818656671853652j),(0.0026667695678800644-0.001385270223790617j),(-0.001851755320425168-0.001994972421926498j)
"(4,)",(-0.002337544186396639-0.0026398541164802058j),(-0.0005999904912120817+0.0024933960824114797j),(0.0021606425384946885-0.0016058058554555157j),(-0.0036434564771384167+0.00292152175766173j),(0.0010491445986296475+0.016711035438503503j),(-0.0036434564771384167+0.0029215217576617288j),(0.0021606425384946846-0.0016058058554555155j),(-0.0005999904912120825+0.002493396082411484j),(-0.0018517553204251747-0.001994972421926493j),(0.00266676956788006-0.0013852702237906256j),(0.0018010181849471448+0.0028186566718536427j),(-0.0018151442548391182+0.0031879847596005205j),(-0.0036088924670954416+0.0014833076095226389j),(-0.003931562489755016+0.0006624798598858013j),(-0.0036088924670954364+0.0014833076095226282j),(-0.0018151442548391267+0.0031879847596005227j),(0.0018010181849471365+0.00281865667185365j),(0.002666769567880066-0.001385270223790622j)
"(5,)",(0.003448913549055457-0.0016851419242990312j),(-0.0018517553204251721-0.00199497242192649j),(-0.0005999904912120818+0.002493396082411482j),(0.002160642538494689-0.0016058058554555138j),(-0.0036434564771384167+0.0029215217576617288j),(0.0010491445986296488+0.016711035438503486j),(-0.0036434564771384167+0.0029215217576617305j),(0.002160642538494688-0.0016058058554555144j),(-0.0005999904912120831+0.002493396082411484j),(-0.001851755320425172-0.0019949724219264953j),(0.0026667695678800588-0.0013852702237906274j),(0.0018010181849471404+0.0028186566718536444j),(-0.001815144254839117+0.0031879847596005266j),(-0.0036088924670954407+0.0014833076095226332j),(-0.003931562489755006+0.0006624798598857972j),(-0.003608892467095444+0.0014833076095226308j),(-0.0018151442548391234+0.003187984759600519j),(0.0018010181849471378+0.0028186566718536466j)
"(6,)",(0.0021828267303161857+0.0036191442825357968j),(0.002666769567880055-0.0013852702237906243j),(-0.0018517553204251737-0.001994972421926492j),(-0.0005999904912120835+0.0024933960824114823j),(0.0021606425384946846-0.0016058058554555155j),(-0.0036434564771384167+0.0029215217576617305j),(0.0010491445986296497+0.01671103543850349j),(-0.003643456477138416+0.0029215217576617305j),(0.002160642538494687-0.0016058058554555127j),(-0.0005999904912120844+0.0024933960824114784j),(-0.001851755320425173-0.0019949724219264905j),(0.0026667695678800588-0.001385270223790625j),(0.0018010181849471446+0.002818656671853644j),(-0.0018151442548391171+0.0031879847596005223j),(-0.0036088924670954333+0.0014833076095226274j),(-0.0039315624897550165+0.0006624798598857984j),(-0.0036088924670954416+0.0014833076095226276j),(-0.0018151442548391206+0.003187984759600521j)
"(7,)",(-0.002382272572471087+0.003936192737176062j),(0.0018010181849471385+0.0028186566718536444j),(0.0026667695678800614-0.0013852702237906265j),(-0.0018517553204251737-0.001994972421926497j),(-0.0005999904912120825+0.002493396082411484j),(0.002160642538494688-0.0016058058554555144j),(-0.003643456477138416+0.0029215217576617305j),(0.0010491445986296477+0.0167110354385035j),(-0.0036434564771384175+0.002921521757661727j),(0.002160642538494687-0.001605805855455513j),(-0.0005999904912120814+0.0024933960824114836j),(-0.0018517553204251726-0.001994972421926494j),(0.0026667695678800622-0.0013852702237906293j),(0.0018010181849471422+0.0028186566718536466j),(-0.001815144254839118+0.003187984759600517j),(-0.003608892467095447+0.0014833076095226328j),(-0.003931562489755015+0.0006624798598857977j),(-0.0036088924670954455+0.0014833076095226302j)
"(8,)",(-0.004555413058897527+0.0017300073693678275j),(-0.0018151442548391178+0.0031879847596005175j),(0.0018010181849471424+0.002818656671853646j),(0.002666769567880061-0.0013852702237906254j),(-0.0018517553204251747-0.001994972421926493j),(-0.0005999904912120831+0.002493396082411484j),(0.002160642538494687-0.0016058058554555127j),(-0.0036434564771384175+0.002921521757661727j),(0.0010491445986296464+0.0167110354385035j),(-0.0036434564771384162+0.0029215217576617257j),(0.002160642538494686-0.0016058058554555175j),(-0.0005999904912120811+0.0024933960824114827j),(-0.0018517553204251767-0.0019949724219264922j),(0.002666769567880059-0.0013852702237906259j),(0.0018010181849471415+0.002818656671853641j),(-0.0018151442548391212+0.003187984759600529j),(-0.0036088924670954416+0.0014833076095226343j),(-0.0039315624897550165+0.0006624798598857992j)
"(9,)",(-0.004923863146454125+0.0006929848759769015j),(-0.0036088924670954377+0.0014833076095226302j),(-0.0018151442548391195+0.0031879847596005223j),(0.0018010181849471387+0.002818656671853648j),(0.00266676956788006-0.0013852702237906256j),(-0.001851755320425172-0.0019949724219264953j),(-0.0005999904912120844+0.0024933960824114784j),(0.002160642538494687-0.001605805855455513j),(-0.0036434564771384162+0.0029215217576617257j),(0.001049144598629646+0.0167110354385035j),(-0.003643456477138415+0.0029215217576617327j),(0.002160642538494684-0.0016058058554555168j),(-0.0005999904912120759+0.002493396082411485j),(-0.0018517553204251758-0.00199497242192649j),(0.0026667695678800557-0.0013852702237906263j),(0.0018010181849471467+0.0028186566718536457j),(-0.0018151442548391154+0.0031879847596005227j),(-0.0036088924670954416+0.001483307609522636j)
