index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)"
"(0,)",(0.0030732456593691028+0.017222154100660005j),(-0.0014111860101350309+0.003305805207210829j),(0.0022997798098723927-0.002725001213338974j),(0.0003113622065650776+0.003271477101396741j),(-0.0030287555912301973-0.0013756129232936184j),(0.0022014832288531497-0.0027458991650573736j),(0.003097266955700005+0.0021872616540265363j),(-0.0008454955643527869+0.0039899878093035655j),(-0.0036347853777091692+0.002328604419007421j),(-0.004388481126137633+0.0007483028244555941j),(-0.004388481126137633+0.000748302824455594j),(-0.0036347853777091684+0.0023286044190074196j),(-0.0008454955643527909+0.003989987809303563j),(0.0030972669556999996+0.002187261654026541j),(0.0022014832288531527-0.0027458991650573692j),(-0.003028755591230196-0.0013756129232936232j),(0.0003113622065650674+0.003271477101396741j),(0.002299779809872396-0.00272500121333897j),(-0.0026827662839577927+0.0037643163004194785j)
"(1,)",(-0.0014111860101350309+0.003305805207210829j),(0.0015788270558889116+0.015736267408685577j),(-0.003689938541560934+0.0032497903365038307j),(0.001718943813145444-0.0021173226387349317j),(0.0002922402206359505+0.002492692662446999j),(-0.0023644486134193907-0.001014845401809326j),(0.0016758839033249808-0.002185956722803321j),(0.0024863879006139966+0.0016721514794521125j),(-0.0005975944570847593+0.0031906257062069123j),(-0.002860386604639578+0.0019314349521134277j),(-0.003500943126380542+0.0006850293517759931j),(-0.0035009431263805417+0.0006850293517759951j),(-0.0028603866046395775+0.0019314349521134286j),(-0.0005975944570847646+0.0031906257062069105j),(0.0024863879006139936+0.0016721514794521169j),(0.0016758839033249838-0.002185956722803319j),(-0.0023644486134193855-0.0010148454018093329j),(0.0002922402206359461+0.0024926926624470004j),(0.0017189438131454476-0.0021173226387349287j)
"(2,)",(0.0022997798098723927-0.002725001213338974j),(-0.003689938541560934+0.0032497903365038307j),(0.0015788270558889134+0.01573626740868555j),(-0.0036899385415609313+0.0032497903365038337j),(0.0017189438131454402-0.0021173226387349287j),(0.00029224022063595485+0.002492692662447001j),(-0.0023644486134193885-0.0010148454018093255j),(0.0016758839033249764-0.0021859567228033213j),(0.0024863879006139953+0.00167215147945211j),(-0.0005975944570847592+0.0031906257062069084j),(-0.0028603866046395736+0.0019314349521134286j),(-0.0035009431263805374+0.0006850293517759944j),(-0.0035009431263805387+0.000685029351775991j),(-0.002860386604639576+0.001931434952113424j),(-0.0005975944570847624+0.0031906257062069066j),(0.0024863879006139906+0.0016721514794521164j),(0.0016758839033249881-0.0021859567228033113j),(-0.0023644486134193816-0.0010148454018093305j),(0.00029224022063594423+0.0024926926624470012j)
"(3,)",(0.0003113622065650776+0.003271477101396741j),(0.001718943813145444-0.0021173226387349317j),(-0.0036899385415609313+0.0032497903365038337j),(0.0015788270558889134+0.015736267408685545j),(-0.003689938541560931+0.0032497903365038337j),(0.0017189438131454398-0.0021173226387349348j),(0.00029224022063595393+0.0024926926624469995j),(-0.002364448613419388-0.001014845401809323j),(0.0016758839033249775-0.00218595672280332j),(0.0024863879006139927+0.0016721514794521115j),(-0.0005975944570847585+0.003190625706206909j),(-0.0028603866046395727+0.0019314349521134281j),(-0.003500943126380538+0.0006850293517759919j),(-0.003500943126380538+0.0006850293517759903j),(-0.002860386604639575+0.001931434952113424j),(-0.0005975944570847624+0.0031906257062069075j),(0.0024863879006139875+0.0016721514794521208j),(0.0016758839033249864-0.0021859567228033117j),(-0.0023644486134193855-0.0010148454018093316j)
"(4,)",(-0.0030287555912301973-0.0013756129232936184j),(0.0002922402206359505+0.002492692662446999j),(0.0017189438131454402-0.0021173226387349287j),(-0.003689938541560931+0.0032497903365038337j),(0.0015788270558889119+0.01573626740868555j),(-0.003689938541560933+0.003249790336503835j),(0.0017189438131454393-0.0021173226387349304j),(0.00029224022063595355+0.0024926926624469973j),(-0.0023644486134193872-0.0010148454018093236j),(0.0016758839033249786-0.002185956722803315j),(0.0024863879006139927+0.0016721514794521104j),(-0.0005975944570847583+0.003190625706206907j),(-0.002860386604639574+0.001931434952113427j),(-0.0035009431263805374+0.0006850293517759917j),(-0.0035009431263805374+0.0006850293517759928j),(-0.002860386604639574+0.0019314349521134255j),(-0.0005975944570847663+0.0031906257062069045j),(0.0024863879006139893+0.0016721514794521164j),(0.0016758839033249838-0.0021859567228033174j)
"(5,)",(0.0022014832288531497-0.0027458991650573736j),(-0.0023644486134193907-0.001014845401809326j),(0.00029224022063595485+0.002492692662447001j),(0.0017189438131454398-0.0021173226387349348j),(-0.003689938541560933+0.003249790336503835j),(0.0015788270558889182+0.015736267408685552j),(-0.003689938541560933+0.003249790336503831j),(0.0017189438131454426-0.002117322638734933j),(0.00029224022063595247+0.0024926926624470012j),(-0.0023644486134193864-0.0010148454018093262j),(0.00167588390332498-0.0021859567228033196j),(0.0024863879006139958+0.0016721514794521108j),(-0.0005975944570847571+0.0031906257062069105j),(-0.002860386604639574+0.0019314349521134277j),(-0.0035009431263805387+0.0006850293517759937j),(-0.0035009431263805396+0.000685029351775991j),(-0.0028603866046395757+0.0019314349521134234j),(-0.0005975944570847664+0.0031906257062069058j),(0.002486387900613996+0.0016721514794521164j)
"(6,)",(0.003097266955700005+0.0021872616540265363j),(0.0016758839033249808-0.002185956722803321j),(-0.0023644486134193885-0.0010148454018093255j),(0.00029224022063595393+0.0024926926624469995j),(0.0017189438131454393-0.0021173226387349304j),(-0.003689938541560933+0.003249790336503831j),(0.0015788270558889125+0.015736267408685542j),(-0.003689938541560928+0.003249790336503834j),(0.0017189438131454415-0.0021173226387349313j),(0.00029224022063595214+0.002492692662446998j),(-0.002364448613419388-0.001014845401809324j),(0.001675883903324979-0.0021859567228033213j),(0.0024863879006139945+0.0016721514794521095j),(-0.0005975944570847574+0.003190625706206907j),(-0.002860386604639572+0.0019314349521134273j),(-0.0035009431263805374+0.0006850293517759911j),(-0.0035009431263805374+0.0006850293517759898j),(-0.0028603866046395753+0.0019314349521134236j),(-0.0005975944570847622+0.0031906257062069136j)
"(7,)",(-0.0008454955643527869+0.0039899878093035655j),(0.0024863879006139966+0.0016721514794521125j),(0.0016758839033249764-0.0021859567228033213j),(-0.002364448613419388-0.001014845401809323j),(0.00029224022063595355+0.0024926926624469973j),(0.0017189438131454426-0.002117322638734933j),(-0.003689938541560928+0.003249790336503834j),(0.001578827055888909+0.015736267408685542j),(-0.0036899385415609296+0.003249790336503834j),(0.0017189438131454391-0.0021173226387349287j),(0.000292240220635954+0.0024926926624469978j),(-0.0023644486134193877-0.0010148454018093205j),(0.0016758839033249753-0.002185956722803321j),(0.0024863879006139936+0.0016721514794521088j),(-0.0005975944570847557+0.003190625706206909j),(-0.0028603866046395727+0.0019314349521134268j),(-0.0035009431263805357+0.0006850293517759925j),(-0.0035009431263805387+0.0006850293517759909j),(-0.0028603866046395788+0.0019314349521134318j)
"(8,)",(-0.0036347853777091692+0.002328604419007421j),(-0.0005975944570847593+0.0031906257062069123j),(0.0024863879006139953+0.00167215147945211j),(0.0016758839033249775-0.00218595672280332j),(-0.0023644486134193872-0.0010148454018093236j),(0.00029224022063595247+0.0024926926624470012j),(0.0017189438131454415-0.0021173226387349313j),(-0.0036899385415609296+0.003249790336503834j),(0.0015788270558889151+0.015736267408685552j),(-0.0036899385415609313+0.0032497903365038294j),(0.0017189438131454396-0.0021173226387349348j),(0.0002922402206359549+0.0024926926624469986j),(-0.002364448613419388-0.0010148454018093225j),(0.0016758839033249769-0.0021859567228033204j),(0.002486387900613993+0.001672151479452108j),(-0.0005975944570847576+0.0031906257062069084j),(-0.0028603866046395714+0.0019314349521134286j),(-0.003500943126380538+0.0006850293517759932j),(-0.003500943126380545+0.000685029351775995j)
"(9,)",(-0.004388481126137633+0.0007483028244555941j),(-0.002860386604639578+0.0019314349521134277j),(-0.0005975944570847592+0.0031906257062069084j),(0.0024863879006139927+0.0016721514794521115j),(0.0016758839033249786-0.002185956722803315j),(-0.0023644486134193864-0.0010148454018093262j),(0.00029224022063595214+0.002492692662446998j),(0.0017189438131454391-0.0021173226387349287j),(-0.0036899385415609313+0.0032497903365038294j),(0.0015788270558889119+0.01573626740868555j),(-0.0036899385415609326+0.003249790336503833j),(0.0017189438131454396-0.0021173226387349317j),(0.00029224022063595415+0.0024926926624469973j),(-0.002364448613419387-0.0010148454018093203j),(0.0016758839033249756-0.0021859567228033187j),(0.0024863879006139914+0.0016721514794521112j),(-0.0005975944570847572+0.003190625706206906j),(-0.0028603866046395744+0.0019314349521134257j),(-0.003500943126380544+0.0006850293517759959j)
