index,xy,r,theta,value
"(-3.0, -3.0)",[-3. -3.],4.242640687119285,-2.356194490192345,(0.099039743954556+0.35186920745878175j)
"(-2.84615385, -3.0)",[-2.84615385 -3.        ],4.135286173636574,-2.3298847736141632,(0.3209972985521697+0.18497072000545858j)
"(-2.69230769, -3.0)",[-2.69230769 -3.        ],4.030945385096794,-2.3021929893903024,(0.36609623185222057-0.08311026638405887j)
"(-2.53846154, -3.0)",[-2.53846154 -3.        ],3.9298583931306195,-2.2730532586027543,(0.22457331323830504-0.3069303799411094j)
"(-2.38461538, -3.0)",[-2.38461538 -3.        ],3.8322826762299966,-2.242402482105849,(-0.019822534668327684-0.3846423293072299j)
"(-2.23076923, -3.0)",[-2.23076923 -3.        ],3.738493193455726,-2.210182232315955,(-0.25090155882367754-0.2984259803623723j)
"(-2.07692308, -3.0)",[-2.07692308 -3.        ],3.6487819173303144,-2.1763409910932,(-0.3809359909798722-0.10241055423577364j)
"(-1.92307692, -3.0)",[-1.92307692 -3.        ],3.5634568666165567,-2.140836789767673,(-0.38045560698102343+0.11966860847978801j)
"(-1.76923077, -3.0)",[-1.76923077 -3.        ],3.482840438135918,-2.103640214604529,(-0.2727817570802118+0.29655799651534837j)
"(-1.61538462, -3.0)",[-1.61538462 -3.        ],3.4072668622420146,-2.0647376969071383,(-0.10833343084357898+0.3920109374431183j)
"(-1.46153846, -3.0)",[-1.46153846 -3.        ],3.337078762939103,-2.024135022235007,(0.06235389358627558+0.4053034742202605j)
"(-1.30769231, -3.0)",[-1.30769231 -3.        ],3.2726226757194508,-1.98186087483117,(0.2051143390994192+0.35842445152933466j)
"(-1.15384615, -3.0)",[-1.15384615 -3.        ],3.214243447200262,-1.9379701594962773,(0.30605432462959886+0.2807420286238385j)
"(-1.0, -3.0)",[-1. -3.],3.1622776601683795,-1.892546881191539,(0.3669940636410327+0.19811141483804587j)
"(-0.84615385, -3.0)",[-0.84615385 -3.        ],3.117046091714048,-1.8457061694631454,(0.397957628650062+0.12828843388596864j)
"(-0.69230769, -3.0)",[-0.69230769 -3.        ],3.078845552741017,-1.7975951741184455,(0.4105427679409206+0.0811361104164369j)
"(-0.53846154, -3.0)",[-0.53846154 -3.        ],3.0479404242962445,-1.7483924945751999,(0.4136137605414996+0.06104121646662591j)
