index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(-0.005215131217147444+0.1761641696409047j),(0.7721343480010072+0.8052331540609472j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.12036667122796715+0.136810218342841j),(0.011762601840469677+1.1308953032890319j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.18755171444339486+0.023770733537665095j),(-0.7072910290289924+0.47015225696220286j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.16598306781406433-0.10583314856168899j),(-0.6934980875762589-0.6170005805533165j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(0.0687053802057665-0.19392033115960963j),(0.03371881726883115-1.1933081139615909j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.061619116263288726-0.20677109370831045j),(0.7600118415453071-0.7767908908825222j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.17570785022111254-0.14361704954770696j),(0.7481597996742001+0.23909506873039507j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.2372975952713026-0.0298931388990405j),(-0.059442746173472116+0.9541635935368429j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.23268605378279222+0.09742952647878925j),(-0.9641415141367642+0.7793187473338772j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.1698034064251459+0.20453096662891518j),(-1.1389830205917062-0.04182421493615249j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(-0.07041034817516027+0.27033040272835596j),(-0.3874614231591138-0.6780780619383822j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.03983749359039874+0.2893787799982849j),(0.666015543034137-0.49030131490912987j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.13957358182809496+0.2692180725495895j),(1.1340551016233666+0.3741299726643352j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.21608009355514268+0.22480372330056256j),(0.6657814348214739+1.1179827107735454j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.26564198201914063+0.17270118357579306j),(-0.24233034136319148+1.0340745745495075j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.2910542966571973+0.12691694164190606j),(-0.7081966771560166+0.16561437480411528j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.2979402953562612+0.09697390994557727j),(-0.27512660368348163-0.7225346801405628j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.29130436763704076+0.08775680246949451j),(0.6705831711258514-0.8375256350727385j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.2731747306764018+0.10008707776977899j),(1.2565642348971728-0.081420726438266j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.24171701256036632+0.13101028916431845j),(0.9263177076564302+0.8599285893008881j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.19203705301988094+0.17328771770870668j),(-0.05071749312618448+1.1433754613306009j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.11891368288629353+0.21443544041842066j),(-0.8283109101917997+0.535006135067886j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.021479729388202966+0.23665198121972042j),(-0.7605202299855991-0.3866264987066862j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.09109285009810968+0.21968217104058296j),(0.010125434084886892-0.7751820704250806j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.19562239112258809+0.1482538022507582j),(0.6958805240607294-0.30476115580211527j)
"(0.8461538461538463, -3.0)",[ 0.84615385 -3.        ],(0.8632537488429478+0.5047702102032139j),(-0.25702164561056945+0.02330953342485174j),(0.6062321032323783+0.5280797436280656j)
"(1.0, -3.0)",[ 1. -3.],(0.04240776977795813+0.999100385878446j),(-0.24025726291893576-0.12804195790302256j),(-0.19784949314097763+0.8710584279754234j)
"(1.1538461538461542, -3.0)",[ 1.15384615 -3.        ],(-0.8173749219347579+0.5761060987284793j),(-0.1311039244867253-0.252732362643066j),(-0.9484788464214833+0.3233737360854133j)
"(1.3076923076923084, -3.0)",[ 1.30769231 -3.        ],(-0.9266844662156044-0.37584025871997856j),(0.043856377781289486-0.28979062282703744j),(-0.8828280884343149-0.665630881547016j)
"(1.4615384615384617, -3.0)",[ 1.46153846 -3.        ],(-0.18515825645731304-0.9827087157778178j),(0.214248931184035-0.20432903663172786j),(0.02909067472672197-1.1870377524095457j)
"(1.6153846153846159, -3.0)",[ 1.61538462 -3.        ],(0.7263710886646181-0.6873027291901128j),(0.292633427477635-0.02027095960069645j),(1.0190045161422532-0.7075736887908093j)
"(1.7692307692307692, -3.0)",[ 1.76923077 -3.        ],(0.9709824962710165+0.23915056331797652j),(0.22555076454191667+0.17494982305345297j),(1.196533260812933+0.4141003863714295j)
"(1.9230769230769234, -3.0)",[ 1.92307692 -3.        ],(0.3240858938776612+0.946027659949495j),(0.03924256095656875+0.27070678202795j),(0.36332845483422993+1.216734441977445j)
"(2.0769230769230775, -3.0)",[ 2.07692308 -3.        ],(-0.6203703158510077+0.7843090406280684j),(-0.15934746254836707+0.204267733819191j),(-0.7797177783993747+0.9885767744472593j)
"(2.230769230769231, -3.0)",[ 2.23076923 -3.        ],(-0.9952332446799114-0.0975232725245396j),(-0.24313825500293468+0.015193423004358874j),(-1.238371499682846-0.08232984952018073j)
"(2.384615384615385, -3.0)",[ 2.38461538 -3.        ],(-0.45632232809179374-0.8898145497152119j),(-0.1556620447378765-0.16744336983058053j),(-0.6119843728296702-1.0572579195457925j)
"(2.5384615384615383, -3.0)",[ 2.53846154 -3.        ],(0.5015611366090934-0.865122203069251j),(0.036623050073293396-0.2121434001674459j),(0.5381841866823868-1.077265603236697j)
"(2.6923076923076925, -3.0)",[ 2.69230769 -3.        ],(0.9989360210741761-0.04611752162132389j),(0.1841557307758439-0.08866882367194198j),(1.1830917518500201-0.13478634529326589j)
"(2.8461538461538467, -3.0)",[ 2.84615385 -3.        ],(0.5791373543320645+0.8152299827761837j),(0.16960399966540107+0.09886446421305017j),(0.7487413539974656+0.9140944469892339j)
"(3.0, -3.0)",[ 3. -3.],(-0.3723965313866303+0.9280737165824741j),(0.009089601594655779+0.1907994102975473j),(-0.36330692979197454+1.1188731268800214j)
"(-3.0, -2.8461538461538463)",[-3.         -2.84615385],(0.3084073358240364+0.9512543903761601j),(0.12978217565707217+0.11931604797195577j),(0.4381895114811086+1.0705704383481158j)
"(-2.8461538461538463, -2.8461538461538463)",[-2.84615385 -2.84615385],(-0.6332472876405948+0.7739495285196767j),(0.18186032837963473-0.0058237540141208455j),(-0.45138695926096006+0.7681257745055559j)
"(-2.6923076923076925, -2.8461538461538463)",[-2.69230769 -2.84615385],(-0.9934856328403785-0.11395743652676912j),(0.13406347727721013-0.1324113805723491j),(-0.8594221555631684-0.24636881709911823j)
"(-2.5384615384615383, -2.8461538461538463)",[-2.53846154 -2.84615385],(-0.4415547032094214-0.897234330637008j),(0.014556688921529521-0.1953344517797657j),(-0.4269980142878919-1.0925687824167736j)
"(-2.3846153846153846, -2.8461538461538463)",[-2.38461538 -2.84615385],(0.5157898731927637-0.8567151257633968j),(-0.11731278360505216-0.16743566556136355j),(0.39847708958771155-1.0241507913247603j)
"(-2.230769230769231, -2.8461538461538463)",[-2.23076923 -2.84615385],(0.9995617485482756-0.0296025478483502j),(-0.20421210824351285-0.06483951938347846j),(0.7953496403047627-0.09444206723182866j)
"(-2.0769230769230766, -2.8461538461538463)",[-2.07692308 -2.84615385],(0.5655855607384725+0.82468962251513j),(-0.2146751661690345+0.06869486794930711j),(0.35091039456943807+0.8933844904644371j)
"(-1.923076923076923, -2.8461538461538463)",[-1.92307692 -2.84615385],(-0.38768326074390597+0.9217926498616555j),(-0.1497128020543054+0.1848206102127723j),(-0.5373960627982114+1.1066132600744278j)
"(-1.7692307692307692, -2.8461538461538463)",[-1.76923077 -2.84615385],(-0.985000524269936+0.1725513465260451j),(-0.03496683293319333+0.2490285820016459j),(-1.0199673572031294+0.421579928527691j)
"(-1.6153846153846154, -2.8461538461538463)",[-1.61538462 -2.84615385],(-0.6779391191659766-0.7351180522232192j),(0.09381578989162999+0.24885393602853734j),(-0.5841233292743466-0.4862641161946819j)
"(-1.4615384615384615, -2.8461538461538463)",[-1.46153846 -2.84615385],(0.25157238915791963-0.9678384849825803j),(0.20459041021218266+0.19228619262252j),(0.4561627993701023-0.7755522923600603j)
"(-1.3076923076923075, -2.8461538461538463)",[-1.30769231 -2.84615385],(0.9501025966958736-0.3119375831023863j),(0.27769193680301896+0.10010511561864505j),(1.2277945334988924-0.21183246748374124j)
"(-1.1538461538461537, -2.8461538461538463)",[-1.15384615 -2.84615385],(0.7762956832982122+0.6303689491817961j),(0.3082196179703604-0.0034297433122275935j),(1.0845153012685727+0.6269392058695685j)
"(-1.0, -2.8461538461538463)",[-1.         -2.84615385],(-0.11026745634085303+0.9939019509348586j),(0.303358979221607-0.09803753405151458j),(0.19309152288075396+0.895864416883344j)
"(-0.8461538461538458, -2.8461538461538463)",[-0.84615385 -2.84615385],(-0.8955884819895041+0.4448834352139172j),(0.2770738016622492-0.1712070227090947j),(-0.618514680327255+0.2736764125048225j)
"(-0.6923076923076921, -2.8461538461538463)",[-0.69230769 -2.84615385],(-0.8586245453206537-0.5126050040459034j),(0.24463446742289238-0.21824385602271187j),(-0.6139900778977613-0.7308488600686153j)
"(-0.5384615384615383, -2.8461538461538463)",[-0.53846154 -2.84615385],(-0.033314101196222405-0.999444931280102j),(0.21860132079043534-0.23974835042931295j),(0.18528721959421293-1.239193281709415j)
"(-0.3846153846153846, -2.8461538461538463)",[-0.38461538 -2.84615385],(0.8225836997306594-0.5686440511756194j),(0.206686306546725-0.238188720914193j),(1.0292700062773843-0.8068327720898124j)
"(-0.23076923076923084, -2.8461538461538463)",[-0.23076923 -2.84615385],(0.9232259115800339+0.3842576169540631j),(0.2109606843532409-0.21507685495488071j),(1.1341865959332749+0.16918076199918236j)
"(-0.07692307692307665, -2.8461538461538463)",[-0.07692308 -2.84615385],(0.17620784286427238+0.9843529834937871j),(0.22756044971854975-0.1698086232893513j),(0.4037682925828221+0.8145443602044358j)
"(0.0769230769230771, -2.8461538461538463)",[ 0.07692308 -2.84615385],(-0.7325955350013151+0.6806642212546041j),(0.24646516864598433-0.10079049625200959j),(-0.4861303663553308+0.5798737250025945j)
"(0.23076923076923084, -2.8461538461538463)",[ 0.23076923 -2.84615385],(-0.9687659971841128-0.2479766978969426j),(0.25190246222830104-0.008989538474541344j),(-0.7168635349558118-0.25696623637148397j)
"(0.384615384615385, -2.8461538461538463)",[ 0.38461538 -2.84615385],(-0.31546352898776714-0.9489377017900512j),(0.2249566619936293+0.09686689904105411j),(-0.09050686699413785-0.8520708027489972j)
"(0.5384615384615388, -2.8461538461538463)",[ 0.53846154 -2.84615385],(0.6274819183925043-0.7786311335224546j),(0.15014222450293466+0.1958441427117436j),(0.777624142895439-0.5827869908107111j)
"(0.6923076923076925, -2.8461538461538463)",[ 0.69230769 -2.84615385],(0.994304563842483+0.1065759556467108j),(0.025956010051390182+0.25531837145333514j),(1.0202605738938733+0.36189432710004593j)
"(0.8461538461538463, -2.8461538461538463)",[ 0.84615385 -2.84615385],(0.44820603259859493+0.8939302838265561j),(-0.12460161561533716+0.24080365485814595j),(0.32360441698325776+1.1347339386847022j)
"(1.0, -2.8461538461538463)",[ 1.         -2.84615385],(-0.509413066447917+0.860522125068339j),(-0.25199837775122624+0.135464370920225j),(-0.7614114441991432+0.995986495988564j)
"(1.1538461538461542, -2.8461538461538463)",[ 1.15384615 -2.84615385],(-0.9993143323913952+0.03702519516680667j),(-0.2954403703651109-0.03874099017618044j),(-1.294754702756506-0.0017157950093737717j)
"(1.3076923076923084, -2.8461538461538463)",[ 1.30769231 -2.84615385],(-0.5716947004238299-0.8204664341137347j),(-0.2159080663777508-0.21455909698892606j),(-0.7876027668015807-1.0350255311026606j)
"(1.4615384615384617, -2.8461538461538463)",[ 1.46153846 -2.84615385],(0.3808266745304521-0.9246464426828652j),(-0.03154068004694983-0.3027067024869661j),(0.3492859944835023-1.2273531451698312j)
"(1.6153846153846159, -2.8461538461538463)",[ 1.61538462 -2.84615385],(0.9836918692041161-0.17986190942418037j),(0.17254373648517524-0.24298767334591853j),(1.1562356056892913-0.4228495827700989j)
"(1.7692307692307692, -2.8461538461538463)",[ 1.76923077 -2.84615385],(0.6833799374774259+0.7300629158184584j),(0.28118078480940345-0.0548501946574749j),(0.9645607222868293+0.6752127211609835j)
"(1.9230769230769234, -2.8461538461538463)",[ 1.92307692 -2.84615385],(-0.24437758721720343+0.9696801508053561j),(0.2225485525819+0.15530849134536157j),(-0.021829034635303418+1.1249886421507176j)
"(2.0769230769230775, -2.8461538461538463)",[ 2.07692308 -2.84615385],(-0.9477597217217487+0.31898512485994307j),(0.02984904134964194+0.2528549052560533j),(-0.9179106803721068+0.5718400301159964j)
"(2.230769230769231, -2.8461538461538463)",[ 2.23076923 -2.84615385],(-0.7809558469882428-0.6245862350827757j),(-0.16532078956297147+0.1712061233120392j),(-0.9462766365512143-0.45338011177073645j)
"(2.384615384615385, -2.8461538461538463)",[ 2.38461538 -2.84615385],(0.10288298534745804-0.9946934660115119j),(-0.22143676466821755-0.027011120927283454j),(-0.1185537793207595-1.0217045869387953j)
"(2.5384615384615383, -2.8461538461538463)",[ 2.53846154 -2.84615385],(0.8922597590135154-0.45152244954724396j),(-0.09946546743998645-0.18599373691827786j),(0.792794291573529-0.6375161864655219j)
"(2.6923076923076925, -2.8461538461538463)",[ 2.69230769 -2.84615385],(0.8624078388402023+0.506214104413312j),(0.095898929474002-0.1778139082335495j),(0.9583067683142044+0.32840019617976257j)
"(2.8461538461538467, -2.8461538461538463)",[ 2.84615385 -2.84615385],(0.040735778586812085+0.999169953683019j),(0.19587288856825996-0.013872407999241594j),(0.23660866715507206+0.9852975456837774j)
"(3.0, -2.8461538461538463)",[ 3.         -2.84615385],(-0.8183378548599027+0.5747374664168786j),(0.11292901581216645+0.15712191049879767j),(-0.7054088390477363+0.7318593769156763j)
"(-3.0, -2.6923076923076925)",[-3.         -2.69230769],(-0.26036939857474106+0.9655090762317191j),(0.17606785114663612-0.01589464954588171j),(-0.08430154742810494+0.9496144266858374j)
"(-2.8461538461538463, -2.6923076923076925)",[-2.84615385 -2.69230769],(-0.952901918973441+0.3032786389060952j),(0.11444320088361497-0.14169461986409446j),(-0.8384587180898261+0.16158401904200073j)
"(-2.6923076923076925, -2.6923076923076925)",[-2.69230769 -2.69230769],(-0.7705271194446743-0.6374072153657288j),(-0.01760280502738054-0.18742757498599136j),(-0.7881299244720549-0.8248347903517201j)
"(-2.5384615384615383, -2.6923076923076925)",[-2.53846154 -2.69230769],(0.11930749686253489-0.9928573518851519j),(-0.14495139830999945-0.1308811756123494j),(-0.025643901447464562-1.1237385274975014j)
"(-2.3846153846153846, -2.6923076923076925)",[-2.38461538 -2.69230769],(0.8995998819611948-0.43671507001179205j),(-0.20340132668361488-0.0048823227253591926j),(0.6961985552775799-0.44159739273715126j)
"(-2.230769230769231, -2.6923076923076925)",[-2.23076923 -2.69230769],(0.8539242360775697+0.5203973472639335j),(-0.16921802628115792+0.1292418615918714j),(0.6847062097964118+0.649639208855805j)
"(-2.0769230769230766, -2.6923076923076925)",[-2.07692308 -2.69230769],(0.024217673756508257+0.9997067091291442j),(-0.06150708949651783+0.21523843615622518j),(-0.037289415740009574+1.2149451452853692j)
"(-1.923076923076923, -2.6923076923076925)",[-1.92307692 -2.69230769],(-0.8277243564750517+0.56113491220736j),(0.07521757051804462+0.22403144570142766j),(-0.7525067859570072+0.7851663579087876j)
"(-1.7692307692307692, -2.6923076923076925)",[-1.76923077 -2.69230769],(-0.9196909013571446-0.3926431534623811j),(0.19389047996658365+0.1582718680556272j),(-0.7258004213905609-0.2343712854067539j)
"(-1.6153846153846154, -2.6923076923076925)",[-1.61538462 -2.69230769],(-0.16724283687955155-0.9859157334744586j),(0.26193512767747035+0.04352371570277394j),(0.0946922907979188-0.9423920177716847j)
"(-1.4615384615384615, -2.6923076923076925)",[-1.46153846 -2.69230769],(0.7387593125231631-0.6739693451191259j),(0.26814360656462793-0.08593613475871309j),(1.006902919087791-0.759905479877839j)
"(-1.3076923076923075, -2.6923076923076925)",[-1.30769231 -2.69230769],(0.9664692711751117+0.25678229665272545j),(0.22055372731349485-0.19994795320881498j),(1.1870229984886065+0.05683434344391047j)
"(-1.1538461538461537, -2.6923076923076925)",[-1.15384615 -2.69230769],(0.30681503945266814+0.9517691587594429j),(0.139051038194734-0.28024159544138744j),(0.44586607764740216+0.6715275633180555j)
"(-1.0, -2.6923076923076925)",[-1.         -2.69230769],(-0.634541556947723+0.7728887452320415j),(0.046743632010372266-0.32234419129958497j),(-0.5877979249373507+0.45054455393245657j)
"(-0.8461538461538458, -2.6923076923076925)",[-0.84615385 -2.69230769],(-0.9932935411443612-0.11561981283886971j),(-0.036774593815240446-0.3328329222291657j),(-1.0300681349596017-0.4484527350680354j)
"(-0.6923076923076921, -2.6923076923076925)",[-0.69230769 -2.69230769],(-0.4400526195862342-0.8979719884246351j),(-0.09869545016985493-0.3241582597865712j),(-0.5387480697560891-1.2221302482112062j)
"(-0.5384615384615383, -2.6923076923076925)",[-0.53846154 -2.69230769],(0.5172228099976701-0.8558507842013782j),(-0.1328647396827268-0.3092603485347185j),(0.3843580703149433-1.1651111327360968j)
"(-0.3846153846153846, -2.6923076923076925)",[-0.38461538 -2.69230769],(0.9996098869713541-0.027929802525557868j),(-0.13754902766791774-0.29740659114773793j),(0.8620608593034363-0.3253363936732958j)
"(-0.23076923076923084, -2.6923076923076925)",[-0.23076923 -2.69230769],(0.5642047024652048+0.8256349397379872j),(-0.11293855206879834-0.2916475337798094j),(0.4512661503964065+0.5339874059581777j)
"(-0.07692307692307665, -2.6923076923076925)",[-0.07692308 -2.69230769],(-0.38922528007691914+0.9211425955567595j),(-0.06007967920481035-0.2876757308362601j),(-0.4493049592817295+0.6334668647204994j)
"(0.0769230769230771, -2.6923076923076925)",[ 0.07692308 -2.69230769],(-0.9852878989275351+0.17090276834201198j),(0.017722609017788125-0.2740617462737189j),(-0.967565289909747-0.10315897793170689j)
"(0.23076923076923084, -2.6923076923076925)",[ 0.23076923 -2.69230769],(-0.6767079959787141-0.7362515114948646j),(0.11113952738004906-0.2346620559016047j),(-0.565568468598665-0.9709135673964693j)
"(0.384615384615385, -2.6923076923076925)",[ 0.38461538 -2.69230769],(0.2531916538891273-0.9674161392084011j),(0.2005738947989329-0.15460012032150838j),(0.4537655486880602-1.1220162595299095j)
"(0.5384615384615388, -2.6923076923076925)",[ 0.53846154 -2.69230769],(0.9506232743392256-0.31034720924243775j),(0.2554170634370858-0.030280574535063706j),(1.2060403377763114-0.34062778377750147j)
"(0.6923076923076925, -2.6923076923076925)",[ 0.69230769 -2.69230769],(0.7752397134443204+0.6316671486619896j),(0.24166570537704316+0.11953908058939364j),(1.0169054188213635+0.7512062292513833j)
"(0.8461538461538463, -2.6923076923076925)",[ 0.84615385 -2.69230769],(-0.11193053450186087+0.9937160336062449j),(0.13980376056302982+0.2494250168586454j),(0.027873226061168946+1.2431410504648903j)
"(1.0, -2.6923076923076925)",[ 1.         -2.69230769],(-0.8963317125058065+0.443384101154302j),(-0.03327431809792117+0.29939232584407993j),(-0.9296060306037276+0.7427764269983819j)
"(1.1538461538461542, -2.6923076923076925)",[ 1.15384615 -2.69230769],(-0.8577655307637676-0.5140411406040882j),(-0.2141878419956661+0.22647439644111414j),(-1.0719533727594337-0.2875667441629741j)
"(1.3076923076923084, -2.6923076923076925)",[ 1.30769231 -2.69230769],(-0.03164154616288938-0.9994992809184116j),(-0.312344243839056+0.04256994598603062j),(-0.3439857900019454-0.956929334932381j)
"(1.4615384615384617, -2.6923076923076925)",[ 1.46153846 -2.69230769],(0.8235341380940815-0.5672667127495129j),(-0.26063842415033717-0.17017152581314396j),(0.5628957139437443-0.7374382385626569j)
"(1.6153846153846159, -2.6923076923076925)",[ 1.61538462 -2.69230769],(0.9225815878682447+0.38580203955721687j),(-0.07101757691494409-0.29216394944003127j),(0.8515640109533007+0.0936380901171856j)
"(1.7692307692307692, -2.6923076923076925)",[ 1.76923077 -2.69230769],(0.17456034317928915+0.9846464779752827j),(0.15111666887809075-0.2418600770758618j),(0.32567701205737987+0.7427864008994209j)
"(1.9230769230769234, -2.6923076923076925)",[ 1.92307692 -2.69230769],(-0.7337335580923534+0.679437315525969j),(0.2631837580252513-0.045378351552459915j),(-0.4705498000671021+0.634058963973509j)
"(2.0769230769230775, -2.6923076923076925)",[ 2.07692308 -2.69230769],(-0.9683496672749637-0.2495975197963054j),(0.18762811912142752+0.16310496622824872j),(-0.7807215481535362-0.08649255356805668j)
"(2.230769230769231, -2.6923076923076925)",[ 2.23076923 -2.69230769],(-0.31387509956934007-0.9494642815137054j),(-0.017055245637660376+0.23119938547292923j),(-0.33093034520700043-0.7182648960407763j)
"(2.384615384615385, -2.6923076923076925)",[ 2.38461538 -2.69230769],(0.6287840301445328-0.7775799916633653j),(-0.18812295001049967+0.1104521008393463j),(0.4406610801340331-0.667127890824019j)
"(2.5384615384615383, -2.6923076923076925)",[ 2.53846154 -2.69230769],(0.9941248234449381+0.1082397127239837j),(-0.18616567897534667-0.09341324430771278j),(0.8079591444695915+0.014826468416270916j)
"(2.6923076923076925, -2.6923076923076925)",[ 2.69230769 -2.69230769],(0.44670946877727435+0.8946790768229272j),(-0.01798154641272546-0.20141932338027807j),(0.4287279223645489+0.6932597534426492j)
"(2.8461538461538467, -2.6923076923076925)",[ 2.84615385 -2.69230769],(-0.5108523829560981+0.8596684493617734j),(0.16103394681888283-0.1175753062018588j),(-0.3498184361372153+0.7420931431599147j)
"(3.0, -2.6923076923076925)",[ 3.         -2.69230769],(-0.9993748924954933+0.03535285348626502j),(0.18286534059944673+0.07839325204295094j),(-0.8165095518960466+0.11374610552921596j)
"(-3.0, -2.5384615384615383)",[-3.         -2.53846154],(-0.7448619107860498+0.6672186552099355j),(0.110935003928305-0.13885830567374066j),(-0.6339269068577448+0.5283603495361948j)
"(-2.8461538461538463, -2.5384615384615383)",[-2.84615385 -2.53846154],(-0.9640925084439796-0.26556663036269285j),(-0.028202518892070125-0.18064383676089008j),(-0.9922950273360498-0.4462104671235829j)
