index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(-3.0, -3.0)",(0.01179468046187641+0.006405216798437332j),(-0.0039615240278580354+0.01233992246715264j),(0.002880777635992271+0.010921713609825738j),(0.0010052141474059847-0.005271268963950261j),(0.0012521799967425877+0.0009345720199663669j),(-0.005412587449669017+0.001267989488434396j),(0.013040312048401044+0.008834004148454689j),(0.0016528467129014197+0.01088216426836112j),(0.00019579652133748778-0.0022786481767221316j),(-0.0027283455395573477+0.000644329213696474j)
"(-2.8461538461538463, -3.0)",(0.012243161031894064-0.005318431920996864j),(0.0064642079604687866+0.011301015665862644j),(0.009727427901914961+0.00636819987720957j),(-0.0025159399848395055-0.0051456396293427355j),(0.0016310712140787673+7.257483649935337e-05j),(-0.003321788402228891+0.00399303448844813j),(0.015509690380669088-0.0026457803096944423j),(0.010067779853708705+0.0058028115002988j),(-0.0018832466375607738-0.001576495043100871j),(-0.0009755433415037917+0.0025251852534438797j)
"(-2.6923076923076925, -3.0)",(0.003509695460272693-0.01279019093013177j),(0.012692840106305593+0.0030821759243387873j),(0.011855777489827605-0.0015747880099633187j),(-0.005366481356590186-0.002928251528399407j),(0.0015021480946729696-0.0008540483298007676j),(-0.0003895814723202025+0.004802693443911938j),(0.009706555325937545-0.012277278628129756j),(0.01152355671011851-0.004237173198265572j),(-0.0025709611184843674+0.0006485401884295189j),(0.0014505963403175504+0.002166787162364292j)
"(-2.5384615384615383, -3.0)",(-0.007543694291148423-0.010789129268701772j),(0.011111503701006976-0.006911042179182503j),(0.008378137259141466-0.008995840721641923j),(-0.006497440696875487+0.0005791215403423415j),(0.00093451435275832-0.0015981700463499665j),(0.002111488707924672+0.0039023951089858662j),(-0.0004541816200557833-0.015485193287735649j),(0.0046653940188116855-0.012111852184269823j),(-0.0011119651057784263+0.0026545956698849397j),(0.0025040329969614325+8.741253627782005e-05j)
"(-2.3846153846153846, -3.0)",(-0.012989691924036161-0.001289246644602884j),(0.0031024457918580276-0.01271473683488503j),(0.0010732474713955234-0.012577482940095407j),(-0.005548013576527258+0.00419723057786388j),(8.51633274793484e-05-0.0020040535657402554j),(0.003486338245052289+0.0020718160759542253j),(-0.009703812957415688-0.011760011539282626j),(-0.006041363054068213-0.012321418978486856j),(0.0015375865314548628+0.002738990081381664j),(0.0014983928709267978-0.0018776812531617257j)
"(-2.230769230769231, -3.0)",(-0.00950184268496164+0.008767434714876197j),(-0.006433680442753583-0.011372351174439459j),(-0.006812460881404334-0.011010115904012468j),(-0.0028561990534642073+0.00684108831167139j),(-0.0008645467651111377-0.002016964701366982j),(0.0036779526468580415+0.00014003311525350313j),(-0.014399542059008934-0.003853496662415412j),(-0.01375985692142258-0.00458577015699949j),(0.003395819808427917+0.0005893516275287096j),(-0.0005544072146661325-0.0022312520127648118j)
"(-2.0769230769230766, -3.0)",(-3.531404687944807e-06+0.012790434123410091j),(-0.012340076020778435-0.004144865275252415j),(-0.012191833592564585-0.00521851406343666j),(0.0007834240113573636+0.007852511197723773j),(-0.001755885771297229-0.0016649405622465399j),(0.00303500853710953-0.0013456528276261735j),(-0.013759592545556238+0.004456360476736542j),(-0.01387043949002527+0.006492628848693024j),(0.002925799463699998-0.0024274953078270048j),(-0.0020007649188763027-0.000909918863354526j)
"(-1.923076923076923, -3.0)",(0.009108238883941425+0.008762070829988257j),(-0.01199633249892834+0.004849382979065697j),(-0.013344799636398607+0.0024204313444549227j),(0.004457365982448093+0.007106838154812395j),(-0.0024790139660462625-0.0010287046940939987j),(0.002017404645853917-0.0021954702030574495j),(-0.009291861073092754+0.010355898431740621j),(-0.0064501228646379905+0.014798845539254974j),(0.00016554449912257172-0.004211193200771937j),(-0.0018873256423692062+0.0009237089980105107j)
"(-1.7692307692307692, -3.0)",(0.012471660994737203-0.00021517912167063648j),(-0.006191762249400228+0.011235651080378285j),(-0.01028578337299374+0.009267862972286555j),(0.007419605034879633+0.0049207037092292875j),(-0.0029813024989471964-0.00021086115102852827j),(0.0009930167400290795-0.002482747982015897j),(-0.0033714093240082197+0.012820750560528848j),(0.004515653540457505+0.01636047989811922j),(-0.0032718982756351185-0.0033652594313582657j),(-0.0005061714139063829+0.0019472619217783698j)
"(-1.6153846153846154, -3.0)",(0.00876570809422753-0.008622576863899407j),(0.0019262034765426023+0.012535867310745458j),(-0.004368185389505053+0.013411660343546416j),(0.009246102335867097+0.0018528121766665845j),(-0.0032628719026026503+0.0006891768135530802j),(0.00016445701695283065-0.0023995184512007337j),(0.0020058836925446384+0.012335851908149936j),(0.01396473329005354+0.01100114529472452j),(-0.005247801949114196-0.00010643913091880056j),(0.0010656702079493634+0.0016136895678935917j)
