index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(-3.0, -3.0)",(0.011087369823463946+0.005887133893781181j),(-0.0033103599929419506+0.01013657573673924j),(-0.00331035999294195+0.010136575736739232j),(0.007798922894144999+0.0025784703257779955j),(-0.0043219658298573665-0.0027920851667507856j),(0.003923653497856864+0.00023060343404579292j),(-0.0064883292315038475+0.0019172567418334983j),(0.010121427563811656+0.007532504406309644j),(0.010121427563811685+0.00753250440630965j),(-0.006488329231503876+0.0019172567418335516j),(0.0039236534978568174+0.0002306034340457839j),(-0.004321965829857355-0.0027920851667507375j)
"(-2.8461538461538463, -3.0)",(0.011428661811167135-0.005151379706144408j),(0.005415716653151767+0.009234339464909291j),(0.004718120724434528+0.009766645317279865j),(0.007926114226371898-0.0030296211749404997j),(-0.005361331132341887+0.00024578423746132326j),(0.003400358506699971-0.0020303251536631906j),(-0.003952855741298614+0.0052385860824949995j),(0.012498633764897245-0.00123516194728535j),(0.012722271967482598-0.0028545479011356113j),(-0.0023617191093010647+0.0066849159765083955j),(0.002443126308785598-0.003177787579454617j),(-0.004730441196770373+0.0019244472814727626j)
"(-2.6923076923076925, -3.0)",(0.0030913220609806464-0.012121620153707623j),(0.010499068655090914+0.0022469935238000806j),(0.010259782792196975+0.004039108951509952j),(0.004546458659284427-0.007493442636307636j),(-0.004507872048042793+0.003331900872543269j),(0.0018104089874224133-0.003572988209859801j),(-0.0002842653363224084+0.006344390036527667j),(0.008647409333495535-0.008969076954244495j),(0.0066329130625033305-0.011722573264940438j),(0.004122647368121797+0.006200981877343627j),(-0.0012308247821791048-0.00390784863061687j),(-0.0011893002949626488+0.004923399084859538j)
"(-2.5384615384615383, -3.0)",(-0.0073778372817451515-0.010057811242678155j),(0.008871463599976304-0.006082958510770226j),(0.010523621949410799-0.0038354466521229075j),(-0.0008099382056269432-0.00901507476148277j),(-0.0021405826161064673+0.0054568161122142975j),(-0.00024024476084041557-0.004060682168786764j),(0.003041511975354024+0.005325547202578011j),(0.0012063491328996084-0.012250398722328307j),(-0.004003747332325578-0.013313784359925557j),(0.007815387265857333+0.0006049871122181098j),(-0.003985344598364964-0.0013209283160561822j),(0.003221227321663882+0.0038500355297494807j)
"(-2.3846153846153846, -3.0)",(-0.012395880300518788-0.0008879640362038244j),(0.001892216381053369-0.010595558700818752j),(0.005640843978150535-0.009870219181248772j),(-0.006003468710317998-0.007159981287377338j),(0.0009460658624704614+0.006061969718807863j),(-0.0021678724866703394-0.003538057030379204j),(0.0051049915431048585+0.0029826166498917476j),(-0.006135765695307495-0.010437781288743684j),(-0.012558218395367218-0.006907770615065139j),(0.005716033230516673-0.005977563211309734j),(-0.003539333659859727+0.0024685018372188425j),(0.00496686162945791-0.00022221037374511296j)
"(-2.230769230769231, -3.0)",(-0.008816944403529226+0.008677890780380048j),(-0.006038513403025146-0.008899666593183512j),(-0.0018262927971033445-0.0113814528640493j),(-0.009229416472864191-0.002785203393136118j),(0.0038896111932468403+0.005115784510818125j),(-0.003580342001523214-0.002294222697502805j),(0.0056867278580741065+0.0002781058094957025j),(-0.010656503372215555-0.005181409152199019j),(-0.01433285113513698+0.0034806311001879357j),(-0.0008526020632802406-0.008704110728870777j),(-0.00022725789036017626+0.004443871214586333j),(0.002873947341679294-0.003995072794439403j)
"(-2.0769230769230766, -3.0)",(0.00045301436258250467+0.01229534582066649j),(-0.010463732550829916-0.0023758554994121007j),(-0.008473598544546568-0.008030680226609415j),(-0.00961259035107125+0.002528250466933889j),(0.006033298196511342+0.0029925411152238695j),(-0.004322454450238318-0.0006976717872294002j),(0.005079353435693647-0.002059002257750806j),(-0.011488515730645644+0.0010127211346144757j),(-0.008918610023813157+0.012235584579703834j),(-0.007435119990091886-0.0055320530329745635j),(0.0034269416964396874+0.0030768249250250693j),(-0.0012565217976314494-0.00470439900357099j)
"(-1.923076923076923, -3.0)",(0.00915831802840258+0.00809813580127463j),(-0.009352307722404484+0.005171749500166588j),(-0.011705435058562672-0.001555081873123657j),(-0.007305190841904621+0.007173657564975484j),(0.007054109652178191+0.0002589834195971669j),(-0.0044328031643259+0.0009291614833675638j),(0.003788123973257366-0.003677302418356665j),(-0.009343193279028548+0.006101271152258229j),(0.0004700780231750066+0.015485871177039753j),(-0.009707332205661752+0.0016002240524900966j),(0.004742385477676131-0.0006487237743580174j),(-0.004347993245017289-0.0020723042259250526j)
"(-1.7692307692307692, -3.0)",(0.012110564335426937-0.0007771223434376267j),(-0.0037599224607689948+0.009936519413078227j),(-0.010652669672449855+0.005361506217827309j),(-0.003193575178663564+0.01003911889360752j),(0.006951657316387688-0.002529705996735718j),(-0.0040640096726296225+0.0023721819859725203j),(0.002288914345262775-0.004551652454684738j),(-0.005656228961919454+0.00911769860414464j),(0.009475555040255592+0.012628623234835318j),(-0.006233166825713616+0.008400273650702431j),(0.002790903164046135-0.00414534265607175j),(-0.004390713614498238+0.0018500720989251236j)
"(-1.6153846153846154, -3.0)",(0.008133434922665701-0.008870340766132566j),(0.0032760581028706054+0.010017558649607414j),(-0.006138873656010441+0.010339232017616487j),(0.0015577023219762681+0.010712804078798183j),(0.005950661377703846-0.004963582944102656j),(-0.0034071292921202994+0.0035335632500382353j),(0.0009082905640320338-0.004847844726810234j),(-0.0017872545388220985+0.01009405594899808j),(0.01495215777503065+0.005716455762980914j),(0.0010303172048894541+0.011085149627687597j),(-0.0011523684564917157-0.0051147193025499966j),(-0.001625919732403972+0.004425832755823568j)
