index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(-3.0, -3.0)",(0.010218816569078821+0.00554514262058209j),(-0.002378974647081478+0.008781680088997552j),(-0.005023247948318878+0.00797354152777902j),(0.002691329873649499+0.008054183354086622j),(0.005120553750338099-0.004478575376841917j),(-0.004924444554996757+0.0019737793802657106j),(0.004570139403164712-0.0022497404264238377j),(-0.006701626946265243+0.002278123494530058j),(0.007754897490653864+0.007247254347740795j),(0.011258028165545516+0.0034435984187669967j),(-0.0004037777158747373+0.008821382227921002j),(-0.0025845220094863853-0.005175232574812543j),(0.0019458401974313763+0.004574359499537699j),(-0.0026842832664043005-0.005323833868530499j)
"(-2.8461538461538463, -3.0)",(0.010652057017683625-0.004711008903578163j),(0.00510528153122792+0.007581285342530047j),(0.0021484839098344214+0.009295152631245517j),(0.007482606075495323+0.004389541335139959j),(0.001391484781840961-0.006863746828927324j),(-0.0030047734000691138+0.004546574813101411j),(0.002534177398764295-0.004441240040130123j),(-0.003994399626006244+0.005710754484843029j),(0.010569886549436025+0.00034213841030983805j),(0.01037580289142385-0.006098919382924529j),(0.007012892986313522+0.005898227304227543j),(-0.00590561884894998-0.0008487769642672277j),(0.004933561658167498+0.0009681834431129315j),(-0.005896191393311107-0.0008811440084705726j)
"(-2.6923076923076925, -3.0)",(0.0029384701103296867-0.011285858331788065j),(0.009089272826994553+0.0012530736536734322j),(0.008109974375122148+0.00523478790123961j),(0.008739597803667598-0.0014555771130535873j),(-0.0029812393320296495-0.006566919228775877j),(-4.743888861527e-05+0.005605764640454714j),(-0.00021809796595796986-0.005137059222837945j),(-9.206925796968746e-05+0.006852222813845383j),(0.008348208771676994-0.006381778294712769j),(0.002911011630060183-0.011941187984196884j),(0.009334670057425994-0.0018690219727000123j),(-0.004264429121395941+0.004452746532350719j),(0.003659934591211388-0.0035363855643728635j),(-0.004175027255269198+0.004251357799493617j)
"(-2.5384615384615383, -3.0)",(-0.0068755660272811405-0.009429868962110451j),(0.007115494010706196-0.005836478003925085j),(0.009607411278564681-0.0017206095984331508j),(0.006057019849716813-0.006718289523139021j),(-0.006348600744882311-0.00385631466847658j),(0.0029457518754329834+0.0049663738755853035j),(-0.002784415127058482-0.004368292577981273j),(0.003490180517529123+0.0057556881413235225j),(0.0027792565413467295-0.010031622635887824j),(-0.006338338358639663-0.010812685771706118j),(0.004738142956568097-0.008693387686640137j),(0.0010745835335165227+0.006293217240796716j),(-0.0007469088162256409-0.0051025556202442j),(0.0009054939349324544+0.005883773155208312j)
"(-2.3846153846153846, -3.0)",(-0.011640908518811242-0.0008418608194315355j),(0.0007207670216336221-0.009193997832458285j),(0.006081275014871218-0.007763446632142968j),(0.0007967809631649896-0.00919636634507823j),(-0.007648803541269418+0.00018406071899340919j),(0.0051530608349474255+0.002984591220581111j),(-0.004548939025365775-0.002581789578313462j),(0.00577156881686137+0.003214404445996676j),(-0.003399951006934659-0.009698873650371037j),(-0.012165970628646784-0.0038370184682907016j),(-0.0035318410204530975-0.009682165161481656j),(0.005853723026981847+0.0031034338593538095j),(-0.004608439612154679-0.002476399517715731j),(0.005205676619144113+0.0028713399342481286j)
"(-2.230769230769231, -3.0)",(-0.008300631579199736+0.008195379759225418j),(-0.006001609345717366-0.007014870660286746j),(-0.0004178706131012262-0.00994685944041996j),(-0.004796817532438623-0.008100592031856937j),(-0.006661037709843123+0.004210068983465004j),(0.006140590552740002+0.00030441746141164476j),(-0.005281344861191377-0.00036560813248117833j),(0.006476891790430959+0.0002220197969831371j),(-0.007925387035359915-0.006278268560883368j),(-0.011971481689178979+0.004945039370124149j),(-0.009885958629899777-0.004186339559212141j),(0.006332100069525651-0.002720653013850377j),(-0.004848415363860945+0.0021773556498736308j),(0.005480903210684784-0.0022762510221921157j)
"(-2.0769230769230766, -3.0)",(0.0004738463494421601+0.011640323784178093j),(-0.009186484421953562-0.0009045729854231233j),(-0.006654221456700576-0.007519006213092069j),(-0.008669474905701196-0.004110355366609819j),(-0.0038855952061003307+0.007122923928753738j),(0.005878262144731662-0.0024111195186628043j),(-0.005071510060370492+0.0017712483849756176j),(0.005871873013802413-0.0024365636880301464j),(-0.009792508915169373-0.001514835276480234j),(-0.0065556331401713875+0.011355687140256516j),(-0.010355366184644433+0.004234845843889399j),(0.0020894525611251952-0.006875870206306622j),(-0.001351259094270216+0.0052367382200887115j),(0.0017351711618681506-0.005662599812651043j)
"(-1.923076923076923, -3.0)",(0.008757398678529763+0.007647903251309415j),(-0.00736998401917174+0.005536949727163933j),(-0.009934389810472908-0.0019034472956038283j),(-0.009697582929459441+0.0011853695724969135j),(-0.0002083295939591191+0.008348503845801165j),(0.004625874658386587-0.004666442172748448j),(-0.004189925416768426+0.0035094056259308134j),(0.0044704954410410775-0.004352767619645562j),(-0.009205234272096696+0.0029719481078988785j),(0.0011370737546024532+0.013176385428255792j),(-0.004852030720151685+0.01060141218664454j),(-0.003919362142202711-0.0064087392083698016j),(0.0032153337260506505+0.004479207688537192j),(-0.0031533516234266306-0.004996781237721198j)
"(-1.7692307692307692, -3.0)",(0.011564408858395984-0.0008405498627346956j),(-0.001898275026320197+0.008994366629526197j),(-0.00920463068022926+0.004342159929231756j),(-0.007878787689014776+0.006057302811886548j),(0.0034609614376144636+0.0078621255939873j),(0.0027743355100786136-0.006207059038924186j),(-0.002952278673926965+0.004729713103799036j),(0.0027839489411945304-0.005462293274403938j),(-0.007047160504622141+0.006229426838767366j),(0.00799026298606238+0.010609654447737489j),(0.003410470392098151+0.011655182321612277j),(-0.00770436738970912-0.001619486916280107j),(0.005607563844595162+0.0005424057162041614j),(-0.0058098383204515875-0.0009906961857878251j)
"(-1.6153846153846154, -3.0)",(0.007716640236693034-0.00859956667535692j),(0.004265934225386341+0.008097916417053189j),(-0.005155506334166413+0.008831106335612838j),(-0.00405839240887124+0.009246056555967835j),(0.006443584551775745+0.0060359884739040965j),(0.0007087567273870467-0.007000980778542612j),(-0.0016296979736377115+0.00546463231439338j),(0.0011845540475043965-0.005917319255798873j),(-0.004310786005815378+0.008026978103637547j),(0.012114773896784512+0.0054194856807525775j),(0.010310728772482533+0.007302087944090279j),(-0.006941336265620568+0.004497513558799793j),(0.004302498822115119-0.003845982833709537j),(-0.004691712018229335+0.0035420974441899102j)
