index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)"
"(-3.0, -3.0)",(0.008216045834802722+0.004762944242604762j),(-0.0006090380592294859+0.006717611063078999j),(-0.004269439287798477+0.0055131666027235775j),(-0.0037861047039616015+0.005815393189738317j),(0.0009954347272760219+0.006578598405508931j),(0.0061726833329782075+0.0005720755849769524j),(-0.001019628821700829-0.0056290647668504465j),(-0.0036440674685677874+0.0039921189824573084j),(0.005430450627074781-0.0005634590106755393j),(-0.004705172935159461-0.003815187758754733j),(-0.0018107046211376144+0.00695603112852118j),(0.007336813346557513+0.0040820725079719344j),(0.00877061497326097+0.0010966130650698382j),(0.005909126979801098+0.005586289302370692j),(-0.004439322229000398+0.005243737373312907j),(-0.0018487698936615808-0.00555255349423686j),(0.0047249285578130455+0.0026151252018602436j),(-0.0052892281326583565+0.0013448339359326679j),(0.0018522857742202129-0.005530936588428639j)
"(-2.8461538461538463, -3.0)",(0.008839794739341452-0.003633851358276769j),(0.0047947589556482+0.004809709308642298j),(0.0011725697006919398+0.006938754156993389j),(0.001375081221028233+0.0068890130041928j),(0.005169476661969632+0.004353079795213849j),(0.005288950739695293-0.003448177189052931j),(-0.004208765660207811-0.004034686914646063j),(-0.0007752911404242278+0.005436839640141016j),(0.004236726823363235-0.0035180233911782928j),(-0.0060459819509605245-0.00044579522779813346j),(0.002801914728714277+0.006611290779764628j),(0.008242213431043225-0.0018492449901918557j),(0.006952788526983782-0.005709356507649557j),(0.008277972632950737-0.001076559823516503j),(0.0016596442454103997+0.006864529768545973j),(-0.00575254646538043-0.0016582662431900313j),(0.00488686979545553-0.0024918638453044406j),(-0.0019047718891347068+0.0051715610500006805j),(-0.003432443681314116-0.004763401923577863j)
"(-2.6923076923076925, -3.0)",(0.002650233624255764-0.00924391586834741j),(0.006817694783304221-0.0004912573472233188j),(0.005881956726282469+0.0039751805482573415j),(0.005789782475743518+0.004125955130051731j),(0.006863257149748534+7.712000782381462e-06j),(0.0021905852570059214-0.0060458136587246206j),(-0.00586330505959896-0.0009741619210317836j),(0.0023063251813081513+0.005084366086427763j),(0.001757701668488477-0.005272479665140703j),(-0.0053283351186215275+0.002900044697864638j),(0.006106006679756814+0.0037486424952626997j),(0.005173969751761795-0.006725554418245186j),(0.00091995036800268-0.00910295184632283j),(0.004684733665604603-0.007178692156194115j),(0.006658764656484248+0.00291006871230721j),(-0.004792748948940255+0.0038233199817374972j),(0.0007511784385890266-0.0055248818866518445j),(0.0031595473876258953+0.004582867761406335j),(-0.005908664657208547-6.875280082383254e-05j)
"(-2.5384615384615383, -3.0)",(-0.0055210310314063845-0.00794232626232049j),(0.004196880453581975-0.00544747563617041j),(0.007021370237446431-0.0013965749451045914j),(0.007145197727651837-0.0008237850764842842j),(0.005442958707505025-0.004350971324108315j),(-0.0017575845517385478-0.006308654221686462j),(-0.005568298752831617+0.002392625934910604j),(0.004655129415942388+0.003252373244470251j),(-0.0011080092861839284-0.005501969731578063j),(-0.0031123019132457998+0.005211622767003425j),(0.00713768129023908-0.00021273119455584414j),(-1.2025412398481176e-05-0.008509015200934198j),(-0.005620501367987988-0.007402328311555982j),(-0.0022551022162652905-0.00851013929790789j),(0.006606887889754183-0.003517846280006234j),(0.0002527731223169442+0.006280558984694456j),(-0.004126231524899458-0.003891072795890575j),(0.005621831901201357+0.00013662446974473837j),(-0.003653148659544677+0.004691640953501198j)
"(-2.3846153846153846, -3.0)",(-0.009684710248160637-0.0009006899622279498j),(-0.0011584358269476093-0.006817161542060391j),(0.0040945787562673905-0.0059412691184462995j),(0.0049259609161209994-0.00535135336028499j),(0.0017192125072326126-0.006860460314905669j),(-0.005069094857976232-0.004332990848920396j),(-0.003617158636266781+0.005011672328368983j),(0.005744879133137319+0.0006274603571776474j),(-0.003573861763727777-0.004403593494324682j),(-0.0002714767506359239+0.006068361103261622j),(0.005990916816379197-0.0038263051604893288j),(-0.004934635944465711-0.006940462137311562j),(-0.009226793212101349-0.001938256340602126j),(-0.007919094641818678-0.004363129081128126j),(0.0015552154640909492-0.007559188040170986j),(0.0052843197390165285+0.0037019835032448506j),(-0.005682374388792425+0.001022414079588917j),(0.0035157106120213923-0.00446438923949935j),(0.0014461538035371352+0.005805068557495988j)
"(-2.230769230769231, -3.0)",(-0.007083202125405581+0.006739534210643369j),(-0.005748876880734346-0.0039046016571027357j),(-0.0010624249187485234-0.007190524318968661j),(0.00040652213754481455-0.007340153001583189j),(-0.002657536432495712-0.006665310163995992j),(-0.006718328605181149-0.0009768361203714806j),(-0.0007396072237593472+0.00625998611272056j),(0.005513849825247406-0.002053321485796455j),(-0.0051752339743767785-0.0024708065153819527j),(0.002402246841989437+0.00558511427528841j),(0.0034417570431803522-0.006173958680987514j),(-0.007897614818054417-0.003154758838259305j),(-0.008521417991174597+0.00430463815087002j),(-0.008941008314272867+0.002495620055938808j),(-0.004822311736826775-0.006338902811458463j),(0.006357990926537592-0.001883990896264863j),(-0.0026962419338994064+0.005228487584011924j),(-0.001391089389458263-0.0055727958701071644j),(0.005451523175533023+0.0025487870778436884j)
"(-2.0769230769230766, -3.0)",(0.00023886924993265861+0.009821479366947146j),(-0.006855775759739857+0.0013110139008729546j),(-0.005614201767093866-0.0046930423049740206j),(-0.004246228371274619-0.006092041284227371j),(-0.006030713087739803-0.0040715028913569885j),(-0.006395433672441242+0.0026146027523015j),(0.0022417985370762486+0.006025041185202402j),(0.004242017071713603-0.00423287283736895j),(-0.0057976294966376705-0.00025039005256123343j),(0.004417432160937379+0.004188112753425522j),(0.00043739736299110507-0.007007743155370147j),(-0.00838410336356059+0.0012251864224536136j),(-0.004383001364854314+0.008593063096405324j),(-0.005050758773583195+0.008075000739968027j),(-0.00818917114039259-0.0007853866575854376j),(0.002696540180873084-0.006269183880798253j),(0.002453127227963519+0.005475370982923619j),(-0.005273114014885443-0.002433752935691115j),(0.0054910961283654094-0.0025455042535592327j)
"(-1.923076923076923, -3.0)",(0.007339370409813159+0.006595930314817955j),(-0.00405929886376181+0.005710014689125946j),(-0.007360986649007709+5.785486066222935e-05j),(-0.007105641182497736-0.002387345344239861j),(-0.007372040257791605-0.00018503767766798733j),(-0.004431056817591111+0.005455953424552338j),(0.0046783061018562866+0.00459171813387806j),(0.002364628715672464-0.0056288201769631755j),(-0.00558535076638759+0.001825700073426505j),(0.005615558141102438+0.0023755907533028375j),(-0.0022803056227723626-0.00658470006515953j),(-0.006858524539787469+0.004886633924224149j),(0.0010870982859782724+0.009660623107768667j),(0.0013672125033179446+0.00966628295283289j),(-0.006517969143806523+0.005460972091679403j),(-0.0030272563493093014-0.006348201470574759j),(0.005897689840551868+0.00165580115900466j),(-0.005310856319798083+0.002510904035243019j),(0.001709770002969789-0.005840819116103068j)
"(-1.7692307692307692, -3.0)",(0.00988881030204069-0.000598830671074522j),(0.0008589383018514819+0.006973846756275542j),(-0.005721997432066208+0.004691464634403616j),(-0.0072532515354625645+0.0021347529000392924j),(-0.006505747690299643+0.0036677379462016777j),(-0.0015236020132621078+0.00698189370734106j),(0.0062198135589875666+0.0024432656322292416j),(0.00030822237392288715-0.006213613011678375j),(-0.0048107960488176565+0.003508339995888044j),(0.006085817294311707+0.0005556602102533545j),(-0.004323124895361946-0.005391698929515272j),(-0.004239198946375057+0.007192405554444411j),(0.005862925962710369+0.007812934990066875j),(0.007134727921130065+0.006994636492989009j),(-0.001018343089551058+0.008734116641360958j),(-0.006927423429538934-0.0021657371905407685j),(0.005243351008002222-0.0034227515229958796j),(-0.0016246086154208658+0.0057185435349093915j),(-0.0031768638495478434-0.00522906359397087j)
"(-1.6153846153846154, -3.0)",(0.006712734540653305-0.007333037962305975j),(0.00523481376838152+0.004709470422689512j),(-0.0017082293800666597+0.0072321732737395394j),(-0.004928016327077697+0.005811558452428355j),(-0.003955280679852594+0.006439926288790287j),(0.001567495890277784+0.0070897120883536315j),(0.006809159033459402+7.326286367641927e-05j),(-0.001608276190241237-0.006132324662766159j),(-0.0037631432999295717+0.004720444419976349j),(0.006044123972250364-0.0010176062558963537j),(-0.005621786353278054-0.0039147351351495685j),(-0.001410974463145454+0.008134645281493292j),(0.008800018474645661+0.004270431620321846j),(0.01005754791490774+0.001727529077189481j),(0.005145450148940237+0.007499108452535114j),(-0.006624806317702588+0.0035171877940064276j),(0.0010649493814150314-0.006319621654175011j),(0.0031546792510967494+0.005126335469949303j),(-0.0060054912991119435-0.0013257723900124768j)
