index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(-3.0, -3.0)",(0.005469555046375279+0.00336382796760348j),(0.0010561669603931397+0.005086696891334579j),(-0.0019480586444821184+0.004893932718522927j),(-0.0034524035236561594+0.004036188772045882j),(-0.0037179952842360275+0.003805690945452413j),(-0.002881853081830593+0.004440171435421967j),(-0.0006170464792116065+0.0051977407936319815j),(0.0028569866865348886+0.004287009465345727j),(0.005053816498571822+0.000233292651746814j),(0.002269486534059038-0.004425040904554469j),(-0.00366829714953798-0.0032674689337704836j),(-0.0036734978433759953+0.0032398566786114888j),(0.0031357995895829414+0.0038309508265143657j),(0.003980266893630836-0.003171329151575738j),(-0.0030635081649368567-0.004356129329205081j),(-0.005148027236619505+0.0023414600331973768j),(0.00017862766285681888+0.006043047156871902j),(0.005065567981697219+0.003949183861435317j),(0.006612439169207389+0.0009839660241047962j),(0.006737062205715049+0.00028618202205431893j),(0.006163211917686912+0.0022907156350400856j),(0.0030511634122129304+0.0054455013812727176j),(-0.002932594200549051+0.005058007820021729j),(-0.005317063355643556-0.0013264644051441126j),(0.000683443140614247-0.0051497028890935565j),(0.0049807192836264485+0.0005241109855523309j),(-0.0004318948276462628+0.004895734589463311j),(-0.004897565580362935-7.957495067010336e-05j),(-0.0008120965411664107-0.004871108619486241j),(0.004396899623033115-0.002410259810527218j)
"(-2.8461538461538463, -3.0)",(0.006055328483023783-0.002312338288813635j),(0.004660742940593613+0.0023984376629246833j),(0.0024718947565699582+0.004706161268505973j),(0.0006634273567276915+0.005321994561259812j),(0.00013520700977770808+0.0053749829719627554j),(0.001007735645918232+0.005258695768579606j),(0.0030478602582511777+0.00433537781852973j),(0.005009053249316765+0.001469979369519586j),(0.004175035178443989-0.002979602764486972j),(-0.0008218608667727315-0.0049749791880021165j),(-0.0049464339403551515-0.0005650733191844249j),(-0.00123377931475596+0.004802432820003555j),(0.004783220861269348+0.001466534203269141j),(0.0015655165969471424-0.004887725686673591j),(-0.005021346836118339-0.0018763903277148595j),(-0.0028211843193502836+0.004937960753552198j),(0.003877416117954204+0.0046875747296117815j),(0.0064732747950143376-0.0002983329999017301j),(0.005538232143484732-0.00389867778483796j),(0.004914646370856266-0.004789959565174193j),(0.005864523639295373-0.0032725791394922934j),(0.006311848008347381+0.0009753446782185567j),(0.002402857077148584+0.005477447792763655j),(-0.004221663776869524+0.0036756174191345426j),(-0.003948276097578554-0.0035269172192860946j),(0.0032689439869610297-0.0039032476805459988j),(0.0038685015784819254+0.003143553333900021j),(-0.0028750741057073322+0.004039493760001632j),(-0.004493914017486556-0.002171884350134336j),(0.0006642606554265287-0.005018853544393687j)
"(-2.6923076923076925, -3.0)",(0.0019562749000375823-0.006243312821954378j),(0.004868691617978892-0.0020631920763885j),(0.005209432454617943+0.0012775585150598995j),(0.004368075141397587+0.003199559775346959j),(0.003918346763056574+0.0037628019859753344j),(0.00435537266577449+0.0032177516332998458j),(0.005199900525483753+0.0013199533204681145j),(0.004894147380951216-0.0020055702189687866j),(0.001585777432910911-0.004952225949067839j),(-0.0035758535988867574-0.003654187324179333j),(-0.004495326549276456+0.002291944513692882j),(0.0015527800685653306+0.0047736980849299475j),(0.004889745507893869-0.0012868344282463548j),(-0.0012495811770402816-0.0050226290286301024j),(-0.00527937724509225+0.001108750502515405j),(0.0003961243102312478+0.005702208979475117j),(0.005919538180768736+0.0015399551642252148j),(0.004913948971795171-0.0043029533160427j),(0.0015561080198297935-0.006677065287750263j),(8.713168891488532e-05-0.006980784394168222j),(0.0015126285369388354-0.006690880519031201j),(0.004863658681169989-0.004368840964700636j),(0.005952155693007493+0.0014371279249586562j),(0.0005175136617998164+0.0056982780287286525j),(-0.005256068597321276+0.0012332588066826262j),(-0.0013725287675929528-0.004993163488701811j),(0.004858257842444554-0.0014052845896783167j),(0.0016625978340270007+0.004736603377702385j),(-0.004445177698593655+0.0023861088913173785j),(-0.003642109520964987-0.0035863644705419664j)
"(-2.5384615384615383, -3.0)",(-0.0036401026793108906-0.005509553342390665j),(0.0016254225348725504-0.0050797270455593705j),(0.004498486053229072-0.003007160711202785j),(0.0053916020231591375-0.0008934145128138898j),(0.005487562606596531+2.3140393924190006e-05j),(0.005454165708884576-0.00048006251422051275j),(0.004916906199023973-0.0023037083350865902j),(0.002717712563939979-0.004617644230886617j),(-0.0015822291212731932-0.005027965988486497j),(-0.005065959929162731-0.001098857509237652j),(-0.002648118790512994+0.004375178445126188j),(0.003812183387474907+0.0033613812646952393j),(0.003640775541997196-0.0035861734791128442j),(-0.003601012672372073-0.0037782320405963213j),(-0.004031064527972548+0.003634580411532213j),(0.003330688563436136+0.004677364085516479j),(0.005810163893071436-0.001999943281777566j),(0.0014134744301671671-0.006422889134045839j),(-0.003100645883102818-0.0062012104660667785j),(-0.004790525755188378-0.005236740162202276j),(-0.003891402769506521-0.005825765143584218j),(-0.00014805139001557402-0.006693081530430406j),(0.004943403962205828-0.00386105063077313j),(0.004980996976328452+0.0030736178125302933j),(-0.0021271900004713293+0.005082016010943488j),(-0.0049475949844805505-0.0018141886255320047j),(0.001706785692203917-0.004841013092571449j),(0.004870410243002088+0.0014564297394794093j),(-0.0007570200111719169+0.0050434717526394385j),(-0.005115123529438761+0.0006836412980388624j)
"(-2.3846153846153846, -3.0)",(-0.006619718345691224-0.000767823950330329j),(-0.0027357274978384418-0.004630618173521364j),(0.0009226419941852524-0.005378778068102173j),(0.003246909059051164-0.004457462332860171j),(0.004107576675713939-0.0037199793401123432j),(0.0038973058916558145-0.003929665243486654j),(0.002487824209818936-0.004898713444070417j),(-0.0004994549505403172-0.005403643378968659j),(-0.004157904345971106-0.003354351988914143j),(-0.004955608967072711+0.001749317883878314j),(-0.0001090390634171775+0.0051820740270690484j),(0.005018652299962304+0.0011376509395348892j),(0.0015688191576720136-0.004921273733279269j),(-0.004979068771694885-0.0017062997753831512j),(-0.0018749982240414355+0.005127802302367349j),(0.0052058773191168695+0.0024773404825067726j),(0.00395143695613835-0.004735423186592871j),(-0.0024344485677120797-0.006149668612018421j),(-0.006294078191705707-0.003069877415327595j),(-0.007163720175232276-0.0008074137374146601j),(-0.007007441274941875-0.0014357781719715494j),(-0.005179803582583213-0.004493484321215024j),(0.00019698963961741663-0.006426540924244688j),(0.0056186180705411854-0.0020813775302133694j),(0.002844621868730085+0.004853726049394775j),(-0.00447716471550402+0.002957269879721333j),(-0.002926668057888413-0.004312565980278197j),(0.004138241105255477-0.003063869142401491j),(0.0035716966992744045+0.0037182170840302487j),(-0.0026907402295350464+0.004461368310890111j)
"(-2.230769230769231, -3.0)",(-0.004971665774755097+0.00452767739917476j),(-0.005300835869840274-0.0011415133110911945j),(-0.003207893132569633-0.0044705635038890905j),(-0.0007036660752240239-0.005518142317590048j),(0.0006521281193614352-0.0055562972936663586j),(0.000576101395053591-0.00556288195916675j),(-0.0009262985448093567-0.005479942547750437j),(-0.0034937627243302755-0.004240886101544135j),(-0.00537375038710656-0.0006527705562361879j),(-0.003471065589663867+0.0040408469328180735j),(0.0023735031103265807+0.004685934557675101j),(0.005059372123301793-0.001244424128302965j),(-0.0007170835901661017-0.0051713457326042515j),(-0.005276009942860132+0.0005763275379407678j),(0.0005126877244271477+0.005467089822579301j),(0.005784462780335282-0.00011268520034497101j),(0.001208234750861389-0.006065387594984963j),(-0.005307959183166477-0.0039943255902860275j),(-0.006976750388847879+0.001101863403010647j),(-0.006174073207574503+0.003921819442399023j),(-0.00625051626892328+0.003769909420836149j),(-0.006996440825285111+0.0006272531915134697j),(-0.004824765444740401-0.0044950105880339495j),(0.001991502203912494-0.005806344702923338j),(0.005697966172931041+0.0007653745036989701j),(-0.00037947132598029304+0.005453370711592779j),(-0.005285711076771418-0.00029600655983502764j),(0.00011354343161352416-0.005215271677924075j),(0.005190220190318071-0.00048187727266689624j),(0.0017335854842873135+0.004965552919914976j)
"(-2.0769230769230766, -3.0)",(2.2981397352107857e-05+0.006784037158963722j),(-0.004530967496645133+0.003055860513428573j),(-0.005459511533358719-0.0009754603628633692j),(-0.004255368546276822-0.003654614997551912j),(-0.003083184659508454-0.004729175562036765j),(-0.0029518587684256355-0.0048165234916470664j),(-0.0039444092842441875-0.004002887177116841j),(-0.005290771310560885-0.0017144948802693305j),(-0.005036758156309157+0.0021681257819922235j),(-0.0011813619719035218+0.005267586288143052j),(0.004246812680821378+0.003208278590393985j),(0.004141055101996904-0.0032672299352741506j),(-0.0027329715962843017-0.004513937584755435j),(-0.004682258407933444+0.0025914110560561975j),(0.0026124207015285417+0.004864217635176589j),(0.0052592457179350335-0.0024524313845937953j),(-0.0015568359859777843-0.0059969222709044725j),(-0.006593137023285191-0.0009602684599190334j),(-0.005345841733707193+0.004691665734948295j),(-0.0026815450248703+0.006908636166969179j),(-0.0023563593328502614+0.007059980276150653j),(-0.004696102212494902+0.005451490353358925j),(-0.006748417142792642+0.0004908712667437243j),(-0.0031843009491288837-0.00542812730864416j),(0.004293820232892736-0.004016359182095151j),(0.004106901422941311+0.0037667828198598187j),(-0.0035732591736251916+0.0040215108537283925j),(-0.004047786071510758-0.0033997115700545285j),(0.0029663578577170243-0.00435611445558275j),(0.004941327895849093+0.0019412268173683888j)
"(-1.923076923076923, -3.0)",(0.0049971599061528+0.004674845530247619j),(-0.0010562815216745786+0.00540425561019342j),(-0.004696403441570987+0.0030275703587690937j),(-0.00565373771709074+7.48497793056288e-06j),(-0.005399207047597807-0.0018094634999299608j),(-0.0052655523594557305-0.002191852487830664j),(-0.005554730318686467-0.001186168998777352j),(-0.00548540150210628+0.0012547312225254649j),(-0.0034438629280259944+0.004355857154501979j),(0.001269567767772841+0.005319822115559075j),(0.005251761018508328+0.0012212567113142794j),(0.002629355501381642-0.004647156925028163j),(-0.0042090367340252-0.0032748888764282855j),(-0.0035284050149010805+0.004082051222765925j),(0.004153160344869446+0.003682575802874475j),(0.004036730458602122-0.004189020364751439j),(-0.003770112900267378-0.004923152028357454j),(-0.006366400476679556+0.001998002247730076j),(-0.002367497863992266+0.006746048041915384j),(0.0016113229376951551+0.007320504827962859j),(0.002532841700963499+0.007144969292318597j),(0.00015870839935870767+0.007366146068410828j),(-0.004515471427834513+0.0052768832280560935j),(-0.006318573507127886-0.0013267646032227977j),(-0.00025643800608249155-0.006011771633213958j),(0.005633520411468592-0.0007599361610999581j),(0.0008367992188790348+0.005404701680027759j),(-0.005275156291093905+0.000937467742332554j),(-0.0013865609781929524-0.005145176894318656j),(0.004785381904955604-0.002410766869874031j)
"(-1.7692307692307692, -3.0)",(0.0068947734556646986-0.0002860016048902566j),(0.002987117571860467+0.004672987075077883j),(-0.0015143216518261348+0.005419672317416209j),(-0.004402640662622123+0.0036136012233123926j),(-0.005449414493338423+0.001805385135459171j),(-0.005635976192142595+0.0011666026068971778j),(-0.005404981545138305+0.001925963294971843j),(-0.004234414755165804+0.003801518511334159j),(-0.0011563351751098885+0.005500178400267694j),(0.0033673894074197756+0.004397654908647062j),(0.005397614783617899-0.0008271243186678142j),(0.0009004716828033746-0.0053282347828378955j),(-0.0050820748194278014-0.0017929592685813115j),(-0.002149170838836526+0.004996906926513729j),(0.005090224930181139+0.0022837355669278864j),(0.0025404600094733544-0.005246615959425318j),(-0.005214445641635722-0.0033544596664820806j),(-0.0051131634639806755+0.004286425080538905j),(0.0008637330445776622+0.007119851270641797j),(0.0051651251613851245+0.005529175726043003j),(0.006296898586353597+0.004448159548112321j),(0.004927161719136624+0.005707231608924307j),(0.00033095846683801574+0.007122205901560628j),(-0.005487683665569471+0.003716698116255902j),(-0.004738258924758133-0.00394072675907146j),(0.0032020135357905244-0.004838865485404512j),(0.004714300090075991+0.002952509900806996j),(-0.002801391300522859+0.004653668519985816j),(-0.00480972924957883-0.00242862085253609j),(0.001517185539427153-0.005190227552438518j)
"(-1.6153846153846154, -3.0)",(0.004789426648754655-0.005046040010031994j),(0.005389496008446069+0.0014599433107805495j),(0.0023506822546042806+0.005153482545879988j),(-0.0012744148259895552+0.005591471734959723j),(-0.0034334137789400975+0.0046547409570061715j),(-0.004154164377943157+0.0040538296170392375j),(-0.0037627750508910152+0.004404484504206887j),(-0.0020557214132791175+0.005371423754183292j),(0.001238521999842617+0.005549321940843826j),(0.004822770667813468+0.0028594542601739666j),(0.004869320719016227-0.0026172427573595584j),(-0.0007529549599350833-0.005415268947752048j),(-0.00543432038289271-0.0003358925698378193j),(-0.0008038408729660658+0.005423645975807406j),(0.00552682482770491+0.0009413470721739167j),(0.0010954918498396668-0.005734908038797851j),(-0.0059482907387693905-0.0017270618282772378j),(-0.003413285924762045+0.005720518750765916j),(0.0035691153759244763+0.006229333731424539j),(0.007180095025920771+0.0025515030383059566j),(0.007815129721189015+0.0004101070433156368j),(0.0075311836091305+0.001642473916675936j),(0.0050431881059460806+0.005304060297735366j),(-0.0014055341008976777+0.0066606652734478656j),(-0.0062779906804122255+0.0006960821380807529j),(-0.0014123634358564454-0.005755794420056849j),(0.005450101650359841-0.0015280181959323306j),(0.0015624348912856197+0.005281894891763444j),(-0.005119241771817063+0.0018647267993061657j),(-0.0026743025189814667-0.004755783407474508j)
