index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)"
"(0,)",(-0.006930991539901323+0.027350477492266677j),(-0.0014797700134158529+0.0027412454784538293j),(-0.002156671264775219+0.0022425820778286076j),(0.0039049257190060024-0.003619495650366211j),(0.0011891902356672636+0.008126883780320879j),(-0.008584956136929865+0.0059303600965504005j),(-0.00858495613692988+0.005930360096550405j),(0.0011891902356672493+0.008126883780320877j),(0.0039049257190059876-0.003619495650366203j),(-0.00215667126477523+0.0022425820778286085j),(0.010993160500268256+0.002313050265781988j)
"(1,)",(-0.0014797700134158529+0.0027412454784538293j),(-0.010444248267569215+0.019811710668929058j),(-0.00043699924788277543+0.003652615155421794j),(-0.0010213075133137458+0.0013234400936572035j),(0.0020320688727297562-0.0026516460295194096j),(0.001657170052833276+0.0052664258476113595j),(-0.005261155342354831+0.004822964207779754j),(-0.0052611553423548224+0.004822964207779755j),(0.00165717005283328+0.005266425847611354j),(0.0020320688727297554-0.002651646029519419j),(-0.0010213075133137428+0.0013234400936572117j)
"(2,)",(-0.002156671264775219+0.0022425820778286076j),(-0.00043699924788277543+0.003652615155421794j),(-0.010444248267569194+0.019811710668929037j),(-0.00043699924788277614+0.003652615155421791j),(-0.001021307513313748+0.0013234400936572035j),(0.0020320688727297476-0.0026516460295194113j),(0.0016571700528332735+0.00526642584761136j),(-0.005261155342354816+0.004822964207779754j),(-0.005261155342354822+0.004822964207779749j),(0.001657170052833279+0.005266425847611356j),(0.0020320688727297493-0.0026516460295194235j)
"(3,)",(0.0039049257190060024-0.003619495650366211j),(-0.0010213075133137458+0.0013234400936572035j),(-0.00043699924788277614+0.003652615155421791j),(-0.010444248267569196+0.019811710668929026j),(-0.0004369992478827738+0.003652615155421795j),(-0.0010213075133137439+0.0013234400936571965j),(0.002032068872729755-0.002651646029519409j),(0.0016571700528332707+0.005266425847611345j),(-0.005261155342354822+0.004822964207779752j),(-0.005261155342354824+0.004822964207779758j),(0.00165717005283328+0.005266425847611354j)
"(4,)",(0.0011891902356672636+0.008126883780320879j),(0.0020320688727297562-0.0026516460295194096j),(-0.001021307513313748+0.0013234400936572035j),(-0.0004369992478827738+0.003652615155421795j),(-0.010444248267569204+0.019811710668929047j),(-0.0004369992478827806+0.003652615155421793j),(-0.0010213075133137517+0.0013234400936572063j),(0.002032068872729741-0.002651646029519415j),(0.0016571700528332737+0.005266425847611354j),(-0.005261155342354827+0.004822964207779765j),(-0.0052611553423548224+0.0048229642077797594j)
"(5,)",(-0.008584956136929865+0.0059303600965504005j),(0.001657170052833276+0.0052664258476113595j),(0.0020320688727297476-0.0026516460295194113j),(-0.0010213075133137439+0.0013234400936571965j),(-0.0004369992478827806+0.003652615155421793j),(-0.010444248267569194+0.01981171066892904j),(-0.0004369992478827698+0.003652615155421787j),(-0.001021307513313743+0.0013234400936571855j),(0.002032068872729747-0.002651646029519405j),(0.0016571700528332624+0.005266425847611359j),(-0.005261155342354818+0.004822964207779752j)
"(6,)",(-0.00858495613692988+0.005930360096550405j),(-0.005261155342354831+0.004822964207779754j),(0.0016571700528332735+0.00526642584761136j),(0.002032068872729755-0.002651646029519409j),(-0.0010213075133137517+0.0013234400936572063j),(-0.0004369992478827698+0.003652615155421787j),(-0.010444248267569194+0.019811710668929026j),(-0.0004369992478827806+0.003652615155421798j),(-0.0010213075133137448+0.001323440093657196j),(0.0020320688727297528-0.0026516460295194144j),(0.0016571700528332709+0.005266425847611364j)
"(7,)",(0.0011891902356672493+0.008126883780320877j),(-0.0052611553423548224+0.004822964207779755j),(-0.005261155342354816+0.004822964207779754j),(0.0016571700528332707+0.005266425847611345j),(0.002032068872729741-0.002651646029519415j),(-0.001021307513313743+0.0013234400936571855j),(-0.0004369992478827806+0.003652615155421798j),(-0.010444248267569203+0.019811710668929037j),(-0.00043699924788277435+0.0036526151554217927j),(-0.0010213075133137435+0.0013234400936571905j),(0.0020320688727297562-0.002651646029519402j)
"(8,)",(0.0039049257190059876-0.003619495650366203j),(0.00165717005283328+0.005266425847611354j),(-0.005261155342354822+0.004822964207779749j),(-0.005261155342354822+0.004822964207779752j),(0.0016571700528332737+0.005266425847611354j),(0.002032068872729747-0.002651646029519405j),(-0.0010213075133137448+0.001323440093657196j),(-0.00043699924788277435+0.0036526151554217927j),(-0.010444248267569208+0.01981171066892904j),(-0.0004369992478827751+0.0036526151554218j),(-0.0010213075133137484+0.001323440093657199j)
"(9,)",(-0.00215667126477523+0.0022425820778286085j),(0.0020320688727297554-0.002651646029519419j),(0.001657170052833279+0.005266425847611356j),(-0.005261155342354824+0.004822964207779758j),(-0.005261155342354827+0.004822964207779765j),(0.0016571700528332624+0.005266425847611359j),(0.0020320688727297528-0.0026516460295194144j),(-0.0010213075133137435+0.0013234400936571905j),(-0.0004369992478827751+0.0036526151554218j),(-0.010444248267569204+0.019811710668929047j),(-0.00043699924788277424+0.0036526151554217906j)
"(10,)",(0.010993160500268256+0.002313050265781988j),(-0.0010213075133137428+0.0013234400936572117j),(0.0020320688727297493-0.0026516460295194235j),(0.00165717005283328+0.005266425847611354j),(-0.0052611553423548224+0.0048229642077797594j),(-0.005261155342354818+0.004822964207779752j),(0.0016571700528332709+0.005266425847611364j),(0.0020320688727297562-0.002651646029519402j),(-0.0010213075133137484+0.001323440093657199j),(-0.00043699924788277424+0.0036526151554217906j),(-0.010444248267569189+0.019811710668929047j)
