index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)"
"(0,)",(-0.0035744339454132825+0.024588658476389955j),(-0.002649446327955309+0.0014409143019350102j),(0.001320647803861803+0.003169084098603537j),(-0.0020312174569280805-0.00368642405869918j),(0.00528309935267397+0.0014887085386094808j),(-0.0021733360762388747+0.0064765650223444216j),(-0.007047995953476517+0.0031439296459355856j),(-0.007047995953476521+0.0031439296459355834j),(-0.0021733360762388743+0.006476565022344425j),(0.0052830993526739815+0.0014887085386094834j),(-0.0020312174569281-0.003686424058699183j),(0.0013206478038618147+0.0031690840986035402j),(-0.0014271242666135456+0.0012519972970521202j)
"(1,)",(-0.002649446327955309+0.0014409143019350102j),(-0.0068259100498602385+0.018606318328183068j),(-0.0015420041812792052+0.002149534883935314j),(0.0009946625540311488+0.0018466607419202184j),(-0.0015477464386240015-0.0021782136120727783j),(0.0035882378360342347+0.0005824863999358947j),(-0.0009982624217209468+0.004492878262060948j),(-0.004539061465798481+0.002578976062981903j),(-0.004539061465798476+0.0025789760629819007j),(-0.0009982624217209435+0.004492878262060949j),(0.0035882378360342416+0.0005824863999358883j),(-0.0015477464386240147-0.002178213612072782j),(0.00099466255403116+0.0018466607419202238j)
"(2,)",(0.001320647803861803+0.003169084098603537j),(-0.0015420041812792052+0.002149534883935314j),(-0.006825910049860229+0.018606318328183047j),(-0.0015420041812792052+0.002149534883935312j),(0.0009946625540311466+0.0018466607419202143j),(-0.0015477464386240009-0.002178213612072777j),(0.0035882378360342316+0.000582486399935897j),(-0.000998262421720945+0.0044928782620609455j),(-0.004539061465798475+0.002578976062981896j),(-0.0045390614657984775+0.0025789760629818985j),(-0.0009982624217209411+0.004492878262060952j),(0.00358823783603424+0.0005824863999358907j),(-0.0015477464386240037-0.002178213612072782j)
"(3,)",(-0.0020312174569280805-0.00368642405869918j),(0.0009946625540311488+0.0018466607419202184j),(-0.0015420041812792052+0.002149534883935312j),(-0.006825910049860229+0.018606318328183054j),(-0.0015420041812792052+0.0021495348839353084j),(0.0009946625540311466+0.0018466607419202134j),(-0.0015477464386240022-0.0021782136120727788j),(0.0035882378360342303+0.0005824863999358919j),(-0.0009982624217209453+0.00449287826206094j),(-0.0045390614657984775+0.002578976062981897j),(-0.004539061465798481+0.002578976062981903j),(-0.0009982624217209433+0.004492878262060947j),(0.0035882378360342355+0.0005824863999358843j)
"(4,)",(0.00528309935267397+0.0014887085386094808j),(-0.0015477464386240015-0.0021782136120727783j),(0.0009946625540311466+0.0018466607419202143j),(-0.0015420041812792052+0.0021495348839353084j),(-0.006825910049860226+0.01860631832818304j),(-0.001542004181279206+0.0021495348839353145j),(0.0009946625540311446+0.0018466607419202127j),(-0.0015477464386240024-0.002178213612072781j),(0.003588237836034231+0.0005824863999358915j),(-0.0009982624217209437+0.004492878262060947j),(-0.0045390614657984775+0.0025789760629819033j),(-0.004539061465798475+0.0025789760629819007j),(-0.0009982624217209446+0.004492878262060943j)
"(5,)",(-0.0021733360762388747+0.0064765650223444216j),(0.0035882378360342347+0.0005824863999358947j),(-0.0015477464386240009-0.002178213612072777j),(0.0009946625540311466+0.0018466607419202134j),(-0.001542004181279206+0.0021495348839353145j),(-0.006825910049860229+0.018606318328183054j),(-0.0015420041812792013+0.0021495348839353145j),(0.0009946625540311514+0.00184666074192022j),(-0.0015477464386240037-0.002178213612072784j),(0.0035882378360342373+0.0005824863999358883j),(-0.0009982624217209455+0.00449287826206095j),(-0.004539061465798479+0.002578976062981897j),(-0.004539061465798473+0.002578976062981898j)
"(6,)",(-0.007047995953476517+0.0031439296459355856j),(-0.0009982624217209468+0.004492878262060948j),(0.0035882378360342316+0.000582486399935897j),(-0.0015477464386240022-0.0021782136120727788j),(0.0009946625540311446+0.0018466607419202127j),(-0.0015420041812792013+0.0021495348839353145j),(-0.00682591004986024+0.01860631832818304j),(-0.001542004181279202+0.0021495348839353176j),(0.0009946625540311524+0.0018466607419202231j),(-0.0015477464386240108-0.002178213612072782j),(0.003588237836034241+0.0005824863999358927j),(-0.0009982624217209476+0.00449287826206095j),(-0.004539061465798476+0.002578976062981897j)
"(7,)",(-0.007047995953476521+0.0031439296459355834j),(-0.004539061465798481+0.002578976062981903j),(-0.000998262421720945+0.0044928782620609455j),(0.0035882378360342303+0.0005824863999358919j),(-0.0015477464386240024-0.002178213612072781j),(0.0009946625540311514+0.00184666074192022j),(-0.001542004181279202+0.0021495348839353176j),(-0.006825910049860226+0.01860631832818304j),(-0.0015420041812792052+0.0021495348839353076j),(0.0009946625540311587+0.0018466607419202275j),(-0.0015477464386240134-0.002178213612072791j),(0.003588237836034238+0.0005824863999358948j),(-0.0009982624217209498+0.004492878262060951j)
"(8,)",(-0.0021733360762388743+0.006476565022344425j),(-0.004539061465798476+0.0025789760629819007j),(-0.004539061465798475+0.002578976062981896j),(-0.0009982624217209453+0.00449287826206094j),(0.003588237836034231+0.0005824863999358915j),(-0.0015477464386240037-0.002178213612072784j),(0.0009946625540311524+0.0018466607419202231j),(-0.0015420041812792052+0.0021495348839353076j),(-0.00682591004986021+0.01860631832818303j),(-0.0015420041812792074+0.0021495348839353076j),(0.0009946625540311522+0.001846660741920224j),(-0.00154774643862401-0.002178213612072788j),(0.0035882378360342347+0.0005824863999358942j)
"(9,)",(0.0052830993526739815+0.0014887085386094834j),(-0.0009982624217209435+0.004492878262060949j),(-0.0045390614657984775+0.0025789760629818985j),(-0.0045390614657984775+0.002578976062981897j),(-0.0009982624217209437+0.004492878262060947j),(0.0035882378360342373+0.0005824863999358883j),(-0.0015477464386240108-0.002178213612072782j),(0.0009946625540311587+0.0018466607419202275j),(-0.0015420041812792074+0.0021495348839353076j),(-0.00682591004986023+0.018606318328183047j),(-0.0015420041812791976+0.002149534883935323j),(0.0009946625540311535+0.0018466607419202283j),(-0.0015477464386240048-0.0021782136120727926j)
"(10,)",(-0.0020312174569281-0.003686424058699183j),(0.0035882378360342416+0.0005824863999358883j),(-0.0009982624217209411+0.004492878262060952j),(-0.004539061465798481+0.002578976062981903j),(-0.0045390614657984775+0.0025789760629819033j),(-0.0009982624217209455+0.00449287826206095j),(0.003588237836034241+0.0005824863999358927j),(-0.0015477464386240134-0.002178213612072791j),(0.0009946625540311522+0.001846660741920224j),(-0.0015420041812791976+0.002149534883935323j),(-0.0068259100498602515+0.018606318328183047j),(-0.0015420041812791994+0.0021495348839353215j),(0.0009946625540311529+0.0018466607419202288j)
"(11,)",(0.0013206478038618147+0.0031690840986035402j),(-0.0015477464386240147-0.002178213612072782j),(0.00358823783603424+0.0005824863999358907j),(-0.0009982624217209433+0.004492878262060947j),(-0.004539061465798475+0.0025789760629819007j),(-0.004539061465798479+0.002578976062981897j),(-0.0009982624217209476+0.00449287826206095j),(0.003588237836034238+0.0005824863999358948j),(-0.00154774643862401-0.002178213612072788j),(0.0009946625540311535+0.0018466607419202283j),(-0.0015420041812791994+0.0021495348839353215j),(-0.006825910049860226+0.018606318328183047j),(-0.0015420041812792076+0.0021495348839353067j)
"(12,)",(-0.0014271242666135456+0.0012519972970521202j),(0.00099466255403116+0.0018466607419202238j),(-0.0015477464386240037-0.002178213612072782j),(0.0035882378360342355+0.0005824863999358843j),(-0.0009982624217209446+0.004492878262060943j),(-0.004539061465798473+0.002578976062981898j),(-0.004539061465798476+0.002578976062981897j),(-0.0009982624217209498+0.004492878262060951j),(0.0035882378360342347+0.0005824863999358942j),(-0.0015477464386240048-0.0021782136120727926j),(0.0009946625540311529+0.0018466607419202288j),(-0.0015420041812792076+0.0021495348839353067j),(-0.006825910049860206+0.018606318328183033j)
