index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)"
"(0,)",(-0.0010304081420802228+0.02190283610398661j),(-0.0038437218277954446+0.0014816668139661171j),(0.0034393809043471646+0.0011584787887459612j),(-0.0037125549346790744+0.00010801309064002447j),(0.0027906434688046893-0.0031821696047492683j),(0.0028001011366309606+0.004015139789204715j),(-0.00327579186259717+0.004434205012499474j),(-0.005624839479949035+0.001743126882026498j),(-0.005624839479949041+0.0017431268820264963j),(-0.003275791862597165+0.004434205012499463j),(0.0028001011366309515+0.00401513978920472j),(0.002790643468804701-0.0031821696047492735j),(-0.0037125549346790692+0.00010801309064003358j),(0.0034393809043471507+0.001158478788745948j),(9.12166537637084e-05+0.0018936168071167635j)
"(1,)",(-0.0038437218277954446+0.0014816668139661171j),(-0.004015095919327998+0.017091808848549463j),(-0.002727134953577056+0.0019214439067464359j),(0.002264919076091753+0.0006075734919069123j),(-0.002376834583533076+0.0002567275898858595j),(0.0016658596703312677-0.0022391605031899806j),(0.0020780769799436773+0.0025273680519394283j),(-0.0019699401430085407+0.003137097113606269j),(-0.003688638766563165+0.0014439224991145264j),(-0.0036886387665631573+0.0014439224991145269j),(-0.001969940143008539+0.0031370971136062673j),(0.0020780769799436734+0.002527368051939431j),(0.0016658596703312684-0.0022391605031899763j),(-0.0023768345835330695+0.00025672758988586015j),(0.0022649190760917646+0.0006075734919069138j)
"(2,)",(0.0034393809043471646+0.0011584787887459612j),(-0.002727134953577056+0.0019214439067464359j),(-0.004015095919327996+0.017091808848549463j),(-0.002727134953577053+0.001921443906746432j),(0.002264919076091756+0.000607573491906916j),(-0.0023768345835330734+0.0002567275898858613j),(0.0016658596703312744-0.002239160503189984j),(0.0020780769799436725+0.0025273680519394223j),(-0.0019699401430085424+0.003137097113606274j),(-0.0036886387665631556+0.0014439224991145258j),(-0.0036886387665631595+0.0014439224991145221j),(-0.0019699401430085454+0.0031370971136062747j),(0.0020780769799436743+0.0025273680519394205j),(0.001665859670331268-0.002239160503189978j),(-0.002376834583533082+0.0002567275898858636j)
"(3,)",(-0.0037125549346790744+0.00010801309064002447j),(0.002264919076091753+0.0006075734919069123j),(-0.002727134953577053+0.001921443906746432j),(-0.004015095919327994+0.01709180884854945j),(-0.002727134953577055+0.0019214439067464378j),(0.0022649190760917503+0.0006075734919069079j),(-0.002376834583533076+0.0002567275898858593j),(0.0016658596703312699-0.002239160503189976j),(0.0020780769799436712+0.0025273680519394257j),(-0.001969940143008533+0.0031370971136062643j),(-0.0036886387665631556+0.0014439224991145254j),(-0.003688638766563166+0.0014439224991145247j),(-0.0019699401430085368+0.0031370971136062717j),(0.0020780769799436686+0.002527368051939417j),(0.0016658596703312744-0.0022391605031899793j)
"(4,)",(0.0027906434688046893-0.0031821696047492683j),(-0.002376834583533076+0.0002567275898858595j),(0.002264919076091756+0.000607573491906916j),(-0.002727134953577055+0.0019214439067464378j),(-0.004015095919327992+0.017091808848549456j),(-0.0027271349535770545+0.0019214439067464398j),(0.0022649190760917585+0.0006075734919069149j),(-0.0023768345835330747+0.00025672758988585885j),(0.0016658596703312749-0.0022391605031899793j),(0.00207807697994367+0.0025273680519394166j),(-0.001969940143008536+0.0031370971136062686j),(-0.003688638766563166+0.0014439224991145256j),(-0.003688638766563161+0.001443922499114528j),(-0.0019699401430085324+0.003137097113606268j),(0.002078076979943669+0.002527368051939427j)
"(5,)",(0.0028001011366309606+0.004015139789204715j),(0.0016658596703312677-0.0022391605031899806j),(-0.0023768345835330734+0.0002567275898858613j),(0.0022649190760917503+0.0006075734919069079j),(-0.0027271349535770545+0.0019214439067464398j),(-0.004015095919328001+0.01709180884854945j),(-0.00272713495357705+0.0019214439067464335j),(0.002264919076091749+0.0006075734919069119j),(-0.0023768345835330777+0.0002567275898858587j),(0.0016658596703312645-0.002239160503189973j),(0.0020780769799436725+0.0025273680519394184j),(-0.0019699401430085368+0.003137097113606276j),(-0.003688638766563159+0.0014439224991145325j),(-0.0036886387665631556+0.0014439224991145284j),(-0.001969940143008539+0.00313709711360627j)
"(6,)",(-0.00327579186259717+0.004434205012499474j),(0.0020780769799436773+0.0025273680519394283j),(0.0016658596703312744-0.002239160503189984j),(-0.002376834583533076+0.0002567275898858593j),(0.0022649190760917585+0.0006075734919069149j),(-0.00272713495357705+0.0019214439067464335j),(-0.0040150959193280015+0.017091808848549463j),(-0.0027271349535770532+0.0019214439067464372j),(0.0022649190760917616+0.0006075734919069196j),(-0.0023768345835330704+0.00025672758988585885j),(0.0016658596703312686-0.0022391605031899823j),(0.0020780769799436795+0.0025273680519394275j),(-0.001969940143008536+0.0031370971136062743j),(-0.003688638766563162+0.001443922499114523j),(-0.003688638766563166+0.0014439224991145212j)
"(7,)",(-0.005624839479949035+0.001743126882026498j),(-0.0019699401430085407+0.003137097113606269j),(0.0020780769799436725+0.0025273680519394223j),(0.0016658596703312699-0.002239160503189976j),(-0.0023768345835330747+0.00025672758988585885j),(0.002264919076091749+0.0006075734919069119j),(-0.0027271349535770532+0.0019214439067464372j),(-0.004015095919327991+0.01709180884854946j),(-0.0027271349535770584+0.0019214439067464285j),(0.002264919076091748+0.0006075734919069122j),(-0.002376834583533076+0.0002567275898858632j),(0.0016658596703312738-0.002239160503189986j),(0.00207807697994367+0.002527368051939422j),(-0.0019699401430085363+0.0031370971136062704j),(-0.0036886387665631634+0.0014439224991145215j)
"(8,)",(-0.005624839479949041+0.0017431268820264963j),(-0.003688638766563165+0.0014439224991145264j),(-0.0019699401430085424+0.003137097113606274j),(0.0020780769799436712+0.0025273680519394257j),(0.0016658596703312749-0.0022391605031899793j),(-0.0023768345835330777+0.0002567275898858587j),(0.0022649190760917616+0.0006075734919069196j),(-0.0027271349535770584+0.0019214439067464285j),(-0.004015095919327994+0.017091808848549467j),(-0.002727134953577055+0.0019214439067464408j),(0.002264919076091764+0.0006075734919069145j),(-0.002376834583533085+0.000256727589885865j),(0.0016658596703312727-0.0022391605031899797j),(0.002078076979943674+0.0025273680519394266j),(-0.001969940143008549+0.003137097113606269j)
"(9,)",(-0.003275791862597165+0.004434205012499463j),(-0.0036886387665631573+0.0014439224991145269j),(-0.0036886387665631556+0.0014439224991145258j),(-0.001969940143008533+0.0031370971136062643j),(0.00207807697994367+0.0025273680519394166j),(0.0016658596703312645-0.002239160503189973j),(-0.0023768345835330704+0.00025672758988585885j),(0.002264919076091748+0.0006075734919069122j),(-0.002727134953577055+0.0019214439067464408j),(-0.004015095919327986+0.017091808848549436j),(-0.0027271349535770576+0.0019214439067464317j),(0.0022649190760917555+0.0006075734919069088j),(-0.0023768345835330634+0.00025672758988585766j),(0.0016658596703312694-0.002239160503189968j),(0.0020780769799436656+0.0025273680519394266j)
