index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(0,)",(-3.893848810976276e-05+0.020613319747156782j),(-0.0042307212321021255+0.0017864193103718311j),(0.003663642068155702-8.420139889133175e-05j),(-0.0031135072491985313+0.0016962797403743902j),(0.0007725408004841584-0.0037658769114828827j),(0.003812065065218805+0.0019680521213781567j),(-0.0012578858255629824+0.004583891475244958j),(-0.004555646612878843+0.0022999535398742087j),(-0.005143608601006773+0.0009676448207644906j),(-0.004555646612878847+0.0022999535398742087j),(-0.0012578858255629837+0.004583891475244959j),(0.003812065065218799+0.001968052121378158j),(0.000772540800484155-0.0037658769114828914j),(-0.003113507249198534+0.001696279740374393j),(0.0036636420681556993-8.420139889134151e-05j),(-0.0031735097513213234+0.0022612517568623086j)
"(1,)",(-0.0042307212321021255+0.0017864193103718311j),(-0.0028891136733446426+0.01627602511077489j),(-0.003139719375462779+0.00209740449577987j),(0.0023987681066746313-0.0001720751854692386j),(-0.0019394091209489128+0.0012277668560664585j),(0.00033989171017119696-0.00251118016693974j),(0.002625846293219822+0.0011355557695736543j),(-0.000636533930811623+0.0031223954543412643j),(-0.002952795586503015+0.0017380604191863007j),(-0.0034057907573725953+0.000867651911306303j),(-0.002952795586503021+0.0017380604191862949j),(-0.0006365339308116261+0.0031223954543412604j),(0.0026258462932198293+0.0011355557695736562j),(0.0003398917101712014-0.002511180166939739j),(-0.001939409120948912+0.0012277668560664557j),(0.0023987681066746282-0.00017207518546923865j)
"(2,)",(0.003663642068155702-8.420139889133175e-05j),(-0.003139719375462779+0.00209740449577987j),(-0.002889113673344638+0.016276025110774882j),(-0.003139719375462778+0.00209740449577987j),(0.0023987681066746313-0.00017207518546924182j),(-0.001939409120948915+0.0012277668560664594j),(0.00033989171017119956-0.0025111801669397407j),(0.0026258462932198232+0.0011355557695736586j),(-0.0006365339308116261+0.0031223954543412587j),(-0.0029527955865030213+0.0017380604191862953j),(-0.003405790757372593+0.0008676519113063006j),(-0.0029527955865030174+0.0017380604191862953j),(-0.0006365339308116255+0.0031223954543412678j),(0.0026258462932198267+0.001135555769573661j),(0.00033989171017119907-0.0025111801669397355j),(-0.0019394091209489139+0.0012277668560664535j)
"(3,)",(-0.0031135072491985313+0.0016962797403743902j),(0.0023987681066746313-0.0001720751854692386j),(-0.003139719375462778+0.00209740449577987j),(-0.0028891136733446387+0.016276025110774882j),(-0.003139719375462778+0.0020974044957798687j),(0.002398768106674637-0.00017207518546923697j),(-0.001939409120948915+0.0012277668560664568j),(0.0003398917101711959-0.002511180166939738j),(0.0026258462932198206+0.001135555769573655j),(-0.0006365339308116269+0.003122395454341264j),(-0.0029527955865030174+0.0017380604191862962j),(-0.003405790757372591+0.0008676519113063019j),(-0.00295279558650302+0.0017380604191863035j),(-0.000636533930811628+0.0031223954543412626j),(0.0026258462932198215+0.001135555769573657j),(0.0003398917101712004-0.002511180166939737j)
"(4,)",(0.0007725408004841584-0.0037658769114828827j),(-0.0019394091209489128+0.0012277668560664585j),(0.0023987681066746313-0.00017207518546924182j),(-0.003139719375462778+0.0020974044957798687j),(-0.00288911367334464+0.016276025110774885j),(-0.0031397193754627802+0.002097404495779868j),(0.002398768106674635-0.00017207518546923605j),(-0.0019394091209489158+0.0012277668560664603j),(0.00033989171017119793-0.002511180166939738j),(0.0026258462932198267+0.0011355557695736564j),(-0.000636533930811625+0.0031223954543412626j),(-0.0029527955865030152+0.0017380604191862992j),(-0.003405790757372597+0.0008676519113063082j),(-0.0029527955865030187+0.0017380604191862962j),(-0.0006365339308116227+0.003122395454341258j),(0.0026258462932198215+0.0011355557695736597j)
"(5,)",(0.003812065065218805+0.0019680521213781567j),(0.00033989171017119696-0.00251118016693974j),(-0.001939409120948915+0.0012277668560664594j),(0.002398768106674637-0.00017207518546923697j),(-0.0031397193754627802+0.002097404495779868j),(-0.002889113673344636+0.016276025110774896j),(-0.0031397193754627802+0.0020974044957798687j),(0.002398768106674638-0.0001720751854692388j),(-0.001939409120948913+0.0012277668560664594j),(0.00033989171017119555-0.0025111801669397455j),(0.002625846293219827+0.0011355557695736536j),(-0.0006365339308116212+0.0031223954543412626j),(-0.0029527955865030213+0.0017380604191863079j),(-0.0034057907573725953+0.0008676519113063012j),(-0.002952795586503015+0.0017380604191862947j),(-0.0006365339308116255+0.0031223954543412617j)
"(6,)",(-0.0012578858255629824+0.004583891475244958j),(0.002625846293219822+0.0011355557695736543j),(0.00033989171017119956-0.0025111801669397407j),(-0.001939409120948915+0.0012277668560664568j),(0.002398768106674635-0.00017207518546923605j),(-0.0031397193754627802+0.0020974044957798687j),(-0.002889113673344637+0.01627602511077489j),(-0.0031397193754627802+0.0020974044957798687j),(0.0023987681066746326-0.00017207518546924044j),(-0.0019394091209489173+0.0012277668560664653j),(0.000339891710171195-0.0025111801669397424j),(0.002625846293219824+0.0011355557695736536j),(-0.000636533930811625+0.0031223954543412686j),(-0.0029527955865030183+0.001738060419186301j),(-0.003405790757372589+0.0008676519113062994j),(-0.002952795586503018+0.0017380604191862957j)
"(7,)",(-0.004555646612878843+0.0022999535398742087j),(-0.000636533930811623+0.0031223954543412643j),(0.0026258462932198232+0.0011355557695736586j),(0.0003398917101711959-0.002511180166939738j),(-0.0019394091209489158+0.0012277668560664603j),(0.002398768106674638-0.0001720751854692388j),(-0.0031397193754627802+0.0020974044957798687j),(-0.0028891136733446374+0.01627602511077489j),(-0.0031397193754627824+0.0020974044957798696j),(0.002398768106674642-0.00017207518546923876j),(-0.0019394091209489197+0.0012277668560664648j),(0.0003398917101711961-0.0025111801669397394j),(0.002625846293219831+0.0011355557695736558j),(-0.0006365339308116228+0.003122395454341265j),(-0.002952795586503015+0.0017380604191862964j),(-0.003405790757372592+0.0008676519113063038j)
"(8,)",(-0.005143608601006773+0.0009676448207644906j),(-0.002952795586503015+0.0017380604191863007j),(-0.0006365339308116261+0.0031223954543412587j),(0.0026258462932198206+0.001135555769573655j),(0.00033989171017119793-0.002511180166939738j),(-0.001939409120948913+0.0012277668560664594j),(0.0023987681066746326-0.00017207518546924044j),(-0.0031397193754627824+0.0020974044957798696j),(-0.002889113673344636+0.01627602511077489j),(-0.003139719375462779+0.0020974044957798622j),(0.0023987681066746343-0.0001720751854692427j),(-0.0019394091209489076+0.0012277668560664596j),(0.000339891710171194-0.0025111801669397424j),(0.002625846293219824+0.0011355557695736532j),(-0.0006365339308116218+0.003122395454341255j),(-0.002952795586503013+0.001738060419186299j)
"(9,)",(-0.004555646612878847+0.0022999535398742087j),(-0.0034057907573725953+0.000867651911306303j),(-0.0029527955865030213+0.0017380604191862953j),(-0.0006365339308116269+0.003122395454341264j),(0.0026258462932198267+0.0011355557695736564j),(0.00033989171017119555-0.0025111801669397455j),(-0.0019394091209489173+0.0012277668560664653j),(0.002398768106674642-0.00017207518546923876j),(-0.003139719375462779+0.0020974044957798622j),(-0.0028891136733446383+0.016276025110774882j),(-0.003139719375462777+0.00209740449577987j),(0.002398768106674637-0.00017207518546923906j),(-0.0019394091209489243+0.0012277668560664648j),(0.0003398917101712-0.0025111801669397476j),(0.002625846293219822+0.0011355557695736588j),(-0.0006365339308116266+0.0031223954543412647j)
