index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)"
"(0,)",(0.0020307223255728+0.017084981189443398j),(-0.0004180860030952786+0.0030714152879848843j),(0.002352361244085976-0.0027103013208003763j),(0.0002828145025126226+0.003135319676634398j),(-0.0028213609788748416-0.001276192641873029j),(0.0019829276423883116-0.0024872470945413363j),(0.002723804360132933+0.0019192360971398256j),(-0.0007315912659004199+0.0034217859892083395j),(-0.003073138400080129+0.0019492635341365801j),(-0.00366953594276075+0.0006026645226270656j),(-0.0036695359427607525+0.0006026645226270662j),(-0.0030731384000801274+0.0019492635341365747j),(-0.0007315912659004232+0.003421785989208336j),(0.002723804360132933+0.0019192360971398304j),(0.0019829276423883172-0.0024872470945413337j),(-0.0028213609788748403-0.001276192641873034j),(0.0002828145025126147+0.0031353196766343914j),(0.0023523612440859805-0.00271030132080037j),(-0.002525098279203358+0.0035698462230998084j)
"(1,)",(-0.0004180860030952786+0.0030714152879848843j),(-0.0004333759178782311+0.013838402800578263j),(-0.0035731946509075436+0.0029836049454415215j),(0.001543456735774893-0.0018573491608568672j),(0.00026602050041573685+0.002046077362990652j),(-0.0018969193717633787-0.0007638063256484205j),(0.0012432973765375169-0.0017100347122244706j),(0.0018746432242466766+0.0011967341966702407j),(-0.0003838996453069449+0.002308798100848364j),(-0.0019954668744665022+0.0013969976745642038j),(-0.002435655508128883+0.0005140020551365637j),(-0.002435655508128875+0.0005140020551365645j),(-0.0019954668744664988+0.0013969976745642015j),(-0.00038389964530694914+0.0023087981008483647j),(0.0018746432242466755+0.0011967341966702464j),(0.0012432973765375205-0.00171003471222447j),(-0.0018969193717633716-0.0007638063256484253j),(0.00026602050041573224+0.0020460773629906517j),(0.0015434567357748901-0.0018573491608568579j)
"(2,)",(0.002352361244085976-0.0027103013208003763j),(-0.0035731946509075436+0.0029836049454415215j),(-0.00043337591787822964+0.013838402800578239j),(-0.0035731946509075397+0.0029836049454415236j),(0.0015434567357748893-0.001857349160856869j),(0.00026602050041574053+0.002046077362990651j),(-0.0018969193717633752-0.0007638063256484174j),(0.0012432973765375132-0.0017100347122244713j),(0.001874643224246676+0.0011967341966702388j),(-0.00038389964530694687+0.002308798100848364j),(-0.0019954668744665022+0.0013969976745642043j),(-0.002435655508128873+0.0005140020551365657j),(-0.002435655508128873+0.000514002055136565j),(-0.001995466874466501+0.0013969976745642012j),(-0.0003838996453069498+0.0023087981008483647j),(0.0018746432242466753+0.0011967341966702444j),(0.0012432973765375188-0.001710034712224463j),(-0.0018969193717633735-0.0007638063256484298j),(0.0002660205004157281+0.002046077362990646j)
"(3,)",(0.0002828145025126226+0.003135319676634398j),(0.001543456735774893-0.0018573491608568672j),(-0.0035731946509075397+0.0029836049454415236j),(-0.0004333759178782259+0.013838402800578239j),(-0.0035731946509075397+0.0029836049454415275j),(0.0015434567357748895-0.0018573491608568694j),(0.0002660205004157387+0.0020460773629906487j),(-0.001896919371763376-0.0007638063256484193j),(0.001243297376537513-0.001710034712224469j),(0.0018746432242466762+0.0011967341966702448j),(-0.0003838996453069488+0.002308798100848366j),(-0.0019954668744664957+0.0013969976745642008j),(-0.002435655508128873+0.0005140020551365651j),(-0.002435655508128877+0.0005140020551365633j),(-0.0019954668744665022+0.0013969976745642004j),(-0.0003838996453069477+0.0023087981008483626j),(0.0018746432242466706+0.001196734196670244j),(0.0012432973765375231-0.0017100347122244641j),(-0.0018969193717633726-0.0007638063256484249j)
"(4,)",(-0.0028213609788748416-0.001276192641873029j),(0.00026602050041573685+0.002046077362990652j),(0.0015434567357748893-0.001857349160856869j),(-0.0035731946509075397+0.0029836049454415275j),(-0.0004333759178782309+0.01383840280057824j),(-0.003573194650907542+0.0029836049454415236j),(0.0015434567357748882-0.0018573491608568642j),(0.00026602050041574064+0.0020460773629906474j),(-0.001896919371763376-0.0007638063256484169j),(0.0012432973765375166-0.0017100347122244717j),(0.0018746432242466784+0.0011967341966702455j),(-0.0003838996453069416+0.00230879810084836j),(-0.0019954668744664936+0.0013969976745642019j),(-0.0024356555081288776+0.0005140020551365679j),(-0.0024356555081288785+0.000514002055136565j),(-0.0019954668744665+0.0013969976745642017j),(-0.00038389964530694405+0.0023087981008483595j),(0.001874643224246676+0.0011967341966702466j),(0.0012432973765375186-0.0017100347122244672j)
"(5,)",(0.0019829276423883116-0.0024872470945413363j),(-0.0018969193717633787-0.0007638063256484205j),(0.00026602050041574053+0.002046077362990651j),(0.0015434567357748895-0.0018573491608568694j),(-0.003573194650907542+0.0029836049454415236j),(-0.00043337591787822476+0.013838402800578244j),(-0.0035731946509075427+0.0029836049454415262j),(0.0015434567357748854-0.0018573491608568661j),(0.00026602050041573804+0.0020460773629906457j),(-0.0018969193717633804-0.0007638063256484227j),(0.0012432973765375188-0.001710034712224474j),(0.0018746432242466753+0.0011967341966702383j),(-0.00038389964530694324+0.00230879810084836j),(-0.0019954668744664975+0.001396997674564205j),(-0.0024356555081288768+0.0005140020551365659j),(-0.002435655508128877+0.000514002055136566j),(-0.0019954668744664957+0.0013969976745642j),(-0.0003838996453069472+0.002308798100848363j),(0.0018746432242466742+0.0011967341966702438j)
"(6,)",(0.002723804360132933+0.0019192360971398256j),(0.0012432973765375169-0.0017100347122244706j),(-0.0018969193717633752-0.0007638063256484174j),(0.0002660205004157387+0.0020460773629906487j),(0.0015434567357748882-0.0018573491608568642j),(-0.0035731946509075427+0.0029836049454415262j),(-0.0004333759178782245+0.013838402800578237j),(-0.003573194650907542+0.002983604945441524j),(0.0015434567357748832-0.0018573491608568603j),(0.00026602050041573614+0.0020460773629906483j),(-0.0018969193717633791-0.0007638063256484248j),(0.0012432973765375108-0.0017100347122244656j),(0.0018746432242466688+0.0011967341966702394j),(-0.0003838996453069442+0.0023087981008483613j),(-0.001995466874466498+0.001396997674564201j),(-0.002435655508128876+0.0005140020551365651j),(-0.0024356555081288703+0.000514002055136564j),(-0.001995466874466501+0.001396997674564198j),(-0.0003838996453069471+0.0023087981008483613j)
"(7,)",(-0.0007315912659004199+0.0034217859892083395j),(0.0018746432242466766+0.0011967341966702407j),(0.0012432973765375132-0.0017100347122244713j),(-0.001896919371763376-0.0007638063256484193j),(0.00026602050041574064+0.0020460773629906474j),(0.0015434567357748854-0.0018573491608568661j),(-0.003573194650907542+0.002983604945441524j),(-0.0004333759178782286+0.013838402800578232j),(-0.0035731946509075367+0.0029836049454415223j),(0.0015434567357748914-0.0018573491608568637j),(0.00026602050041573755+0.002046077362990652j),(-0.0018969193717633722-0.0007638063256484149j),(0.0012432973765375108-0.0017100347122244641j),(0.0018746432242466749+0.0011967341966702394j),(-0.00038389964530694296+0.002308798100848362j),(-0.0019954668744664975+0.0013969976745642032j),(-0.0024356555081288694+0.0005140020551365676j),(-0.0024356555081288755+0.0005140020551365685j),(-0.0019954668744664975+0.0013969976745642023j)
"(8,)",(-0.003073138400080129+0.0019492635341365801j),(-0.0003838996453069449+0.002308798100848364j),(0.001874643224246676+0.0011967341966702388j),(0.001243297376537513-0.001710034712224469j),(-0.001896919371763376-0.0007638063256484169j),(0.00026602050041573804+0.0020460773629906457j),(0.0015434567357748832-0.0018573491608568603j),(-0.0035731946509075367+0.0029836049454415223j),(-0.00043337591787823295+0.013838402800578232j),(-0.003573194650907539+0.0029836049454415254j),(0.0015434567357748936-0.0018573491608568668j),(0.0002660205004157392+0.0020460773629906418j),(-0.0018969193717633716-0.0007638063256484174j),(0.0012432973765375127-0.0017100347122244704j),(0.0018746432242466755+0.00119673419667024j),(-0.00038389964530694454+0.002308798100848362j),(-0.0019954668744664927+0.0013969976745642004j),(-0.0024356555081288763+0.000514002055136566j),(-0.002435655508128876+0.0005140020551365656j)
"(9,)",(-0.00366953594276075+0.0006026645226270656j),(-0.0019954668744665022+0.0013969976745642038j),(-0.00038389964530694687+0.002308798100848364j),(0.0018746432242466762+0.0011967341966702448j),(0.0012432973765375166-0.0017100347122244717j),(-0.0018969193717633804-0.0007638063256484227j),(0.00026602050041573614+0.0020460773629906483j),(0.0015434567357748914-0.0018573491608568637j),(-0.003573194650907539+0.0029836049454415254j),(-0.0004333759178782296+0.01383840280057824j),(-0.0035731946509075384+0.002983604945441522j),(0.0015434567357748858-0.001857349160856868j),(0.00026602050041573923+0.0020460773629906474j),(-0.0018969193717633815-0.0007638063256484189j),(0.0012432973765375166-0.0017100347122244715j),(0.0018746432242466777+0.001196734196670242j),(-0.0003838996453069413+0.0023087981008483595j),(-0.0019954668744664988+0.0013969976745642038j),(-0.002435655508128879+0.0005140020551365662j)
