index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)"
"(0,)",(0.00278134328474456+0.0036068058225286566j),(0.0009596084705509446+0.002750554776685645j),(-0.0011809919662589734+0.0008152686857645059j),(-0.0010582844433753079-0.0004126604920755535j),(-0.00025532399553884863-0.0009555098408092445j),(0.000541947733948882-0.000706601604324327j),(0.0008190821253032221-1.9091656827929324e-05j),(0.000507505250883433+0.00057295106258818j),(-8.494150965676898e-05+0.0007182689932669552j),(-0.0005531775933715107+0.00041178584040367375j),(-0.0006557314859763446-9.301917975998236e-05j),(-0.00040447809918291633-0.0004958023663180516j),(1.4419284942618815e-05-0.0006211224413702531j),(0.0003856172615635701-0.0004672615989430627j),(0.0005733933451001506-0.00015094942593234432j),(0.0005525463626892013+0.00018326824766768616j),(0.00037828685242629635+0.0004305757067078705j),(0.00013511673176905655+0.0005492853169247194j),(-0.00010375504765466073+0.0005497680858538009j),(-0.0002948131400679696+0.0004695312528476402j),(-0.0004240891017361153+0.00035075034558580166j),(-0.0004977443620471588+0.0002272116431260408j),(-0.000531293156440193+0.00012034770110375443j),(-0.0005415407014493587+4.091831868036023e-05j),(-0.000542053184197541-7.167304638234836e-06j),(-0.0005412792244708375-2.3184270819333925e-05j),(-0.0005420531841975414-7.16730463823493e-06j),(-0.000541540701449359+4.091831868036037e-05j),(-0.0005312931564401903+0.00012034770110375478j),(-0.0004977443620471565+0.00022721164312604103j),(-0.0004240891017361139+0.00035075034558580085j),(-0.000294813140067969+0.0004695312528476408j),(-0.00010375504765465951+0.0005497680858538041j),(0.00013511673176905926+0.0005492853169247207j),(0.0003782868524262959+0.00043057570670786697j),(0.0005525463626891984+0.00018326824766768285j),(0.0005733933451001501-0.00015094942593234587j),(0.00038561726156356886-0.0004672615989430622j),(1.4419284942618097e-05-0.0006211224413702513j),(-0.0004044780991829158-0.0004958023663180508j),(-0.0006557314859763439-9.301917975998074e-05j),(-0.0005531775933715072+0.000411785840403672j),(-8.494150965676862e-05+0.0007182689932669541j),(0.0005075052508834331+0.0005729510625881804j),(0.0008190821253032195-1.9091656827929635e-05j),(0.0005419477339488796-0.0007066016043243268j),(-0.00025532399553885264-0.0009555098408092482j),(-0.0010582844433753037-0.00041266049207554835j),(-0.00118099196625897+0.0008152686857645073j),(0.00047077527929351534+0.0025360661430560002j)
"(1,)",(0.0009596084705509446+0.002750554776685645j),(0.0020648669984795888+0.00308244277444914j),(0.0003982574664570464+0.002552875687394436j),(-0.000815098963663786+0.0005551947996818539j),(-0.0007059749416014477-0.00027389981925395545j),(-0.00017152759462357823-0.0006365448168519222j),(0.0003600648705900107-0.00047186672255534757j),(0.0005459171291113407-1.4269771514014191e-05j),(0.0003395009347186125+0.00038083165539779066j),(-5.493095760491976e-05+0.0004789936547554318j),(-0.00036770200690430604+0.0002759331901436655j),(-0.0004374104793150766-6.018224381985639e-05j),(-0.00027114765830767065-0.0003293379841375336j),(7.63594169192495e-06-0.00041416422678146325j),(0.00025554079206196767-0.00031284458964899527j),(0.00038179330079034365-0.00010267120154049984j),(0.0003691095059223311+0.0001201717057918638j),(0.00025388691292054503+0.0002856711337848255j),(9.225864890186079e-05+0.00036574446475713885j),(-6.696675312870475e-05+0.0003670207275989105j),(-0.00019465213853192976+0.0003143171429874572j),(-0.000281322063620589+0.00023567750921403696j),(-0.0003309437583479353+0.00015363889453794962j),(-0.0003537655915810775+8.254733943320452e-05j),(-0.0003609402901809542+2.9644073820583773e-05j),(-0.00036149121690584943-2.407564724816991e-06j),(-0.00036104521974953714-1.3087850141730481e-05j),(-0.0003614912169058496-2.407564724817112e-06j),(-0.000360940290180954+2.9644073820583953e-05j),(-0.0003537655915810754+8.25473394332044e-05j),(-0.0003309437583479339+0.00015363889453794905j),(-0.0002813220636205889+0.00023567750921403699j),(-0.00019465213853192974+0.00031431714298745737j),(-6.696675312870467e-05+0.000367020727598912j),(9.22586489018612e-05+0.00036574446475713814j),(0.0002538869129205444+0.00028567113378482424j),(0.00036910950592233073+0.00012017170579186313j),(0.0003817933007903425-0.00010267120154049964j),(0.00025554079206196746-0.0003128445896489955j),(7.6359416919258e-06-0.0004141642267814624j),(-0.0002711476583076697-0.00032933798413753283j),(-0.00043741047931507434-6.018224381985686e-05j),(-0.0003677020069043062+0.0002759331901436639j),(-5.493095760492157e-05+0.00047899365475543193j),(0.0003395009347186108+0.0003808316553977905j),(0.0005459171291113395-1.4269771514013656e-05j),(0.0003600648705900123-0.00047186672255534947j),(-0.0001715275946235771-0.0006365448168519186j),(-0.0007059749416014456-0.00027389981925395583j),(-0.0008150989636637852+0.0005551947996818508j)
"(2,)",(-0.0011809919662589734+0.0008152686857645059j),(0.0003982574664570464+0.002552875687394436j),(0.002064866998479588+0.003082442774449135j),(0.00039825746645704764+0.002552875687394436j),(-0.0008150989636637857+0.0005551947996818542j),(-0.0007059749416014476-0.0002738998192539553j),(-0.00017152759462357904-0.0006365448168519223j),(0.0003600648705900108-0.0004718667225553471j),(0.0005459171291113403-1.426977151401443e-05j),(0.0003395009347186127+0.0003808316553977906j),(-5.493095760491923e-05+0.00047899365475543134j),(-0.00036770200690430566+0.0002759331901436653j),(-0.00043741047931507683-6.0182243819856416e-05j),(-0.0002711476583076706-0.00032933798413753315j),(7.635941691924626e-06-0.0004141642267814622j),(0.0002555407920619679-0.00031284458964899624j),(0.00038179330079034305-0.00010267120154049975j),(0.0003691095059223304+0.00012017170579186339j),(0.0002538869129205441+0.00028567113378482484j),(9.225864890186135e-05+0.00036574446475713896j),(-6.696675312870484e-05+0.0003670207275989115j),(-0.00019465213853192925+0.00031431714298745607j),(-0.0002813220636205898+0.00023567750921403796j),(-0.0003309437583479345+0.0001536388945379494j),(-0.00035376559158107614+8.254733943320436e-05j),(-0.00036094029018095476+2.9644073820583702e-05j),(-0.00036149121690584845-2.4075647248169743e-06j),(-0.00036104521974953784-1.3087850141730668e-05j),(-0.0003614912169058481-2.4075647248168968e-06j),(-0.0003609402901809528+2.964407382058354e-05j),(-0.0003537655915810763+8.254733943320447e-05j),(-0.00033094375834793365+0.00015363889453794908j),(-0.0002813220636205895+0.00023567750921403758j),(-0.0001946521385319292+0.00031431714298745737j),(-6.696675312870437e-05+0.00036702072759890936j),(9.225864890186092e-05+0.000365744464757138j),(0.000253886912920545+0.0002856711337848251j),(0.00036910950592233024+0.00012017170579186365j),(0.00038179330079034235-0.00010267120154049911j),(0.0002555407920619676-0.0003128445896489951j),(7.635941691925375e-06-0.0004141642267814621j),(-0.00027114765830766826-0.0003293379841375319j),(-0.00043741047931507537-6.0182243819858333e-05j),(-0.0003677020069043073+0.00027593319014366434j),(-5.493095760492088e-05+0.00047899365475542993j),(0.00033950093471861117+0.0003808316553977902j),(0.0005459171291113426-1.4269771514013991e-05j),(0.0003600648705900089-0.00047186672255534394j),(-0.00017152759462357633-0.0006365448168519206j),(-0.0007059749416014448-0.0002738998192539566j)
"(3,)",(-0.0010582844433753079-0.0004126604920755535j),(-0.000815098963663786+0.0005551947996818539j),(0.00039825746645704764+0.002552875687394436j),(0.0020648669984795896+0.003082442774449138j),(0.00039825746645704747+0.0025528756873944365j),(-0.0008150989636637859+0.000555194799681854j),(-0.0007059749416014481-0.00027389981925395545j),(-0.0001715275946235777-0.0006365448168519223j),(0.00036006487059001067-0.00047186672255534687j),(0.0005459171291113409-1.4269771514014186e-05j),(0.0003395009347186125+0.00038083165539779044j),(-5.493095760491964e-05+0.00047899365475543123j),(-0.0003677020069043064+0.00027593319014366575j),(-0.0004374104793150766-6.018224381985695e-05j),(-0.0002711476583076698-0.0003293379841375328j),(7.635941691925475e-06-0.0004141642267814637j),(0.00025554079206196805-0.00031284458964899576j),(0.00038179330079034257-0.0001026712015404991j),(0.00036910950592232964+0.00012017170579186332j),(0.00025388691292054465+0.0002856711337848253j),(9.225864890186132e-05+0.0003657444647571405j),(-6.696675312870565e-05+0.0003670207275989105j),(-0.00019465213853193028+0.0003143171429874574j),(-0.00028132206362058984+0.00023567750921403728j),(-0.0003309437583479338+0.0001536388945379488j),(-0.0003537655915810773+8.254733943320398e-05j),(-0.00036094029018095416+2.9644073820583133e-05j),(-0.00036149121690584943-2.40756472481719e-06j),(-0.00036104521974953676-1.3087850141730949e-05j),(-0.0003614912169058473-2.4075647248172813e-06j),(-0.00036094029018095416+2.9644073820583272e-05j),(-0.0003537655915810766+8.25473394332039e-05j),(-0.00033094375834793484+0.00015363889453794927j),(-0.0002813220636205896+0.00023567750921403764j),(-0.00019465213853192898+0.0003143171429874551j),(-6.69667531287049e-05+0.00036702072759890936j),(9.22586489018611e-05+0.00036574446475713934j),(0.0002538869129205444+0.0002856711337848257j),(0.00036910950592233024+0.00012017170579186394j),(0.00038179330079034257-0.00010267120154049886j),(0.0002555407920619677-0.000312844589648995j),(7.63594169192588e-06-0.000414164226781461j),(-0.0002711476583076689-0.0003293379841375338j),(-0.0004374104793150768-6.01822438198588e-05j),(-0.00036770200690430614+0.00027593319014366374j),(-5.493095760492051e-05+0.0004789936547554307j),(0.0003395009347186137+0.0003808316553977924j),(0.0005459171291113375-1.4269771514013485e-05j),(0.0003600648705900109-0.00047186672255534524j),(-0.0001715275946235763-0.0006365448168519212j)
"(4,)",(-0.00025532399553884863-0.0009555098408092445j),(-0.0007059749416014477-0.00027389981925395545j),(-0.0008150989636637857+0.0005551947996818542j),(0.00039825746645704747+0.0025528756873944365j),(0.0020648669984795875+0.0030824427744491375j),(0.0003982574664570478+0.0025528756873944352j),(-0.0008150989636637858+0.0005551947996818545j),(-0.0007059749416014477-0.00027389981925395583j),(-0.0001715275946235781-0.0006365448168519221j),(0.00036006487059001084-0.00047186672255534714j),(0.0005459171291113401-1.4269771514014445e-05j),(0.00033950093471861253+0.00038083165539779017j),(-5.4930957604919545e-05+0.00047899365475543177j),(-0.00036770200690430614+0.00027593319014366504j),(-0.0004374104793150757-6.018224381985671e-05j),(-0.0002711476583076704-0.00032933798413753386j),(7.635941691925683e-06-0.0004141642267814631j),(0.0002555407920619678-0.0003128445896489952j),(0.00038179330079034197-0.0001026712015404988j),(0.00036910950592233035+0.00012017170579186335j),(0.0002538869129205455+0.00028567113378482614j),(9.225864890186074e-05+0.00036574446475713955j),(-6.696675312870532e-05+0.00036702072759891213j),(-0.00019465213853193014+0.0003143171429874569j),(-0.000281322063620589+0.00023567750921403655j),(-0.0003309437583479347+0.0001536388945379489j),(-0.0003537655915810765+8.254733943320436e-05j),(-0.0003609402901809552+2.9644073820582957e-05j),(-0.0003614912169058481-2.407564724817087e-06j),(-0.00036104521974953573-1.308785014173043e-05j),(-0.00036149121690584845-2.4075647248173097e-06j),(-0.00036094029018095427+2.9644073820583465e-05j),(-0.0003537655915810776+8.254733943320425e-05j),(-0.0003309437583479348+0.00015363889453794946j),(-0.000281322063620588+0.000235677509214036j),(-0.00019465213853192903+0.0003143171429874549j),(-6.69667531287049e-05+0.00036702072759891067j),(9.225864890186094e-05+0.0003657444647571393j),(0.00025388691292054465+0.0002856711337848253j),(0.00036910950592233024+0.00012017170579186407j),(0.0003817933007903426-0.00010267120154049875j),(0.0002555407920619672-0.00031284458964899386j),(7.6359416919266e-06-0.00041416422678146217j),(-0.00027114765830766946-0.0003293379841375348j),(-0.0004374104793150754-6.018224381985758e-05j),(-0.0003677020069043059+0.00027593319014366445j),(-5.4930957604920386e-05+0.0004789936547554334j),(0.0003395009347186104+0.00038083165539778887j),(0.0005459171291113392-1.4269771514013393e-05j),(0.00036006487059001067-0.00047186672255534497j)
"(5,)",(0.000541947733948882-0.000706601604324327j),(-0.00017152759462357823-0.0006365448168519222j),(-0.0007059749416014476-0.0002738998192539553j),(-0.0008150989636637859+0.000555194799681854j),(0.0003982574664570478+0.0025528756873944352j),(0.002064866998479589+0.003082442774449134j),(0.00039825746645704715+0.0025528756873944352j),(-0.0008150989636637862+0.0005551947996818539j),(-0.0007059749416014471-0.0002738998192539558j),(-0.00017152759462357806-0.0006365448168519222j),(0.00036006487059001035-0.00047186672255534676j),(0.0005459171291113401-1.426977151401475e-05j),(0.0003395009347186129+0.0003808316553977905j),(-5.493095760491998e-05+0.00047899365475543145j),(-0.00036770200690430533+0.0002759331901436647j),(-0.00043741047931507683-6.0182243819857303e-05j),(-0.00027114765830767-0.00032933798413753364j),(7.635941691925348e-06-0.00041416422678146233j),(0.0002555407920619672-0.0003128445896489948j),(0.0003817933007903423-0.00010267120154049968j),(0.0003691095059223317+0.00012017170579186333j),(0.00025388691292054443+0.0002856711337848256j),(9.22586489018617e-05+0.0003657444647571408j),(-6.696675312870492e-05+0.0003670207275989115j),(-0.00019465213853192933+0.00031431714298745607j),(-0.0002813220636205897+0.000235677509214037j),(-0.00033094375834793387+0.00015363889453794867j),(-0.00035376559158107755+8.254733943320372e-05j),(-0.0003609402901809538+2.964407382058322e-05j),(-0.0003614912169058471-2.407564724817159e-06j),(-0.00036104521974953676-1.3087850141730471e-05j),(-0.00036149121690584834-2.407564724816999e-06j),(-0.00036094029018095513+2.9644073820583435e-05j),(-0.0003537655915810774+8.254733943320411e-05j),(-0.0003309437583479328+0.00015363889453794816j),(-0.00028132206362058805+0.00023567750921403585j),(-0.00019465213853192914+0.0003143171429874562j),(-6.6966753128705e-05+0.0003670207275989103j),(9.225864890186075e-05+0.0003657444647571391j),(0.0002538869129205444+0.00028567113378482543j),(0.00036910950592233024+0.00012017170579186359j),(0.0003817933007903412-0.00010267120154049837j),(0.00025554079206196827-0.0003128445896489944j),(7.635941691926708e-06-0.00041416422678146336j),(-0.00027114765830766897-0.000329337984137533j),(-0.0004374104793150755-6.018224381985741e-05j),(-0.0003677020069043077+0.0002759331901436661j),(-5.4930957604919945e-05+0.0004789936547554287j),(0.00033950093471861085+0.0003808316553977903j),(0.0005459171291113391-1.4269771514012995e-05j)
"(6,)",(0.0008190821253032221-1.9091656827929324e-05j),(0.0003600648705900107-0.00047186672255534757j),(-0.00017152759462357904-0.0006365448168519223j),(-0.0007059749416014481-0.00027389981925395545j),(-0.0008150989636637858+0.0005551947996818545j),(0.00039825746645704715+0.0025528756873944352j),(0.0020648669984795883+0.0030824427744491375j),(0.00039825746645704655+0.002552875687394437j),(-0.0008150989636637865+0.0005551947996818531j),(-0.000705974941601448-0.00027389981925395594j),(-0.000171527594623578-0.0006365448168519219j),(0.0003600648705900103-0.00047186672255534714j),(0.000545917129111341-1.4269771514014593e-05j),(0.0003395009347186125+0.0003808316553977905j),(-5.4930957604919884e-05+0.0004789936547554305j),(-0.0003677020069043068+0.00027593319014366575j),(-0.0004374104793150765-6.018224381985729e-05j),(-0.0002711476583076698-0.00032933798413753294j),(7.635941691925078e-06-0.00041416422678146173j),(0.0002555407920619673-0.0003128445896489955j),(0.0003817933007903437-0.0001026712015405003j),(0.0003691095059223306+0.00012017170579186366j),(0.000253886912920546+0.0002856711337848266j),(9.225864890186141e-05+0.00036574446475714037j),(-6.696675312870462e-05+0.00036702072759891067j),(-0.00019465213853192984+0.000314317142987457j),(-0.0002813220636205891+0.00023567750921403685j),(-0.000330943758347935+0.00015363889453794908j),(-0.00035376559158107636+8.254733943320409e-05j),(-0.0003609402901809531+2.9644073820583482e-05j),(-0.00036149121690584856-2.4075647248169683e-06j),(-0.0003610452197495371-1.3087850141730478e-05j),(-0.0003614912169058495-2.4075647248172805e-06j),(-0.00036094029018095524+2.9644073820583922e-05j),(-0.00035376559158107544+8.254733943320368e-05j),(-0.0003309437583479328+0.00015363889453794838j),(-0.000281322063620589+0.00023567750921403685j),(-0.00019465213853192955+0.000314317142987456j),(-6.69667531287051e-05+0.0003670207275989105j),(9.225864890186092e-05+0.00036574446475713955j),(0.0002538869129205451+0.00028567113378482527j),(0.0003691095059223293+0.00012017170579186327j),(0.0003817933007903428-0.00010267120154049869j),(0.00025554079206196914-0.0003128445896489956j),(7.635941691925793e-06-0.0004141642267814624j),(-0.00027114765830766946-0.0003293379841375331j),(-0.00043741047931507884-6.018224381985705e-05j),(-0.00036770200690430457+0.0002759331901436637j),(-5.49309576049202e-05+0.00047899365475543063j),(0.00033950093471861117+0.00038083165539779033j)
"(7,)",(0.000507505250883433+0.00057295106258818j),(0.0005459171291113407-1.4269771514014191e-05j),(0.0003600648705900108-0.0004718667225553471j),(-0.0001715275946235777-0.0006365448168519223j),(-0.0007059749416014477-0.00027389981925395583j),(-0.0008150989636637862+0.0005551947996818539j),(0.00039825746645704655+0.002552875687394437j),(0.0020648669984795888+0.0030824427744491397j),(0.00039825746645704867+0.0025528756873944365j),(-0.0008150989636637862+0.0005551947996818548j),(-0.000705974941601448-0.00027389981925395463j),(-0.00017152759462357953-0.0006365448168519218j),(0.00036006487059001035-0.00047186672255534795j),(0.0005459171291113406-1.4269771514014669e-05j),(0.0003395009347186122+0.00038083165539778936j),(-5.49309576049197e-05+0.00047899365475543215j),(-0.00036770200690430625+0.0002759331901436652j),(-0.00043741047931507575-6.018224381985691e-05j),(-0.0002711476583076698-0.0003293379841375323j),(7.635941691924828e-06-0.0004141642267814623j),(0.00025554079206196735-0.0003128445896489971j),(0.0003817933007903425-0.00010267120154050001j),(0.00036910950592233246+0.00012017170579186328j),(0.0002538869129205459+0.00028567113378482587j),(9.225864890186139e-05+0.00036574446475713934j),(-6.696675312870471e-05+0.0003670207275989116j),(-0.00019465213853192917+0.00031431714298745645j),(-0.00028132206362059005+0.00023567750921403726j),(-0.0003309437583479337+0.00015363889453794894j),(-0.0003537655915810754+8.254733943320415e-05j),(-0.0003609402901809541+2.9644073820583746e-05j),(-0.00036149121690584856-2.407564724816996e-06j),(-0.0003610452197495381-1.308785014173084e-05j),(-0.0003614912169058496-2.407564724817179e-06j),(-0.000360940290180953+2.9644073820583326e-05j),(-0.0003537655915810754+8.254733943320376e-05j),(-0.00033094375834793387+0.0001536388945379491j),(-0.0002813220636205887+0.00023567750921403696j),(-0.00019465213853192936+0.00031431714298745607j),(-6.696675312870505e-05+0.0003670207275989107j),(9.22586489018611e-05+0.0003657444647571395j),(0.0002538869129205437+0.0002856711337848248j),(0.00036910950592232997+0.00012017170579186446j),(0.0003817933007903439-0.00010267120154049875j),(0.00025554079206196827-0.0003128445896489946j),(7.635941691926032e-06-0.0004141642267814626j),(-0.00027114765830767124-0.00032933798413753505j),(-0.0004374104793150742-6.018224381985723e-05j),(-0.0003677020069043058+0.00027593319014366423j),(-5.493095760492099e-05+0.0004789936547554303j)
"(8,)",(-8.494150965676898e-05+0.0007182689932669552j),(0.0003395009347186125+0.00038083165539779066j),(0.0005459171291113403-1.426977151401443e-05j),(0.00036006487059001067-0.00047186672255534687j),(-0.0001715275946235781-0.0006365448168519221j),(-0.0007059749416014471-0.0002738998192539558j),(-0.0008150989636637865+0.0005551947996818531j),(0.00039825746645704867+0.0025528756873944365j),(0.002064866998479587+0.0030824427744491345j),(0.00039825746645704764+0.002552875687394434j),(-0.0008150989636637847+0.0005551947996818543j),(-0.0007059749416014477-0.0002738998192539542j),(-0.0001715275946235792-0.0006365448168519223j),(0.0003600648705900102-0.00047186672255534714j),(0.0005459171291113391-1.4269771514014569e-05j),(0.000339500934718613+0.00038083165539779077j),(-5.493095760491993e-05+0.0004789936547554312j),(-0.0003677020069043054+0.000275933190143665j),(-0.0004374104793150748-6.018224381985663e-05j),(-0.0002711476583076701-0.0003293379841375321j),(7.635941691924384e-06-0.0004141642267814636j),(0.0002555407920619672-0.00031284458964899554j),(0.0003817933007903439-0.00010267120154050016j),(0.0003691095059223315+0.00012017170579186325j),(0.00025388691292054503+0.00028567113378482484j),(9.225864890186166e-05+0.00036574446475714j),(-6.696675312870432e-05+0.0003670207275989106j),(-0.0001946521385319303+0.0003143171429874567j),(-0.0002813220636205885+0.00023567750921403674j),(-0.00033094375834793246+0.00015363889453794886j),(-0.00035376559158107625+8.254733943320436e-05j),(-0.00036094029018095405+2.9644073820583607e-05j),(-0.0003614912169058493-2.4075647248171822e-06j),(-0.00036104521974953784-1.3087850141730988e-05j),(-0.00036149121690584704-2.407564724817175e-06j),(-0.00036094029018095264+2.9644073820583516e-05j),(-0.00035376559158107625+8.254733943320445e-05j),(-0.00033094375834793354+0.0001536388945379487j),(-0.0002813220636205888+0.0002356775092140364j),(-0.0001946521385319295+0.00031431714298745574j),(-6.696675312870515e-05+0.00036702072759891034j),(9.225864890186036e-05+0.00036574446475713803j),(0.00025388691292054394+0.0002856711337848257j),(0.00036910950592233105+0.00012017170579186473j),(0.00038179330079034246-0.00010267120154049857j),(0.0002555407920619677-0.00031284458964899494j),(7.635941691925138e-06-0.0004141642267814647j),(-0.00027114765830766853-0.00032933798413753174j),(-0.0004374104793150751-6.018224381985774e-05j),(-0.00036770200690430566+0.0002759331901436639j)
"(9,)",(-0.0005531775933715107+0.00041178584040367375j),(-5.493095760491976e-05+0.0004789936547554318j),(0.0003395009347186127+0.0003808316553977906j),(0.0005459171291113409-1.4269771514014186e-05j),(0.00036006487059001084-0.00047186672255534714j),(-0.00017152759462357806-0.0006365448168519222j),(-0.000705974941601448-0.00027389981925395594j),(-0.0008150989636637862+0.0005551947996818548j),(0.00039825746645704764+0.002552875687394434j),(0.0020648669984795883+0.0030824427744491354j),(0.00039825746645704834+0.0025528756873944352j),(-0.0008150989636637854+0.0005551947996818549j),(-0.0007059749416014487-0.0002738998192539552j),(-0.0001715275946235784-0.0006365448168519219j),(0.0003600648705900099-0.0004718667225553464j),(0.0005459171291113414-1.4269771514014267e-05j),(0.00033950093471861226+0.00038083165539779093j),(-5.49309576049201e-05+0.0004789936547554307j),(-0.0003677020069043049+0.0002759331901436644j),(-0.00043741047931507575-6.018224381985641e-05j),(-0.00027114765830767135-0.00032933798413753364j),(7.635941691924606e-06-0.00041416422678146244j),(0.00025554079206196827-0.0003128445896489971j),(0.00038179330079034365-0.00010267120154049993j),(0.0003691095059223306+0.00012017170579186324j),(0.0002538869129205455+0.000285671133784826j),(9.225864890186152e-05+0.0003657444647571395j),(-6.696675312870573e-05+0.00036702072759891164j),(-0.00019465213853192936+0.00031431714298745607j),(-0.00028132206362058805+0.0002356775092140362j),(-0.00033094375834793387+0.0001536388945379492j),(-0.0003537655915810766+8.254733943320405e-05j),(-0.00036094029018095524+2.96440738205833e-05j),(-0.0003614912169058496-2.407564724817269e-06j),(-0.0003610452197495359-1.3087850141730917e-05j),(-0.0003614912169058473-2.4075647248172784e-06j),(-0.00036094029018095416+2.964407382058344e-05j),(-0.0003537655915810763+8.25473394332039e-05j),(-0.00033094375834793376+0.0001536388945379485j),(-0.00028132206362058924+0.00023567750921403647j),(-0.0001946521385319295+0.0003143171429874562j),(-6.696675312870526e-05+0.00036702072759890926j),(9.225864890186033e-05+0.0003657444647571396j),(0.0002538869129205448+0.000285671133784827j),(0.00036910950592233013+0.00012017170579186427j),(0.0003817933007903428-0.00010267120154049875j),(0.0002555407920619693-0.0003128445896489971j),(7.635941691925642e-06-0.00041416422678146103j),(-0.0002711476583076693-0.0003293379841375331j),(-0.0004374104793150755-6.01822438198577e-05j)
