index,value
"(0,)",(-0.5531959209066661-0.17643435918722916j)
"(1,)",(-4.765877277565686+3.1324528862223966j)
"(2,)",(-5.935026901123379+2.695837172604288j)
"(3,)",(-1.2662748685760135+1.3235864980463043j)
"(4,)",(0.173915969929892-0.1991019152353759j)
"(5,)",(3.8856288155812893-0.14122236530739998j)
"(6,)",(-5.7711094005106585-2.5578625448685868j)
"(7,)",(0.4722641023899571+8.80957984146281j)
"(8,)",(5.621249290962327-10.277528534116161j)
"(9,)",(-10.889159728905856-0.5650718006849247j)
"(10,)",(5.061578244110995+13.654227695069634j)
"(11,)",(13.142377019661614+6.929006681305758j)
"(12,)",(13.00739709045416+5.631589641663481j)
"(13,)",(10.155228681080185+11.683425506011694j)
"(14,)",(-8.014311875985193+7.445409466828368j)
"(15,)",(-1.8279399841582071-12.52896622980742j)
"(16,)",(6.7848932758523635+4.836139589738852j)
"(17,)",(-8.112104523108654+2.224154154314812j)
"(18,)",(2.8996680006499003-2.958675428472339j)
"(19,)",(1.107445206606081+1.0331713952797232j)
