index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(-3.0, -3.0)",(0.00987699940787654+0.005110711694045541j),(-0.002912805018327927+0.010288884379219036j),(-0.006028588440533022+0.009450903085350999j),(0.002890128410921948+0.009325480504575052j),(0.005790789068436876-0.004586551352187727j),(-0.005240232512023983+0.001817259094018598j),(0.00472779075349535-0.0024566916989260546j),(-0.0070697324378485+0.0029405246124100857j),(0.009098917502392615+0.008193770358439528j),(0.01325641024885039+0.0041010790979949825j),(2.659959734643966e-05+0.009856230763663548j),(-0.0030438010505634823-0.0053132812039533624j),(0.0019318522940898445+0.004802641190734273j),(-0.002530229321675207-0.005794226936503824j)
"(-2.8461538461538463, -3.0)",(0.010076582174664847-0.004689029995118022j),(0.005878478593807408+0.008966202850549557j),(0.002497406117589082+0.011078207445549j),(0.008525953437621978+0.005238011632127066j),(0.0018668819038435045-0.007401252621409516j),(-0.0033771409920977085+0.004597401856879659j),(0.0025748858713184504-0.00468124126033885j),(-0.003883123825435121+0.006431706912833669j),(0.012151997619491291+0.0001227500227296j),(0.012274932956535216-0.007139410487663258j),(0.008149674921823643+0.006241116266534495j),(-0.006304658474527685-0.0005271786274665465j),(0.0051205301480547714+0.0010918831292796916j),(-0.006179693814800693-0.0012751065514639637j)
"(-2.6923076923076925, -3.0)",(0.002596869087004455-0.010791729942930081j),(0.01061814713345253+0.0016094354142740701j),(0.009625799684784045+0.006285649940980289j),(0.010144078265228168-0.0014939164703158957j),(-0.002933949317358959-0.007325790008875423j),(-0.0003514697839639249+0.0058663987239424955j),(-0.00027670459386649706-0.0053596903660571935j),(0.00039620606932795816+0.007351958500295632j),(0.009356113930426064-0.007552594745499548j),(0.0035186173436404867-0.014079132509491344j),(0.010397680023457402-0.0025478013267898904j),(-0.004231721228133631+0.0050004810521082355j),(0.0038576212498722-0.0036349461990790007j),(-0.004649974429256339+0.004242497384234201j)
"(-2.5384615384615383, -3.0)",(-0.006685935810168198-0.008831942932468766j),(0.008407285127059037-0.006692803600795194j),(0.011457096966041138-0.0019898297682374266j),(0.007166595599134055-0.007677982012485518j),(-0.006786329901824345-0.004534945814871057j),(0.002814264483401285+0.005372030611424052j),(-0.0029145024747564857-0.00454842609270704j),(0.004139168192886578+0.005900688842630255j),(0.002809434855937643-0.011518789476251042j),(-0.007401727280092906-0.01282136079348488j),(0.0049600868226392725-0.010018118556328963j),(0.0015670801405783922+0.0066154501812630976j),(-0.0007331900426000345-0.005321651907325104j),(0.000616088284465528+0.006246315106095952j)
"(-2.3846153846153846, -3.0)",(-0.01102935965294306-0.0006055668067875366j),(0.0010097864366486456-0.010692230202481954j),(0.007295465355085756-0.009212353378647262j),(0.001097144814970457-0.010697012403522655j),(-0.008443298849971378-0.0001439599085326585j),(0.005247313914240256+0.003428613881416602j),(-0.004727609421668862-0.0027116931781032303j),(0.00636977465484101+0.0030228932995411415j),(-0.004246230621372045-0.010846542640796687j),(-0.014337624148468278-0.004633984725801002j),(-0.004392086030583886-0.010829458504273007j),(0.00645205268179865+0.0028986873321326222j),(-0.004791919632966736-0.0025994883191173624j),(0.005308140777115403+0.0033114168579000953j)
"(-2.230769230769231, -3.0)",(-0.007701464152847082+0.007861898550164715j),(-0.006826496955982666-0.008264906459498645j),(-0.00043303976022710384-0.011854246412502366j),(-0.005469551990837742-0.009546311543791243j),(-0.007562101287729398+0.0043779325156870046j),(0.00645333141763953+0.000672708457244027j),(-0.005494642987105901-0.00044397416799809154j),(0.006891676370540405-0.00019457982139377896j),(-0.009218556547162342-0.006704009887088246j),(-0.014173775378596319+0.005738854223739022j),(-0.011403436265884243-0.0044123377262381145j),(0.006570198089634427-0.0033583235757144226j),(-0.005052624645704301+0.002274537239545013j),(0.005875327276728582-0.002083954832630965j)
"(-2.0769230769230766, -3.0)",(0.0006207317710377616+0.010937946032189616j),(-0.01061095835498268-0.0012473632339948318j),(-0.007874074307321155-0.009001213858704324j),(-0.010100074660478178-0.004950031716332258j),(-0.004616677802540411+0.0077736765727098815j),(0.006351879857444318-0.0022100060694508344j),(-0.005311348607006455+0.0017463085279038812j),(0.006064720255555017-0.002945597463244033j),(-0.01104511835726471-0.001185696564875171j),(-0.007814764735563327+0.013343115928847364j),(-0.011713256277956333+0.005161962850837807j),(0.0017388978215829088-0.007520596843320296j),(-0.0013760375854944462+0.005471659797297297j),(0.002122885353275167-0.005835788778906574j)
"(-1.923076923076923, -3.0)",(0.008315354171143522+0.0070406448311993945j),(-0.00862939568889468+0.006210361491392186j),(-0.011810824151430302-0.0023385422872393333j),(-0.011418222565502803+0.0012605566891105296j),(-0.0005520658921322694+0.009336519639242691j),(0.005174171252035463-0.004684020889610969j),(-0.004449530035733095+0.0035419325348080696j),(0.00447204248658185-0.004850638126753046j),(-0.010073981238013563+0.0038398388853169998j),(0.0012651938794015533+0.015518240882793854j),(-0.005306485723888192+0.012305615875992616j),(-0.004687419306027701-0.006604161749508966j),(0.003412079772989451+0.00463692431908612j),(-0.003035463557128325-0.005388662400443567j)
"(-1.7692307692307692, -3.0)",(0.010784729302281696-0.0009418683429610114j),(-0.0024107326382503957+0.01028288082957665j),(-0.010980096608938505+0.005089865467996423j),(-0.009364649707801228+0.007044640396418373j),(0.003614280404071399+0.008969981946263885j),(0.003306410952956712-0.006452280845130418j),(-0.0032236680275566226+0.004824110629346975j),(0.0026564878896091107-0.00589311921538384j),(-0.007401517101046581+0.007334651417434585j),(0.00935494430417902+0.012481289672739704j),(0.00416703864938408+0.013389198375965864j),(-0.008440125146868272-0.0011794527162502576j),(0.005870499217050738+0.00046259434636236287j),(-0.006015187448801009-0.0013251523682827014j)
"(-1.6153846153846154, -3.0)",(0.0070657737780068985-0.008096194073060255j),(0.004655624142762172+0.0093808667689172j),(-0.006200061229546747+0.010441787693732364j),(-0.004900580599813853+0.01088518947189778j),(0.0070903734842924825+0.007041160023226374j),(0.0011476764883017636-0.007448877687096865j),(-0.001903900084895435+0.0056232904642459156j),(0.0009919003698820035-0.006267796199953811j),(-0.0041936935281755095+0.009113876888113392j),(0.014188693701961573+0.006327669498915235j),(0.012059114126206296+0.008326613908255273j),(-0.0072009448470968665+0.0053894712252970985j),(0.004404958069360408-0.004132931530413328j),(-0.005059024127686275+0.003470297280315292j)
