index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(-3.0, -3.0)",(0.00912520998760047+0.0049022146810928785j),(-0.0019083036907502238+0.009187953200441995j),(-0.0060542060177214115+0.007845025359387503j),(-0.0019083036907502238+0.009187953200441992j),(0.007265067896903442+0.0035479988447863573j),(-0.0003659812397968018-0.006645002008158128j),(-0.0024640190886561428+0.005202460123186732j),(0.003801125823534478-0.004568316629548102j),(-0.007097307253104543+0.00294199640797546j),(0.006942623026212198+0.008140731324232937j),(0.012254010028463005+0.0022494355638479967j),(0.006942623026212221+0.008140731324232939j),(-0.007097307253104528+0.0029419964079754686j),(0.00380112582353448-0.004568316629548095j),(-0.00246401908865612+0.005202460123186759j),(-0.0003659812397968084-0.006645002008158132j)
"(-2.8461538461538463, -3.0)",(0.009474276966958845-0.004245438898754311j),(0.005775170720712673+0.007441584534994142j),(0.0014927881434670955+0.009898847090502271j),(0.004912394610775459+0.00819388785233896j),(0.008070027565063777-0.0018861466430190072j),(-0.004330363211050943-0.005290324845696337j),(0.0008948575424296921+0.00580178775400798j),(0.0006105466046273475-0.005925488021269334j),(-0.003953653952505664+0.006488254560676046j),(0.01051177074183835+0.001667237262899729j),(0.01030264241990936-0.0073524628864982825j),(0.011053931532127316-0.0002533422870031899j),(-0.0018136577778546882+0.0077381347712267325j),(-0.001688884187742089-0.005837987006180965j),(0.002947557852068951+0.005005801874407386j),(-0.005633880735337382-0.003562365594390275j)
"(-2.6923076923076925, -3.0)",(0.002564403518803424-0.0100789999915568j),(0.009430416254603797+0.000583861107030155j),(0.008152778269926676+0.005973415608566864j),(0.009268826186228391+0.002936307521987047j),(0.005350523470770617-0.006598904220930316j),(-0.0067517308427711056-0.0019508324053496475j),(0.003941073538513104+0.00451672628518857j),(-0.0026217354931634797-0.0053711287908091545j),(0.00035205953445607754+0.007498834815201656j),(0.009189785868861421-0.005205705998840406j),(0.0022893049569424413-0.012631888683159436j),(0.007219194345514529-0.008864103051460803j),(0.0053053375636183025+0.006299206637905584j),(-0.005893114113558927-0.002001311266264215j),(0.005847810278764052+0.0004483562607531816j),(-0.006209255616791576+0.002447369668802688j)
"(-2.5384615384615383, -3.0)",(-0.006187285259287901-0.008374855035771421j),(0.006796583433053897-0.006593979485488788j),(0.010100960570796035-0.0013941553285732975j),(0.009128947575156638-0.003805852757797168j),(0.0004070917784516721-0.00869889821846229j),(-0.006919867656589739+0.0020910630631914154j),(0.005814973728263595+0.0019371804184355758j),(-0.004967130932782792-0.003372817811460889j),(0.004197812230003236+0.006108315559853439j),(0.004266537496017038-0.0095432330657452j),(-0.006898688469236194-0.011011820742617414j),(-0.0018266930040528623-0.01168094812898578j),(0.008541986991895036-0.0003410894437958838j),(-0.0051985319248669904+0.003704541680107274j),(0.0038112227958746513-0.00453595787149783j),(-0.0017805423870108938+0.006438890063669665j)
"(-2.3846153846153846, -3.0)",(-0.010396613031419394-0.0006786243322378992j),(-0.00012802953095675048-0.009481378029267325j),(0.006500871272483622-0.007962141895246194j),(0.004798603556616828-0.008836541198152387j),(-0.004748823469235186-0.007557141585270222j),(-0.004977483440110897+0.0055289894950824115j),(0.006178410753095552-0.0010980467588822098j),(-0.005999829790899169-0.000692717670016403j),(0.006568801029409853+0.0032151217564858475j),(-0.0017824664785882332-0.010162402657005035j),(-0.01250194331491684-0.003980414671745319j),(-0.010051315865311624-0.0069623625343481895j),(0.005322092386385187-0.0071203317815478956j),(-0.00014510379250844328+0.0065569992820231834j),(-0.0013932560106228844-0.00582428207312756j),(0.003996609424160833+0.0053585220163798325j)
"(-2.230769230769231, -3.0)",(-0.007356720817284605+0.007376947676369636j),(-0.006858227272132325-0.006552574390624252j),(-0.00043858679098421235-0.010342969638128379j),(-0.001587455644632388-0.010091894210062064j),(-0.008312080572501292-0.0038135048426517983j),(-0.0016748484618892183+0.007473712873877655j),(0.005170158785096649-0.003828002136633114j),(-0.00576465586931506+0.0019486078739015952j),(0.007213614436195747-0.00010083378198860621j),(-0.006721022393133109-0.007610865041905048j),(-0.012384579368586507+0.0045912886682258815j),(-0.012453893059986763+0.0021645215079194816j),(-0.002046574647475233-0.00903127930617484j),(0.005239807705624754+0.00425734562319805j),(-0.005534371237153672-0.0024637989132669383j),(0.006682804602565532+0.0002379844294723855j)
"(-2.0769230769230766, -3.0)",(0.0005118317039117153+0.010398153615579261j),(-0.009477336069358163+0.00010771481611874427j),(-0.00707064633328514-0.007647340623241791j),(-0.007317745158504689-0.007348452772377261j),(-0.009299221322476415+0.0011198925971983766j),(0.002017086257262328+0.007624941716508749j),(0.0032217324080346154-0.005763575700835253j),(-0.004599864395415411+0.00406925447039451j),(0.006450625038243581-0.0030061497849105815j),(-0.00937446070084656-0.003373247331964303j),(-0.007438099869642847+0.010965832974855835j),(-0.007968772167337223+0.010343723625804616j),(-0.008431310069811779-0.004721159094914707j),(0.006815219687792876-0.001432529975165726j),(-0.005440167055547856+0.0028334956998625578j),(0.004458330650872426-0.00498444931714957j)
"(-1.923076923076923, -3.0)",(0.00789300570720241+0.006765477288450022j),(-0.00683555366498875+0.006538385361023649j),(-0.010355759410470209-0.0015161703487844j),(-0.010332273862694752-0.001964450126770526j),(-0.007697358844812466+0.005715868304158726j),(0.005249850603287601+0.006198499589221676j),(0.0008478167324791595-0.006731666137913148j),(-0.002937495484634217+0.0054712391502617615j),(0.004849464000834459-0.0050800873632788944j),(-0.009693182153030448+0.0010247072692241492j),(-0.00031510874445780083+0.013235709410158598j),(0.0006235033975440315+0.013454872574786178j),(-0.00965900776555889+0.002951459261097453j),(0.003437256783130787-0.006326391196790469j),(-0.0013058347161059817+0.006078720493988437j),(-0.0008508545370102588-0.006631832637312102j)
"(-1.7692307692307692, -3.0)",(0.010337650592077805-0.0008550797532033659j),(-0.0007487182500693284+0.009398199334518617j),(-0.009179120520555209+0.005105913395637439j),(-0.009884128584820006+0.003977171814446453j),(-0.004228197550230235+0.008848180657792276j),(0.007493892467342477+0.003716849429440289j),(-0.0015110264263195339-0.00681310272287664j),(-0.00115842776226137+0.006183909984901842j),(0.0029649582068210093-0.006270719946419008j),(-0.008339653861054754+0.0045702421851893165j),(0.006274136559853981+0.011577814261611512j),(0.008987754490623969+0.0105586717450109j),(-0.005080882867391919+0.009270291823715323j),(-0.0025013472729767746-0.007029858206769226j),(0.003795026434669835+0.005041487071321462j),(-0.005490109298363117-0.0038120773562874324j)
"(-1.6153846153846154, -3.0)",(0.006824655924370225-0.007770822927925261j),(0.0054772654065235495+0.0076191640885767j),(-0.004463490082764901+0.009532830552595262j),(-0.006510406999240885+0.00859105077595114j),(6.44244410258287e-05+0.010021044100602804j),(0.00857642482520378+0.0007801315428006607j),(-0.0035658374361756382-0.006236311453592696j),(0.0004754417569176377+0.00636908659380063j),(0.0011967202767809593-0.00675382135933005j),(-0.006182804157349591+0.0068871498294728805j),(0.010682959932520593+0.007464829390626684j),(0.013773377719147672+0.0035923668586002014j),(0.0025611174413271145+0.01077703380565182j),(-0.00708248596473056-0.0031535179081626278j),(0.006386333643174173+0.0005967020960296024j),(-0.006539117050606313+0.0013687596797385283j)
"(-1.4615384615384615, -3.0)",(-0.00022195444961152846-0.010301104181067647j),(0.008982992356737905+0.00250334936090473j),(0.0016570043048597196+0.010400626136585107j),(-0.001529770015421631+0.010781921693180652j),(0.004200078257808667+0.009327223304661167j),(0.008608170839840354-0.0021036954556571453j),(-0.005187249262769419-0.005276628144422252j),(0.0018261925210714624+0.0062343735312393005j),(-0.00023666959727751603-0.006789651153714613j),(-0.003948726327099209+0.008075239993577184j),(0.012557686119982574+0.002624583087968389j),(0.01389915497963149-0.004330675101592017j),(0.009278603982505927+0.00698673378199232j),(-0.007564607162535601+0.0028312667098411726j),(0.004944350260003003-0.004267592733027856j),(-0.003639087976871898+0.005599444761580852j)
"(-1.3076923076923075, -3.0)",(-0.006888569428411683-0.007599436903743525j),(0.008609119660622878-0.0033896965860270873j),(0.006958897452178611+0.007888730822863874j),(0.0035888487047260127+0.010381222491098392j),(0.007501105311893738+0.007243945493999855j),(0.007864143847359891-0.004602067460360376j),(-0.006371236458418391-0.004187292119534439j),(0.002849506162176243+0.0059754482237642315j),(-0.001256576487859475-0.00662477313850455j),(-0.0020884222144970056+0.008463445771752239j),(0.01244697514424543-0.0016681095847060061j),(0.010315534952190902-0.010641501167608652j),(0.012179573001477888+9.512056160899124e-06j),(-0.003840389647887993+0.007513389424352337j),(0.0005563267519394815-0.006641189182664114j),(0.0012243491219806864+0.0065633538473060275j)
