index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)"
"(-3.0, -3.0)",(0.008759753100123767+0.004788043478542324j),(-0.0014801254171435282+0.008728731624865428j),(-0.005800979086428805+0.007311426146137128j),(-0.003253365702735113+0.008433608253401446j),(0.00533360092591175+0.006104604207266394j),(0.004111369418723657-0.005595902228030064j),(-0.00597579504118801+0.0008675884632841986j),(0.005532600629629025+0.0018273120755381712j),(-0.004684626027900598-0.004783025677633865j),(-0.001364420842107072+0.008695053988263406j),(0.010302250551177285+0.004356841940409105j),(0.011201787291274521+0.002804520868655381j),(0.0025529939652085653+0.009099188008426325j),(-0.00699577149165117-0.0012908827148173684j),(0.005538940085708087-0.0021138836245118723j),(-0.004138604451057025+0.004211532046817884j),(0.0006106007154156164-0.006647237932146653j)
"(-2.8461538461538463, -3.0)",(0.009168599521978977-0.004033155806982918j),(0.005730084751917237+0.006799634766890983j),(0.0013465918712428121+0.009324949903202664j),(0.0034703759271998264+0.0085021669807244j),(0.00818489188939996+0.0012818173079548608j),(-7.83687544178702e-05-0.00711813179429113j),(-0.004518965686433689+0.004201805221257639j),(0.005673823679029699-0.0015651474544642668j),(-0.006546931305804852-0.0012573897306692489j),(0.004232250195069478+0.0076338442317068775j),(0.010568684914151546-0.0037944121606091888j),(0.0098219480137121-0.006561987469467998j),(0.009042370998243104+0.003695205616055055j),(-0.005237401217382643+0.00513000523665159j),(0.0013721858608319111-0.005886469770150923j),(0.001160622211407153+0.005842733629457881j),(-0.005068033485808306-0.004374101114375888j)
"(-2.6923076923076925, -3.0)",(0.002539825029361317-0.009719344609153862j),(0.008923786397914859+0.00016033217609117006j),(0.007674776575718081+0.005608453880457769j),(0.008405695116320604+0.004039080056106281j),(0.007352497791788287-0.0041976540979701115j),(-0.004296947660126666-0.005902127731619557j),(-0.0015405843262576305+0.006120701752284812j),(0.004042360399920334-0.004368829133596893j),(-0.0061640682593098375+0.0024653103274833114j),(0.007823247236228743+0.003671655459037643j),(0.005534345591409229-0.009792821407553656j),(0.0021018531874234235-0.011888965180363548j),(0.008868300060958097-0.004846068294315845j),(0.0010969259334843793+0.007487196321984976j),(-0.004136118212372361-0.004577286251048819j),(0.00550297294564525+0.0024200149029994355j),(-0.006542083240950006+0.0015016390974805398j)
"(-2.5384615384615383, -3.0)",(-0.005934873118218793-0.008135512721217713j),(0.006121074662393939-0.006532372450779528j),(0.00948175146869513-0.0013966587099219503j),(0.00913383411357781-0.0024863170661064745j),(0.003388696493303617-0.007959462809506013j),(-0.00703304059464866-0.0025754195770910293j),(0.0018928823638885946+0.00617833032891589j),(0.0013537294887431507-0.005872385030971257j),(-0.004045441434226031+0.005231004074375906j),(0.008448839539000766-0.0012597288849837197j),(-0.0018032816836824662-0.011094429201216798j),(-0.006973980455848341-0.01016326387426432j),(0.002143744490146442-0.010241970990563358j),(0.006857323298339817+0.00376620508345301j),(-0.006264357900714389+0.0007111793817618925j),(0.005228725165939051-0.0030814652060578178j),(-0.0027513303345691477+0.006139691860964691j)
"(-2.3846153846153846, -3.0)",(-0.010064258130658258-0.0007135855922785696j),(-0.000583064720293119-0.008952832323443134j),(0.005976731091444631-0.007583901180948336j),(0.0055345281192343615-0.007848054818437615j),(-0.0019379905184399937-0.008621873135908184j),(-0.007516450708726146+0.001603483271427676j),(0.004787735985428672+0.004573807008843744j),(-0.0015505453323050211-0.005909431189774755j),(-0.0010937220736351636+0.006498530342188166j),(0.006485955564198548-0.005385094517070435j),(-0.008012394407597994-0.007826433610442727j),(-0.012242758435569342-0.0028240707082748547j),(-0.006400944326155889-0.008750306869141447j),(0.0074612000526932815-0.0031594582690298327j),(-0.003234565610682376+0.005582574829875251j),(0.0006502603147512236-0.0060956368968650915j),(0.0031586260491719338+0.005956154436979499j)
"(-2.230769230769231, -3.0)",(-0.007171012135221574+0.007116951157600016j),(-0.00683030568404609-0.005835434414553659j),(-0.0006622032209775828-0.009697481629443548j),(-0.0005094879612537358-0.009722408499876743j),(-0.006581493241837737-0.006173643746213955j),(-0.005821406962844068+0.00532197176151456j),(0.006514177045476417+0.0019166322661676482j),(-0.004000358925477971-0.004739423105262556j),(0.0018284819425849145+0.006312148674905825j),(0.0030648608585364307-0.007720985263864646j),(-0.010945903882352455-0.001999734961323749j),(-0.011344489839711027+0.005887727737501529j),(-0.011141508398283696-0.0014666507730162568j),(0.0024047424931105247-0.008055337410348622j),(0.002509479718487878+0.006118265363002557j),(-0.0044844993251355585-0.00427455200185422j),(0.006631577861230657+0.0012795341946973604j)
"(-2.0769230769230766, -3.0)",(0.00044963230083220306+0.010100782859671906j),(-0.008963920131359158+0.0006392402784967901j),(-0.006881099851625086-0.006943073316408577j),(-0.006302585522086591-0.007585490003217718j),(-0.009051270798495204-0.001702800759308208j),(-0.0026386007308842672+0.007652441505345196j),(0.006885936014652322-0.0010694606259057959j),(-0.005632767358575107-0.002832127224173346j),(0.00415271311214925+0.005077593142718374j),(-0.0006056319094891516-0.00815250759537844j),(-0.010289753774378917+0.003937967470913657j),(-0.00537987273727966+0.011800591256952825j),(-0.009312741244788621+0.006998736089495618j),(-0.004675754735859812-0.007381666677237144j),(0.006510801363163258+0.0019251390491589857j),(-0.006207382897738581+0.0008507693891603654j),(0.005241571796409391-0.004275463312116775j)
"(-1.923076923076923, -3.0)",(0.007649613060046625+0.0066132105524675765j),(-0.006077730931708425+0.006610941517750308j),(-0.00976973711557479-0.0009946877994027005j),(-0.009636008582056124-0.0026012812449649706j),(-0.008820411826591372+0.0032324456971163846j),(0.0010958023301566122+0.00823319986444267j),(0.006075681044201553-0.00378001473860409j),(-0.006383059363789427-0.0006682618017189836j),(0.005659016878466335+0.0033081500200157414j),(-0.0036769299051873524-0.0071458931528604955j),(-0.007082968544601837+0.008246688579078221j),(0.002494489357067326+0.01287905156214068j),(-0.002253471198057269+0.01186059103203911j),(-0.008951944009909977-0.001627764350956136j),(0.00582653395040285-0.0038502492806522038j),(-0.0033511332009281544+0.005383556200283733j),(0.00021047610378700793-0.0067695273205281735j)
"(-1.7692307692307692, -3.0)",(0.010074959736710007-0.0007952292349134018j),(-9.625369063636903e-05+0.008962726544443265j),(-0.008342670793752427+0.005243551504731336j),(-0.009573099997432966+0.0031893922953900398j),(-0.0062699179942988115+0.0072354975154691244j),(0.004535658192632001+0.007212148414827901j),(0.004454950178586159-0.0058472067436320194j),(-0.006393849987363606+0.0013847758100059575j),(0.006398626526613033+0.0014448962472862975j),(-0.005785109290800483-0.005371419638434405j),(-0.002833920874798541+0.010304791054710851j),(0.009114490454537232+0.009575325273833155j),(0.006100906676182562+0.010911503320855347j),(-0.007754404168978099+0.005472192698464893j),(0.0010093990988296025-0.007127189438817698j),(0.001893185600277467+0.006139084267158774j),(-0.004879326861233268-0.004707692906656421j)
"(-1.6153846153846154, -3.0)",(0.006685500116482358-0.007562116026191552j),(0.005733899928642433+0.006852688489588267j),(-0.0036118407690071117+0.009189956058899247j),(-0.006517181202572852+0.007831821709565544j),(-0.002333688912800371+0.009464924952298325j),(0.007124070365222321+0.0050544745867077325j),(0.0024380521183213506-0.007149376404448724j),(-0.005905900746299378+0.003115212674748839j),(0.0065712798514865655-0.00022120249376842392j),(-0.0069544742411311545-0.003424674814507582j),(0.0011981059225645895+0.010400124884495614j),(0.012691261172719372+0.0038538271333138975j),(0.011860414690820716+0.005139595404522736j),(-0.0019464012404796596+0.0097224779567243j),(-0.004659722500561828-0.005794726270104943j),(0.005895410060997521+0.0027750264336233316j),(-0.006780042819326847+0.0002975679625892664j)
