index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)"
"(-3.0, -3.0)",(0.0033693775875700523+0.002164696009321398j),(0.001472384058521701+0.002835620707823969j),(0.0001250223534137513+0.0031921218742579855j),(-0.000981987624000898+0.0030401983279089483j),(-0.0017315785792960873+0.0026856352188207194j),(-0.0021535528771135966+0.002361529556929156j),(-0.0023173850945777457+0.002201398768036287j),(-0.002264013440481962+0.00225611372456834j),(-0.001979085084577801+0.0025092186721621095j),(-0.0014016373493610033+0.0028713018324460957j),(-0.00047070011094631784+0.0031597775229637204j),(0.0007849215184997742+0.0030967698887612643j),(0.0021328591368557875+0.0023800047488468094j),(0.003077966813754022+0.0008708947287588627j),(0.0029929715399915962-0.0011444287595571145j),(0.001524516358184584-0.002828576920179231j),(-0.0008913314241256484-0.0031010345923994593j),(-0.002904959970529722-0.0014468530710046138j),(-0.002997116929473511+0.0013090154234570613j),(-0.0008197230800011037+0.003199801987868965j),(0.002102145967731224+0.00260077689234395j),(0.0033901526672383826-0.0001646096868207176j),(0.0019169433441984446-0.0028727604978770077j),(-0.0011204129049977767-0.003339377718580798j),(-0.0033507055633908043-0.0013145416555717228j),(-0.003328376833861207+0.0015760777954062066j),(-0.001426931070343272+0.003488555117521674j),(0.000981589297771906+0.0037269485210538102j),(0.002795944993309726+0.002764295885747881j),(0.0037193100425560364+0.001460596643518441j),(0.004015944961367974+0.0004417525093210296j),(0.004060038777959403-2.226521372293075e-05j),(0.0040511884126996555+0.00013363094204502153j),(0.003920687291404603+0.000891662083709864j),(0.003359987379581803+0.0021068392061958864j),(0.0020000915973530362+0.0033413147946035615j),(-0.00019973048424453947+0.003806860887244916j),(-0.0025334931413385185+0.0027317939517377482j),(-0.0036371031568072387+0.00015463979846676664j),(-0.0024687049434485887-0.0025648235324130632j),(0.0004471545423075068-0.003458058748325894j),(0.002975158687919332-0.0016921228038055556j),(0.003073193677747962+0.001377913951147336j),(0.0007007387433171316+0.0032477897494609252j),(-0.0021379991069475257+0.002495122648622594j),(-0.0032555715373853793-9.81747063538602e-05j),(-0.00205443401120618-0.0024991911159833982j),(0.0003681222667687093-0.003198194442967646j),(0.0024278404043917247-0.002097316712135697j),(0.0031991615371795225-0.00011373898599183606j)
"(-2.8461538461538463, -3.0)",(0.0038110891644209544-0.0013713582897797612j),(0.0031718142508523777+0.0006107537680974947j),(0.002578242726090868+0.0019437029417908127j),(0.0017045518899589571+0.002741960964754611j),(0.0008858711046758653+0.003104981136588783j),(0.0002979543101922388+0.0032155087235657184j),(3.831414709687348e-06+0.003229541026334522j),(1.6323871494028387e-05+0.0032294902105361118j),(0.0003351410528832555+0.0032118156272284994j),(0.0009452448768268321+0.003087390745280567j),(0.0017769319159084702+0.0026956106106342877j),(0.0026425649588848886+0.0018554050068382531j),(0.003194225570056695+0.00048106123667650415j),(0.002983273772823458-0.0012468066488367697j),(0.0016983099858163258-0.002757936446894858j),(-0.0004617870829443931-0.0032148041304887517j),(-0.0025583494693159235-0.0020220925309577453j),(-0.0032440628579214503+0.00048049941976983517j),(-0.001756225923702031+0.002798897061335149j),(0.001113068840662177+0.0031453074153814536j),(0.003221472549516219+0.0010129533265712158j),(0.0027608621209729055-0.0020296639651490923j),(1.524806446020582e-07-0.0034859512156179833j),(-0.002826793085287971-0.0021555794010351295j),(-0.003534247450573787+0.0008402113176382588j),(-0.001798906933636919+0.0032535809289335168j),(0.0009635041939265365+0.003683033979481349j),(0.003114741766290949+0.002340234596996849j),(0.003965359854506176+0.0003279146478325263j),(0.00379821372064153-0.0014035050226540908j),(0.0032613269923948756-0.002485242383789924j),(0.002877646119250104-0.002957979061754217j),(0.002895430294835095-0.0029389707429272826j),(0.0033045422889410813-0.002421918221798607j),(0.0038343460603968245-0.0012856559925362519j),(0.003942180062273443+0.0004901341508030312j),(0.002986754760434383+0.0024904644911925636j),(0.0007442690380880742+0.0037260632285803425j),(-0.002003328551163242+0.0031234076115968226j),(-0.003577939495379535+0.0005891641725409119j),(-0.0026560287111993615-0.0023538304491243127j),(0.0002633987392348401-0.0034707873896116914j),(0.0029040195712712355-0.001810658327951443j),(0.0031320126996305475+0.0012529891346926873j),(0.0008757534096848511+0.003216441417932263j),(-0.0019508711974851778+0.002664058646353041j),(-0.0032675502392064413+0.0002581422246007619j),(-0.0024229981091664393-0.0021805751682422107j),(-0.0002714627593548751-0.00323556337707209j),(0.0018427432356174379-0.002662913803468459j)
"(-2.6923076923076925, -3.0)",(0.001299129308844202-0.0038850868023751015j),(0.0025036861868758735-0.002096452265636027j),(0.0031813382828626197-0.000727379338600331j),(0.0032201246372040534+0.0005247925542278724j),(0.002925483413707418+0.0014440957873321136j),(0.002570163979346385+0.002009800193442718j),(0.002330633116218068+0.002283505678556481j),(0.0022914471446268325+0.0023228729155069646j),(0.0024645736541570877+0.002138087686896239j),(0.0027933509943214017+0.001685637449142107j),(0.003136585110560514+0.000897664657935208j),(0.0032536501545133716-0.00024714271535603634j),(0.0028368458118929506-0.0016154843629779983j),(0.0016459782689942607-0.0028229890173322733j),(-0.00024864146859432634-0.003263955030139592j),(-0.0022442626453505125-0.0023950957276921026j),(-0.0032860653118232243-0.00024597491171109853j),(-0.0024754515334565797+0.0022024849933769157j),(2.6754291108585407e-05+0.003337708972681181j),(0.00263866470949896+0.002095452467324619j),(0.003304153847426771-0.0008408725323399279j),(0.0012990935317908452-0.0032053955725754196j),(-0.0018498529432044635-0.0029919414389581096j),(-0.003571643991854853-0.0003271132283771762j),(-0.002541431600279807+0.0026407778431039755j),(0.00030691992880776356+0.003738948635040843j),(0.0029211497992653605+0.0024975545227934816j),(0.003935874294304086+4.625960102402626e-05j),(0.00336820031591485-0.0022025009721845876j),(0.002048751077430386-0.0035528623668696765j),(0.0007924859190184914-0.0040834125077048545j),(3.664887331115094e-05-0.004193183804953216j),(-8.128023544215345e-05-0.004197839250936557j),(0.00045163980465615886-0.004150325116073202j),(0.0015585438113522843-0.003818917564730029j),(0.0029313188476075974-0.0027999878759934495j),(0.00387849569452567-0.0008415110415919279j),(0.003496838864245595+0.0016738527147525143j),(0.0013736678291526468+0.00352595569721892j),(-0.001623596099827295+0.0033195399871535874j),(-0.003514383361565693+0.0008416258872563211j),(-0.0027492806144833017-0.00223205600223366j),(0.00016371417410588056-0.003474838418023783j),(0.002856938637552746-0.001890955960146138j),(0.0031857990216418463+0.0011377185516326922j),(0.0010674954730344986+0.00317358203841888j),(-0.0017155764686024551+0.0028440539273158066j),(-0.003230536696136301+0.00067908884898224j),(-0.0027878868917927653-0.0017401457572940482j),(-0.001003366515119411-0.00311874316387641j)
"(-2.5384615384615383, -3.0)",(-0.0022189478466337585-0.0034992065062704617j),(5.791544274870211e-06-0.003301321304988919j),(0.0015559232181996542-0.0029082686439349534j),(0.0025741607029211595-0.002059765632047447j),(0.0030867444818546657-0.001156311761511426j),(0.003267022809792904-0.00043690870684383857j),(0.003296162491962847-8.858249246109698e-07j),(0.0032937506899883237+0.00012691992324923243j),(0.003295679656954889-5.573739395487865e-05j),(0.0032507481807030787-0.0005449438650828942j),(0.0030259585419415754-0.0013072901561554087j),(0.0024346217997159364-0.0022232362895717233j),(0.0013172770648505546-0.0030242973321158773j),(-0.0003075693561133801-0.0032877071119015774j),(-0.0020720569914613384-0.0025782758072805364j),(-0.003224635013620773-0.0007750634751965659j),(-0.002937510756489021+0.001566872145397015j),(-0.0009707522070558556+0.0032032379630990405j),(0.0017462449398359412+0.0028834703026236644j),(0.0033665296305349364+0.0004907557511368666j),(0.0024737433301901084-0.0023925132489068146j),(-0.0004566715035804624-0.003459966843358743j),(-0.003114235580625158-0.0017008898767115314j),(-0.0032861463906643834+0.0015117914615616337j),(-0.0008553248983397375+0.0035956830095946963j),(0.0022285620863705504+0.003057698108736048j),(0.003840216523123824+0.0005379192066412438j),(0.003320718511968728-0.00218346919367545j),(0.0014659333831348574-0.0037944196727260787j),(-0.0005511056866487295-0.004114542456192943j),(-0.002022921023844549-0.0037005310932742685j),(-0.002808951370234484-0.003201526037090876j),(-0.003019420231116932-0.003021728922815039j),(-0.0027156343673833644-0.0032740922841492655j),(-0.0018140436843947082-0.00379610454126448j),(-0.0002225949847100543-0.0041315841342224385j),(0.0018357722941419958-0.003611994954730104j),(0.0035441481407455567-0.0017603147803211155j),(0.0037151034717511707+0.0010504904669121798j),(0.0017435970601369487+0.003339866742350858j),(-0.0014034123223572355+0.0034033947855430778j),(-0.0034757171806430384+0.0009541903283439083j),(-0.0027818280159366262-0.0021850394874762752j),(0.00012046602253401531-0.003478603850889009j),(0.002823505243945214-0.001954255918241086j),(0.003241112265096237+0.0010140598091325382j),(0.0012887451179810507+0.0031098419295126803j),(-0.0014161041063563689+0.003028844413082167j),(-0.003116852012339696+0.0011627517620798747j),(-0.003105293751178414-0.001159355089152179j)
"(-2.3846153846153846, -3.0)",(-0.00415348922958165-0.000559243748269819j),(-0.0025153437467044576-0.0021935533435968805j),(-0.0011315763756023374-0.0031354675147508334j),(0.0002575427545782443-0.0033211350626938434j),(0.001339491828044575-0.003048663353233692j),(0.0020429647825247863-0.0026290167430097267j),(0.0024234529448756556-0.002282845151967749j),(0.002559008018575995-0.0021297505591981497j),(0.0024889161384884255-0.0022112705368919636j),(0.0021919719794175735-0.002506042829942522j),(0.001597664984200019-0.002921422973688629j),(0.0006341721294712824-0.0032697163152216584j),(-0.0006797147815380791-0.0032624817166981863j),(-0.0021160932908920976-0.0025789254537335747j),(-0.003170557540650099-0.001055485720230369j),(-0.003183943944279126+0.0010425852289699187j),(-0.0017491073769695+0.0028721897243325907j),(0.0007474354108744916+0.003296644711308191j),(0.002948252344487133+0.0017008877737880684j),(0.003229686082649599-0.0011672316522036432j),(0.0010882628839315321-0.0032977896882348825j),(-0.0020168898760165315-0.002885447411275473j),(-0.0035774164986364706-7.67746139909631e-05j),(-0.002227036752946574+0.0028875183789449j),(0.0009515748055936705+0.003601826492974654j),(0.0034591438548390316+0.0016062095233227462j),(0.003620841343918188-0.0014753362952127226j),(0.0017005216249762502-0.003631377085611321j),(-0.0008664926251215917-0.004015983589144324j),(-0.0028572761205579236-0.003076532056216215j),(-0.0039050049505788844-0.001734476982910396j),(-0.004268693613615045-0.0006851872291630665j),(-0.00433768435229201-0.00023958903158776234j),(-0.004307055662886831-0.0004753678008965823j),(-0.004071753105669474-0.0013554476334022608j),(-0.0032797703350825463-0.0026616203357641343j),(-0.0015820585765637938-0.003823337323046243j),(0.0008995163225933971-0.003939538326641811j),(0.00318891675860655-0.0023152450557009535j),(0.0037862078796663833+0.0006585790452346482j),(0.0019167818841070005+0.003225393683018956j),(-0.0013248600013171623+0.003422505637889169j),(-0.0034673933981300177+0.0009619352629759585j),(-0.002774711947292189-0.0021940042358336237j),(0.0001107824362280307-0.0034847770738176596j),(0.002793673006109042-0.0020161568883578715j),(0.0033002512377778123+0.0008675120335916154j),(0.0015459339657713659+0.003013502882705239j),(-0.0010397018185078005+0.0032032107911187293j),(-0.0028947733123467503+0.0016934811795514008j)
"(-2.230769230769231, -3.0)",(-0.00318496565768237+0.0027973561437527493j),(-0.0033493994803603794+0.0004052146302246564j),(-0.0030957297294738136-0.001328136088581777j),(-0.0022243171291592796-0.002525534380873754j),(-0.001199291485495317-0.0031425179641914377j),(-0.00032231126315722955-0.0033471847209451933j),(0.0002736769984663711-0.003351105975047325j),(0.0005570735804456912-0.0033156535237896j),(0.0005298180026347581-0.0033201295898331526j),(0.00019123282552450626-0.0033568664932814374j),(-0.00045842059377556584-0.00333138982593207j),(-0.0013752167308435923-0.00306987374175901j),(-0.002400485039267621-0.0023593627390079215j),(-0.003199872364994624-0.001055169327982919j),(-0.0032927912305840985+0.0007403895914732849j),(-0.002264439048132401+0.0025140996971879416j),(-0.00015506358322272556+0.0033923072908480937j),(0.002215212042648758+0.0025962646872225025j),(0.003430408728672206+0.00019040131367191232j),(0.002409896916409323-0.0024902353144999074j),(-0.00044238221890991565-0.003475047548007994j),(-0.003078349215010267-0.0017679460271933184j),(-0.0032988699100852665+0.001458226283581498j),(-0.0007889642629791803+0.0035887198833388437j),(0.00243735474413069+0.0028537999984133387j),(0.003840458058035978-0.00010486797146937273j),(0.0025461333710083255-0.0030060481530015054j),(-0.0002744541083552241-0.004033064392768685j),(-0.0028215014444325738-0.00303752293488441j),(-0.004109365799237031-0.0010555943647510453j),(-0.004246316275423842+0.000822953498070703j),(-0.0038668771353755917+0.0020680519767254458j),(-0.003550449759876364+0.0026249634068484973j),(-0.003584765297863355+0.0025728004496678885j),(-0.003942301878234102+0.0019007522766909088j),(-0.004279404230069181+0.0005308919531074142j),(-0.003980040125409174-0.0014221747496722843j),(-0.0024521142704979925-0.0033205339619443645j),(0.000248691593809617-0.004016367391813541j),(0.002936802865115204-0.0025990885596586266j),(0.0037949375393644845+0.00048288525743245096j),(0.0019413805939241492+0.003194746847945367j),(-0.0013617296123374211+0.0033990938071573385j),(-0.003483677239428081+0.0008917837923620333j),(-0.0027414792135491417-0.002241133229373222j),(0.00011690337813093301-0.0034938640532282904j),(0.0027589140253816043-0.0020874009314409063j),(0.003361639744910626+0.0006874132943121661j),(0.0018385462094429384+0.0028713039445523738j),(-0.0005796550747216023+0.0033434930050464952j)
"(-2.0769230769230766, -3.0)",(-6.09844941675163e-05+0.0042870302453853655j),(-0.0020147304940720642+0.0027515672649362443j),(-0.003142837713503664+0.0013070439283383113j),(-0.003391305990061786-0.0002368457543756477j),(-0.003060490117945467-0.0014740926635868148j),(-0.002507076549229712-0.0022900247453246426j),(-0.001998503963418478-0.002744184364486286j),(-0.0016867210070517786-0.002945737385316543j),(-0.0016369235291029747-0.002973647798100327j),(-0.0018578565755745494-0.0028411063909304732j),(-0.0023072927566079307-0.0024907361814941794j),(-0.0028690001717045998-0.0018177138762147213j),(-0.003318687840145245-0.0007320723337870746j),(-0.0033226570371849475+0.0007305904971431388j),(-0.0025340393783843396+0.0022783002048484j),(-0.0008276876960153044+0.0033142379301897484j),(0.0014029217415410392+0.003127813231409059j),(0.003150259820152038+0.0013932443636378354j),(0.0032251198128473635-0.001271639961140789j),(0.0012061160519856535-0.0032809739605215845j),(-0.0017925336048589518-0.003043765090814202j),(-0.0035510112282081817-0.0004395590688159947j),(-0.002502645206517733+0.002634764886188058j),(0.000662239086652887+0.003640819056615314j),(0.003384066853989219+0.0016808105281312363j),(0.0034949540738728035-0.0016559952587898972j),(0.0010555965265627808-0.00382297376907509j),(-0.0020423418381590357-0.003522227128767179j),(-0.003947345130261578-0.001372910336287825j),(-0.0041260226177873794+0.0011481077718729215j),(-0.003188632561679879+0.002993810767405919j),(-0.002030693975593165+0.0039524030721597905j),(-0.0012614447218896273+0.004303060618329718j),(-0.0011363398344268456+0.004344408246356214j),(-0.0016872302343946303+0.004130680362192236j),(-0.0027538038295208227+0.0034342748331053405j),(-0.0038659826964548396+0.0019226418392920093j),(-0.004195807489568627-0.0004291012812830332j),(-0.002931079401076449-0.0028820025977005204j),(-0.00010868838299818555-0.004002194331867703j),(0.0028285592168329167-0.0026881471062899735j),(0.003777583440337603+0.0004921223271169605j),(0.0018486671466559183+0.0032367711733669656j),(-0.0014876723737629331+0.0033404792325049636j),(-0.0035150908443375758+0.0007638221878255437j),(-0.002691166334259204-0.0023119050691425965j),(0.00012608429698922875-0.0035057204470763533j),(0.0027125549024495845-0.002174254076794129j),(0.003420160646238272+0.0004672504774330238j),(0.0021586948661288644+0.002669956397730194j)
"(-1.923076923076923, -3.0)",(0.0031151346359638+0.003016386942447099j),(0.0005685597961478851+0.0033996110595236623j),(-0.0013344605257479573+0.0031693655011372952j),(-0.002653772148749883+0.0021785825091619605j),(-0.00329082011030079+0.0009672308265109285j),(-0.003426484071578371-9.936298923616487e-05j),(-0.0033162038583595273-0.0008633549550185318j),(-0.003169590107081704-0.0013008977086629906j),(-0.0031108677895948216-0.0014352758602915608j),(-0.003178240395320656-0.0012796894960046866j),(-0.0033274684796678238-0.000819127042310546j),(-0.003427897656142092-3.133795883132483e-05j),(-0.003264517871929436+0.0010532413764557129j),(-0.0025820790173192117+0.0022635758899861944j),(-0.00121235813260345+0.0032185656057942954j),(0.0007171848312366465+0.0033721048376482367j),(0.0026066055413874216+0.00227412554235725j),(0.003475204588913811+1.8441300811557702e-05j),(0.002514695273391364-0.0024296798017519505j),(-8.650320934553378e-05-0.0035236320077040944j),(-0.0027808609048741674-0.002223254837854504j),(-0.0035083286342984027+0.0008285902086394137j),(-0.0014569320773314429+0.0033567917570190412j),(0.0018827961427474288+0.0032138473306098053j),(0.0037804041074712027+0.00040188334185265845j),(0.0026868739498043096-0.002813272460401617j),(-0.000451474299915315-0.003963713449006538j),(-0.003287870632335265-0.002444052517267268j),(-0.004186947754364503+0.0004240661747319711j),(-0.003181437508652385+0.0029194552787034016j),(-0.0013280608550046082+0.004213039410291963j),(0.00036421062204908527+0.004482663716667139j),(0.0014167877496156312+0.004322971575782092j),(0.0017459205349124108+0.004219388833276288j),(0.001364987733407536+0.004336833945523425j),(0.00026035792407182694+0.00448493654578563j),(-0.001466254297817007+0.004159889023101547j),(-0.0032973794915047215+0.0027758853649355307j),(-0.004194935291302219+0.00021144420175847557j),(-0.003137368853239929-0.0026220264869360873j),(-0.00020551788759314013-0.0039765348026623475j),(0.0028594446456555894-0.002627658249946863j),(0.003738958062693674+0.0006540627538792104j),(0.0016573902925443877+0.0033299617085473412j),(-0.0016792175805392887+0.003246449379094753j),(-0.0035521998612611204+0.0005926552591321676j),(-0.002629714969646548-0.0023958797061537375j),(0.00013036685070060247-0.003520009031712071j),(0.002649890565756132-0.0022787727367163586j),(0.0034678624725636917+0.00020507462566573214j)
"(-1.7692307692307692, -3.0)",(0.0043837410656977285-0.00010817174950888893j),(0.0028153718854111416+0.0020509735059532977j),(0.0012133937014432606+0.003254803371177922j),(-0.0005172408537059481+0.003428160374218642j),(-0.0018811470275071059+0.002906932873420366j),(-0.0027388964254708432+0.0021137093555884637j),(-0.0031765989972199617+0.0013662963050127157j),(-0.0033536760269936516+0.0008390882673663138j),(-0.0034036480168628137+0.0006032741929175008j),(-0.0033896147784855607+0.0006782538315319574j),(-0.0032913388199383147+0.0010586711886306252j),(-0.003008874320565162+0.001705599826810176j),(-0.0023878009220014746+0.0025051951712562882j),(-0.0012876268469194535+0.003216236382796405j),(0.00028995375662515616+0.0034577094387127833j),(0.002043868613949583+0.0028138642090398537j),(0.0033091075987623335+0.0011062125983943092j),(0.0032707897532304213-0.0012586602271379365j),(0.001533033106947752-0.0031745283305069276j),(-0.0012509986745210995-0.003324739042487497j),(-0.003365119725997711-0.0012413079602614546j),(-0.0031092092967364244+0.0018732060701006563j),(-0.0003889166627813074+0.0036622712354543096j),(0.0027691591482017107+0.0025238818000845936j),(0.0037467966814603458-0.0007563506821698206j),(0.0016942732058140792-0.003523843586263977j),(-0.001718866670452248-0.0036218833386097026j),(-0.003948756418632699-0.001167550453990461j),(-0.0037513720925558833+0.0019598999513757973j),(-0.0017434374580308763+0.0039827034860669235j),(0.0006711434860538672+0.004404283007915944j),(0.002502694818317866+0.0037946028399513543j),(0.00351381625459146+0.002983088391336735j),(0.0038819069447645943+0.002538861594357166j),(0.0037708423038311607+0.002685034191592817j),(0.003123105113526717+0.0033535774862401883j),(0.0017258166552435491+0.0041612019607648j),(-0.0004587736112451443+0.004381018547565695j),(-0.002846439575283999+0.003213255175513307j),(-0.00414576277940309+0.0005091736035331742j),(-0.003151338351857317-0.0025669540973466925j),(-7.936825073084183e-05-0.003959314545032519j),(0.003001919580162371-0.0024367151882536387j),(0.003666165790585092+0.0009391697961868029j),(0.0013787451067679426+0.0034492897869188607j),(-0.0019166127502201463+0.003113474886898447j),(-0.003587059957230279+0.00038824625230031624j),(-0.0025604135045927227-0.0024866607437442124j),(0.0001262901628192044-0.003536224191726467j),(0.002568395168671916-0.0023991875550464408j)
"(-1.6153846153846154, -3.0)",(0.003104560746085501-0.003165632735018748j),(0.0034931928881104584-0.00042820031086214457j),(0.0031065955567552987+0.0016293812836749558j),(0.0018556702959722719+0.002967413179361647j),(0.0003852316972139678+0.003472983121960708j),(-0.0008763724582402982+0.003378780559782521j),(-0.001766602368299677+0.0030078341107846094j),(-0.0022971475541802627+0.00262329777672849j),(-0.0025414231961315976+0.0023865038414213695j),(-0.0025564708827411605+0.002370320439692698j),(-0.0023464071236667986+0.002579162617728416j),(-0.0018601983601463316+0.0029505852630603573j),(-0.0010230340746799496+0.0033368899704818984j),(0.0001915654620878673+0.0034884149074023633j),(0.0016521642259397975+0.0030843226297645517j),(0.0029690831740292706+0.0018658085964688514j),(0.003515537522000765-0.00011854498538311422j),(0.002701440446867774-0.002276015923378562j),(0.0004906242833390283-0.0035182582116154775j),(-0.0021719707835289115-0.00284364918919288j),(-0.003600707474655503-0.00027765743473159523j),(-0.0025287775752912975+0.002636221409592194j),(0.0005526147640420667+0.0036628169020285263j),(0.0033279000700102133+0.0017637155923892706j),(0.0034539737420107995-0.001678640829580031j),(0.0007326223469910096-0.0038575683748142127j),(-0.002645725354770348-0.0030331602770625127j),(-0.004134023010992971+2.9800743017335483e-05j),(-0.002950509341167864+0.0030605842566359264j),(-0.00024395781665757535+0.004364191569250444j),(0.0023406644352541198+0.0038270205794730654j),(0.003925164023354628+0.0023732448072015092j),(0.004560521361755066+0.0009720892725580797j),(0.004702580067817907+0.0001584789509938887j),(0.004706909207157772+0.00010432981899194917j),(0.004598939744888619+0.0008174906427016141j),(0.004061079327631502+0.0021585800222307296j),(0.0026270782321933467+0.00365494663226649j),(0.0001529184512687086+0.004384777065639967j),(-0.002626347747313609+0.0033639793168837636j),(-0.004119156715654912+0.000504922464687228j),(-0.0030072147524156066-0.00269701653460113j),(0.00023718439480357957-0.003932309554686171j),(0.00321664897139477-0.0021183065420455932j),(0.0035377561209102046+0.0013197522694007129j),(0.001020028695316636+0.003569320701425502j),(-0.002183702496393241+0.0029365612304882525j),(-0.0036132509931081475+0.00015638359641537356j),(-0.0024838866989317725-0.002581423681354321j),(0.00011455102390620472-0.0035536662486822276j)
