index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.08743651641841406+0.25792306538611404j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.22854137441007266+0.1110884965349689j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.22206218666033473-0.07224469546494061j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.1050226992009986-0.18381140720828432j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(-0.03398816442164869-0.18713033419176567j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.12582733234126428-0.11578744312662452j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.1545842867663062-0.025698139911508922j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.1423760635016965+0.049434101135749434j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.11358681199487997+0.108163740287968j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.07318635034649135+0.16198448509127547j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(-0.011283641876165512+0.2127904623559696j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.07867338948413606+0.247212973917867j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.18760755770585594+0.24809691462481626j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.29347070951863935+0.20961744673762076j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.37368821052945056+0.1434399488968038j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.4163049361119096+0.07330623864627697j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.42266336531140697+0.02400120138955441j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.4019945751134119+0.01218154712666555j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.3631031804760485+0.042607872343535705j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.3084765188805498+0.10873493925635712j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.23358393314681294+0.19477302349708336j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.13143116581488956+0.27752775467675395j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(0.000614363675039014+0.328817937157186j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.14628009193031732+0.320935479282436j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.2785087334469802+0.23688117493037175j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.3523870938394933+0.0834926814228332j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.3286138470251444-0.09960061920599651j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.19753336783049646-0.24532076494565985j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(0.001078578451211001-0.28502392164882573j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.18174851626882113-0.18840169918717214j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.25035072560244404+0.0050653345816554715j)
"(1.7692307692307692, -3.0)","(1.7692307692307692, -3.0)",(0.1619144699602154+0.19130286125827972j)
"(1.9230769230769234, -3.0)","(1.9230769230769234, -3.0)",(-0.03714228045217047+0.2550497235149947j)
"(2.0769230769230775, -3.0)","(2.0769230769230775, -3.0)",(-0.22167230765550383+0.14727841850706686j)
"(2.230769230769231, -3.0)","(2.230769230769231, -3.0)",(-0.26319761605072983-0.06769870266929162j)
"(2.384615384615385, -3.0)","(2.384615384615385, -3.0)",(-0.12443371180282249-0.2425198734469428j)
"(2.5384615384615383, -3.0)","(2.5384615384615383, -3.0)",(0.10067960653550126-0.24849021256116838j)
"(2.6923076923076925, -3.0)","(2.6923076923076925, -3.0)",(0.24677030296795338-0.07830367275413425j)
"(2.8461538461538467, -3.0)","(2.8461538461538467, -3.0)",(0.2037493452727891+0.1379125798550739j)
"(3.0, -3.0)","(3.0, -3.0)",(0.010750628446158483+0.2306543780746794j)
"(-3.0, -2.8461538461538463)","(-3.0, -2.8461538461538463)",(0.2684095690801131+0.12539490972712566j)
"(-2.8461538461538463, -2.8461538461538463)","(-2.8461538461538463, -2.8461538461538463)",(0.2604792625181447-0.10365835457032876j)
"(-2.6923076923076925, -2.8461538461538463)","(-2.6923076923076925, -2.8461538461538463)",(0.10101956239033642-0.2406959563216468j)
"(-2.5384615384615383, -2.8461538461538463)","(-2.5384615384615383, -2.8461538461538463)",(-0.08710440588804366-0.22281098232275967j)
"(-2.3846153846153846, -2.8461538461538463)","(-2.3846153846153846, -2.8461538461538463)",(-0.1939180607851214-0.095807822752087j)
"(-2.230769230769231, -2.8461538461538463)","(-2.230769230769231, -2.8461538461538463)",(-0.18851187359762844+0.04592550629312095j)
"(-2.0769230769230766, -2.8461538461538463)","(-2.0769230769230766, -2.8461538461538463)",(-0.11149826213959665+0.13450872092740324j)
"(-1.923076923076923, -2.8461538461538463)","(-1.923076923076923, -2.8461538461538463)",(-0.021208899633849112+0.15997686264939173j)
"(-1.7692307692307692, -2.8461538461538463)","(-1.7692307692307692, -2.8461538461538463)",(0.052088214522294674+0.14932631286071166j)
"(-1.6153846153846154, -2.8461538461538463)","(-1.6153846153846154, -2.8461538461538463)",(0.11258013785888979+0.1270085991461918j)
"(-1.4615384615384615, -2.8461538461538463)","(-1.4615384615384615, -2.8461538461538463)",(0.17506207067026386+0.0941207969596938j)
"(-1.3076923076923075, -2.8461538461538463)","(-1.3076923076923075, -2.8461538461538463)",(0.24081930326205991+0.03668358705101509j)
"(-1.1538461538461537, -2.8461538461538463)","(-1.1538461538461537, -2.8461538461538463)",(0.2937840505106641-0.0531932293128988j)
"(-1.0, -2.8461538461538463)","(-1.0, -2.8461538461538463)",(0.3147960615211579-0.16477516144055585j)
"(-0.8461538461538458, -2.8461538461538463)","(-0.8461538461538458, -2.8461538461538463)",(0.2979428217685561-0.272995122169327j)
"(-0.6923076923076921, -2.8461538461538463)","(-0.6923076923076921, -2.8461538461538463)",(0.2558146190760446-0.35233434634918015j)
"(-0.5384615384615383, -2.8461538461538463)","(-0.5384615384615383, -2.8461538461538463)",(0.212212255936102-0.38806124904358597j)
"(-0.3846153846153846, -2.8461538461538463)","(-0.3846153846153846, -2.8461538461538463)",(0.18957795763633314-0.3782007571389811j)
"(-0.23076923076923084, -2.8461538461538463)","(-0.23076923076923084, -2.8461538461538463)",(0.19906396304477242-0.3280369136004151j)
"(-0.07692307692307665, -2.8461538461538463)","(-0.07692307692307665, -2.8461538461538463)",(0.23660589438726817-0.24342311028231559j)
"(0.0769230769230771, -2.8461538461538463)","(0.0769230769230771, -2.8461538461538463)",(0.28414369475491136-0.12832139614455731j)
"(0.23076923076923084, -2.8461538461538463)","(0.23076923076923084, -2.8461538461538463)",(0.3141693587817632+0.011741761389667784j)
"(0.384615384615385, -2.8461538461538463)","(0.384615384615385, -2.8461538461538463)",(0.2972111003907156+0.16256580802868822j)
"(0.5384615384615388, -2.8461538461538463)","(0.5384615384615388, -2.8461538461538463)",(0.21285002799506964+0.29567838454663975j)
"(0.6923076923076925, -2.8461538461538463)","(0.6923076923076925, -2.8461538461538463)",(0.06307941018118457+0.37055216005212693j)
"(0.8461538461538463, -2.8461538461538463)","(0.8461538461538463, -2.8461538461538463)",(-0.11769326078677667+0.34890439144358126j)
"(1.0, -2.8461538461538463)","(1.0, -2.8461538461538463)",(-0.26564031056640236+0.2187151030094087j)
"(1.1538461538461542, -2.8461538461538463)","(1.1538461538461542, -2.8461538461538463)",(-0.31104151878913816+0.015740555375970106j)
"(1.3076923076923084, -2.8461538461538463)","(1.3076923076923084, -2.8461538461538463)",(-0.2182142338006108-0.1762814895439272j)
