index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)"
"(-3.0, -3.0)",(0.010840706453215238+0.005428764100302802j),(-0.00454773997702094+0.012878362089517243j),(-0.0014678661515900625+0.012763511850604257j),(0.00741804165830488-0.0020548525304112603j),(-0.003209253406174329+0.002063796241326937j),(-0.0008715017732078146-0.004139088793282134j),(0.0024170195301092354+0.01108864537791837j),(0.015677629079388335+0.007156961593133434j),(-0.0033506771596348082+0.008281766783075217j),(0.002691720743534549-0.0023558067087507085j),(-0.0040903487066917855-0.001808010574748449j)
"(-2.8461538461538463, -3.0)",(0.010868285794802313-0.005173746574679828j),(0.006531806332479762+0.01202556700279434j),(0.007856616713754675+0.010571663777721174j),(0.004744555894633923-0.006524865113854919j),(-0.0015579925156660355+0.003672151514532008j),(-0.002958129282023562-0.00284962804469659j),(0.008712009262265825+0.0067201834017104065j),(0.016306939925117458-0.006654077179103288j),(0.004803661223210164+0.008131055427287225j),(-0.0004884513887544295-0.0036656307179811763j),(-0.0037679577024144957+0.002297421506556101j)
"(-2.6923076923076925, -3.0)",(0.002745198492767907-0.011617380785297364j),(0.013255647321102116+0.003431141282044812j),(0.013227896575930313+0.002666017489636229j),(-0.00015315637144106545-0.0084586444285095j),(0.0006996187567635901+0.004125430554820112j),(-0.003907423014277892-0.0008243288596847193j),(0.010618441092182584-8.488829183035928e-05j),(0.006917307137216223-0.016570923936748323j),(0.009907844082246547+0.0013900742973744407j),(-0.0034241315080101586-0.001730633484728305j),(-0.00031004073466133863+0.004340581280005028j)
"(-2.5384615384615383, -3.0)",(-0.007130144637349558-0.009433238718324865j),(0.011672290260297768-0.007130472218275721j),(0.012042115110159821-0.006764704030989415j),(-0.005289085945622373-0.0071267489374894355j),(0.002859916927185644+0.003348384947307035j),(-0.003704684546115963+0.0011894390134552183j),(0.0082052110573247-0.006057434004834538j),(-0.006463469703996834-0.01707125865184326j),(0.007872923519591077-0.007129237901666332j),(-0.003531926289417359+0.001868981218117957j),(0.0032716698185930823+0.002772087918811542j)
"(-2.3846153846153846, -3.0)",(-0.01167735021895271-0.0007085207265484237j),(0.0032451170821513344-0.013247090878763263j),(0.005129199654699511-0.013158266702550036j),(-0.008778971263157097-0.003104915604488324j),(0.004355324620123335+0.0016243669566689439j),(-0.0026860109466420624+0.0026927958409557135j),(0.003316375372562365-0.00916460824428292j),(-0.016355767064410533-0.00861999888243652j),(-0.00017237728005594394-0.011295800897962996j),(-0.0006121553759100985+0.0041345529380652215j),(0.0041193268357103355-0.0009315731386805345j)
"(-2.230769230769231, -3.0)",(-0.008178531510573229+0.00816870958287559j),(-0.006757043611342853-0.011770958611593678j),(-0.004134823208871667-0.013816142510696848j),(-0.009527894337821077+0.002160348538611349j),(0.004887526488736391-0.0005711892724630288j),(-0.0012907871537734222+0.0035043104749436895j),(-0.001811394226931166-0.009086281815630919j),(-0.01826386613649666+0.0037391033418590494j),(-0.008943078188003474-0.008055623433000344j),(0.0030584679848940943+0.0031520133258198346j),(0.001763938278951807-0.0037654425284093657j)
"(-2.0769230769230766, -3.0)",(0.0004618493797798138+0.011396573311274402j),(-0.0128320378932278-0.004118187574029323j),(-0.01176133257811639-0.008825872701487707j),(-0.007463552487086246+0.007021051550416366j),(0.004440290145051166-0.002749059408645635j),(0.00011658624423665594+0.0036862214862104182j),(-0.00560081103481656-0.006737528778377145j),(-0.01236157175742573+0.014030115749941861j),(-0.012819026050570191+0.0007449036822158635j),(0.00461728046965758-0.00043825159094515594j),(-0.0018021819368559354-0.003675670846920151j)
"(-1.923076923076923, -3.0)",(0.008418922219706252+0.007445562143718337j),(-0.012269573505736996+0.005258359499462j),(-0.014957419572889458-0.0005275689617157589j),(-0.003344464802905607+0.010207069511105728j),(0.0032067140057865403-0.004535526977448868j),(0.0013193969237517862+0.0034225126211872353j),(-0.0074873740470698695-0.0034468697604231706j),(-0.002227478425460205+0.018505524752280324j),(-0.00940453400065217+0.00997580071111127j),(0.00280478105650633-0.004046707983316001j),(-0.003917259429549793-0.0009535743074392116j)
"(-1.7692307692307692, -3.0)",(0.011038739569315701-0.0006652005532736382j),(-0.0060394770658935585+0.011722709224646587j),(-0.01300815986909987+0.007868289104852386j),(0.0016645118888896607+0.01112488121099771j),(0.001482008103034382-0.005729987028462738j),(0.002240394744345364+0.002916925539419631j),(-0.007710926692304801-0.00031079196502566684j),(0.00776666053933817+0.01673180709475231j),(-0.0005463511261906332+0.014629909437852983j),(-0.0012283241206108182-0.005110148509554746j),(-0.0032390858112904325+0.0023023926604329305j)
"(-1.6153846153846154, -3.0)",(0.0074050924131489415-0.007951934688283396j),(0.002421888333347734+0.012761429151856522j),(-0.0070922747770620215+0.013677476748090632j),(0.0064281562596566+0.00985453259014927j),(-0.00043478307601408375-0.006299638144566107j),(0.002896303361970422+0.0023365234929777438j),(-0.0068890039781374065+0.0020739797554317554j),(0.014589033532213577+0.010727257502605975j),(0.009316869564028352+0.012539836343398832j),(-0.004883497011633145-0.002825165640648877j),(-0.0004594140514668664+0.003896331822342093j)
