index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)"
"(-3.0, -3.0)",(0.010241257697269994+0.005205665049240751j),(-0.0034755993010449054+0.010978712731206085j),(-0.005427353531883066+0.010576447121193865j),(0.0060441766630706835+0.007453613639252023j),(0.0007492577645412216-0.006508871208468787j),(5.842741685941857e-06+0.004797891302577962j),(-0.002308543993029124-0.005191616782802747j),(0.0006858087442283941+0.010254002522206207j),(0.01431729371644136+0.004482629454653453j),(0.006052920762327522+0.010148722820001945j),(-0.006097041236014153-0.002172080402792451j),(0.003698936611258895+0.0029323046487448987j),(-0.003491663943647332-0.004797869711564685j)
"(-2.8461538461538463, -3.0)",(0.010359812689776302-0.0048998742609563705j),(0.005975381485905895+0.009873136434880688j),(0.003624143488513936+0.011516221510990812j),(0.009718711105227575+0.001817413575322045j),(-0.0033970893686534483-0.005894903563294015j),(0.0027397563152086945+0.004073691802954363j),(-0.004770482211228903-0.0029254172354176663j),(0.006838197624371863+0.0073761337921487025j),(0.013418474777069781-0.007056659468461138j),(0.01218120898657086+0.0017684389796992469j),(-0.005502112847073322+0.0038910914277903385j),(0.004559986206295623-0.0014614328264528221j),(-0.005905955620747257+9.505057764170655e-05j)
"(-2.6923076923076925, -3.0)",(0.002614248364278538-0.011119605994392738j),(0.011340178903424614+0.002205847082956469j),(0.010714731765108702+0.005942451665138893j),(0.008955253315428287-0.0048536145352381654j),(-0.006406234611058779-0.0029962448038304418j),(0.004600122720199752+0.002049569816512735j),(-0.005514693126212184+8.836234299191328e-05j),(0.009658870554486759+0.0017353826444879593j),(0.004939636192272235-0.014459864664472768j),(0.009630949147304396-0.00847755684637099j),(-9.827123797940491e-05+0.007033249563700085j),(0.001404232007370215-0.004657616555858933j),(-0.0033632710096527575+0.004819202251679549j)
"(-2.5384615384615383, -3.0)",(-0.006903972466606591-0.009041184305002533j),(0.009368745909641778-0.006756261069541598j),(0.012089190886766268-0.002862343382222059j),(0.004248818978777029-0.009592552438814041j),(-0.007281180945448742+0.001060827277090806j),(0.005149689055122503-0.0005559389481440911j),(-0.004657533209044176+0.0028149619525388364j),(0.008677560628556593-0.0039732469542912005j),(-0.005910638376040883-0.014168663615340126j),(0.00011339584004276978-0.01337990038332216j),(0.005806689240889154+0.004524107951027295j),(-0.0030393019691525172-0.003907681137266084j),(0.0018529662541731866+0.005542679175885491j)
"(-2.3846153846153846, -3.0)",(-0.011303376554926511-0.0005856159694798391j),(0.0016991521478080395-0.011407284390725816j),(0.0073262126151691365-0.01023175132082306j),(-0.002298934738279763-0.010554364000913034j),(-0.0058745601000516545+0.0049175062165216265j),(0.004409467704965053-0.0030144424395007227j),(-0.0027669496931615693+0.00461236850046309j),(0.005036619715865923-0.007760435771608967j),(-0.013576782739359469-0.007198033386348046j),(-0.010047634182676703-0.009684785868906384j),(0.007502332463818589-0.0018396222873579245j),(-0.005045591640220523+0.00014457649488029155j),(0.005494250886396839+0.0018873076009204763j)
"(-2.230769230769231, -3.0)",(-0.007857214442479188+0.008052443656540897j),(-0.006776426260050959-0.009289178545517056j),(-0.0009186204990812847-0.0126989010845655j),(-0.008117255151493813-0.007593377678674804j),(-0.0027593018253492933+0.007489068887830782j),(0.002721376255162814-0.004805616103118239j),(-0.0005138550677035025+0.00530284001434935j),(0.0004881028320684934-0.008926291542425286j),(-0.015117633241264526+0.0024522477429959463j),(-0.014548785024803617+0.00020115594895215604j),(0.0035430225101637175-0.007316436200088042j),(-0.00300112168284095+0.004195539529062291j),(0.004858590710591114-0.0031173386390343505j)
"(-2.0769230769230766, -3.0)",(0.0006420333076748424+0.01115336158916395j),(-0.011251548876017823-0.002092111984559519j),(-0.008685032808782203-0.009490076406369004j),(-0.011251844437591044-0.002005957619355854j),(0.0011181180548418262+0.00824238057600793j),(0.0005560232729488432-0.005697585587359248j),(0.001573565264361965+0.005052569922693393j),(-0.003499230867028183-0.007869339339739868j),(-0.010950168780543985+0.010525198407231416j),(-0.0109888571385822+0.010439511245821542j),(-0.0033621954374213237-0.007893545979662813j),(0.0014665853585079842+0.00507783414875113j),(0.0006660445170774933-0.005695929595632009j)
"(-1.923076923076923, -3.0)",(0.008454815626308277+0.0071639326673782295j),(-0.009693355990789571+0.005943030347031001j),(-0.012752063812838128-0.0024114497594659645j),(-0.01095015195129071+0.004235914212146892j),(0.004810111128489257+0.0072133253102620535j),(-0.0016505969977335052-0.005714664472508072j),(0.003205298808959158+0.004188445708764353j),(-0.006162114797985995-0.005522677263993344j),(-0.0036739551190296694+0.01452126216805407j),(-0.0016331343914079755+0.0156799334150233j),(-0.008551690694661546-0.0030566699869974097j),(0.004983979697176938+0.002159415082918907j),(-0.00387678249876071-0.004173691622416341j)
"(-1.7692307692307692, -3.0)",(0.010940315201986454-0.0009385276265576675j),(-0.00345394505944544+0.010731967987859484j),(-0.011890119530779831+0.005427261339205661j),(-0.007647549614486264+0.009308168528010889j),(0.007629470922810058+0.004841718580076537j),(-0.0035917217599914938-0.005046446270071871j),(0.004309133043678677+0.0030461261792728276j),(-0.007414183305748213-0.002822533213156771j),(0.0037470339419579403+0.014195414897803228j),(0.008698146962297768+0.01385332666740913j),(-0.008682690129174418+0.004187073675618641j),(0.005048040681806976-0.0024266011041836214j),(-0.005657445510052092+0.00012403274877697068j)
"(-1.6153846153846154, -3.0)",(0.007168326785538564-0.008168956288033498j),(0.004054824252592117+0.010391790248027619j),(-0.0069418835278370495+0.01115379893475625j),(-0.002536556157058445+0.012079925294778124j),(0.009251814398271515+0.0017396976222004386j),(-0.005115358025104133-0.003949152697995278j),(0.004956151210197316+0.0018863819364424372j),(-0.0075833539410982784-0.0004144850572413976j),(0.00929951726497975+0.010856823038427516j),(0.015627059203153493+0.006476427136067742j),(-0.0036605182883725396+0.009582790083075552j),(0.00167122587724679-0.00555153929082703j),(-0.003739090380655958+0.004200134389545155j)
"(-1.4615384615384615, -3.0)",(-0.00020808553107582763-0.010743159797647676j),(0.009426957535397271+0.00569080690066186j),(-2.1747640483304102e-05+0.01317719474088121j),(0.002991513452658708+0.012266720687053966j),(0.009683739655254176-0.001510339760121193j),(-0.006202240322341596-0.0026707406494522203j),(0.005282244078447485+0.000873586762855449j),(-0.00713010563966151+0.0013998040756773855j),(0.01231011093338386+0.006285883841329088j),(0.017156921391312176-0.00298976083932306j),(0.003766692336187168+0.010271571289075784j),(-0.002931859680024866-0.0052653573547359655j),(0.000386937891688741+0.005578417380512423j)
"(-1.3076923076923075, -3.0)",(-0.007090404801952227-0.007896001255705451j),(0.0108059071470887-0.0008992087268290456j),(0.006563026103316815+0.011436668254737395j),(0.007794143155512426+0.01026781104343858j),(0.009156449726013857-0.0044789661516405005j),(-0.006922264796252355-0.001410302420848834j),(0.005430751701908994+9.215365350647797e-05j),(-0.006461133846779903+0.0025744753807746858j),(0.013129716348092372+0.0019250161972957033j),(0.013847893166913343-0.011229037663599053j),(0.009977756627202024+0.006085723272513205j),(-0.006020482274101047-0.001833559532356827j),(0.004140208876957674+0.003720834573883268j)
"(-1.1538461538461537, -3.0)",(-0.01034323339037073-0.0016279258405062997j),(0.008295707035247263-0.006678419970181406j),(0.011142136019972682+0.007005104025695922j),(0.011203378908640942+0.006852422192157296j),(0.008004330875861276-0.0069294476627194896j),(-0.00738935300423341-0.0003078306706385568j),(0.005520311436414147-0.0004227679120989349j),(-0.005853818556592644+0.003193679328652606j),(0.012570364040197485-0.001430757989214353j),(0.007754032696046291-0.01638320062757529j),(0.012461199109319296-0.000928316996305449j),(-0.0059918248490151045+0.0027783041817383133j),(0.005549962944348738-4.187838280471866e-05j)
"(-1.0, -3.0)",(-0.009080632677404239+0.004906512049979257j),(0.003394497485657451-0.009863835328257232j),(0.013023758135462225+0.0014170998537120418j),(0.013039143113315554+0.002850631850561647j),(0.006567856437334039-0.008796296537920963j),(-0.007725150845409741+0.0005459707759840231j),(0.00563088571448121-0.0006557923770656631j),(-0.005454779792923154+0.0033699232984677613j),(0.011443531018240657-0.0035559004712798162j),(0.0011102112335099035-0.01824426811565701j),(0.010700185581971222-0.007996232618807863j),(-0.0030202922038706846+0.006277858950336028j),(0.004189385282092007-0.0036341082668619818j)
"(-0.8461538461538458, -3.0)",(-0.004492249324252587+0.009120392933137917j),(-0.001973743558193048-0.009996126220472584j),(0.012393551655950422-0.0039319060103634685j),(0.013487633980676303-0.0010584939973210864j),(0.00513616219497965-0.010132733934223374j),(-0.008033730729380944+0.001090664629220499j),(0.005798287094378056-0.0005904802480171548j),(-0.005307659665122954+0.0031856752846174583j),(0.010324988379776898-0.004555335173242465j),(-0.004517032118666065-0.017694768116909638j),(0.005832724399216761-0.013011480842770446j),(0.001420845916802399+0.007248323728567603j),(0.0010225193043587827-0.00546300339522008j)
"(-0.6923076923076921, -3.0)",(0.0012375496545665738+0.009931830686283758j),(-0.006272705608953849-0.007690084167182092j),(0.009971412241628983-0.008129170034323407j),(0.012934124312043408-0.004438362474331496j),(0.003926580567533986-0.011051867552309799j),(-0.008384464027312109+0.001276514278541707j),(0.006009674426266171-0.0002002184378981182j),(-0.005379437322597338+0.002673595806300852j),(0.00950683457382552-0.004639854411332332j),(-0.008438936597829514-0.015970496714216624j),(-0.000322800022090628-0.015172707511400034j),(0.005559610412250603+0.005570163851302857j),(-0.0024165759825084737-0.005040948449296691j)
"(-0.5384615384615383, -3.0)",(0.006094028659431987+0.007738352660817839j),(-0.008735236615381331-0.004072813235268767j),(0.006636437357137683-0.010815043524084075j),(0.011815389007870129-0.007089810636124393j),(0.003089246379379827-0.01167605351055975j),(-0.008798555392281473+0.0010506957476909776j),(0.006196796878634255+0.0005473009908357301j),(-0.005572899002923483+0.0018252572806539405j),(0.0090420049353816-0.003992568843840099j),(-0.010619668655211224-0.014132045953741899j),(-0.006174620439947694-0.014844838233803573j),(0.008157569682310902+0.002096870161386415j),(-0.0048600848197441855-0.002877444820045639j)
"(-0.3846153846153846, -3.0)",(0.008922090469351445+0.003788937697895392j),(-0.009330897064005635-0.0002510606586707834j),(0.0031541775920007633-0.012068635054719347j),(0.010522079836850445-0.008991351803476894j),(0.0027229399427616888-0.012099419936426409j),(-0.009235816199677031+0.0003542722071548067j),(0.006229171813799067+0.0016697936063142843j),(-0.005727676331961529+0.0006218489902475713j),(0.008806509174283932-0.002731239796792613j),(-0.01131744132731933-0.012840919852363072j),(-0.010810764908445247-0.013022010079993531j),(0.008825538298740348-0.001992043688367149j),(-0.005736223715909159+4.534251640170864e-05j)
