index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)"
"(0,)",(-0.00017785875562348168+0.023495356133598197j),(-0.00269873552400616+0.0018661396327772505j),(0.0022871899936777328+0.002192270661092278j),(-0.0033400697056041274-0.001953324578118299j),(0.00485637916089509-0.0013667449722121157j),(0.0007703554802453793+0.00640192360852179j),(-0.0061679695550988355+0.00451105373182181j),(-0.007813909294660925+0.002198778202113921j),(-0.006167969555098829+0.004511053731821811j),(0.0007703554802453794+0.006401923608521785j),(0.004856379160895085-0.001366744972212119j),(-0.003340069705604129-0.001953324578118289j),(0.0022871899936777363+0.002192270661092286j),(-0.0018391508928648041+0.0021507764306626697j)
"(1,)",(-0.00269873552400616+0.0018661396327772505j),(-0.002270737440767416+0.02101637536635706j),(-0.002071829787321638+0.002128595349009845j),(0.0016564095693110768+0.0014956249631696747j),(-0.002518715357584645-0.001357222158662779j),(0.003697914708140402-0.001202692668487399j),(0.0008297027303338212+0.005029905248524169j),(-0.0047746341661404935+0.003830007829031533j),(-0.006198724792153951+0.002046281991380855j),(-0.004774634166140497+0.0038300078290315204j),(0.0008297027303338181+0.005029905248524169j),(0.0036979147081404045-0.001202692668487399j),(-0.002518715357584641-0.0013572221586627868j),(0.0016564095693110698+0.001495624963169679j)
"(2,)",(0.0022871899936777328+0.002192270661092278j),(-0.002071829787321638+0.002128595349009845j),(-0.0022707374407674114+0.021016375366357046j),(-0.0020718297873216383+0.002128595349009847j),(0.001656409569311078+0.0014956249631696724j),(-0.0025187153575846415-0.0013572221586627816j),(0.0036979147081403992-0.0012026926684873948j),(0.0008297027303338186+0.00502990524852417j),(-0.0047746341661404935+0.0038300078290315217j),(-0.0061987247921539415+0.002046281991380846j),(-0.004774634166140495+0.0038300078290315256j),(0.00082970273033382+0.005029905248524171j),(0.0036979147081404058-0.0012026926684873855j),(-0.002518715357584637-0.0013572221586627866j)
"(3,)",(-0.0033400697056041274-0.001953324578118299j),(0.0016564095693110768+0.0014956249631696747j),(-0.0020718297873216383+0.002128595349009847j),(-0.0022707374407674136+0.021016375366357046j),(-0.0020718297873216396+0.0021285953490098462j),(0.0016564095693110772+0.0014956249631696756j),(-0.0025187153575846437-0.001357222158662778j),(0.0036979147081404045-0.0012026926684873974j),(0.0008297027303338199+0.005029905248524165j),(-0.0047746341661404875+0.0038300078290315243j),(-0.00619872479215395+0.0020462819913808525j),(-0.004774634166140498+0.0038300078290315308j),(0.0008297027303338134+0.005029905248524168j),(0.0036979147081404023-0.0012026926684873859j)
"(4,)",(0.00485637916089509-0.0013667449722121157j),(-0.002518715357584645-0.001357222158662779j),(0.001656409569311078+0.0014956249631696724j),(-0.0020718297873216396+0.0021285953490098462j),(-0.002270737440767403+0.02101637536635704j),(-0.002071829787321643+0.00212859534900984j),(0.0016564095693110794+0.0014956249631696752j),(-0.002518715357584646-0.0013572221586627845j),(0.0036979147081404027-0.0012026926684873917j),(0.0008297027303338198+0.0050299052485241625j),(-0.004774634166140497+0.003830007829031525j),(-0.006198724792153953+0.0020462819913808564j),(-0.004774634166140491+0.0038300078290315212j),(0.0008297027303338123+0.005029905248524169j)
"(5,)",(0.0007703554802453793+0.00640192360852179j),(0.003697914708140402-0.001202692668487399j),(-0.0025187153575846415-0.0013572221586627816j),(0.0016564095693110772+0.0014956249631696756j),(-0.002071829787321643+0.00212859534900984j),(-0.002270737440767408+0.021016375366357046j),(-0.002071829787321637+0.002128595349009849j),(0.0016564095693110809+0.001495624963169674j),(-0.0025187153575846406-0.0013572221586627803j),(0.0036979147081403953-0.0012026926684874002j),(0.0008297027303338271+0.005029905248524168j),(-0.004774634166140493+0.0038300078290315334j),(-0.0061987247921539415+0.002046281991380849j),(-0.004774634166140498+0.0038300078290315217j)
"(6,)",(-0.0061679695550988355+0.00451105373182181j),(0.0008297027303338212+0.005029905248524169j),(0.0036979147081403992-0.0012026926684873948j),(-0.0025187153575846437-0.001357222158662778j),(0.0016564095693110794+0.0014956249631696752j),(-0.002071829787321637+0.002128595349009849j),(-0.0022707374407674188+0.021016375366357046j),(-0.0020718297873216344+0.002128595349009846j),(0.0016564095693110729+0.0014956249631696721j),(-0.0025187153575846415-0.0013572221586627782j),(0.003697914708140405-0.0012026926684873963j),(0.0008297027303338216+0.00502990524852417j),(-0.004774634166140488+0.003830007829031525j),(-0.006198724792153951+0.0020462819913808507j)
"(7,)",(-0.007813909294660925+0.002198778202113921j),(-0.0047746341661404935+0.003830007829031533j),(0.0008297027303338186+0.00502990524852417j),(0.0036979147081404045-0.0012026926684873974j),(-0.002518715357584646-0.0013572221586627845j),(0.0016564095693110809+0.001495624963169674j),(-0.0020718297873216344+0.002128595349009846j),(-0.0022707374407674136+0.02101637536635704j),(-0.00207182978732164+0.002128595349009849j),(0.0016564095693110815+0.0014956249631696754j),(-0.002518715357584648-0.0013572221586627808j),(0.003697914708140403-0.0012026926684874004j),(0.0008297027303338254+0.005029905248524164j),(-0.0047746341661404935+0.0038300078290315295j)
"(8,)",(-0.006167969555098829+0.004511053731821811j),(-0.006198724792153951+0.002046281991380855j),(-0.0047746341661404935+0.0038300078290315217j),(0.0008297027303338199+0.005029905248524165j),(0.0036979147081404027-0.0012026926684873917j),(-0.0025187153575846406-0.0013572221586627803j),(0.0016564095693110729+0.0014956249631696721j),(-0.00207182978732164+0.002128595349009849j),(-0.002270737440767406+0.021016375366357056j),(-0.002071829787321647+0.0021285953490098415j),(0.0016564095693110768+0.001495624963169674j),(-0.0025187153575846437-0.00135722215866278j),(0.003697914708140396-0.0012026926684873995j),(0.0008297027303338244+0.005029905248524165j)
"(9,)",(0.0007703554802453794+0.006401923608521785j),(-0.004774634166140497+0.0038300078290315204j),(-0.0061987247921539415+0.002046281991380846j),(-0.0047746341661404875+0.0038300078290315243j),(0.0008297027303338198+0.0050299052485241625j),(0.0036979147081403953-0.0012026926684874002j),(-0.0025187153575846415-0.0013572221586627782j),(0.0016564095693110815+0.0014956249631696754j),(-0.002071829787321647+0.0021285953490098415j),(-0.002270737440767392+0.021016375366357042j),(-0.002071829787321648+0.002128595349009833j),(0.0016564095693110746+0.0014956249631696773j),(-0.0025187153575846467-0.0013572221586627797j),(0.0036979147081404036-0.001202692668487396j)
