index,value
"(0,)",(-0.7327565661466737-0.964440464897887j)
"(1,)",(-4.092446383910138+2.4339863702032734j)
"(2,)",(-3.8606065181570184+2.1622049400343486j)
"(3,)",(-0.567906408247866-0.8624884928279357j)
"(4,)",(1.7019512017702074+0.9331160227099888j)
"(5,)",(-0.19042154873046455-4.024312337745105j)
"(6,)",(-4.654803073724201+7.416750028491441j)
"(7,)",(8.24060476426486-5.403465273068959j)
"(8,)",(-11.05974617099271-4.199655291253459j)
"(9,)",(3.5206728002668664+14.973824809079131j)
"(10,)",(13.486366541092512+7.413053014249212j)
"(11,)",(13.623366435172763+7.338776049277646j)
"(12,)",(3.7363717537261447+14.826318713185557j)
"(13,)",(-11.078898066297407-4.238245615133016j)
"(14,)",(8.087200426474622-5.374892805011687j)
"(15,)",(-4.6858272288122995+7.480835613821362j)
"(16,)",(0.0559061402702814-4.250908515836243j)
"(17,)",(1.7615108744741037+0.986320713524953j)
