index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)"
"(-3.0, -3.0)",(0.009378159798351764+0.004846853173003078j),(-0.0025708983749982996+0.010332668633360135j),(-0.006610798235825384+0.009132049002678954j),(9.199023692172684e-05+0.010261281339668953j),(0.008262595580234032-0.0002998190146592563j),(-0.004955585870859456-0.004094162220724663j),(0.0036832849728904975+0.004290601539373977j),(-0.003896415036035951-0.00540795279016405j),(-0.0004529244360417434+0.00996540698557061j),(0.013020059711664185+0.004316371297080306j),(0.011359328186934047+0.006371043259729655j),(-0.004850380125983616+0.00752905586011492j),(0.0006953608343547156-0.00616597575474118j),(-0.00036725838541146416+0.005697314407736641j),(-0.0014325335637779047-0.006665342169156676j)
"(-2.8461538461538463, -3.0)",(0.009566270565230371-0.004463381083444953j),(0.0061749415570702465+0.008709640798854515j),(0.0019538169057152248+0.011233848730278013j),(0.007084708980491659+0.007728125915278433j),(0.006478909844993311-0.005523557980068852j),(-0.006599593116758371-0.00048651034488484996j),(0.005522001277801065+0.0015492335233751214j),(-0.006221562057371821-0.0022178475303486715j),(0.005747282590635368+0.00797095934162966j),(0.012448545115306055-0.005924356533395017j),(0.01262213225340977-0.004586335317353733j),(0.0032891738246126393+0.008708195035023979j),(-0.004834853881317497-0.004155401037938548j),(0.004560118433376476+0.0035268237694458036j),(-0.006261689248351906-0.002687214639883244j)
"(-2.6923076923076925, -3.0)",(0.0024519496418334208-0.010260114880608668j),(0.010631882617538916+0.0011683231090236956j),(0.009390796549984487+0.006680601542079963j),(0.01063441719377476+0.0012532657805986692j),(0.0019135036878374886-0.00855829490435979j),(-0.005935954111694536+0.003358796338737399j),(0.005596855918946962-0.0016212072469634937j),(-0.006381495142545177+0.0014644540683537888j),(0.009192529721051747+0.002963477593994911j),(0.005305949358629493-0.012761313529518627j),(0.005237213820938385-0.012814766739136198j),(0.009272605758145567+0.002819293125394771j),(-0.0063598595693075835+0.001615797720350871j),(0.0055540046986955515-0.0017557220429269378j),(-0.005853851314804664+0.0034754276785964097j)
"(-2.5384615384615383, -3.0)",(-0.006376142968857793-0.008385452384974438j),(0.008061326666821297-0.0070431506929937255j),(0.011521149891929233-0.001649593323046829j),(0.009195365107484055-0.0059120577831887995j),(-0.0035072001947037256-0.008326184229063862j),(-0.0033570965455024665+0.00618467669598754j),(0.004118405561280131-0.004268047329831464j),(-0.004728295695671178+0.004451684747434484j),(0.00909293751404976-0.0026499298280843906j),(-0.00413124946472851-0.013180867153227622j),(-0.0057916571849236905-0.013032481849985771j),(0.00835290578580111-0.005692093903283825j),(-0.002505301204143855+0.00628674886579499j),(0.001817708562584288-0.005602762828295946j),(-0.0007295516000272032+0.006759888883202622j)
"(-2.3846153846153846, -3.0)",(-0.010497242156906799-0.0005477256100081965j),(0.00046473554292654435-0.01069174596380639j),(0.007465612208435393-0.009064065498426272j),(0.0036652202530555833-0.01053486400109908j),(-0.007780269892589925-0.005110098414115931j),(0.0002162582192040878+0.007264784036665756j),(0.0016844815500206348-0.00580948153319487j),(-0.002067678871352586+0.006106856118049992j),(0.006204961254962862-0.006882841969087438j),(-0.011297651303810899-0.007852639154718063j),(-0.013642093311924923-0.005411783051986781j),(0.0010850070536117776-0.010503956661243428j),(0.0036307637607680115+0.005978769327759145j),(-0.0034748258815191268-0.004844549381829277j),(0.004893861137162083+0.004704045745883161j)
"(-2.230769230769231, -3.0)",(-0.007309033305323511+0.007510949191352668j),(-0.007254851218195822-0.007845963462143958j),(-0.00033506159867276197-0.011830424961174256j),(-0.0034074094661142446-0.01085058805847526j),(-0.009587721732328953-0.00018477918548215162j),(0.003757538698577294+0.00650614695158385j),(-0.0010178083483275977-0.006096758488840408j),(0.0007649730526829658+0.006363350764039831j),(0.0020193767394286965-0.008819614220402552j),(-0.013650946638187956+0.0001446550608757402j),(-0.014098465866572011+0.005350345462893002j),(-0.007453337115697912-0.008157100576701992j),(0.007194892835405464+0.0008672876542763815j),(-0.006038511217400897-0.0001760767305538063j),(0.006716824653658554-0.0008843195053635662j)
"(-2.0769230769230766, -3.0)",(0.0006323881679296478+0.010420970525368861j),(-0.010639656675131054-0.0005935206004108469j),(-0.007873396064671596-0.008941460768948552j),(-0.009192955100177286-0.007051709692481722j),(-0.00861012165107893+0.004838813662621058j),(0.006468366113527077+0.004309851226766154j),(-0.0034346251086402988-0.005316140265741086j),(0.0031741221164832373+0.005536296087094286j),(-0.0020554612409497052-0.008574373138932565j),(-0.011258454465166599+0.007427733987506613j),(-0.00749330869913323+0.013522858243160034j),(-0.011576547475286202-0.00019361568315003896j),(0.005441230730540104-0.005201478362052262j),(-0.003942857410315382+0.004692843704981793j),(0.003596133025959799-0.0057236471768770695j)
"(-1.923076923076923, -3.0)",(0.007960335945650413+0.006678400582325023j),(-0.008179007018627399+0.006760086900997012j),(-0.011782643365054747-0.0021476269395473233j),(-0.01176158181779537-0.0008310821106587031j),(-0.0053978147685735485+0.008616946818735642j),(0.00793695277344514+0.0013189227007397808j),(-0.005246596710213379-0.0038261902739465227j),(0.00488389202449391+0.0040850394301214414j),(-0.005152909545405874-0.006859358626742937j),(-0.005940039302222241+0.011860127729044028j),(0.0024213049389852606+0.015618260743614108j),(-0.008770670090733935+0.008402620924807319j),(-0.00039192893367408677-0.00783043529503631j),(0.0011286275857790098+0.006125419870514038j),(-0.0019847391560282156-0.006444290545015467j)
"(-1.7692307692307692, -3.0)",(0.010288012529305932-0.0009517096320159546j),(-0.0016554887268867445+0.010418903797526639j),(-0.010763402480271252+0.0053545982566541j),(-0.010611687585016131+0.005570244354314311j),(-0.0009823415115319779+0.010415074090961176j),(0.008129744005658674-0.001823431901090235j),(-0.006365461438969498-0.0020090367645493137j),(0.005884274336816869+0.002433435624780509j),(-0.007011326115000163-0.004513167058112051j),(7.28942550816465e-05+0.012980549420124268j),(0.011172257160958802+0.011589785952294618j),(-0.0008031479704729362+0.012726399009377136j),(-0.006312317316366469-0.0052178947456732825j),(0.00547088099684109+0.0032055246475788017j),(-0.006104202059377401-0.002823591755859974j)
"(-1.6153846153846154, -3.0)",(0.006704309232721445-0.0077713424954121086j),(0.005378089557073323+0.008984103411649607j),(-0.005727068867761214+0.010598251185933466j),(-0.0065119930831207306+0.010275038386541256j),(0.003550354971069274+0.01015093958203236j),(0.0072801874066405455-0.004632656655245272j),(-0.006871321860937359-0.00017541620828970397j),(0.006323817770220415+0.0008824318513175636j),(-0.007796170301039096-0.0021964806128378176j),(0.005132403273754841+0.011549691008501907j),(0.015848232300918037+0.003904542372986293j),(0.007993102377904732+0.010743325938302406j),(-0.008530623124078885+0.0009246998995992607j),(0.006172752889014725-0.001934597103819417j),(-0.006223201727594136+0.0025047059311681568j)
