index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)"
"(-3.0, -3.0)",(0.009023869668225392+0.004761315516504237j),(-0.0020570059373554613+0.009789797210468902j),(-0.006487571359276564+0.008388860462613047j),(-0.00205700593735546+0.009789797210468899j),(0.007649385662663292+0.0037868778290757006j),(-0.0003305812593708344-0.00694301449917673j),(-0.0025794934483060563+0.005386874476445501j),(0.00392261823964823-0.004758871361697819j),(-0.0073977914908932+0.0031508806416345636j),(0.007401014347725512+0.008609024921620245j),(0.0130937041397107+0.002422247601026151j),(0.007401014347725551+0.008609024921620231j),(-0.007397791490893203+0.003150880641634588j),(0.003922618239648211-0.00475887136169782j),(-0.0025794934483060633+0.0053868744764455365j),(-0.00033058125937087513-0.006943014499176705j)
"(-2.8461538461538463, -3.0)",(0.009293133486352224-0.0042463233453795j),(0.006133831682477451+0.007944435103875734j),(0.0015864119157564087+0.010594966995236642j),(0.005220535015277806+0.0087506877780071j),(0.00853674496942052-0.0019490628103708036j),(-0.00448519836205903-0.005562880507608179j),(0.0009000316829746403+0.0060257838107791745j),(0.0006095856121785055-0.00614957662247904j),(-0.004067709900110649+0.006824076075400141j),(0.011151438695097906+0.0017162521113728575j),(0.011021594567816904-0.007842380247699142j),(0.011737464123373844-0.0003094096247589422j),(-0.0018210893077631608+0.00812251936313216j),(-0.001783994232318836-0.006050664252277177j),(0.0030375024202918435+0.005204621730743978j),(-0.00585354095565172-0.0037623078175561225j)
"(-2.6923076923076925, -3.0)",(0.002450172643589533-0.00992802649739j),(0.01004143545586998+0.0006485525430864964j),(0.008717341372545078+0.006401654034880476j),(0.009884584733344855+0.0031532389111722193j),(0.005692061019342182-0.006950677471354619j),(-0.007047624785335159-0.0020922407819605263j),(0.004067086432895688+0.0047107837579218916j),(-0.002736146624058489-0.00556220997603169j),(0.00044369950627897326+0.00782942942553774j),(0.009702618357758054-0.005563936656050651j),(0.002464351729076629-0.01349461568522784j),(0.007645012380930151-0.00944248453821722j),(0.005624106417549133+0.006549015791900669j),(-0.006130236390331303-0.002043430906307581j),(0.006063559132286126+0.0004860154655789129j),(-0.006497152895228537+0.0025056879131159474j)
"(-2.5384615384615383, -3.0)",(-0.0061354768514515-0.00818364840216413j),(0.00725409297981344-0.00699775396686663j),(0.010809743606699016-0.001479394902179227j),(0.00975395974710985-0.004045079651789268j),(0.00047318952698830277-0.009205152460214657j),(-0.007260388173730097+0.0021371506259986782j),(0.006028287275985046+0.0020463923062965707j),(-0.005158141907828984-0.0034859088051503425j),(0.004441598321442426+0.006332612641615493j),(0.0044525844883350684-0.010121414196149993j),(-0.0073556200615535645-0.011772712093818522j),(-0.001971416181953077-0.012419260332744481j),(0.008957551032484997-0.00044277892662881107j),(-0.005375461144139982+0.003880759329683128j),(0.003966368781285486-0.004691953199692399j),(-0.0019057226617173843+0.006700764441440022j)
"(-2.3846153846153846, -3.0)",(-0.01020636221331882-0.0005957677857311512j),(-0.00010533656986114073-0.010085837750928939j),(0.006965277982399324-0.008509845934858536j),(0.005141891187616051-0.009429711334776353j),(-0.004996293237230528-0.008027669595402456j),(-0.0052566464187683536+0.005757183460900275j),(0.006427311652141698-0.0011020008911170848j),(-0.006221159618299752-0.000710023336112222j),(0.0068797087935143185+0.0032884494273496797j),(-0.001955173273379382-0.010723505218004878j),(-0.013346755422462914-0.004263696616739129j),(-0.010711309104923973-0.007392872431650721j),(0.005518947095790841-0.007528595544953782j),(-0.0001051092043582144+0.0068136877718875865j),(-0.0014295692124259365-0.006042562935968627j),(0.004125058226468625+0.005614700441967402j)
"(-2.230769230769231, -3.0)",(-0.007162406933627621+0.007279101316128456j),(-0.0072674228085726445-0.006989208331412613j),(-0.0004547479624137849-0.011063827468363579j),(-0.001678971431360646-0.010786899306863072j),(-0.008797559184757466-0.004079275855050835j),(-0.0018104103023055813+0.00782743076088801j),(0.005401272930753011-0.003945638928256993j),(-0.0059750507654738215+0.00202226770152967j),(0.007513039291331358-0.00017184723745613953j),(-0.007150944938226951-0.00797720557233857j),(-0.013222189648748458+0.004892386653710401j),(-0.013263863057807667+0.002319644888806919j),(-0.00223691420782049-0.00947362498036435j),(0.005478680751970003+0.0043858715359635075j),(-0.005732773143642894-0.0025653869676968274j),(0.006959270622202247+0.00029716362910343967j)
"(-2.0769230769230766, -3.0)",(0.0005675879498939574+0.010176818197877796j),(-0.010067345501532751+7.913330686722066e-05j),(-0.007549581198006694-0.008188380305909982j),(-0.007811008211617903-0.0078674300198396j),(-0.009874257031024972+0.0011515928139820394j),(0.0020650588828340405+0.008020429459556493j),(0.0033922405077944423-0.005974118175058251j),(-0.004770594062124246+0.0042155456186625875j),(0.0066871763014151415-0.0031846585067201918j),(-0.00990596220943154-0.003473541173454256j),(-0.007936125746808534+0.011696206644449486j),(-0.008490177524025016+0.011029937649100742j),(-0.008915404158555363-0.0048911701421467035j),(0.007076335915244237-0.0015451271221125617j),(-0.00564339893356678+0.0029299480793508583j),(0.0046772473202747545-0.005156990574788841j)
"(-1.923076923076923, -3.0)",(0.007759807155056296+0.006566338631629235j),(-0.007281048317068702+0.006912455809156123j),(-0.011067962247869767-0.0016377226661122716j),(-0.01104635101789658-0.0021164106280163724j),(-0.00819833155681666+0.006043876650908902j),(0.005477149501273109+0.006550856312036913j),(0.0009313357048233678-0.007002903879531836j),(-0.0030536543064379955+0.005667274434845241j),(0.005002249196385575-0.005321278885029383j),(-0.010188441768329426+0.0011678661662638775j),(-0.00032938621773335634+0.014107851138142809j),(0.0006621193794481301+0.014352568071600512j),(-0.010150944338930133+0.003193162186783775j),(0.0035221793202965873-0.006613465408122854j),(-0.0013576134582350607+0.006300333099994439j),(-0.000839006961919859-0.006906219198662495j)
"(-1.7692307692307692, -3.0)",(0.010089658968939865-0.0008971049742523109j),(-0.0008338645691016345+0.009963233742570014j),(-0.009817824434501124+0.0054397223642015935j),(-0.010578949622254002+0.004240262056127099j),(-0.0045259955443212214+0.009394182141667685j),(0.007862786463734138+0.003959492932817959j),(-0.0015242851987366983-0.007110850324213129j),(-0.001216477969324775+0.0064086484708190845j),(0.00303620384924674-0.006536810815363573j),(-0.008715749193667934+0.004883050799137067j),(0.00669615138734084+0.01232076731727615j),(0.00958401716354321+0.011277051062378786j),(-0.005285244199350174+0.009820456489647036j),(-0.0026696714328118746-0.0072980166276766616j),(0.003934466471674175+0.005225543905638568j),(-0.005683640483433246-0.0040010492265497325j)
"(-1.6153846153846154, -3.0)",(0.006609871215197004-0.007617210335367004j),(0.005768624293252967+0.00809713639477887j),(-0.004786069397629317+0.01017308625548178j),(-0.006977817710193159+0.009183197698262984j),(3.739186109532938e-05+0.010665528333400892j),(0.009031844220664761+0.0008740871598066303j),(-0.0036726254350668984-0.0065312784635941975j),(0.000471459895285839+0.0066067167983180535j),(0.0012013693007382723-0.007020237660650509j),(-0.006414215639729014+0.007287309347063542j),(0.01138004834817843+0.007916164851917807j),(0.014702560763977454+0.003854881616533336j),(0.002784559441368664+0.011365643810233842j),(-0.007412631614865207-0.003218242322036901j),(0.006620930498222226+0.0006125115238916061j),(-0.006805183054280258+0.0013809147238624856j)
