index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)"
"(-3.0, -3.0)",(0.008674990999156917+0.004666015232197576j),(-0.0015970785251175899+0.009304157482021966j),(-0.006216485963840167+0.00782027055307098j),(-0.003488609771639488+0.009000519701747799j),(0.005629202015665945+0.006490715488601615j),(0.004348699459258193-0.005850657868818326j),(-0.006230714862123363+0.0008751121941655116j),(0.005751517771557377+0.0018952353167352434j),(-0.004922747668187169-0.0049586099498096165j),(-0.001381527094595761+0.009181360917833377j),(0.010991242912036523+0.004642512886323601j),(0.011965676254371537+0.0030037168341879522j),(0.0027496702712387013+0.009615445955266439j),(-0.007326849982935858-0.001295567465341636j),(0.00575350199335-0.0022118066580949754j),(-0.004323400953223395+0.00436715253608781j),(0.0006792141254789953-0.006959231853899974j)
"(-2.8461538461538463, -3.0)",(0.009013483442123753-0.004036456174062733j),(0.006091614456045284+0.007260366061705858j),(0.0014316532007409817+0.009981973023647814j),(0.003693721211224537+0.009088383977074893j),(0.0086764109455996+0.00138965898161291j),(-4.167889590788349e-05-0.007478780118710362j),(-0.004732112106984359+0.004357219072090899j),(0.0058966491344862515-0.0016272880173019847j),(-0.0068366662930047905-0.0012674391751358299j),(0.0045137233859787+0.00801490933756646j),(0.011263024274285013-0.00405414553723434j),(0.010502459648306756-0.007003375394733262j),(0.009594444042225392+0.003869069235099551j),(-0.005440241728888894+0.005409996946546313j),(0.0014095277040748343-0.006125056687213355j),(0.0011867680498898888+0.0060835160212001395j),(-0.005280078445187153-0.004609629399122338j)
"(-2.6923076923076925, -3.0)",(0.0024398366150611825-0.009591582042420733j),(0.009506195797115768+0.00019265318182764814j),(0.008207460368788779+0.006010489961627797j),(0.00897697141556581+0.004329229163134055j),(0.007818632191429855-0.0044298556590514435j),(-0.0044851060536250514-0.006229787169068933j),(-0.0016392103629657192+0.006375734658778235j),(0.0042035370699496375-0.004538589578532165j),(-0.006409466676135484+0.002608483544637453j),(0.008262700765414415+0.0038073112148027514j),(0.005882205761063008-0.010439213118667285j),(0.002260628035590103-0.012705765368850984j),(0.009378016353862387-0.0051761768837352j),(0.0012087318951827493+0.007831487178960546j),(-0.004317152857791502-0.004746491706435746j),(0.00571671867378853+0.002535423862201228j),(-0.0068547100237079375+0.0015327513414028163j)
"(-2.5384615384615383, -3.0)",(-0.00589311256229532-0.007970867551602999j),(0.006534443159611269-0.006939379100751618j),(0.010147515052446269-0.0014835868145111541j),(0.009768183136547428-0.0026450091200538183j),(0.0036255671491542732-0.008443494626948331j),(-0.007387255859579941-0.0027484105821172387j),(0.0019416408052243199+0.006458168011219964j),(0.001413690449557043-0.006102268463362191j),(-0.004183916814723371+0.005472726930560168j),(0.008874630040206747-0.0013897966251370214j),(-0.0019403739068385938-0.011805116738424893j),(-0.007441879497226599-0.010875021472790552j),(0.0022331654308336227-0.010873612785765858j),(0.0072162761256043826+0.003891128721795118j),(-0.006513734740124011+0.0007638887978932425j),(0.0054471753108641385-0.003189661373647964j),(-0.00291348191188946+0.0064053264513806475j)
"(-2.3846153846153846, -3.0)",(-0.00990219358077014-0.000639890441115067j),(-0.0005956127889049027-0.009528683389988642j),(0.00640347700999126-0.008106249518350149j),(0.005929248320355172-0.008385299031718158j),(-0.00203362827660724-0.009171078529546585j),(-0.007925477235809745+0.0016494698709379064j),(0.0049741769526040125+0.004803333291335253j),(-0.0016015738375492314-0.006145868016589896j),(-0.0011048484460893517+0.006771742731285572j),(0.006769695472790556-0.005707907805670999j),(-0.00853980189450123-0.00830231224392167j),(-0.013085543935115001-0.0030380300335078924j),(-0.006826771522619871-0.00926863079952196j),(0.0077990986139272085-0.0033739640913234533j),(-0.0033414637179846516+0.0058227515968341335j),(0.0006916289313685632-0.006336954382615491j),(0.003267412876905512+0.006244365761140477j)
"(-2.230769230769231, -3.0)",(-0.00700288473794077+0.007035600500217497j),(-0.00724664327216719-0.006226021165942407j),(-0.0006954926470294102-0.010373176653723762j),(-0.0005325288017513086-0.010400875590408445j),(-0.006983782379991361-0.006586465275046015j),(-0.006164351916643118+0.005581449577158637j),(0.006796788511124815+0.0020402573308904146j),(-0.004148345721484515-0.0049372996630395434j),(0.0019315730472484476+0.006560434812869935j),(0.00315270409455256-0.008125368758565338j),(-0.011633771973885584-0.0020893373850974415j),(-0.012138718966710824+0.006277056812896392j),(-0.011844782055710082-0.00152641622214618j),(0.002458931574720823-0.008474613610158365j),(0.0026414984574008346+0.00635605049660594j),(-0.004653401037445619-0.004453620604341566j),(0.00692114261549357+0.0013744309669484992j)
"(-2.0769230769230766, -3.0)",(0.0005004866645315961+0.009911403194753837j),(-0.009528496008697502+0.000651219940665812j),(-0.007347877320405982-0.007433839862354178j),(-0.0067343330133208534-0.008124116804534181j),(-0.009631553607075356-0.001836941209460311j),(-0.002821637737899529+0.008062989975116747j),(0.007208200324406637-0.0010787575874435524j),(-0.005850195224628603-0.00296207319502991j),(0.004339088001927977+0.005265875619075547j),(-0.0007015147996150084-0.00853828308577597j),(-0.010902247446271577+0.004218644552913282j),(-0.0057699130671689395+0.012607117600960458j),(-0.009890224300632315+0.007465787740520029j),(-0.004971566884589364-0.00771805723414476j),(0.006789577386444212+0.001969781988456841j),(-0.0064540840765762875+0.00087418564089397j),(0.0054968791774266225-0.00443530381847753j)
"(-1.923076923076923, -3.0)",(0.007537723747256676+0.006440276505002887j),(-0.006476489799291524+0.0070004509026332425j),(-0.010441269095054473-0.0010783138444406266j),(-0.010309394768890331-0.0027953942369698657j),(-0.009405234633879638+0.0034220725355931726j),(0.001119595111234508+0.00870251244260178j),(0.006382024865394126-0.003921761386952554j),(-0.0066389639786809725-0.0007174125419560466j),(0.005894441582251675+0.003422804399496983j),(-0.003906950735332348-0.007449786705585682j),(-0.007466914392236349+0.008772035463664484j),(0.0026476273984505456+0.013768635908822303j),(-0.0023802035812356148+0.012631367787413224j),(-0.009427855969433255-0.0016419003014888098j),(0.0060470310044907155-0.004044974734559187j),(-0.0034892045709694064+0.005591837103816447j),(0.00025610525767333326-0.007063591834702622j)
"(-1.7692307692307692, -3.0)",(0.009862145600458151-0.0008345650013233206j),(-0.00013383074742584754+0.00951044663405512j),(-0.00892250483154435+0.005588416805504886j),(-0.01025046641355964+0.0034026212705605486j),(-0.00670125761696692+0.007699944449380969j),(0.004764865036905233+0.0076465848810610675j),(0.004701643693005307-0.006101020735276925j),(-0.0066610322311651095+0.0014161220990336217j),(0.006654800425681444+0.001488092374066177j),(-0.006091320745062285-0.005569969839862267j),(-0.0029424021457572173+0.010920126443834006j),(0.009726437976369991+0.010240585671260594j),(0.006511232357639629+0.011621919900064443j),(-0.008123536733521761+0.005820578253841992j),(0.0010066554984091182-0.0074349427558652965j),(0.001964157171015717+0.006381414743948424j),(-0.005064881262156226-0.004935566043824573j)
"(-1.6153846153846154, -3.0)",(0.006498638945720138-0.007432528495677189j),(0.0060537284111328565+0.007287061337365039j),(-0.003874024491405951+0.00980754284127734j),(-0.006985545954552586+0.008376114965217844j),(-0.0025096884201504855+0.010093242161499127j),(0.00752078055164007+0.005380052757725713j),(0.002597927007758934-0.007484832341377292j),(-0.006164720441547045+0.0032184849411613426j),(0.006829564325158-0.0002384465858166273j),(-0.007289403951098036-0.003523715143368727j),(0.0013309599820896577+0.010981706914699256j),(0.013548292097577016+0.00412445539846477j),(0.012650292169450027+0.005478721223243216j),(-0.0019820135235143186+0.010263895709932497j),(-0.004899679534904589-0.006011549895258399j),(0.006127037479545295+0.0028835975777139634j),(-0.007069408062341285+0.0002767117865918913j)
