index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)"
"(-3.0, -3.0)",(0.008337362592314497+0.004563457517464295j),(-0.0011891001903248503+0.008863125173999137j),(-0.005870970556258446+0.007382334678162951j),(-0.0043708555759844414+0.008166743863246707j),(0.003285407047938633+0.007845449933105968j),(0.006978862204350331-0.0026568758928380426j),(-0.0050167801950349875-0.004202858261564144j),(0.0011289889946902696+0.0059971351275550505j),(0.002393753491348901-0.00600356793495385j),(-0.0072496377057343605+0.003099962343319411j),(0.005572390007104541+0.008490963757296162j),(0.011651286133246931+0.0020423103487155073j),(0.010086376439101027+0.004878068083385444j),(-0.0017306260693979952+0.008801780864518612j),(-0.005282860065623317-0.00464428097293616j),(0.006136953125390618+0.000568346897604067j),(-0.005488810542930394+0.0029740302208728377j),(0.0015592847262932866-0.006790715974273529j)
"(-2.8461538461538463, -3.0)",(0.008733186604967446-0.003837695579232727j),(0.0060422891810294945+0.006647070490522942j),(0.0014089828679928376+0.009411337201284046j),(0.002543868813176708+0.009047023640458604j),(0.007758410443459112+0.003885882117783349j),(0.003989227939408054-0.006521316011399383j),(-0.006670970419208274-0.0005457336678539234j),(0.004341859132328906+0.004417823000658288j),(-0.0013710905453249108-0.006332250571485973j),(-0.004012004069299794+0.006725149658652078j),(0.009685295780906903+0.0029326215347885054j),(0.009832066789346247-0.0068207438572303524j),(0.010550888010032552-0.004605074946962622j),(0.006192962062198268+0.006893414185856289j),(-0.007014765938086189+0.0017428082530872213j),(0.00396675941660486-0.004856260204533274j),(-0.000647129633454149+0.00626263979480659j),(-0.004627306863367631-0.005241743025954841j)
"(-2.6923076923076925, -3.0)",(0.0024210656420472843-0.009258596387916856j),(0.009015718375332207-0.00020389080994720813j),(0.007813682362311595+0.005569786332684989j),(0.0081199955266942+0.00499075662065897j),(0.008631963082888253-0.0019571152552116124j),(-0.0006534173516749799-0.007800778326931562j),(-0.005993337218070087+0.0033172640220474133j),(0.006120466097226233+0.001466931736934918j),(-0.0045288436428361145-0.004660855579431998j),(0.00042355393466716454+0.007760295073117175j),(0.009393643106040002-0.0036086023108004737j),(0.0025830916356168153-0.011804927550814047j),(0.0037498016868213416-0.011216554783816007j),(0.009562522701841691-0.000646750078222173j),(-0.002745225234728528+0.006913023187445872j),(-0.001766169724266434-0.006136414641892268j),(0.004796584978956175+0.004163137087662578j),(-0.0069873290098019965+0.0006208451151720654j)
"(-2.5384615384615383, -3.0)",(-0.005655936282785668-0.007752311335375586j),(0.005891462901259679-0.006865976331430596j),(0.009538329935622585-0.001587529410516866j),(0.009516768965304285-0.001666359543461995j),(0.005706760910202439-0.006993554164032636j),(-0.005098656662395535-0.0061871050479111595j),(-0.0034139686236167276+0.0061286208299266625j),(0.006134305050177596-0.0018307485713439764j),(-0.0062714368900432145-0.001795856928564014j),(0.004402744012392902+0.006327184506197646j),(0.005484536007327371-0.008344263429868746j),(-0.005829841482598421-0.010691843613675216j),(-0.00567067071970543-0.010739706340330921j),(0.005756845315054078-0.008084094132880923j),(0.004033797460294865+0.0065192862567405325j),(-0.006137280085820291-0.002169717356240353j),(0.006239329741821454-0.0014650639976621282j),(-0.0037361885058825174+0.005962026595051967j)
"(-2.3846153846153846, -3.0)",(-0.009593884130776904-0.0006775911934013257j),(-0.0010143757990676659-0.009012658916025337j),(0.005827235135358792-0.0078007194896374124j),(0.006271377166476462-0.007515085390762882j),(0.0004253212982539402-0.009192558358004614j),(-0.00783467227016268-0.0024594546008766495j),(0.00012303826113306971+0.007187823882791405j),(0.004634087298046004-0.0045841106762086435j),(-0.006419676207455955+0.0013210271588632084j),(0.006877039997434728+0.0033314795446422836j),(3.425815964194545e-06-0.009886250874502543j),(-0.011301444363446747-0.004706532500938676j),(-0.011876054183317794-0.003776525152135951j),(-0.0024564378527122143-0.009990050300958758j),(0.007872056430937486+0.0008196963936666865j),(-0.0055021510200348005+0.0037235145295071792j),(0.0025759593690722724-0.0059346884079633285j),(0.0024031557108044927+0.006633370812818503j)
"(-2.230769230769231, -3.0)",(-0.006834649902628024+0.0067899319753876005j),(-0.007195902296307545-0.005544987113962501j),(-0.0009924973569692727-0.009746326842729598j),(0.00016998056202186963-0.009907990330634149j),(-0.005023633243512425-0.007918604390413768j),(-0.008162519453133867+0.0020270191642483373j),(0.0035931094271545554+0.0064353665411242275j),(0.0022028868797086556-0.006268439715672181j),(-0.005272850752971099+0.003955975460074212j),(0.007572061642255892-0.00012343023249985281j),(-0.004987973270004497-0.008395903711363194j),(-0.011916957133523906+0.002930587083790379j),(-0.011586030349146187+0.005376130478112462j),(-0.009381811631788585-0.005091353197986108j),(0.005773974943681512-0.0058017033453401055j),(-0.00039910222122573194+0.006777627500755771j),(-0.0031604017397944078-0.005718414609298799j),(0.006686098881662619+0.0023064233352198342j)
"(-2.0769230769230766, -3.0)",(0.00043595871241425884+0.009634882899411638j),(-0.009019951899535144+0.0011354222953658176j),(-0.007213380388627027-0.006704163412486703j),(-0.005954045219375373-0.008064418841774324j),(-0.008713383969051339-0.003911381457381122j),(-0.006244408703895726+0.005931764415114025j),(0.006221028217611348+0.004295363641097881j),(-0.0005156773430636243-0.006760008699121931j),(-0.003353011096613729+0.005728381157552282j),(0.0068003063875099815-0.0031745395028093338j),(-0.008223468839617413-0.0050013272115490585j),(-0.008259134868155937+0.009063228077703175j),(-0.00547871997153237+0.011865370597522847j),(-0.01057366419633491+0.003323963386881774j),(-0.0007164991098603767-0.008450327573007886j),(0.005167152071979278+0.004645356396060841j),(-0.006507262037036603-0.001112762805422777j),(0.006075774752303026-0.003651093100994145j)
"(-1.923076923076923, -3.0)",(0.0073057596142805685+0.006303655979713297j),(-0.005754999556063185+0.007034541336501949j),(-0.009875305815609737-0.0005175650929710805j),(-0.009653385852604264-0.0030738823735239522j),(-0.009636145292603735+0.0012802663123511482j),(-0.0028363734099427006+0.008348504367309011j),(0.007626218144462756+0.0014144864288882814j),(-0.0030104106640110643-0.0062360344301971874j),(-0.0011789414131061565+0.006587503288192613j),(0.005141282234904897-0.005375956187825893j),(-0.009408497586173929-0.0010350904758139512j),(-0.002395091910835912+0.011970343415487004j),(0.003022754725964917+0.012996033437819762j),(-0.005507726453428698+0.010111815559720403j),(-0.007032204251369913-0.005295711006373672j),(0.007049483110621686-0.0010161011599388438j),(-0.005072656728531481+0.004338167152099738j),(0.0012420076875339155-0.006992979263334431j)
"(-1.7692307692307692, -3.0)",(0.009616792135536373-0.0007706159029866318j),(0.000460838348725049+0.009064763588299433j),(-0.008080894137032918+0.0057515842866102266j),(-0.00980036993566412+0.002926613814524204j),(-0.007838850256081954+0.006022720769217706j),(0.0010962331139492759+0.008955577444492071j),(0.007800896296100826-0.0015781952015369322j),(-0.004985129976846689-0.005026168074012966j),(0.0008656462863015964+0.006700849109439342j),(0.0031689325868207215-0.006661468379826007j),(-0.008946886889182793+0.002499788587287314j),(0.0034708220169901573+0.011597286488767851j),(0.010137888964286846+0.009040578850575496j),(0.002731579921713977+0.011646928869796404j),(-0.009030643994527762+0.0015055903302202019j),(0.003987496237117028-0.006131015912182647j),(-5.461606190331781e-05+0.006753331658328644j),(-0.0043457192847452366-0.0056336185203540315j)
"(-1.6153846153846154, -3.0)",(0.006374280116274218-0.0072307448014076j),(0.006251828139079146+0.006548555785769521j),(-0.0030160368563595936+0.009467398765770352j),(-0.006736439368181095+0.007809767211982939j),(-0.004141932714161913+0.009148889495470179j),(0.00470741003375698+0.007935541273099101j),(0.006990802880362196-0.00422170738990602j),(-0.006350863179885015-0.0034818188108116667j),(0.0025685905101378863+0.006329957516507501j),(0.001303712321693066-0.007204363050423721j),(-0.00752938337319977+0.005112861823939013j),(0.007896868922878867+0.008974090954510254j),(0.013589580941745814+0.0022761652590940302j),(0.009859702010837941+0.007558696977445826j),(-0.0056094839496798185+0.007715262645224757j),(-0.0018406154848922436-0.00729606712967382j),(0.005015604894246608+0.004649984615356601j),(-0.007087986470838352-0.0007392450741933905j)
"(-1.4615384615384615, -3.0)",(-0.0001959760343213557-0.009622100814324274j),(0.00895049477556428+0.0011149710478351306j),(0.003000729741288039+0.009476258981681323j),(-0.0017986133143620226+0.01022931737149752j),(0.0003207373283335314+0.010185984568715726j),(0.007454484930191051+0.0057723965908759705j),(0.005553014853873368-0.006273307135708384j),(-0.007168544272528273-0.0018946119244155615j),(0.003862510206825027+0.005737732015891008j),(-0.00021856163688705786-0.007271121499554854j),(-0.005811267035149739+0.006746989635140932j),(0.010425615107578836+0.0054255811438304845j),(0.013121379189029503-0.004638310225357011j),(0.012886951157121547+0.000195890686286155j),(0.0010979534731131156+0.009894893496132292j),(-0.0066924589108951545-0.00392400121309526j),(0.006922553316335702-0.00039723858679386156j),(-0.005546040029988591+0.004492438958412814j)
"(-1.3076923076923075, -3.0)",(-0.006445172217651344-0.007117635340099771j),(0.007733217076300079-0.004552932770009361j),(0.007723734845799086+0.0062393833412034425j),(0.0033932174415692916+0.009877345409547577j),(0.004516902788595841+0.0092878337939391j),(0.009133175299477997+0.0030358081767823783j),(0.0038416229973608695-0.007684391843505907j),(-0.007579827650024665-0.00046570710958779077j),(0.0047716292547183275+0.0051392562058510125j),(-0.0013076854996009499-0.007118608344963599j),(-0.004257690104021866+0.007592071561329377j),(0.011327797986804335+0.0020132781810467916j),(0.009902562330984018-0.009876569041807969j),(0.011228238878667893-0.007213949505869605j),(0.0075184429646173055+0.007193805080915156j),(-0.00780699691203061+0.0018209925050731305j),(0.004734029231347715-0.005208709126668088j),(-0.0009448773443467645+0.00708542607821466j)
