index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(-3.0, -3.0)",(0.007707182891322739+0.004346230783171011j),(-0.0005125553186437793+0.008084041421146108j),(-0.005106755987641823+0.006762267401372173j),(-0.005106755987641816+0.00676226740137218j),(-0.0005125553186437768+0.008084041421146108j),(0.006566648204882084+0.0035687528995861483j),(0.002907597171880324-0.006137758042396966j),(-0.00627159085310805+2.3414029780579112e-05j),(0.003929428060128179+0.00469177549485826j),(0.0008507203391012573-0.006470124518747769j),(-0.0069905588479952825+0.0030238695901553744j),(0.004112482712679234+0.008261400688327765j),(0.010303420304415799+0.0023181702516098155j),(0.010303420304415804+0.002318170251609819j),(0.004112482712679234+0.008261400688327758j),(-0.006990558847995266+0.0030238695901553857j),(0.0008507203391012649-0.006470124518747768j),(0.003929428060128162+0.00469177549485827j),(-0.006271590853108057+2.3414029780568558e-05j),(0.002907597171880304-0.00613775804239697j)
"(-2.8461538461538463, -3.0)",(0.008186381720150314-0.0034787616677136365j),(0.0059159500429585045+0.0055989145238476146j),(0.0015669552427185031+0.008400326399385956j),(0.0011576125420447014+0.008499759669133572j),(0.005101772610384914+0.006462576289157269j),(0.007492253346951401-0.001400150817367958j),(-0.0013541698712812016-0.006801105030849578j),(-0.005239239799624296+0.0036562311693401827j),(0.005943868072864313+0.001742520957418966j),(-0.0029268587636496484-0.005855463884947251j),(-0.0038703057436153326+0.006531871140654936j),(0.008407861201710522+0.0037760456594143044j),(0.009138802854521337-0.0054893347432652196j),(0.008800843882593995-0.006256846791645658j),(0.009304953502988851+0.0019299272160678666j),(-0.0016572750872992001+0.00765770518735161j),(-0.004977593338784386-0.004441353256579513j),(0.006176010210706601-0.0006468123454076007j),(-0.0035671274058790992+0.005224709497999648j),(-0.0032969172702367773-0.0059786874804683325j)
"(-2.6923076923076925, -3.0)",(0.002362846640008512-0.008620970822031759j),(0.00814328135990077-0.0008423561251858901j),(0.007240956506030827+0.004664162469109338j),(0.006790890772076267+0.005406989273903697j),(0.00821294134340284+0.0016002175059228298j),(0.005169215805165198-0.00580535731816407j),(-0.005123928651869227-0.00488995261199435j),(-0.0024490465335851265+0.006034254056630324j),(0.006045031045086825-0.0016780172914016478j),(-0.005606834236478786-0.0034224849420072855j),(0.00042576678996034855+0.007551408656983431j),(0.008950363819801768-0.0020870617865063885j),(0.003174912067016747-0.010264024584929074j),(0.0015471194446668771-0.010925855808700303j),(0.007625833447051935-0.006143276207806101j),(0.0053154253299016385+0.006071870507117008j),(-0.00664671044315214+0.0015582137626689039j),(0.003029399823221586-0.005529518615268055j),(0.002228140881387173+0.005980870027452533j),(-0.006801330631892116-0.0009120014463820824j)
"(-2.5384615384615383, -3.0)",(-0.00521069070951132-0.007313589106693746j),(0.0047995640513168614-0.006678152372500196j),(0.008460769098078602-0.0019246541789728294j),(0.008758432627009333-0.0006161116177592224j),(0.007480663750832672-0.004037629057623986j),(0.0007464116077064549-0.007891763641370094j),(-0.0071216732623943756-0.0012811574787842974j),(0.0010532149949827596+0.006557971628482237j),(0.00446484499206034-0.004527998498780003j),(-0.006592222659655894-0.00017134965715264562j),(0.004304975568584941+0.006178222230982737j),(0.006094623825307774-0.006822742560911364j),(-0.004153192260915651-0.00997705801405812j),(-0.0067399215329787075-0.009029034875000959j),(0.00034606717561223545-0.010090724097397025j),(0.008306728395754713-0.000509609149497607j),(-0.0027077121791483734+0.006449507987432507j),(-0.0027868056513234607-0.0057682187934655045j),(0.0062034547850185725+0.0017302777668819103j),(-0.0048713272373406185+0.00488067814018045j)
"(-2.3846153846153846, -3.0)",(-0.008987900707479238-0.0007320374195113506j),(-0.0016712293462785134-0.008085525229915404j),(0.004718855245188267-0.007351709615851244j),(0.006239249870163635-0.006313068600021846j),(0.00346132598772603-0.007908626972590089j),(-0.003960958853056629-0.007045477720935053j),(-0.006876149917247969+0.002717762819737249j),(0.0042155821615047755+0.005307522023296557j),(0.001862108490649831-0.0061761350610264895j),(-0.005944734519974526+0.0029212350935233136j),(0.006742350827648944+0.0032700697200152224j),(0.0014319208027466454-0.008976918929375022j),(-0.009408833823608931-0.005396333703397005j),(-0.011303053963252515-0.002069858731174295j),(-0.007449109453113513-0.00727831030387467j),(0.00497933237693679-0.007004631248758599j),(0.0036154503906867057+0.00619885714036457j),(-0.006402958534714892-0.0011976809602461292j),(0.005153218903690475-0.003961563843703908j),(0.0008302366905726993+0.006877970502425806j)
"(-2.230769230769231, -3.0)",(-0.006486398729950459+0.006313334115548148j),(-0.007023467612134297-0.004391829165564952j),(-0.0016178106673865105-0.008638954348404133j),(0.0007290625031099031-0.008937620681078617j),(-0.0019580789112939203-0.008541327023270718j),(-0.0073068316250830476-0.003807099269391846j),(-0.0046987728341393725+0.005916790490037784j),(0.006313026639216636+0.0028342398939708406j),(-0.0010096751586784625-0.0064706577524799615j),(-0.0041486601378746745+0.0052066815424663656j),(0.007453700173601606-0.00011039575756426847j),(-0.0032419455522530744-0.008413369398734081j),(-0.010812565480454912+0.0010020966636458645j),(-0.010094050998430044+0.005917940764074566j),(-0.0107405485045636+0.0002923451752389785j),(-0.0021946525155843314-0.008611127048985786j),(0.0073034928755184424+0.0010057379984189845j),(-0.004923121048271794+0.004439906313033766j),(2.7397719959120135e-05-0.006561877142791818j),(0.005886540374096621+0.0037110574691843656j)
"(-2.0769230769230766, -3.0)",(0.0003224449843826998+0.009075690525304568j),(-0.008087628428631968+0.0018863116319701011j),(-0.00702346368216786-0.00536131007260443j),(-0.005054996864565921-0.007510258344098711j),(-0.006598395599141435-0.005957044557560668j),(-0.008376168639809018+0.0005735236473683619j),(-0.0013867204541453272+0.007595225484881035j),(0.007066621125935764-0.0001383594129455082j),(-0.0035497696374389015-0.005627912970270927j),(-0.0018187403037975213+0.006444543611901464j),(0.006726029003286113-0.003120033398993337j),(-0.0066804211101300325-0.005921368143214968j),(-0.008568863383272033+0.006640845530769864j),(-0.004300862803340303+0.011085623356025663j),(-0.007766291900858683+0.007907938761393474j),(-0.00815801914838878-0.004253628461139002j),(0.005564178850597315-0.005155262447022055j),(0.00042440451514216815+0.006740196717283924j),(-0.005146334896128199-0.004174431272310877j),(0.006659515007060321-0.0021174166204243118j)
"(-1.923076923076923, -3.0)",(0.006840156240142144+0.006012048201408963j),(-0.004526691049742685+0.006979858065732024j),(-0.008860166045241868+0.0005160786501274016j),(-0.008638372461118938-0.0029616534890957304j),(-0.008908555349082156-0.0013605093870470552j),(-0.007124664527562601+0.004729025584164203j),(0.0021482130034198225+0.0075903302577196765j),(0.006583206118787236-0.0029678248303290833j),(-0.005420338410806275-0.004048852660095613j),(0.000519348987322137+0.00672097254356359j),(0.005114370312892912-0.0053131844790149825j),(-0.008431992648005085-0.002598754918126205j),(-0.0041500498849963855+0.009959990736478385j),(0.003042665679028568+0.011662733680146354j),(-0.0005350162585771897+0.011415757651941643j),(-0.009022689415562082+0.003088840488553278j),(-0.0002828086045071535-0.007811534053318822j),(0.00556912649994158+0.004052308533962592j),(-0.006570570883890453+0.0012804862019716824j),(0.002809602410781878-0.006428806869391239j)
"(-1.7692307692307692, -3.0)",(0.009103956924999225-0.0006507884420180869j),(0.0013904139084061626+0.00820958491826949j),(-0.006556939635408088+0.006027074486526928j),(-0.008817263735980446+0.0026364933442564104j),(-0.008402289543434995+0.0035674469496714007j),(-0.0041711655877251525+0.007639875859089895j),(0.005169490158925257+0.006180700744629156j),(0.0052024290521079175-0.0052333647590148726j),(-0.0065386248820555985-0.002152948424483993j),(0.0025312906601301127+0.006302924275976135j),(0.003177887052370178-0.006612961557520653j),(-0.008684520328663863+0.0006319620767370778j),(0.0007239679776493563+0.010679850074257586j),(0.008995650024702236+0.008212147720177917j),(0.0070371401128505985+0.009437327642315741j),(-0.004431366406129559+0.008848090891785863j),(-0.006159603922334026-0.005211333844657401j),(0.006852687690327146-0.001579677937828897j),(-0.0033956351574328195+0.005851675499670741j),(-0.0028573488629131684-0.0064367706837147294j)
"(-1.6153846153846154, -3.0)",(0.0061006939799625685-0.00680931794526524j),(0.006449090234857963+0.005265954689722013j),(-0.0015012820742003085+0.00880063355069012j),(-0.005884390799322407+0.007156236787473822j),(-0.005571723819176537+0.0073679000029320514j),(-0.0004310092206712763+0.008843120682647906j),(0.00725639687981627+0.0038763544750811422j),(0.003335571417051735-0.00676327801030197j),(-0.007003272357459236-0.00027436827937152866j),(0.004077560045957541+0.005504618029556082j),(0.0013327291868806515-0.007179897549701651j),(-0.00794842722232447+0.003235534921068893j),(0.0048117495107504364+0.009426464921127625j),(0.011973051410833638+0.0026575837208042187j),(0.011605274917076917+0.0034520793073103866j),(0.0027853716708312855+0.009891802780599125j),(-0.00830101413636123+0.0008299300557750458j),(0.003538307224901616-0.006259185667455182j),(0.0020422779224138626+0.006529347079536437j),(-0.006648334224931836-0.0023985753243695503j)
