index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)"
"(-3.0, -3.0)",(0.004171135655860959+0.002634231157506678j),(0.001529559559853762+0.003947162408261937j),(-0.0005873011416329442+0.004210635664073191j),(-0.002070202994259067+0.0037303500921316585j),(-0.0028498367988139105+0.0031878700547331405j),(-0.0030819407201280223+0.0029689178136530522j),(-0.0028498367988139092+0.0031878700547331397j),(-0.0020702029942590663+0.0037303500921316572j),(-0.0005873011416329435+0.004210635664073193j),(0.00152955955985376+0.003947162408261927j),(0.003571068494129347+0.002237443058408078j),(0.0041090215316720744-0.0008565611376490944j),(0.001962154425762432-0.003698240069999426j),(-0.001962180248727431-0.003697274559337133j),(-0.00419779371561285-0.00010746977619620752j),(-0.0019427814010412026+0.0037590664071486136j),(0.0027018449090558407+0.0033281111045129347j),(0.004194021757547771-0.0012234436984221823j),(0.0005785201550988388-0.004442406648163342j),(-0.0038380352125684182-0.0025713914001307945j),(-0.004333723545380774+0.002026666456801391j),(-0.0011037165752251627+0.004838864327008687j),(0.0025993681944215374+0.004434341986892852j),(0.0047094396566301515+0.002415222762659661j),(0.0053569522947726055+0.0006563352746667004j),(0.00543419680597527+1.3676972603006107e-05j),(0.005356952294772619+0.0006563352746666922j),(0.004709439656630137+0.002415222762659655j),(0.0025993681944215382+0.004434341986892857j),(-0.0011037165752251668+0.004838864327008679j),(-0.004333723545380759+0.0020266664568013826j),(-0.0038380352125684247-0.0025713914001307793j),(0.0005785201550988307-0.004442406648163348j),(0.004194021757547767-0.0012234436984221763j),(0.0027018449090558186+0.0033281111045129308j),(-0.0019427814010411883+0.0037590664071486006j),(-0.00419779371561285-0.00010746977619620607j),(-0.0019621802487274536-0.003697274559337131j),(0.0019621544257624407-0.0036982400699994387j),(0.0041090215316720744-0.0008565611376490811j)
"(-2.8461538461538463, -3.0)",(0.004678180401662147-0.0017239857348267434j),(0.0040807961781775415+0.0012777632237259522j),(0.002890963896484589+0.003175078818813593j),(0.0014714084982141015+0.00405012239170611j),(0.00044088409464727103+0.0042968919475109965j),(1.3741703443735127e-05+0.004323760584682711j),(0.00022706087557327118+0.00431564168253216j),(0.0010661016823637734+0.0041793564683189725j),(0.0023998153011650122+0.0035674538026902293j),(0.0037670757985473796+0.002036509633673993j),(0.004232589761367821-0.0005164519477791034j),(0.002759376896005975-0.003229121706612288j),(-0.0006305244055943857-0.004189271602933464j),(-0.0037869550984104988-0.0018953626570082825j),(-0.00355647380448919+0.002321014450946928j),(0.0004942683999220474+0.004248451386823237j),(0.004133828235611065+0.0012886939504784317j),(0.0028435553837580273-0.003370279354035378j),(-0.002015473309561308-0.004044163314893614j),(-0.00465695203885736+6.550896724466488e-05j),(-0.0023519749303275213+0.004210454617660098j),(0.002069293596372858+0.004558181447752021j),(0.004862498702571372+0.0018166324373945907j),(0.005193086001812287-0.0013073731299703731j),(0.004393959566325951-0.003264172276123197j),(0.003852271718628181-0.003960708526527806j),(0.004137407685724479-0.0036226262186278865j),(0.0049687919959031995-0.0021174856162462508j),(0.005202855575158328+0.0006971361510268885j),(0.003296748964886635+0.003849974042183672j),(-0.000882513466964161+0.004802412741428701j),(-0.004382753748348034+0.0017254668135156573j),(-0.0034107611987636223-0.0030293315745326807j),(0.0013497249826040913-0.004232753515337378j),(0.004336078982402609-0.000389722623006487j),(0.0020510096269107853+0.003770346174227763j),(-0.0024985175077321354+0.0034438447398810698j),(-0.004204808042178355-0.0005219099431646371j),(-0.0018784165117950074-0.0037952269462883373j),(0.0017777058144600232-0.0038526580676937184j)
"(-2.6923076923076925, -3.0)",(0.001561780570727136-0.004790605047625176j),(0.003613632271596733-0.002366255384761869j),(0.0043348925468798235-0.00012899986706746435j),(0.004036186803248743+0.0016275329664813898j),(0.0034629995333435443+0.002653721279639278j),(0.0031102802293337777+0.0030670421429398356j),(0.0031795478764880354+0.0029937318499887347j),(0.0036352890438473774+0.002407161437269704j),(0.004190878680063391+0.0011568318540796352j),(0.004255838165438151-0.000806091970079614j),(0.0030713036420385083-0.0030294104140694686j),(0.000319149963480898-0.004285979914505013j),(-0.0029525179449789146-0.003107667920686494j),(-0.004249858734567227+0.0005408622549720036j),(-0.0017450877562330824+0.003924214558000651j),(0.002709982608978882+0.0033680659833121075j),(0.004235230933008991-0.001090318465628977j),(0.0006586869644623829-0.004401078564575405j),(-0.003880604492160889-0.002388014014405962j),(-0.003919763820443637+0.0025820138706539614j),(0.0003787754305249061+0.0048447452285621485j),(0.004351821888103941+0.0025542680786737153j),(0.005020391446709402-0.001495715013419449j),(0.0032264432000702332-0.004348421169136061j),(0.0011227136419041718-0.005433558255347525j),(-3.282296293313848e-07-0.005615478770141391j),(0.0002123799289505448-0.005598716528954329j),(0.0017110985601548874-0.0052404538139884235j),(0.003914311780599674-0.0036659422158668983j),(0.005172266479842834-0.00026247785534097665j),(0.003409566519091944+0.00363840380068439j),(-0.0011686549896736727+0.004660730464817572j),(-0.004521207044601361+0.0010765554789596032j),(-0.0027583931192496384-0.0035806677786885117j),(0.0021795905511476045-0.0038487363448185003j),(0.004328746644012245+0.0004768954293072099j),(0.001392330706892618+0.004080987499905149j),(-0.002915774339455212+0.003146464259585452j),(-0.004217096536900887-0.0007525178644645313j),(-0.0020089753030320913-0.0037898111896487487j)
"(-2.5384615384615383, -3.0)",(-0.0027590053354618494-0.004280113103636999j),(0.0005369574128203952-0.004329695310035041j),(0.0028060315808820305-0.0033625783337429753j),(0.003978846124871497-0.0018660722706979776j),(0.0043613093439140785-0.0006265324876445501j),(0.0044120841604242565+3.692501765759685e-05j),(0.0044120631327215+5.593644589716183e-05j),(0.00436952291014026-0.0005704156911431326j),(0.004018350247338361-0.0017813549376243618j),(0.00290425427106772-0.0032793918475492127j),(0.0006973925310198787-0.004307754825107538j),(-0.0022045399360571664-0.003747854927856147j),(-0.004223767849562531-0.0009835978281538154j),(-0.0033491248545601017+0.0027501029380987236j),(0.0005390984572874495+0.00430911853397314j),(0.0040820375765464436+0.0015566912675226779j),(0.00316509725043325-0.003080135697138756j),(-0.0016149086108116478-0.004189705547427186j),(-0.0045912340703746285-0.00014691849496649352j),(-0.0020915379305728532+0.004240932900178947j),(0.0028691795046570964+0.003964747258759335j),(0.005078325540151046-0.00022264687414202665j),(0.0032930930862403894-0.004130464648381493j),(-5.2832340330147864e-05-0.005470222651741567j),(-0.002637017047296043-0.004962761948701733j),(-0.0038389438057493176-0.004219111905930773j),(-0.0038708362017350357-0.00419326696061995j),(-0.002744742186631738-0.0049119821746460325j),(-0.00023898266467269156-0.005475357104153923j),(0.0031104702494460326-0.00428398872608345j),(0.005070372865217116-0.0004980535194430488j),(0.0031119123668749507+0.003790847563417714j),(-0.0018126859921091117+0.004377024408332316j),(-0.00459761952815969+0.00016608435158995349j),(-0.0019011847502742214-0.004073558295315731j),(0.0029516593890652775-0.003290020496957671j),(0.004176949752178174+0.0012877183190548676j),(0.000803220373465715+0.004268816135515722j),(-0.0031880847543080625+0.002935495722164746j),(-0.004267886928342599-0.0007673927378202157j)
"(-2.3846153846153846, -3.0)",(-0.0051051082399502495-0.0006493729283154738j),(-0.0029304365406733965-0.0032906451575453245j),(-0.0005851466070691514-0.004383331899393877j),(0.0014328343215505087-0.004199454439139072j),(0.0026957533119964655-0.0035391899176089644j),(0.0032868023086107825-0.0030086678275584146j),(0.0033848101048154665-0.0028999958435128098j),(0.003032009183142877-0.003260929269745306j),(0.0020946015469905646-0.003918219323072276j),(0.0004040033015786346-0.004410726693649586j),(-0.0018979572000001335-0.003984462148621786j),(-0.003938619940715967-0.0019574233229011253j),(-0.004158925262719388+0.0013954037071292108j),(-0.0015178239013139375+0.004111621027211688j),(0.0026025680605566864+0.003536031966867685j),(0.0043771447417936225-0.0005726352621468137j),(0.0013829819705578738-0.004239378174481935j),(-0.0033927771846316676-0.003001109167698724j),(-0.00417202807167993+0.002006933583040432j),(0.00014921820817359206+0.004759537347514647j),(0.004461913350283376+0.002087381727182039j),(0.004290668514496539-0.00278807656427649j),(0.0005681082190972649-0.005291968965987766j),(-0.003192681093609167-0.004505055452863353j),(-0.005170487491644298-0.002368634925871076j),(-0.005740512901561473-0.0007574288861771236j),(-0.00579353348388582-0.0004395692402168501j),(-0.00554020070199018-0.0015116697362601347j),(-0.0043121905528031934-0.003575834775324402j),(-0.0012884009277751012-0.005258578265572558j),(0.0028466900498128884-0.0043616245685736835j),(0.005006616626867533-0.00015331367982726122j),(0.0024610731942532786+0.0041580298555727625j),(-0.002646636162829861+0.0038657447884786838j),(-0.004481757252706754-0.000897078633367252j),(-0.0009052545178020229-0.004395161345698001j),(0.003583085515559558-0.002607938105107158j),(0.003929421261644605+0.0019775624695178963j),(0.0003463941208292799+0.0043708838569990905j),(-0.0033185802420004577+0.002864451826287074j)
"(-2.230769230769231, -3.0)",(-0.0038825781175577754+0.00345983454464674j),(-0.004449478610645304-4.5638197936992615e-05j),(-0.003610841998506227-0.002625651310032669j),(-0.0019683526194407756-0.0040235012689120225j),(-0.0004733806909209623-0.004466188675644077j),(0.00045649778216001-0.004475725063610267j),(0.0007355999115697966-0.004440854606769786j),(0.00036466914172444606-0.004483353888880793j),(-0.0006545492649810267-0.004441768986389892j),(-0.0022067832128391256-0.00389558804570614j),(-0.003805825833825841-0.002329981082213839j),(-0.00443094476149382+0.00038647382064119066j),(-0.002944377356466278+0.0033183938438056445j),(0.0006325564414348973+0.004386348656434796j),(0.003975194250863405+0.0019732665957968485j),(0.0037099911534512176-0.0024748347925298143j),(-0.0005851153913323469-0.0044633376497009766j),(-0.004383699321974979-0.00128561027043838j),(-0.0029456804165912567+0.0036167037234405472j),(0.0022044323535946966+0.004256280416834686j),(0.004953792475384321-0.00012372160649491254j),(0.0025000068127338268-0.004498975134906438j),(-0.0021549028843355265-0.00490488461140163j),(-0.005145048449628299-0.002126861105987722j),(-0.00565610260949088+0.0010303082982569228j),(-0.005067788017161647+0.00296648050232561j),(-0.00475411864090769+0.003513920029339521j),(-0.005156960766554821+0.002781914909441133j),(-0.005690260155089611+0.0006425275723136788j),(-0.004889889210848066-0.0026012604203961833j),(-0.0015372360860216668-0.005100593671648271j),(0.0030867683158975886-0.004082939359542455j),(0.004889840199961532+0.0006323933104593606j),(0.0014836762453235214+0.0045366374965894836j),(-0.00348889425928424+0.0030726388685225823j),(-0.0041041052265296885-0.0019810756860855457j),(0.00013282582556645013-0.004492266163253826j),(0.004038440551552839-0.0018822120032395934j),(0.0036555094065501745+0.002513567469733296j),(6.436119121261623e-05+0.004431346253028695j)
"(-2.0769230769230766, -3.0)",(-3.767401183148622e-05+0.005254688073105602j),(-0.003119246198817793+0.0032335539088852493j),(-0.004448472328686499+0.0007203052383730943j),(-0.00424173868311981-0.0015629498176343588j),(-0.003375660217179804-0.003024948636033545j),(-0.0025760500644310437-0.0037397334023598003j),(-0.0022179714959635424-0.003966581041100902j),(-0.002417838930746027-0.0038457447224455347j),(-0.0031140818943548513-0.003297588742897347j),(-0.004019802699056119-0.0020762787370371258j),(-0.004510561081608578-9.144633065705458e-06j),(-0.0037006213527376324+0.0025542778619852056j),(-0.0010535119780614502+0.004359702550668565j),(0.0025507309677825943+0.0036829064800708304j),(0.004483830424762301+9.551728721040761e-05j),(0.0024010338101896314-0.0038109845368086903j),(-0.002321233916593124-0.003905260160538521j),(-0.004577157950920465+0.0005149272380880623j),(-0.001334771142941106+0.004504364488692568j),(0.0037143837922940866+0.0030759034896949773j),(0.004505699486665008-0.0021250770965187903j),(0.00035032097775201194-0.005160897906949223j),(-0.004173763311144864-0.003405774478987265j),(-0.00556481107031071+0.0006829488385845959j),(-0.004274464117316405+0.0039269543476490795j),(-0.0024528018889306+0.005419181346754473j),(-0.0015650997740129465+0.005802617188181023j),(-0.0020639283193160185+0.005607978576901927j),(-0.003713453073472759+0.0045244135429119625j),(-0.0053747498330861095+0.0017981802526771816j),(-0.004946646798004349-0.0022903207954554166j),(-0.0011510646270993434-0.005104947181717393j),(0.0036572050755602345-0.003459266597178043j),(0.0045563903800079865+0.0017057959423090934j),(0.00024610240156260033+0.004724216071084159j),(-0.004168332251579329+0.0020143087126754285j),(-0.0034688867902820135-0.0029576301184783297j),(0.0011161579008210974-0.004373122239983129j),(0.004327125385226342-0.0011937885594080287j),(0.0034231767099408826+0.0028902549558152014j)
"(-1.923076923076923, -3.0)",(0.003839530625691645+0.003666734751475484j),(0.00011537635270199847+0.00453406025578884j),(-0.002725220547830928+0.003640576275591389j),(-0.004223184656728836+0.0017226510382448404j),(-0.004572305455382346-8.94065701269073e-05j),(-0.004394361417974529-0.0012983009092594998j),(-0.004201690726614645-0.00183918281599052j),(-0.004234529483901701-0.0017605143173088876j),(-0.004457785454873685-0.0010519288575850396j),(-0.004558351966400601+0.0003299775974795229j),(-0.003968085633564277+0.0022418272968936243j),(-0.002106855525559772+0.004026317742125508j),(0.0009775643305539184+0.004426346669075311j),(0.003886691892777137+0.0023215124589731394j),(0.004206709445401169-0.001682659395320799j),(0.000820620189510622-0.004473291792404631j),(-0.0035925005747686673-0.002846519168005702j),(-0.004147821524660138+0.0020853140949089136j),(0.0002922025403464533+0.004720807343759434j),(0.004575602759668293+0.0016075825073033514j),(0.0034612149826569313-0.003615120649676618j),(-0.001638256732010316-0.004929102608120606j),(-0.005223707165815408-0.0014101739713477514j),(-0.004702668551096266+0.003110956733590338j),(-0.0018170833695717197+0.005562562311676567j),(0.0008536650337984914+0.00595643915209268j),(0.002159398494880561+0.005708102867460391j),(0.0019672315330355006+0.0057633575817152925j),(0.00027605243697418643+0.005974731603718014j),(-0.002625124574573978+0.005171891896166826j),(-0.005179635166613704+0.0020753734575853313j),(-0.004680887202072355-0.002596815272292111j),(-0.0002515128707781654-0.005136212253348729j),(0.0043152716625209295-0.0024484412823965306j),(0.003866015845577878+0.002871117945822513j),(-0.0011215850430615583+0.004568686404277855j),(-0.004558993037771082+0.0007772804908701636j),(-0.0026401814268454285-0.0037330232289828624j),(0.001973261137441215-0.004090901363378785j),(0.004487988480401152-0.0006060292050664973j)
"(-1.7692307692307692, -3.0)",(0.005360567130431751-0.00016855588654592264j),(0.00327071370736695+0.0032026250626104092j),(0.0004670896414432031+0.004564043699278551j),(-0.0020716921152375022+0.00410750543954102j),(-0.0036249501820534826+0.002851971198244769j),(-0.00431390307943688+0.0016586063015922067j),(-0.004526806760422648+0.0009582337464105878j),(-0.004541603104775144+0.0008882506524923309j),(-0.004387339041635912+0.0014581332567521804j),(-0.003833889434647369+0.002568377314596387j),(-0.0024946371197258786+0.003868493143520671j),(-0.000144857055265971+0.004588206843384576j),(0.0027207480895293794+0.003683621144078984j),(0.004522413715147054+0.0006796349350499634j),(0.0033691387791845687-0.0030956863483832995j),(-0.000723419963913605-0.004532988206115195j),(-0.0043444965933142985-0.0015795069255267712j),(-0.003343526584639217+0.0032711006202870035j),(0.001696102478178549+0.004447462609726556j),(0.004871789002431829+0.00016397137280845048j),(0.002180402073089242-0.004527090276102307j),(-0.003178823800352985-0.004129171201270024j),(-0.00539976259076665+0.0005543209563113286j),(-0.0031002456718978977+0.004738412362754489j),(0.0008300919779322296+0.0058311720228060105j),(0.003709286316032349+0.00481365302220707j),(0.00498468799358254+0.0036673721350353188j),(0.005093343400561435+0.0035349162204258693j),(0.0041080548934987115+0.004520838395685297j),(0.0015889477785736433+0.005718306349370233j),(-0.002268787850099012+0.005243376096761724j),(-0.0052230359268035445+0.0016513694132514424j),(-0.004064508852001447-0.003331768271076667j),(0.0010309248724174698-0.004955903582617634j),(0.004787728952112659-0.0010609068830478273j),(0.002767220930761372+0.0038996961734805093j),(-0.00244661547026147+0.0040045379335842835j),(-0.004604025339755483-0.0005124728592522258j),(-0.0017116439769150544-0.004265045998500415j),(0.0026689542936532127-0.003718773154223491j)
"(-1.6153846153846154, -3.0)",(0.0037671740584795292-0.003892374509828286j),(0.004616949054825595+0.0001314546538791829j),(0.003388709285965393+0.0031505697643582752j),(0.0010287022681375998+0.004522866511088887j),(-0.001125785420583842+0.004511672336979552j),(-0.0025417932052681346+0.003905383906890241j),(-0.003246968489058984+0.003350707894073687j),(-0.0034138563289541385+0.0031829742308057676j),(-0.003105372244667168+0.0034805393217551836j),(-0.0022126828879556163+0.004097991983403101j),(-0.0005697989748862922+0.0046116924622294055j),(0.001734193902219863+0.004298299653104195j),(0.003935186856549064+0.0024284778970526965j),(0.004524263889167473-0.0009232328913123201j),(0.0022371327861720174-0.004040465006296061j),(-0.002036851660524134-0.004159211584874798j),(-0.004648220827226707-0.00033510274320253065j),(-0.002399874002663953+0.004053659341367862j),(0.002773282087308746+0.003902966412046338j),(0.004779623464909984-0.0010645142137482818j),(0.0009412179613108857-0.004952613686730329j),(-0.004203632312985835-0.003100028084367696j),(-0.00498696932512571+0.0021709756757497074j),(-0.0013007948556887099+0.005526885297965344j),(0.0030411378435291968+0.005076537067603153j),(0.0054953111512796495+0.0027067544816109313j),(0.006223223806807514+0.0007158536894815102j),(0.006301561597980232+0.0001440326247508929j),(0.006122953587918686+0.0011683525664457936j),(0.005007181220535745+0.003433185489604999j),(0.001926277964906712+0.00552383459496196j),(-0.0026156125962862615+0.004960168762619417j),(-0.0053359279139967965+0.0006349630863920103j),(-0.0029892334672219586-0.004214255678473085j),(0.002488970431670682-0.004331461337039321j),(0.004826711815564153+0.0005827169971849227j),(0.0013230879128023347+0.004575116154409608j),(-0.0035582514554665717+0.0030609715671006785j),(-0.004316348741256303-0.001729364399132134j),(-0.0007754437534630684-0.004560573243474493j)
