index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)"
"(-3.0, -3.0)",(0.0033661382615776665+0.0021585154928469422j),(0.0015754604918232764+0.0030348223028438264j),(0.00013350630776986385+0.0034174771183999647j),(-0.0010519737412054207+0.003255707293740533j),(-0.001855132391242039+0.002876584178893315j),(-0.0023074619311445246+0.0025297469159235495j),(-0.002483130625260409+0.0023583294741036957j),(-0.002425899353743551+0.002416904424154704j),(-0.002120422680930197+0.0026878157497376987j),(-0.0015015633343334648+0.003075173873512927j),(-0.0005043572875621152+0.003383333592233784j),(0.0008398613479364703+0.0033148728016707246j),(0.0022818930261040036+0.0025467606694395046j),(0.0032918658699272545+0.0009316885799397852j),(0.0031996516987871865-0.0012232343497172355j),(0.0016291331761379936-0.003022387561882761j),(-0.000951956038225414-0.003312153385688253j),(-0.0031015091537221475-0.0015446961074127561j),(-0.003198756425895946+0.001397257853646329j),(-0.000874399750060472+0.003414379611769939j),(0.0022430778400488287+0.002774483505674952j),(0.003616839893587513-0.00017614712549304508j),(0.002044864854758691-0.0030655926866750833j),(-0.001196443335308574-0.0035638469008657447j),(-0.003577825612912177-0.0014029202225611208j),(-0.0035553227224285255+0.0016841974952081322j),(-0.0015248622654454411+0.0037290933936387004j),(0.0010500661824066023+0.003986257468742005j),(0.002992268361187122+0.0029585686359834195j),(0.0039825227197364+0.001564411208358356j),(0.0043018403697541105+0.000473855012436853j),(0.004349882365474516-2.3092992330109745e-05j),(0.004340125459917911+0.0001438857763515366j),(0.004199066102898121+0.0009555324516900248j),(0.0035968743902926345+0.002255699871890053j),(0.002139975408388769+0.003574943608683681j),(-0.00021325387294061435+0.004070485085887286j),(-0.002706846198641713+0.0029194772641979137j),(-0.0038842941014788734+0.00016579387918488615j),(-0.002635785310179945-0.0027374196734890935j),(0.000476515878927922-0.003690264743265178j),(0.003173968753628188-0.0018058653181997615j),(0.0032788740893761226+0.001469616087345953j),(0.0007479923085065101+0.0034651499481443805j),(-0.00228140929601893+0.0026628279061285814j),(-0.003475214879139962-0.00010469693900104863j),(-0.0021938364610223464-0.002668782878343039j),(0.00039336555368443214-0.003416634544154331j),(0.0025949547061141645-0.002241447561928119j),(0.003420792192798072-0.0001213814470413936j)
"(-2.8461538461538463, -3.0)",(0.003803851953148368-0.0013724191035245712j),(0.0033941603601007303+0.0006538928226941959j),(0.002759860688532184+0.0020810562380129023j),(0.001825034548395062+0.0029364627826566707j),(0.0009485212496055303+0.003325946501088704j),(0.0003188192270989274+0.0034448525061006813j),(3.7169478829862964e-06+0.0034601429577616302j),(1.7101488626554993e-05+0.0034600775575051737j),(0.0003586549027580828+0.003440863704554106j),(0.0010121035830589799+0.0033070541533107077j),(0.0019025054703244563+0.002886767637275282j),(0.002828648629629032+0.001986479655517j),(0.003418044240142123+0.0005150889612982881j),(0.0031911084465084233-0.0013333672122633434j),(0.0018159392333896242-0.0029485295618432747j),(-0.0004933384430460048-0.003435561165565548j),(-0.00273275495254411-0.0021600351424365494j),(-0.0034638586726152957+0.0005130807680007963j),(-0.001874444940389021+0.0029875664838551206j),(0.0011880008711446495+0.003356252989576958j),(0.003437159543288565+0.001080358002086632j),(0.0029451572299890242-0.0021657967189767885j),(-4.642324523942286e-07-0.003719355737875843j),(-0.0030171680949767354-0.002299876274341716j),(-0.0037729572340357577+0.0008976862169673156j),(-0.0019208751560986473+0.003475500107028254j),(0.0010302047337998044+0.00393608364258097j),(0.0033311236588649076+0.002502506562894272j),(0.004243321513412011+0.00035096045206346624j),(0.004066854295789757-0.0015023713226831228j),(0.0034937151400739187-0.002661524810749012j),(0.0030835866141587526-0.003168537282916399j),(0.003102602741515412-0.003148143834582143j),(0.003539889353497513-0.0025936335639863057j),(0.004105355158272391-0.0013761546685487473j),(0.004218309072408895+0.0005244994117705085j),(0.0031941076691840036+0.002663016493057129j),(0.0007958813073490436+0.003981894774181898j),(-0.002139140438455178+0.003336354045238863j),(-0.00381951811240683+0.0006296609566452854j),(-0.0028348986727831393-0.002511425010440354j),(0.00028041367950817333-0.0037031784123935573j),(0.0030979220751421875-0.001932159746422026j),(0.0033417691961101772+0.0013364885148794338j),(0.0009347756703583851+0.003432244294934741j),(-0.0020822727556442703+0.0028437179067907865j),(-0.0034890487415047276+0.0002756580307958741j),(-0.0025882559789305614-0.0023294083819484974j),(-0.0002899496933040897-0.003457864539905896j),(0.001970430434828075-0.002847028886108205j)
"(-2.6923076923076925, -3.0)",(0.0012936849754810304-0.003879670471993423j),(0.0026792384127401637-0.0022430344049338426j),(0.003405535686598605-0.0007782806654982236j),(0.0034480546875938862+0.0005623157139854356j),(0.003133264357830875+0.0015470928679062381j),(0.002753127306261783+0.0021533744729324545j),(0.0024967422366939116+0.0024468155305560385j),(0.0024547921107718473+0.0024890281613419484j),(0.002640116804739235+0.002290902394272253j),(0.002991936689605252+0.0018059289812842856j),(0.003358901409310251+0.000961682752192954j),(0.0034833288081022734-0.0002642289250129455j),(0.003036127493118751-0.0017285871088551306j),(0.0017610346983497353-0.003019738613042961j),(-0.00026562455890461893-0.003490079997538678j),(-0.002398511266896813-0.0025599687777669716j),(-0.0035105298298312043-0.00026287148266484285j),(-0.0026434439696645913+0.0023519586672330556j),(2.8677821947169124e-05+0.0035629168730285338j),(0.002816036501482687+0.002235996558386827j),(0.003525282415273715-0.000897537919321359j),(0.001385485399248002-0.0034199158654104923j),(-0.001974169826517786-0.0031918232395591983j),(-0.0038114284884891926-0.0003483648744733327j),(-0.00271237265896013+0.0028194598143958314j),(0.000328463690331898+0.003993001152113915j),(0.003121808912049287+0.0026683936187252284j),(0.004208427067455363+4.914502437038163e-05j),(0.003603749882278302-0.0023565441048455323j),(0.0021935924123121318-0.0038033953481115333j),(0.0008493997889109901-0.0043734193363297565j),(4.0071517930310025e-05-0.004492303704129707j),(-8.624333414558831e-05-0.00449750420454458j),(0.0004844858687353506-0.00444566366327671j),(0.0016692253290140372-0.00408896462186729j),(0.00313708812575815-0.0029963892475830156j),(0.004147994392114809-0.0009002036397313907j),(0.0037376548838609722+0.0017885974687650366j),(0.0014679143123612563+0.00376608317364688j),(-0.0017327499495501813+0.0035443658535588792j),(-0.0037504764814919296+0.0008989097028166398j),(-0.0029338185963050686-0.0023810280890950984j),(0.00017410839908389117-0.0037072158904017678j),(0.003047849966966126-0.002017828042869307j),(0.0033995825379619913+0.001213754667078611j),(0.0011395473574969733+0.0033872766532077494j),(-0.0018317121026783282+0.0030366659500536686j),(-0.0034506943521636644+0.0007253059599966034j),(-0.00297909542023824-0.001859669670368053j),(-0.001072488965183205-0.003334313649686066j)
"(-2.5384615384615383, -3.0)",(-0.002217940335137809-0.003491194358365262j),(6.513839852580855e-06-0.0035322354082811844j),(0.0016657193558507486-0.0031127482101580947j),(0.0027564724334393654-0.0022051625087265965j),(0.0033061297855746102-0.0012380733185125045j),(0.003499836965163808-0.00046763456029967447j),(0.0035314270263927-5.377396232636593e-07j),(0.00352895308427213+0.0001363963578529504j),(0.0035308625972787573-5.9304210154960776e-05j),(0.0034823112615113023-0.0005833526936926137j),(0.003240901550125116-0.0013997238131145942j),(0.00260693394625934-0.002380081426536995j),(0.001410194589221765-0.0032367551522103095j),(-0.0003287499143830299-0.003517438719471863j),(-0.002215658661632809-0.002757375695346825j),(-0.0034468267459127973-0.0008286703848930713j),(-0.0031386038788264866+0.0016740042297125738j),(-0.0010367650823817232+0.0034209989131353505j),(0.001864330273550854+0.0030782753471429265j),(0.003592930156524439+0.0005235354732540242j),(0.0026392370045920832-0.002553069773270546j),(-0.0004877015340111832-0.0036912926948970523j),(-0.003322834094522971-0.0018141151777885344j),(-0.003506169408976113+0.0016137981799314608j),(-0.0009121982035122685+0.003838050468701825j),(0.0023802795835331813+0.0032646190109491802j),(0.0041029519518073635+0.0005741016394496076j),(0.0035498350892403463-0.0023345955562583736j),(0.0015681060065849829-0.004059143977725347j),(-0.0005896565651620341-0.004404286340918429j),(-0.0021659235191484705-0.003963344717051896j),(-0.0030085819432349907-0.0034302956080013687j),(-0.0032343549119255638-0.0032380887127528724j),(-0.002908501214105655-0.003507852833281036j),(-0.0019421117823489457-0.004065334937766106j),(-0.0002380512382008445-0.004422054184866867j),(0.0019634716459868626-0.0038635878809958903j),(0.0037882846095592298-0.00188206724871705j),(0.003968961348534055+0.0011216043401062398j),(0.0018623365025552318+0.0035657069835441555j),(-0.0014971501023795782+0.003632698391873651j),(-0.0037084272046562887+0.0010188016238013634j),(-0.0029682313112218417-0.0023306936167204967j),(0.00012805411612318944-0.0037113007550782953j),(0.0030125897866742682-0.0020855335595780043j),(0.0034592786435812626+0.001082110745022942j),(0.001375988164893219+0.0033201747525067236j),(-0.0015125190380566758+0.003234974368944134j),(-0.0033304712559389664+0.001242303083878958j),(-0.003319499966484554-0.001239551065260793j)
"(-2.3846153846153846, -3.0)",(-0.004146236477231963-0.000554805281648061j),(-0.002690835499422995-0.00234701061830755j),(-0.0012107704101231042-0.0033559457520848405j),(0.00027612064529344973-0.0035557643561417622j),(0.0014349205005637646-0.0032648580321458565j),(0.0021887567270045954-0.002815954473340639j),(0.002596662335140074-0.0024454243401873968j),(0.0027420260972881145-0.002281514925158128j),(0.0026668592935479235-0.0023687964344236557j),(0.0023484833470438747-0.0026843445450986966j),(0.0017115349290564995-0.0031287929025289574j),(0.0006794285763413568-0.003501009568241928j),(-0.0007272129293702919-0.0034922435082271426j),(-0.002263942368572797-0.002759628166950185j),(-0.003390928791574102-0.0011291421132607726j),(-0.0034038791738358956+0.0011143749690734788j),(-0.0018691686443904944+0.003069074390073387j),(0.0007983012536981431+0.003521190759529497j),(0.0031478491059694596+0.0018159588908200977j),(0.003447076371513432-0.0012460058103473883j),(0.0011609259578799704-0.0035190451795963315j),(-0.00215220839285124-0.0030782123729937135j),(-0.0038166482729808937-8.130182212213164e-05j),(-0.0023756437513010632+0.0030813694996449288j),(0.0010163204964391576+0.0038438479923244497j),(0.003693536632106734+0.001714193488407001j),(0.003867587458145692-0.0015766077926547314j),(0.0018171975124520962-0.003881665609122563j),(-0.00092695184178454-0.004295321884492789j),(-0.003057852732591729-0.0032927570728492907j),(-0.004181341518442059-0.0018578014122167929j),(-0.00457258738666256-0.0007347892616768218j),(-0.0046472996874271965-0.0002576276136532111j),(-0.0046140562380106755-0.0005101264591224152j),(-0.004360513365950049-0.001452240720419559j),(-0.0035106055248026323-0.002849323107438691j),(-0.0016925304437431581-0.004090111103943627j),(0.0009612695064210382-0.004211781595178765j),(0.003406703372002141-0.002474141053330725j),(0.004043134067973884+0.000702502905376715j),(0.0020465781068637933+0.003442265517028869j),(-0.001412999995008609+0.003652249613735846j),(-0.003699149897214076+0.0010268982139525031j),(-0.0029605934090093738-0.00234032444389053j),(0.00011782780209471273-0.0037182613432251857j),(0.0029813697740374906-0.00215190785003465j),(0.003523273396205654+0.0009260260847434177j),(0.0016510076863109474+0.0032183468790942154j),(-0.001110950638653435+0.0034223616147068237j),(-0.003094335143826889+0.001810002370771476j)
"(-2.230769230769231, -3.0)",(-0.0031764829884750583+0.002794455555765384j),(-0.003583052248816083+0.0004331716563517869j),(-0.003312864246140706-0.0014216751873478424j),(-0.002381005543739368-0.0027040244664749587j),(-0.0012839393191800138-0.003365467502356314j),(-0.0003448223767359292-0.003585386681188623j),(0.0002936287553622812-0.003590083108593823j),(0.0005972839079435099-0.0035523391364098555j),(0.0005680780407690089-0.0035571117829527005j),(0.0002052992987261887-0.0035961852524448454j),(-0.0004906027249338758-0.0035683555451934915j),(-0.0014722775294586563-0.003287531709527946j),(-0.0025694744647973395-0.002525990396678238j),(-0.0034241106417253323-0.001129476657500146j),(-0.003522258791572356+0.0007916790817960222j),(-0.0024213077311764776+0.002687906695023306j),(-0.00016588150333059654+0.003625404781731811j),(0.002366339418216701+0.0027734959043691585j),(0.003663029932370973+0.00020327215561022731j),(0.0025722810885700303-0.0026582725957432353j),(-0.00047238365345257774-0.003708299280517554j),(-0.003284628048247939-0.0018858961452767296j),(-0.003519206556895615+0.0015562692165994152j),(-0.0008410760577895641+0.003829071885537397j),(0.0026016287899383516+0.003044920810642868j),(0.0040997581065696925-0.00011275977657676341j),(0.0027188024764993146-0.003211053930167452j),(-0.00029386459680127725-0.004309963707516109j),(-0.0030174133400121175-0.0032480180668529135j),(-0.0043972368183878684-0.001129624309656567j),(-0.004546512010551424+0.0008806577157265807j),(-0.004142316232514437+0.0022144636883449156j),(-0.0038044205061093074+0.00281152720769298j),(-0.0038410801833346237+0.0027555880826054388j),(-0.004222794495640665+0.0020351662669072586j),(-0.004581473380817263+0.0005679626019867137j),(-0.004258392358604564-0.00152165085759737j),(-0.002622165474559981-0.0035502364569583566j),(0.00026513564956684763-0.004291725566092952j),(0.0031358203621424225-0.002776236373341434j),(0.004050998531859971+0.0005146475157473033j),(0.002072318370616755+0.0034087119436850446j),(-0.0014521987692240504+0.0036267812956333736j),(-0.0037164796588203455+0.0009519637693724571j),(-0.002925325371874655-0.0023908772044109405j),(0.00012447662715570114-0.003728587078665463j),(0.0029450363028989063-0.0022284013614987308j),(0.003589845749790526+0.0007340582993545563j),(0.0019640955939313775+0.0030675396560377985j),(-0.0006197102379302429+0.003573495697234259j)
"(-2.0769230769230766, -3.0)",(-5.7457394330750306e-05+0.004278250068491061j),(-0.0021552788908942733+0.002943009018420421j),(-0.0033632331528929155+0.0013983231471457612j),(-0.0036303089401729717-0.0002539253472012155j),(-0.003277068219438096-0.0015788672892054468j),(-0.002685027165812758-0.0024531545989214107j),(-0.0021406129842658317-0.00294007108283001j),(-0.0018067506745580162-0.0031562660027315043j),(-0.0017534202767699523-0.0031862114699015404j),(-0.001990014323147178-0.0030440233570037463j),(-0.0024711927904386-0.0026683105810703166j),(-0.0030722769213969727-0.0019470028086092698j),(-0.003552948930382796-0.0007841554700593785j),(-0.003556099608296365+0.000781546895159919j),(-0.0027111414965295885+0.002437098676224693j),(-0.0008853351900276777+0.0035439905720744754j),(0.001499360909782676+0.00334328384860315j),(0.003365668510102052+0.0014886183357173612j),(0.0034442415794650933-0.001358049378368128j),(0.0012874560820405859-0.003502634366843965j),(-0.0019132620689853834-0.0032482239677739926j),(-0.003788936427685129-0.0004685850885172995j),(-0.0026695916713209812+0.0028113512075107995j),(0.0007072290819449641+0.0038842416299806437j),(0.003611371433651707+0.0017928151721411786j),(0.0037301137436678653-0.0017683512610177081j),(0.0011264605566985062-0.004082620682190665j),(-0.00218272667191227-0.0037630367765854105j),(-0.004220414137918489-0.0014674743416516816j),(-0.004414231200110912+0.0012283332477593411j),(-0.003413712460334061+0.0032046184068446368j),(-0.0021755859496500325+0.004232773467064597j),(-0.0013523688738620668+0.004609716209669064j),(-0.0012184413373019058+0.0046542424602503815j),(-0.0018080869530237458+0.004424303016772097j),(-0.002948944044059712+0.003676799676759157j),(-0.004137043704492002+0.002057314389672353j),(-0.0044870369350854845-0.00045861682716663886j),(-0.003132850355055699-0.003079597245681772j),(-0.00011684504452672585-0.004274588259274447j),(0.0030190338530457403-0.0028703218163671166j),(0.004031406335779445+0.000524358484311123j),(0.0019730574091230604+0.003453064854151467j),(-0.0015865778957592856+0.0035640890101704273j),(-0.003750259718031951+0.0008154111378529126j),(-0.0028720182909443117-0.0024668382357000067j),(0.0001344002016161133-0.0037420731773068843j),(0.002896411132466593-0.002321693650901021j),(0.003653490581215745+0.0004991881061796099j),(0.0023068549540781274+0.0028534565729919177j)
"(-1.923076923076923, -3.0)",(0.003110728381812425+0.003007414470833623j),(0.000607802819322073+0.0036360162517663193j),(-0.0014281568661858302+0.0033910072540685606j),(-0.0028408036285093043+0.0023316235377063566j),(-0.003523734430785667+0.0010352534046729326j),(-0.0036698563587332393-0.00010685976526092162j),(-0.003552347069093692-0.0009253019942901286j),(-0.0033956366443458597-0.0013941728650554927j),(-0.0033328327309346873-0.0015381956321871277j),(-0.0034048868392418034-0.0013714435236570593j),(-0.0035643780684745004-0.0008779134473838113j),(-0.003671315664427106-3.40011623116354e-05j),(-0.003495504056026852+0.0011273285242405918j),(-0.0027639996640971757+0.0024225457072474125j),(-0.0012974738335162445+0.0034435623256626594j),(0.0007667436230058163+0.0036064955703265732j),(0.0027863667411637603+0.0024312422309196507j),(0.003713402857480181+1.983193428971185e-05j),(0.002685925043946817-0.0025950913430621116j),(-9.245870267133128e-05-0.0037620739742443574j),(-0.0029682133491935048-0.002372732494891789j),(-0.0037434832570694076+0.0008845290920782839j),(-0.0015538993826542543+0.0035815676963790303j),(0.0020092913034856666+0.0034284134816102998j),(0.004033737153643026+0.00042800943690146393j),(0.002866976654000247-0.0030031001008421626j),(-0.000482880742551581-0.004231921598331096j),(-0.003512718994936553-0.002610279787847179j),(-0.0044754619287383215+0.00045378717626141284j),(-0.003402868379805022+0.003122851780854458j),(-0.0014217049296140587+0.004509202197889685j),(0.0003893479499407144+0.004800481575604017j),(0.0015168200214638228+0.0046313513385694074j),(0.001869556616356534+0.004521028539610077j),(0.00146131375434038+0.004646101623180228j),(0.00027815025029985946+0.004802737897965182j),(-0.0015695146171698302+0.004452121498362637j),(-0.00352669974540728+0.002969167307488224j),(-0.0044838116481973845+0.00022652371703052275j),(-0.00335184498991652-0.0028002999586568766j),(-0.00022027664846961835-0.0042455205393996725j),(0.0030511252165942877-0.002804972694637226j),(0.0039895153036893834+0.0006970876355830675j),(0.0017688212672385506+0.0035523285078533674j),(-0.0017910926805673787+0.0034638952182435914j),(-0.0037903795756977702+0.0006327775627947957j),(-0.002806957400565991-0.0025570507294242904j),(0.0001391001600020585-0.003758311242658366j),(0.0028304144608876716-0.0024339754704548193j),(0.003705668467607414+0.0002192712689263793j)
"(-1.7692307692307692, -3.0)",(0.004373640640789734-0.00011127799609043037j),(0.003010603685295682+0.002193540053298622j),(0.00129784348990514+0.0034822964142752454j),(-0.0005539718667406996+0.003669030803756095j),(-0.0020144011228605424+0.003112078394817146j),(-0.0029335117616777475+0.002263339743702952j),(-0.0034029267594291577+0.001463140222205168j),(-0.00359305535057735+0.0008984944000350497j),(-0.003646789031754247+0.0006458857371148284j),(-0.0036316917556360943+0.00072620860173423j),(-0.0035260920367774944+0.0011336890236252968j),(-0.0032229940479415525+0.0018264526497204778j),(-0.0025572135606633556+0.0026823084501071707j),(-0.0013787518334773057+0.003442762213311343j),(0.0003099124863576853+0.003700063972301087j),(0.0021859586980949104+0.0030100116559799934j),(0.0035379431052294814+0.0011829655710232088j),(0.0034955536641472565-0.0013449853536916156j),(0.0016376926630795549-0.0033911267663666905j),(-0.0013358864478591763-0.0035501553458242843j),(-0.0035921038382709333-0.001324820259537353j),(-0.0033177605491943193+0.001999264440534539j),(-0.0004144429572247886+0.003907469934363223j),(0.0029547626865421986+0.002692150400718615j),(0.003997417306147034-0.0008077505732032316j),(0.0018072527577407992-0.003760853541781158j),(-0.0018357445897920328-0.0038660729668035564j),(-0.004217692508879414-0.0012462219730433243j),(-0.004008764868755072+0.002095058450752267j),(-0.0018641719775235623+0.004259198210469378j),(0.0007180472986021733+0.004713058361707709j),(0.002679200889317382+0.004063296909761377j),(0.003763285418079968+0.0031961290176594965j),(0.004158377687147867+0.0027210344801046555j),(0.004039130643978789+0.0028773890469419895j),(0.0033442100105997427+0.003592168496930722j),(0.00184703401060494+0.0044544706724570044j),(-0.0004907174935080842+0.0046866828414999975j),(-0.003042653164003355+0.0034354321272953934j),(-0.004429114045094936+0.0005447004741018461j),(-0.003365485108125864-0.002740272728068818j),(-8.560984720880308e-05-0.004225864689050949j),(0.0032025932723043077-0.0026006934120433546j),(0.003911542915364301+0.0010012715731469812j),(0.0014715079514821048+0.003679770115586199j),(-0.0020446905649104145+0.0033223618040816947j),(-0.003828315269197007+0.0004146400180413654j),(-0.0027335999140645738-0.0026546699809409224j),(0.00013487307956673057-0.0037767166992324053j),(0.0027442938090779293-0.0025633528371016923j)
"(-1.6153846153846154, -3.0)",(0.003094717105472572-0.0031603405213054435j),(0.003735211062844437-0.0004576059999120147j),(0.0033230798601425514+0.001743294014101629j),(0.001985550944637929+0.0031758209855783748j),(0.00041199293922527326+0.0037180443834312483j),(-0.0009389185819511886+0.003618136609244044j),(-0.0018926642392653288+0.003221543063890488j),(-0.0024613118472686154+0.0028100394781522932j),(-0.0027232142037875223+0.002556544199465258j),(-0.0027393498268677994+0.002539217289059081j),(-0.0025141210821618635+0.00276279600528523j),(-0.0019929665577310355+0.0031602950876008624j),(-0.0010960133047141437+0.0035733900958574427j),(0.00020466657233749765+0.0037347125734684627j),(0.0017678408767414246+0.003301088156122624j),(0.003176135387634366+0.0019963179602648026j),(0.003759309726469288-0.00012649535373962734j),(0.002887600167059953-0.0024326129260555363j),(0.0005242704304207567-0.0037588876656655165j),(-0.002319587982629765-0.003036870636134827j),(-0.0038439751251058895-0.00029625285611523924j),(-0.0026985625494020337+0.002813672160149608j),(0.0005901043660585067+0.00390813957316508j),(0.003550751127154853+0.0018811076542854255j),(0.0036846710413350496-0.0017916221052113005j),(0.0007808797428538504-0.004116397412271556j),(-0.002824679308776094-0.003236907411841319j),(-0.004414500868417695+3.2703291296755165e-05j),(-0.0031519669808245223+0.0032705840697976945j),(-0.00026041641787364467+0.004665988284359009j),(0.002504199150050084+0.0040944111897197105j),(0.004201770813883331+0.002541041321932996j),(0.00488436088746053+0.001042031410916317j),(0.005038036123971287+0.00017093816487214565j),(0.005042779250210603+0.00011294618446048887j),(0.004925785699329329+0.0008765469556684258j),(0.004347600499007515+0.002311483143420002j),(0.002810828785038017+0.0039107086288201354j),(0.00016386693783002743+0.004688400778132936j),(-0.002805835873091801+0.0035949807267336674j),(-0.004398843164138788+0.0005400776653188539j),(-0.003210614640263742-0.002878188765785455j),(0.0002522045622695186-0.004196177157699869j),(0.0034314178896963014-0.002260690641341832j),(0.003774551120959315+0.0014073918807238463j),(0.0010888171730597449+0.0038082285272266194j),(-0.0023301609997508697+0.0031340737052261624j),(-0.0038571647600562507+0.00016712340909049177j),(-0.002652565734322176-0.002756660483385283j),(0.00012245289098607157-0.0037965018768088203j)
