index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)","(50,)","(51,)","(52,)","(53,)","(54,)","(55,)","(56,)","(57,)","(58,)","(59,)"
"(-3.0, -3.0)",(0.002818211308438297+0.0018224461176822404j),(0.001512290896752959+0.002435487759178362j),(0.00048726707039496784+0.0028208312772579733j),(-0.0004361286367234946+0.0028260367142231447j),(-0.001151566681267501+0.0026149211204221047j),(-0.0016417815173540293+0.002336613612892319j),(-0.0019353017991344693+0.002098672742600462j),(-0.0020699828461111357+0.0019653045104344206j),(-0.002069982846111138+0.0019653045104344206j),(-0.0019353017991344697+0.002098672742600462j),(-0.001641781517354033+0.0023366136128923154j),(-0.0011515666812675035+0.0026149211204221055j),(-0.0004361286367234944+0.0028260367142231473j),(0.0004872670703949694+0.0028208312772579763j),(0.0015122908967529535+0.0024354877591783557j),(0.0024144099933757894+0.001555986205996801j),(0.002871517815145578+0.00021475852358179064j),(0.0025688330575227717-0.0013211452334251925j),(0.0013853747111095133-0.002547762086538123j),(-0.00041668285762004646-0.00288417968965291j),(-0.0021511101291028325-0.0019911829858712702j),(-0.0029501816229536167-9.636617944447965e-05j),(-0.002258428531272338+0.0019381985845951762j),(-0.00029529414435895386+0.0029900353769724856j),(0.0019070562735393254+0.00236425362154042j),(0.003057039770173838+0.0003330558127807567j),(0.0024379847372172437-0.0019428954354666372j),(0.00040318534896405185-0.00313864291973118j),(-0.0018723658069347083-0.0026143267027485748j),(-0.0031834766339044634-0.0007492395686666976j),(-0.0030033546766166344+0.0014330928062890188j),(-0.0016289294162376788+0.0029684328189881017j),(0.00020063681666890348+0.0034373828565344676j),(0.0018113516841415356+0.0029913707028374416j),(0.002876882165167839+0.0020709256040237762j),(0.003408532099251345+0.0011063721540339423j),(0.0035919561596189746+0.0003714865517120594j),(0.003625370425552536-1.3084858942858566e-05j),(0.003625370425552538-1.3084858942858546e-05j),(0.0035919561596189737+0.00037148655171205915j),(0.003408532099251344+0.0011063721540339466j),(0.0028768821651678467+0.0020709256040237806j),(0.0018113516841415406+0.0029913707028374316j),(0.00020063681666891727+0.003437382856534445j),(-0.001628929416237668+0.0029684328189881286j),(-0.003003354676616631+0.0014330928062890353j),(-0.0031834766339044634-0.0007492395686666838j),(-0.001872365806934715-0.0026143267027485743j),(0.00040318534896404627-0.0031386429197311732j),(0.00243798473721725-0.0019428954354666424j),(0.00305703977017384+0.00033305581278075645j),(0.0019070562735393256+0.0023642536215404152j),(-0.00029529414435894454+0.0029900353769724813j),(-0.00225842853127233+0.001938198584595186j),(-0.002950181622953623-9.636617944446236e-05j),(-0.002151110129102836-0.001991182985871269j),(-0.00041668285762005167-0.0028841796896529135j),(0.0013853747111094977-0.002547762086538123j),(0.002568833057522767-0.0013211452334251888j),(0.0028715178151455818+0.00021475852358178452j)
"(-2.8461538461538463, -3.0)",(0.0031980103962447977-0.0011401711886417439j),(0.002881374024954625+0.0003207911904602354j),(0.0025279618041126606+0.0014093274490579724j),(0.0019150950172539493+0.0021651401523723247j),(0.0012507088214625314+0.0026029844746582593j),(0.0006721358901370718+0.002806618671913424j),(0.0002502743466121072+0.0028738810060137746j),(1.2176287587779566e-05+0.0028840854962281894j),(-3.5751242245849327e-05+0.0028837624395725483j),(0.00010700673406963274+0.0028823801064072527j),(0.00043814951255160135+0.002851826783377692j),(0.0009434952284231974+0.002728295720483102j),(0.0015773457460626207+0.002420517560921449j),(0.0022379502415352573+0.0018321677713317476j),(0.002751293389697533+0.000905732291352156j),(0.0028850927729473187-0.00031416948395554225j),(0.0024162912772470093-0.0016204749767561467j),(0.0012565922470407606-0.002634130478647092j),(-0.0004055301599598281-0.0029017070758353665j),(-0.0020446787974720726-0.002118035627156472j),(-0.002934546689862576-0.00039482385221419595j),(-0.0025088454610293315+0.0016108085006191284j),(-0.0007900727603870966+0.0029000033637324152j),(0.00143145939111743+0.0026752291475238598j),(0.0029247251271052504+0.0009234622101220038j),(0.002758737225697367-0.0014243102404226048j),(0.0009637117928559916-0.0029960901708625605j),(-0.0014281676518641583-0.002857644338721622j),(-0.003049166747004052-0.001114862088383532j),(-0.0030690097003082174+0.0012196702064471954j),(-0.0016183983093061558+0.00294610418992464j),(0.00047170091543079223+0.0033890998678542165j),(0.0022914410778759084+0.0026214645620356424j),(0.0033318395087443657+0.0011930171407602682j),(0.003578223941681327-0.00029840250411987716j),(0.0033187001300095677-0.0014802190507413996j),(0.0029013587368769225-0.0022406562536781438j),(0.0025885199908085837-0.002621944880165592j),(0.0025190862028707946-0.00269393367107451j),(0.002719572794846367-0.0024746783618720806j),(0.0031094388633587655-0.0019143373111222349j),(0.0034883356301127883-0.0009431496862142405j),(0.0035408299634161347+0.00042142855503978264j),(0.0029227027943082703+0.001945564273384418j),(0.0014641619063501617+0.0031262288663427497j),(-0.0005856496843447607+0.003340685624561237j),(-0.0024814485787119935+0.0022233185667406884j),(-0.0032735883756557296+6.493765093072416e-05j),(-0.0024120307081049786-0.002133505719391428j),(-0.0002523353902217464-0.0031604261615983255j),(0.0020141922282652276-0.0023899174743430987j),(0.003073780160468211-0.00026722540461175475j),(0.002347846447347836+0.0019469640508540974j),(0.0003376331426019325+0.0030005046351375066j),(-0.0017742537852566422+0.002410574937983127j),(-0.002901655131081361+0.0006372952365401823j),(-0.0026300526710535507-0.0013408012547892214j),(-0.0012760861864607954-0.0026448556675101533j),(0.00045880949087251404-0.0028877074030707293j),(0.0019160249125896442-0.0021951021701123257j)
"(-2.6923076923076925, -3.0)",(0.0010987282274074063-0.0032544659735960994j),(0.0020861657734512658-0.0020602744263254744j),(0.002730546297257257-0.0010524471387053185j),(0.002921657521375061-4.5241330460785014e-05j),(0.002808373526841898+0.000795159819390213j),(0.002553004267807897+0.0014099275062021308j),(0.0022862921864703076+0.001808193931567884j),(0.0020946386839652002+0.0020258343491002923j),(0.0020244976438135885+0.002095520679591636j),(0.0020904436816929603+0.0020301369704941617j),(0.0022788074284470793+0.0018175576321042928j),(0.0025442486496631755+0.0014255447902478688j),(0.00280173403757364+0.0008179409171675217j),(0.002921847873137993-1.5810196180301238e-05j),(0.0027427872597222147-0.0010196753392536153j),(0.0021141793912955687-0.0020312273909784905j),(0.0009789085707482533-0.0027712555169307857j),(-0.0005269883489605051-0.0029007234410825555j),(-0.002015155137389155-0.0021675463997158843j),(-0.002910409941469853-0.0006095299088649572j),(-0.0026919676864635045+0.0013024818876153732j),(-0.0012449253200754954+0.002741420161273991j),(0.0008938702209925089+0.002900359427499205j),(0.0026563602761204277+0.001525590476213157j),(0.0030015181824836553-0.0007594585361979511j),(0.0016179530499561346-0.0026837775111169956j),(-0.0007588732399341201-0.0030844264503413644j),(-0.0027466752695027644-0.0016883568180463637j),(-0.0032028905760124998+0.000691149957418298j),(-0.0019349694311751454+0.002714400237900887j),(0.00028607354626661785+0.0033817306954865836j),(0.0023352206840443813+0.002548045723311175j),(0.00342720018118443+0.0007985470331234205j),(0.0034169731855832474-0.001066827446050626j),(0.002647349749578655-0.002491489546369167j),(0.001608750715550478-0.003313257489070316j),(0.0006854431938868855-0.0036563375669644857j),(8.209733503818083e-05-0.0037425098195380028j),(-0.00012800642183062504-0.003749391522323364j),(6.937583245970461e-05-0.003743260684744668j),(0.0006610308433824735-0.0036617943700602033j),(0.0015765323939202493-0.0033301871903807087j),(0.0026164244735979347-0.0025263007795020965j),(0.003401840131596617-0.001120030697206911j),(0.003442746280677184+0.0007379572074341376j),(0.0023864303665116953+0.0025028764568039005j),(0.00035848496975572836+0.0033767679728146736j),(-0.001874020790014273+0.002759061959414547j),(-0.0031873635110272087+0.0007669336930392465j),(-0.0027881151397255387-0.0016221423246157662j),(-0.0008346819392991136-0.003066251403333694j),(0.00155216506850803-0.002723806204177678j),(0.002983213044986025-0.0008325731082440854j),(0.002692856241216714+0.0014622163609453087j),(0.0009611144963867892+0.0028796419303324934j),(-0.0011837832711152458+0.002769129382948494j),(-0.002664240776000072+0.0013595826674080015j),(-0.0029224892409700485-0.0005513163770045872j),(-0.00205542800802254-0.0021299463428657776j),(-0.0005765969056628321-0.0028915983395991812j)
"(-2.5384615384615383, -3.0)",(-0.0018527865203227824-0.0029402632276162516j),(-0.0002461230780603598-0.002955107313190628j),(0.0009929209044349943-0.0027872201572260824j),(0.001924311976283248-0.0022408836864854205j),(0.002508432715306188-0.0015523131475671957j),(0.0028074431162015833-0.0008964682054615384j),(0.0029212740362482797-0.0003743932574544803j),(0.0029438291210507777-3.044826428426604e-05j),(0.0029409297351294973+0.00012246998319412415j),(0.0029424454248927878+8.277966342434886e-05j),(0.002940597794233128-0.00014935628317700096j),(0.0028902908399845327-0.0005695173759989398j),(0.002712573600793038-0.001154760686029041j),(0.0023072699155539805-0.0018403633075047261j),(0.001583352608152227-0.002495778210602079j),(0.0005121665307740258-0.0029166735148685678j),(-0.0008051103945862426-0.002857263456341186j),(-0.0020884027438601896-0.0021224707070393116j),(-0.002903346609170994-0.0007102057873931885j),(-0.002809370948344482+0.0010603825707367859j),(-0.0016193488171119333+0.0025487321811290646j),(0.0003525232276176503+0.003019326672104788j),(0.002264176048320294+0.002064035994341529j),(0.003091868136477585-1.0875747535832416e-05j),(0.0022493553527453305-0.0021686796163837233j),(8.278382937877305e-05-0.0031609900037495474j),(-0.0022017531542165803-0.002328623947198313j),(-0.0032508883243847287-0.00010452088174227304j),(-0.0024462779192906204+0.002223107700063508j),(-0.00028444839153333676+0.0033511429226601944j),(0.0020233792061127836+0.0027632104237699444j),(0.003367637593437575+0.0009129288304111067j),(0.003332503495118993-0.0012366020798884804j),(0.0022206145658047803-0.002857089719855097j),(0.0006664703650100812-0.00361759258206906j),(-0.0007772975787906987-0.003649202673181837j),(-0.0018306005448419764-0.003299320600719338j),(-0.002451406338847531-0.002905920536512709j),(-0.002703673508203005-0.0026914503023221783j),(-0.002639751365251437-0.002749414493903895j),(-0.0022446286287991462-0.003056016099902942j),(-0.0014504724142733645-0.0034660138853909754j),(-0.00022017970656092807-0.003703947832816372j),(0.0013197375209699133-0.0034078683679931113j),(0.0027705155541779703-0.0022870106064084334j),(0.0035074278045141316-0.0003769281063451029j),(0.0029757675682953407+0.00177008847640891j),(0.0011374042759349319+0.003203058126788057j),(-0.0012691089942250438+0.0030882969152423102j),(-0.002994534426897922+0.0013459199634048085j),(-0.0030326300607122067-0.001118206811692738j),(-0.0013406783786556228-0.002890752078585466j),(0.0010722293897225056-0.0029576393805992056j),(0.0028003904988124794-0.001353918810721156j),(0.0029371874204836535+0.0009262461462012165j),(0.0015518491005491089+0.0026296759780459447j),(-0.0005105958654856087+0.002987772569940598j),(-0.00223564304753203+0.0020189313117754165j),(-0.002979365101195198+0.00032254171874209674j),(-0.002655021785713866-0.001362017826983916j)
"(-2.3846153846153846, -3.0)",(-0.003483567468071734-0.0004789848279909101j),(-0.0024243266738448676-0.0017654649123086054j),(-0.0014381906292925978-0.0026231610146903693j),(-0.00035369716067448195-0.0029646545437578774j),(0.0006058137093330863-0.0029189702375637065j),(0.001339955101970797-0.00265931084607623j),(0.0018385000360475782-0.002339485223851027j),(0.0021363699167716212-0.0020688409840033716j),(0.0022766232456092024-0.0019122183172360354j),(0.0022873333422010348-0.0018992991189842653j),(0.0021708937939206247-0.0020323122681476426j),(0.0019032166230315106-0.002286727193319857j),(0.0014425698285630963-0.0026045274391693646j),(0.0007503456332887372-0.002884519929736261j),(-0.00017421520555282972-0.00297971842769611j),(-0.0012494230115011496-0.0027169055486836366j),(-0.002274031808509948-0.0019530634004693358j),(-0.0029311611429924567-0.0006695331060212503j),(-0.0028718808876132085+0.0009272934594238515j),(-0.0018903057479866534+0.0023701229171030577j),(-0.00013300621786754778+0.0030453761241664577j),(0.0017973745213351754+0.0024866817993594082j),(0.003002953973309917+0.0007364694340478957j),(0.0027478454918388466-0.0014773046521971232j),(0.0009930868851293832-0.0029916625465955466j),(-0.0013956510611946463-0.0028679296074214707j),(-0.0030517543820188955-0.001064247136542374j),(-0.002956823712765283+0.0014194238804919464j),(-0.0011375063327484052+0.0031329847529384513j),(0.001348470851402087+0.003111767947707822j),(0.0031356869502163045+0.0014485609521293914j),(0.0034042062219563633-0.0008961660993873626j),(0.002237883779478986-0.0028045785286129983j),(0.0003479566981548402-0.0036387425998493338j),(-0.001481702880001878-0.003411529270259939j),(-0.002789768340987209-0.0025460920816208804j),(-0.0035047859952763803-0.0015309357669626008j),(-0.0037930313817825002-0.0007105241834124139j),(-0.0038694065496055487-0.00025382613621425864j),(-0.0038731766309073575-0.0002167909121330944j),(-0.003816122536711253-0.0006027634806650285j),(-0.0035789883540872616-0.001368091787586493j),(-0.0029533751548475023-0.0023688522697104687j),(-0.0017521899078689837-0.0032927608892540324j),(8.35456330537662e-06-0.003666752635010961j),(0.0019382042860713253-0.0030334416619738494j),(0.0032900314223502968-0.0012844445306627156j),(0.003300101405387477+0.0010573640550901255j),(0.001741943153736474+0.002922147070891129j),(-0.0007149013541011892+0.003265503726307269j),(-0.002746047970839907+0.0018096609900549155j),(-0.0031755365540388296-0.0006426324785244686j),(-0.0017731817763073543-0.0026595681868099887j),(0.0005886369159722707-0.0031029480882164323j),(0.0025380120726088695-0.001823328899243543j),(0.0030759015087014016+0.00035622459438410355j),(0.002084059467777859+0.002257063799257365j),(0.0002123092321197977+0.0030440955629017397j),(-0.0016302899232076772+0.002559114800957725j),(-0.002769328241808215+0.0012048322814205519j)
"(-2.230769230769231, -3.0)",(-0.002679657178677458+0.002340502260957575j),(-0.0029657055953042485+0.0006356430776403906j),(-0.0029351118262815365-0.0007299866764466076j),(-0.002415983812132861-0.001808292452097083j),(-0.0016710976541020025-0.00250651675603183j),(-0.0009128045366207352-0.0028667096945293085j),(-0.0002718929627104433-0.002993318516574489j),(0.00019148055186832077-0.0029975953232912844j),(0.0004605937505271264-0.0029670773380392635j),(0.0005362034947438887-0.0029540411749181955j),(0.000419952771837575-0.0029732668837871667j),(0.0001095780124007874-0.003002041622726305j),(-0.00039374208093547646-0.002980270920069214j),(-0.0010664854053488101-0.0028139517380411394j),(-0.00183561905633716-0.002389918136770336j),(-0.0025530295994492295-0.0016114468542655698j),(-0.0029911895795486565-0.0004588127097435152j),(-0.0028865095844367093+0.0009380851175051524j),(-0.00204823089789983+0.0022547975680259377j),(-0.0005142408497742677+0.00301625533729282j),(0.0013251869550378536+0.0027761432834140344j),(0.0027605315448044443+0.00140148375466869j),(0.0030423704706352473-0.0006885001258855872j),(0.0018399929998238992-0.0025528055197856464j),(-0.00039526845349829024-0.00315417793469939j),(-0.0025046518006898036-0.0020169851621157776j),(-0.0032411304788906967+0.0003317109745123899j),(-0.0020914159695125055+0.002560128362852358j),(0.0003156632000851022+0.0033442275001676486j),(0.0025880500537379895+0.002232320129345996j),(0.0034799152119704417-0.00010085142465379311j),(0.002633497431335322-0.0023789968135203648j),(0.0006362986958829784-0.0035626137691573577j),(-0.0015203293409538916-0.0033616526496948076j),(-0.0030710308279113803-0.002165286119390462j),(-0.0037696369084018787-0.0006194510500818j),(-0.0037983314794934704+0.0007598503250151214j),(-0.0035106792518900965+0.001731058842061299j),(-0.003223186224153132+0.0022645905688709073j),(-0.0031261690826563638+0.0024086056477779253j),(-0.0032723688513242384+0.002186009954389261j),(-0.003580472223266156+0.0015633222654131231j),(-0.003830988938002372+0.0004982138006768047j),(-0.003688297657200362-0.0009456998353861692j),(-0.002813941913008097-0.002469001762545149j),(-0.00109647079771796-0.0035072564171052954j),(0.0011052243486256886-0.0034304210106596137j),(0.002938875319930405-0.0019633924335697543j),(0.003440491131735703+0.00043247175457757634j),(0.002191035113255848+0.0026063459721806406j),(-0.00023316702296899856+0.003339236315351511j),(-0.00247686357499529+0.0021734206728001642j),(-0.0032421388014614526-0.0002060571671978423j),(-0.002137198688104462-0.0023918480294556335j),(0.00011258131225032384-0.0031696782518008853j),(0.002208371029144002-0.002233079821741636j),(0.0031056429469772107-0.00022840740489515267j),(0.002531089617837568+0.0017750206702119538j),(0.0009429302476350682+0.002924213603108172j),(-0.0008828009198847837+0.0029264269940325214j)
"(-2.0769230769230766, -3.0)",(-6.093453002193781e-05+0.0035993473792537293j),(-0.001572249630013317+0.0026337244113166054j),(-0.002587039285653886+0.0016298468742215041j),(-0.003017041320248819+0.0004464312302521007j),(-0.002976419980117138-0.0006368753670016093j),(-0.0026540820149769193-0.001480556492570793j),(-0.002230317799901032-0.002059323283166304j),(-0.0018385121432530837-0.0024125444034001757j),(-0.0015606183124096517-0.0025992412052354805j),(-0.0014385080942933817-0.0026680764968621228j),(-0.0014869868446878622-0.0026416355568717642j),(-0.0017004246300223245-0.0025108776611729357j),(-0.0020500663791346166-0.0022372417429840385j),(-0.0024731415721545736-0.0017634505698247787j),(-0.0028594095271938357-0.0010368641930449507j),(-0.0030466672816823505-4.8395663185460005e-05j),(-0.002842227335390914+0.0011175731597689179j),(-0.002086408162075937+0.0022423170083542302j),(-0.0007576721940661727+0.002978921203003682j),(0.0009174204631532012+0.0029476502689322454j),(0.002429833557088769+0.0019303563295449651j),(0.003121186512155533+9.587725260951915e-05j),(0.0025073935834640576-0.0018995277034727991j),(0.0006615991086549706-0.0031030018577626784j),(-0.001620127623144514-0.002764592928913052j),(-0.0031154984399844893-0.0008926593112139416j),(-0.00288514934907964+0.0015658677124388482j),(-0.0009529759224836656+0.0031908403723254868j),(0.001597577819317634+0.002982335664077853j),(0.003280757715306018+0.0010416106655009656j),(0.0031665555313319547-0.0015057431779814995j),(0.00141366812892381-0.0032837032443361605j),(-0.000978960704106884-0.003513242968400228j),(-0.0029056483070663977-0.0023235469299185646j),(-0.0037671971615180094-0.0004375799843119378j),(-0.00360433525970392+0.0013817113083666984j),(-0.002841686971112673+0.0026994160140763803j),(-0.0019536885465496054+0.0034522521987144983j),(-0.0012731968786823405+0.003790385972551687j),(-0.0009669965769819656+0.0038939745529501433j),(-0.001088924319534438+0.0038559964286409803j),(-0.0016190663363087356+0.0036386793872054245j),(-0.0024471220082027067+0.0030900919740717656j),(-0.003316513595783576+0.00202747671764409j),(-0.003802016503557747+0.00039694605620598287j),(-0.003421895351557118-0.0015391810860215821j),(-0.0019250996757721975-0.0031350858158554354j),(0.0003802986043448413-0.003585983966392481j),(0.002558807740886813-0.002440062568873877j),(0.0034685636681336253-7.788216570578454e-05j),(0.0025132365517832995+0.0023020496579893236j),(0.00016951902996909638+0.0033482382311907284j),(-0.002210361130007799+0.0024538847844028113j),(-0.00325304512027243+0.00018638906895476423j),(-0.0024380831314916567-0.00210274517050541j),(-0.0003459486630459091-0.0031670707086098333j),(0.001825003098628404-0.0025759485943577915j),(0.0030267585958302125-0.0008058384448756096j),(0.0028684455441791066+0.001205054160947185j),(0.0016333251858634957+0.0026274950746776214j)
"(-1.923076923076923, -3.0)",(0.002609830058108992+0.002540534339342106j),(0.00080556486923709+0.0029952962988902313j),(-0.0006856050002512281+0.00301378930717016j),(-0.0018798959453985807+0.002442214644775285j),(-0.0026388905992558963+0.0015784177753103475j),(-0.0029940619751865085+0.0006761040613026807j),(-0.0030635162731340957-0.0001051903762445847j),(-0.0029825735652005306-0.0006945037420832527j),(-0.002864034423956719-0.0010787331704682317j),(-0.0027836090196397233-0.0012696468825158973j),(-0.002778941174890216-0.0012797096548171078j),(-0.002852008778968074-0.0011097092978887917j),(-0.0029693080427341412-0.0007481024952968233j),(-0.003059520487148242-0.00018204332160729817j),(-0.003013666886858114+0.0005797238655910584j),(-0.002697535646019039+0.0014745138785266705j),(-0.0019881099044781786+0.00235380882091888j),(-0.0008399199076435265+0.002973335596382999j),(0.0006315217531849586+0.003035379478005692j),(0.0020925495531843403+0.002305400501275516j),(0.0030291253796353554+0.0007854310930497197j),(0.002934427891417996-0.0011405382550921522j),(0.0016182239232378716-0.0027268288523021956j),(-0.0005227602543335282-0.003154390981441598j),(-0.002516897993031661-0.0020219100583136348j),(-0.003254707364791809+0.00025131029066265636j),(-0.0021857826383914233+0.002479867079030255j),(0.0001977103066351652+0.0033467550007627673j),(0.0025417417565916666+0.002266363252278356j),(0.0034600662670533724-0.00016884507343120457j),(0.0024344145208591204-0.002554436262290004j),(9.815910796972288e-05-0.003596936260709346j),(-0.0022775030504091015-0.0028802381632572474j),(-0.0036268444583178643-0.0009444310749978161j),(-0.0036160895909709573+0.0012423048620738458j),(-0.0025907677872077143+0.0029097074814294615j),(-0.0011696878510293913+0.003784660727750055j),(0.0001325131746712568+0.004013292585283789j),(0.0010510852853111556+0.003916041024996777j),(0.0015182331026545076+0.0037823549301229235j),(0.0015429370564323973+0.003773580840224306j),(0.0011265895824726395+0.0038984607002966725j),(0.00025812564092336863+0.004012432176915696j),(-0.0010093646730329761+0.003837526153662374j),(-0.002438495691986144+0.0030484690603311913j),(-0.0035402271681808416+0.0014665123294873065j),(-0.00369214428480748-0.0006918964768993054j),(-0.0024949044913882127-0.0027056909001806407j),(-0.0001929508352183717-0.003601256010245066j),(0.0022148969443185167-0.002756742848395565j),(0.0034392628573251018-0.0004697373641850961j),(0.0027368361347064954+0.00203711649041483j),(0.0004939671943821475+0.003321734838698657j),(-0.001962457149526083+0.002666332508551592j),(-0.0032251953108919525+0.0005320472966293415j),(-0.0026810338190114188-0.001805425229327782j),(-0.0007773483722474418-0.003104858989789704j),(0.0014037010601723949-0.0028463297693450936j),(0.002845313708362655-0.0013530582691725537j),(0.003077686600480035+0.000576842457711546j)
"(-1.7692307692307692, -3.0)",(0.0036838306643122857-8.134234727040203e-05j),(0.0027070181125428546+0.0015835412522607368j),(0.001602460135514283+0.002681521366487721j),(0.0002759797896879846+0.0031015604189283453j),(-0.0009343179875680221+0.002961886259867139j),(-0.001856033780041448+0.0024822268529340686j),(-0.0024597914840059887+0.001877649050890777j),(-0.002801218573041188+0.0013065923231571034j),(-0.002965428623238918+0.0008632663894565717j),(-0.0030296312912135533+0.0005931139851845331j),(-0.0030437760951912045+0.0005132430216066966j),(-0.0030229268024154895+0.0006272340722027367j),(-0.002945621102100418+0.000929772974237906j),(-0.002756297637573505+0.0014000713517179327j),(-0.0023744993679680024+0.001985599441854488j),(-0.001717023158315025+0.002581548262231636j),(-0.0007388220635397354+0.003017927593846574j),(0.0005093041765316383+0.003073522718245724j),(0.0018255474132304107+0.0025373823833081044j),(0.002845996256565878+0.001323310930002032j),(0.0031290624868944863-0.0003962853617933376j),(0.002357885425922997-0.002122662831669941j),(0.000600632214176043-0.003137649262056775j),(-0.001534945198864583-0.002831285554203189j),(-0.0030472146725154963-0.0011328299039687045j),(-0.0030411019721825363+0.0012453497040204836j),(-0.0013482413931684646+0.003041313130504477j),(0.0011909443371840168+0.0031557649825494144j),(0.0031188563305195567+0.0014160368370324838j),(0.0032668397382506335-0.001209825429903518j),(0.0015350147885273835-0.0031988953262374977j),(-0.0010659979944809262-0.003457619460429473j),(-0.003132046939918284-0.0019567187432408704j),(-0.0037481758138377995+0.0004148142001545007j),(-0.0028890639030883596+0.0025448738616296795j),(-0.0011816458177368132+0.0037450630585288496j),(0.0006235392017701447+0.003949354381733064j),(0.002041663258127545+0.0035087355693766966j),(0.0029344937442895083+0.0028726598759691233j),(0.0033793823318969767+0.0023838995383735446j),(0.0034954301721407746+0.002226510715065212j),(0.003327604113551231+0.002449411291300157j),(0.0028130540369464712+0.0029819422237292873j),(0.0018293536740626032+0.0036128715402288696j),(0.00032394180005145836+0.003973117941479075j),(-0.0015095647389163685+0.0036109288439166273j),(-0.0031249450090214217+0.0022250738323624903j),(-0.003757105897304505-1.5260186833427435e-05j),(-0.002857742159293846-0.0023178179291564755j),(-0.0006076530826821568-0.0035538889375817035j),(0.0019433564827258084-0.0029544727482250714j),(0.0033911548576084933-0.0007490951976572589j),(0.0028854592494301726+0.0018276730332164241j),(0.0007435059192293943+0.0032812326771234903j),(-0.0017447880452796825+0.0028236124559744137j),(-0.003173116262426661+0.0008289883996352058j),(-0.0028712891197882474-0.0015124365049940024j),(-0.0011723882477494404-0.002994369206695664j),(0.000962703604196084-0.003041745767222582j),(0.002574407712475225-0.001848096167481925j)
"(-1.6153846153846154, -3.0)",(0.0026165673147957565-0.002654552018230497j),(0.0030901440908377114-0.0007092934245836823j),(0.003021163766981426+0.0009149969203550002j),(0.0022754630854884567+0.002171503936520811j),(0.0012077698200563527+0.0028942553947050496j),(0.00012118220410220141+0.0031264754284993116j),(-0.0007999328040167667+0.003018940105066997j),(-0.0014852025178075166+0.0027425083923103243j),(-0.0019395912236771548+0.002438512578507712j),(-0.0022007629672092044+0.0022030231416998404j),(-0.0023069372505824894+0.0020903746682221433j),(-0.0022780984681618466+0.0021220941090065878j),(-0.0021085286947312935+0.00229237981662063j),(-0.0017688176707634227+0.0025664933797189663j),(-0.001217918318157332+0.002873049359726926j),(-0.00042761868362823713+0.0030960169050703325j),(0.0005798858475418903+0.003077631719804184j),(0.0016884055939225026+0.0026472974832093105j),(0.002659299327151319+0.0016883348570148852j),(0.0031534787595749016+0.0002367163652482356j),(0.002838173920623722-0.0014284072668746407j),(0.0015772096831198291-0.0027789845701812147j),(-0.00037046105761664576-0.0031953870954314506j),(-0.002294157752738625-0.002290830652978609j),(-0.003261305969426033-0.00026043083177340034j),(-0.002623418968334005+0.0020119513380200417j),(-0.0005318532325517541+0.0033032293644013715j),(0.0019527897718246+0.0027724559100491225j),(0.0033901075156107037+0.0005988591220541592j),(0.0028723064255029417-0.0020005690674149185j),(0.0006634687113924402-0.003502147161556615j),(-0.001961832405362194-0.0030596720904246403j),(-0.0035740746911761224-0.0009956268517336802j),(-0.0034643488061888985+0.0015365688249330876j),(-0.0019102208706871585+0.003367558577037545j),(0.00022605131662053554+0.00394626121292084j),(0.002119926096525732+0.0034268316280305798j),(0.003363163564897634+0.002341158321316186j),(0.003969913832734675+0.0012192027078680335j),(0.004171872047761436+0.0003966955246896059j),(0.004207899046289237+1.8658611056549005e-05j),(0.004201292847361579+0.00012405341466051312j),(0.0041169509527157495+0.0007037986477138014j),(0.0037723112024110844+0.0016834729245211956j),(0.002910818356745109+0.002844001869134766j),(0.001365913181143585+0.0037564003900578524j),(-0.0007115953653358752+0.003852691725532134j),(-0.0027119035578281295+0.002713089434022267j),(-0.003725912267677767+0.0004655618927513372j),(-0.0030683547675196057-0.0020258605466677553j),(-0.0008726999425110038-0.003496197678218681j),(0.0017622655634667356-0.003065429941014411j),(0.003349362823840408-0.0009241660320905928j),(0.002976578264996078+0.0016831921111929934j),(0.0009211605846306126+0.003242439426400977j),(-0.0015669007855917954+0.0029359323295276357j),(-0.003109971531424458+0.0010751036874011228j),(-0.003014562554059238-0.00123646755950054j),(-0.0015227286891095026-0.0028492346005558875j),(0.0005220403572208158-0.0031642785804800472j)
