index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.05673980753284418+0.23520785522872478j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.20788132941847187+0.13343715247323518j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.2491066081616559-0.04135049822321186j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.1668443933882166-0.19743884048168175j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.00785219912390374-0.2649005557934192j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.15529074469152818-0.2234720249963669j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.2615176454329064-0.09963812695511896j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.2826794081900096+0.055991826162407776j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.2247154901494409+0.19418351666748893j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.11531264471053443+0.283600182555772j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(0.011937613886347145+0.3151356195670205j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.1295519983475317+0.29724131219070266j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.22163940625882322+0.2475974182765289j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.28373146841583896+0.18546918199825912j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.3193671547068505+0.1268918629601417j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.3357503392781665+0.08288953437022147j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.33995478634061427+0.05981373219591686j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.3362607335741143+0.0605305310591648j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.3246626743234783+0.08531102489945204j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.30050644737938664+0.1316585771024347j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.25549789693820124+0.19286786453853785j)
