index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(0,)",(-0.003157522306845165+0.029967733534687985j),(-0.00017427397567864504+0.005263802951141358j),(-0.0024620155815786235-0.0008569651782928209j),(0.006628128424096495+0.0009028531984703312j),(-0.004516403141340409+0.011965695942540239j),(-0.01328991062366049+0.009180225419539478j),(-0.004516403141340413+0.011965695942540235j),(0.006628128424096503+0.0009028531984703343j),(-0.0024620155815786226-0.0008569651782928134j),(0.0037506633664294723+0.005053780541447835j)
"(1,)",(-0.00017427397567864504+0.005263802951141358j),(-0.005266354777197215+0.027681329056768962j),(0.00031194869542001307+0.005514073992260453j),(-0.0017358583701124468-0.0008044773361596052j),(0.005372401866775559+0.0005806032610259854j),(-0.0032788092087474127+0.01039136118662061j),(-0.011017686842152073+0.008604114491197228j),(-0.0032788092087474184+0.010391361186620603j),(0.005372401866775555+0.0005806032610259879j),(-0.0017358583701124431-0.0008044773361595965j)
"(2,)",(-0.0024620155815786235-0.0008569651782928209j),(0.00031194869542001307+0.005514073992260453j),(-0.005266354777197208+0.027681329056768924j),(0.0003119486954200112+0.005514073992260456j),(-0.001735858370112444-0.0008044773361595995j),(0.005372401866775553+0.0005806032610259834j),(-0.003278809208747412+0.010391361186620589j),(-0.011017686842152067+0.00860411449119722j),(-0.003278809208747412+0.010391361186620601j),(0.005372401866775549+0.0005806032610259846j)
"(3,)",(0.006628128424096495+0.0009028531984703312j),(-0.0017358583701124468-0.0008044773361596052j),(0.0003119486954200112+0.005514073992260456j),(-0.0052663547771972016+0.027681329056768917j),(0.000311948695420012+0.005514073992260449j),(-0.0017358583701124473-0.0008044773361595988j),(0.005372401866775552+0.0005806032610259935j),(-0.0032788092087474145+0.010391361186620594j),(-0.011017686842152066+0.008604114491197228j),(-0.0032788092087474123+0.01039136118662059j)
"(4,)",(-0.004516403141340409+0.011965695942540239j),(0.005372401866775559+0.0005806032610259854j),(-0.001735858370112444-0.0008044773361595995j),(0.000311948695420012+0.005514073992260449j),(-0.0052663547771972+0.027681329056768917j),(0.00031194869542001133+0.005514073992260453j),(-0.001735858370112442-0.0008044773361596075j),(0.005372401866775552+0.0005806032610259819j),(-0.0032788092087474145+0.010391361186620594j),(-0.011017686842152062+0.008604114491197221j)
"(5,)",(-0.01328991062366049+0.009180225419539478j),(-0.0032788092087474127+0.01039136118662061j),(0.005372401866775553+0.0005806032610259834j),(-0.0017358583701124473-0.0008044773361595988j),(0.00031194869542001133+0.005514073992260453j),(-0.00526635477719721+0.02768132905676892j),(0.0003119486954200119+0.005514073992260459j),(-0.001735858370112445-0.0008044773361595926j),(0.005372401866775551+0.0005806032610259842j),(-0.003278809208747409+0.010391361186620597j)
"(6,)",(-0.004516403141340413+0.011965695942540235j),(-0.011017686842152073+0.008604114491197228j),(-0.003278809208747412+0.010391361186620589j),(0.005372401866775552+0.0005806032610259935j),(-0.001735858370112442-0.0008044773361596075j),(0.0003119486954200119+0.005514073992260459j),(-0.005266354777197201+0.02768132905676892j),(0.0003119486954200106+0.005514073992260444j),(-0.0017358583701124457-0.0008044773361596009j),(0.005372401866775556+0.0005806032610259878j)
"(7,)",(0.006628128424096503+0.0009028531984703343j),(-0.0032788092087474184+0.010391361186620603j),(-0.011017686842152067+0.00860411449119722j),(-0.0032788092087474145+0.010391361186620594j),(0.005372401866775552+0.0005806032610259819j),(-0.001735858370112445-0.0008044773361595926j),(0.0003119486954200106+0.005514073992260444j),(-0.005266354777197199+0.027681329056768917j),(0.0003119486954200137+0.005514073992260446j),(-0.0017358583701124507-0.0008044773361596083j)
"(8,)",(-0.0024620155815786226-0.0008569651782928134j),(0.005372401866775555+0.0005806032610259879j),(-0.003278809208747412+0.010391361186620601j),(-0.011017686842152066+0.008604114491197228j),(-0.0032788092087474145+0.010391361186620594j),(0.005372401866775551+0.0005806032610259842j),(-0.0017358583701124457-0.0008044773361596009j),(0.0003119486954200137+0.005514073992260446j),(-0.005266354777197202+0.027681329056768917j),(0.00031194869542001003+0.005514073992260448j)
"(9,)",(0.0037506633664294723+0.005053780541447835j),(-0.0017358583701124431-0.0008044773361595965j),(0.005372401866775549+0.0005806032610259846j),(-0.0032788092087474123+0.01039136118662059j),(-0.011017686842152062+0.008604114491197221j),(-0.003278809208747409+0.010391361186620597j),(0.005372401866775556+0.0005806032610259878j),(-0.0017358583701124507-0.0008044773361596083j),(0.00031194869542001003+0.005514073992260448j),(-0.005266354777197204+0.027681329056768924j)
