index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(0,)",(-0.001191943386454015+0.026499747031869924j),(0.0029515748806048514+0.003024552213845988j),(-0.0008087549759170005+0.0025352707046405487j),(0.0010414417020120235-0.004410155168252078j),(0.0045696488028742245+0.0057713875738294755j),(-0.006666600177508889+0.007865623650455776j),(-0.010690815096170724+0.004579013169919591j),(-0.00666660017750888+0.007865623650455768j),(0.004569648802874216+0.005771387573829479j),(0.0010414417020120274-0.004410155168252074j),(-0.0008087549759170074+0.002535270704640546j),(0.00030068808862091813+0.0028812368154963416j)
"(1,)",(0.0029515748806048514+0.003024552213845988j),(-0.0028893565789626266+0.024716565080804057j),(-0.0005168530288022456+0.0031014572373040477j),(-0.000617792998062341+0.0018198215578162705j),(0.0007624887180619338-0.0035133368902388906j),(0.003977319141236416+0.004682128608979214j),(-0.005428016554747078+0.0069508534906557624j),(-0.00904185387795205+0.0043193995257048865j),(-0.0054280165547470815+0.006950853490655773j),(0.003977319141236413+0.004682128608979211j),(0.0007624887180619419-0.003513336890238887j),(-0.0006177929980623494+0.0018198215578162672j)
"(2,)",(-0.0008087549759170005+0.0025352707046405487j),(-0.0005168530288022456+0.0031014572373040477j),(-0.0028893565789626222+0.024716565080804033j),(-0.0005168530288022473+0.0031014572373040472j),(-0.000617792998062336+0.00181982155781627j),(0.0007624887180619331-0.0035133368902388893j),(0.003977319141236417+0.004682128608979201j),(-0.005428016554747068+0.006950853490655763j),(-0.009041853877952054+0.004319399525704889j),(-0.0054280165547470815+0.006950853490655761j),(0.0039773191412364045+0.004682128608979214j),(0.0007624887180619493-0.003513336890238889j)
"(3,)",(0.0010414417020120235-0.004410155168252078j),(-0.000617792998062341+0.0018198215578162705j),(-0.0005168530288022473+0.0031014572373040472j),(-0.0028893565789626214+0.02471656508080403j),(-0.0005168530288022487+0.0031014572373040494j),(-0.0006177929980623403+0.0018198215578162694j),(0.0007624887180619286-0.0035133368902388906j),(0.003977319141236415+0.0046821286089791985j),(-0.0054280165547470685+0.00695085349065577j),(-0.009041853877952047+0.004319399525704884j),(-0.0054280165547470815+0.006950853490655757j),(0.003977319141236413+0.00468212860897922j)
"(4,)",(0.0045696488028742245+0.0057713875738294755j),(0.0007624887180619338-0.0035133368902388906j),(-0.000617792998062336+0.00181982155781627j),(-0.0005168530288022487+0.0031014572373040494j),(-0.0028893565789626175+0.024716565080804023j),(-0.0005168530288022485+0.0031014572373040477j),(-0.0006177929980623376+0.00181982155781627j),(0.0007624887180619278-0.003513336890238887j),(0.003977319141236421+0.004682128608979197j),(-0.005428016554747068+0.006950853490655763j),(-0.009041853877952047+0.0043193995257048805j),(-0.0054280165547470885+0.006950853490655768j)
"(5,)",(-0.006666600177508889+0.007865623650455776j),(0.003977319141236416+0.004682128608979214j),(0.0007624887180619331-0.0035133368902388893j),(-0.0006177929980623403+0.0018198215578162694j),(-0.0005168530288022485+0.0031014572373040477j),(-0.0028893565789626244+0.024716565080804036j),(-0.0005168530288022463+0.0031014572373040533j),(-0.000617792998062336+0.0018198215578162683j),(0.0007624887180619299-0.003513336890238886j),(0.003977319141236417+0.004682128608979201j),(-0.005428016554747081+0.006950853490655766j),(-0.009041853877952062+0.0043193995257048935j)
"(6,)",(-0.010690815096170724+0.004579013169919591j),(-0.005428016554747078+0.0069508534906557624j),(0.003977319141236417+0.004682128608979201j),(0.0007624887180619286-0.0035133368902388906j),(-0.0006177929980623376+0.00181982155781627j),(-0.0005168530288022463+0.0031014572373040533j),(-0.0028893565789626166+0.024716565080804016j),(-0.0005168530288022514+0.00310145723730404j),(-0.000617792998062343+0.0018198215578162614j),(0.0007624887180619343-0.003513336890238882j),(0.003977319141236415+0.004682128608979207j),(-0.005428016554747078+0.006950853490655764j)
"(7,)",(-0.00666660017750888+0.007865623650455768j),(-0.00904185387795205+0.0043193995257048865j),(-0.005428016554747068+0.006950853490655763j),(0.003977319141236415+0.0046821286089791985j),(0.0007624887180619278-0.003513336890238887j),(-0.000617792998062336+0.0018198215578162683j),(-0.0005168530288022514+0.00310145723730404j),(-0.0028893565789626166+0.024716565080804016j),(-0.0005168530288022447+0.003101457237304054j),(-0.0006177929980623369+0.0018198215578162597j),(0.0007624887180619313-0.003513336890238883j),(0.003977319141236416+0.004682128608979201j)
"(8,)",(0.004569648802874216+0.005771387573829479j),(-0.0054280165547470815+0.006950853490655773j),(-0.009041853877952054+0.004319399525704889j),(-0.0054280165547470685+0.00695085349065577j),(0.003977319141236421+0.004682128608979197j),(0.0007624887180619299-0.003513336890238886j),(-0.000617792998062343+0.0018198215578162614j),(-0.0005168530288022447+0.003101457237304054j),(-0.002889356578962632+0.02471656508080403j),(-0.0005168530288022455+0.003101457237304055j),(-0.000617792998062337+0.0018198215578162636j),(0.0007624887180619345-0.003513336890238886j)
"(9,)",(0.0010414417020120274-0.004410155168252074j),(0.003977319141236413+0.004682128608979211j),(-0.0054280165547470815+0.006950853490655761j),(-0.009041853877952047+0.004319399525704884j),(-0.005428016554747068+0.006950853490655763j),(0.003977319141236417+0.004682128608979201j),(0.0007624887180619343-0.003513336890238882j),(-0.0006177929980623369+0.0018198215578162597j),(-0.0005168530288022455+0.003101457237304055j),(-0.0028893565789626188+0.02471656508080402j),(-0.0005168530288022523+0.0031014572373040446j),(-0.0006177929980623332+0.001819821557816264j)
