index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)"
"(0,)",(0.0026332667483814744+0.019551624587238088j),(-0.0029049360261723433+0.0026391947415483584j),(0.0032838722961573484-0.0011474531799185212j),(-0.002131599299899863+0.002797660237877943j),(-0.0010375992942442595-0.0037350208239135697j),(0.004425714236275555+2.964016767471921e-05j),(0.0006673561244343684+0.00500254138385698j),(-0.004179531246930722+0.003717084285317576j),(-0.005757232515247463+0.0013592967004395608j),(-0.00575723251524746+0.0013592967004395625j),(-0.004179531246930723+0.0037170842853175784j),(0.0006673561244343717+0.005002541383856984j),(0.004425714236275552+2.964016767471791e-05j),(-0.0010375992942442572-0.0037350208239135675j),(-0.002131599299899865+0.002797660237877938j),(0.003283872296157342-0.001147453179918517j),(-0.003239036095805843+0.0030669831860290096j)
"(1,)",(-0.0029049360261723433+0.0026391947415483584j),(0.0015094274182516887+0.018526061845146238j),(-0.003498742118790803+0.0026691928687830506j),(0.002612690003818063-0.0009693045581768993j),(-0.001690565121885384+0.0023009109023847843j),(-0.0009092871543330216-0.0030735015939031773j),(0.003715225209389452-4.184456173624569e-05j),(0.0006485949123585458+0.004235439187766771j),(-0.003509290655998483+0.0032504138478590652j),(-0.004915752347923917+0.0012680951516503725j),(-0.004915752347923923+0.0012680951516503714j),(-0.0035092906559984873+0.0032504138478590626j),(0.0006485949123585347+0.004235439187766769j),(0.0037152252093894493-4.184456173623385e-05j),(-0.0009092871543330051-0.0030735015939031794j),(-0.0016905651218853904+0.0023009109023847743j),(0.0026126900038180687-0.0009693045581768913j)
"(2,)",(0.0032838722961573484-0.0011474531799185212j),(-0.003498742118790803+0.0026691928687830506j),(0.0015094274182516978+0.01852606184514628j),(-0.0034987421187908084+0.002669192868783044j),(0.0026126900038180665-0.0009693045581768978j),(-0.0016905651218853865+0.0023009109023847864j),(-0.000909287154333019-0.0030735015939031803j),(0.0037152252093894584-4.184456173624996e-05j),(0.0006485949123585468+0.004235439187766775j),(-0.003509290655998483+0.0032504138478590687j),(-0.004915752347923927+0.0012680951516503731j),(-0.004915752347923926+0.0012680951516503718j),(-0.003509290655998485+0.0032504138478590626j),(0.000648594912358534+0.004235439187766772j),(0.003715225209389455-4.184456173623659e-05j),(-0.0009092871543330131-0.003073501593903182j),(-0.0016905651218853941+0.002300910902384785j)
"(3,)",(-0.002131599299899863+0.002797660237877943j),(0.002612690003818063-0.0009693045581768993j),(-0.0034987421187908084+0.002669192868783044j),(0.0015094274182516955+0.01852606184514627j),(-0.003498742118790808+0.0026691928687830454j),(0.0026126900038180656-0.000969304558176898j),(-0.0016905651218853865+0.0023009109023847873j),(-0.0009092871543330217-0.0030735015939031803j),(0.0037152252093894562-4.1844561736250256e-05j),(0.0006485949123585442+0.0042354391877667714j),(-0.0035092906559984873+0.0032504138478590696j),(-0.004915752347923923+0.0012680951516503714j),(-0.004915752347923919+0.0012680951516503684j),(-0.0035092906559984873+0.00325041384785906j),(0.0006485949123585332+0.004235439187766775j),(0.003715225209389459-4.184456173624007e-05j),(-0.0009092871543330167-0.0030735015939031877j)
"(4,)",(-0.0010375992942442595-0.0037350208239135697j),(-0.001690565121885384+0.0023009109023847843j),(0.0026126900038180665-0.0009693045581768978j),(-0.003498742118790808+0.0026691928687830454j),(0.0015094274182516957+0.01852606184514628j),(-0.0034987421187908057+0.0026691928687830476j),(0.0026126900038180643-0.0009693045581769018j),(-0.0016905651218853833+0.0023009109023847912j),(-0.0009092871543330233-0.0030735015939031786j),(0.003715225209389455-4.1844561736250846e-05j),(0.0006485949123585463+0.004235439187766777j),(-0.003509290655998486+0.003250413847859068j),(-0.004915752347923918+0.0012680951516503727j),(-0.0049157523479239195+0.0012680951516503656j),(-0.003509290655998486+0.0032504138478590596j),(0.0006485949123585378+0.004235439187766776j),(0.0037152252093894628-4.1844561736239116e-05j)
"(5,)",(0.004425714236275555+2.964016767471921e-05j),(-0.0009092871543330216-0.0030735015939031773j),(-0.0016905651218853865+0.0023009109023847864j),(0.0026126900038180656-0.000969304558176898j),(-0.0034987421187908057+0.0026691928687830476j),(0.0015094274182516968+0.01852606184514627j),(-0.0034987421187908066+0.0026691928687830454j),(0.002612690003818065-0.0009693045581769036j),(-0.0016905651218853835+0.002300910902384789j),(-0.000909287154333021-0.003073501593903177j),(0.0037152252093894584-4.1844561736249456e-05j),(0.0006485949123585448+0.004235439187766774j),(-0.003509290655998479+0.0032504138478590644j),(-0.004915752347923916+0.0012680951516503695j),(-0.004915752347923918+0.0012680951516503686j),(-0.0035092906559984873+0.0032504138478590665j),(0.0006485949123585388+0.004235439187766781j)
"(6,)",(0.0006673561244343684+0.00500254138385698j),(0.003715225209389452-4.184456173624569e-05j),(-0.000909287154333019-0.0030735015939031803j),(-0.0016905651218853865+0.0023009109023847873j),(0.0026126900038180643-0.0009693045581769018j),(-0.0034987421187908066+0.0026691928687830454j),(0.0015094274182516992+0.018526061845146262j),(-0.003498742118790807+0.0026691928687830454j),(0.002612690003818064-0.0009693045581769008j),(-0.0016905651218853861+0.0023009109023847843j),(-0.0009092871543330194-0.003073501593903184j),(0.0037152252093894575-4.184456173624367e-05j),(0.0006485949123585408+0.004235439187766771j),(-0.003509290655998483+0.0032504138478590583j),(-0.004915752347923917+0.001268095151650368j),(-0.004915752347923923+0.0012680951516503701j),(-0.0035092906559984925+0.0032504138478590665j)
"(7,)",(-0.004179531246930722+0.003717084285317576j),(0.0006485949123585458+0.004235439187766771j),(0.0037152252093894584-4.184456173624996e-05j),(-0.0009092871543330217-0.0030735015939031803j),(-0.0016905651218853833+0.0023009109023847912j),(0.002612690003818065-0.0009693045581769036j),(-0.003498742118790807+0.0026691928687830454j),(0.001509427418251694+0.018526061845146276j),(-0.0034987421187908057+0.002669192868783048j),(0.002612690003818064-0.0009693045581768983j),(-0.001690565121885389+0.0023009109023847873j),(-0.0009092871543330161-0.003073501593903183j),(0.003715225209389454-4.184456173624834e-05j),(0.0006485949123585435+0.004235439187766771j),(-0.0035092906559984808+0.003250413847859066j),(-0.004915752347923926+0.0012680951516503738j),(-0.004915752347923932+0.0012680951516503712j)
"(8,)",(-0.005757232515247463+0.0013592967004395608j),(-0.003509290655998483+0.0032504138478590652j),(0.0006485949123585468+0.004235439187766775j),(0.0037152252093894562-4.1844561736250256e-05j),(-0.0009092871543330233-0.0030735015939031786j),(-0.0016905651218853835+0.002300910902384789j),(0.002612690003818064-0.0009693045581769008j),(-0.0034987421187908057+0.002669192868783048j),(0.0015094274182516948+0.018526061845146276j),(-0.0034987421187908036+0.002669192868783044j),(0.0026126900038180682-0.0009693045581768963j),(-0.0016905651218853904+0.0023009109023847843j),(-0.0009092871543330211-0.003073501593903179j),(0.0037152252093894523-4.184456173624797e-05j),(0.0006485949123585478+0.0042354391877667714j),(-0.003509290655998483+0.003250413847859073j),(-0.00491575234792393+0.0012680951516503734j)
"(9,)",(-0.00575723251524746+0.0013592967004395625j),(-0.004915752347923917+0.0012680951516503725j),(-0.003509290655998483+0.0032504138478590687j),(0.0006485949123585442+0.0042354391877667714j),(0.003715225209389455-4.1844561736250846e-05j),(-0.000909287154333021-0.003073501593903177j),(-0.0016905651218853861+0.0023009109023847843j),(0.002612690003818064-0.0009693045581768983j),(-0.0034987421187908036+0.002669192868783044j),(0.001509427418251689+0.01852606184514626j),(-0.003498742118790802+0.002669192868783044j),(0.002612690003818065-0.000969304558176898j),(-0.0016905651218853824+0.0023009109023847856j),(-0.0009092871543330224-0.0030735015939031755j),(0.0037152252093894523-4.184456173625466e-05j),(0.0006485949123585513+0.004235439187766772j),(-0.003509290655998487+0.0032504138478590713j)
"(10,)",(-0.004179531246930723+0.0037170842853175784j),(-0.004915752347923923+0.0012680951516503714j),(-0.004915752347923927+0.0012680951516503731j),(-0.0035092906559984873+0.0032504138478590696j),(0.0006485949123585463+0.004235439187766777j),(0.0037152252093894584-4.1844561736249456e-05j),(-0.0009092871543330194-0.003073501593903184j),(-0.001690565121885389+0.0023009109023847873j),(0.0026126900038180682-0.0009693045581768963j),(-0.003498742118790802+0.002669192868783044j),(0.0015094274182516942+0.01852606184514627j),(-0.0034987421187908092+0.002669192868783046j),(0.0026126900038180656-0.000969304558176903j),(-0.0016905651218853818+0.002300910902384788j),(-0.0009092871543330276-0.0030735015939031773j),(0.0037152252093894597-4.184456173625295e-05j),(0.0006485949123585454+0.004235439187766783j)
"(11,)",(0.0006673561244343717+0.005002541383856984j),(-0.0035092906559984873+0.0032504138478590626j),(-0.004915752347923926+0.0012680951516503718j),(-0.004915752347923923+0.0012680951516503714j),(-0.003509290655998486+0.003250413847859068j),(0.0006485949123585448+0.004235439187766774j),(0.0037152252093894575-4.184456173624367e-05j),(-0.0009092871543330161-0.003073501593903183j),(-0.0016905651218853904+0.0023009109023847843j),(0.002612690003818065-0.000969304558176898j),(-0.0034987421187908092+0.002669192868783046j),(0.001509427418251706+0.018526061845146272j),(-0.0034987421187908097+0.0026691928687830476j),(0.0026126900038180643-0.0009693045581769038j),(-0.0016905651218853807+0.0023009109023847925j),(-0.0009092871543330261-0.003073501593903179j),(0.003715225209389462-4.18445617362482e-05j)
"(12,)",(0.004425714236275552+2.964016767471791e-05j),(0.0006485949123585347+0.004235439187766769j),(-0.003509290655998485+0.0032504138478590626j),(-0.004915752347923919+0.0012680951516503684j),(-0.004915752347923918+0.0012680951516503727j),(-0.003509290655998479+0.0032504138478590644j),(0.0006485949123585408+0.004235439187766771j),(0.003715225209389454-4.184456173624834e-05j),(-0.0009092871543330211-0.003073501593903179j),(-0.0016905651218853824+0.0023009109023847856j),(0.0026126900038180656-0.000969304558176903j),(-0.0034987421187908097+0.0026691928687830476j),(0.0015094274182516965+0.018526061845146262j),(-0.003498742118790806+0.0026691928687830433j),(0.0026126900038180604-0.0009693045581769042j),(-0.0016905651218853813+0.0023009109023847847j),(-0.0009092871543330194-0.0030735015939031807j)
"(13,)",(-0.0010375992942442572-0.0037350208239135675j),(0.0037152252093894493-4.184456173623385e-05j),(0.000648594912358534+0.004235439187766772j),(-0.0035092906559984873+0.00325041384785906j),(-0.0049157523479239195+0.0012680951516503656j),(-0.004915752347923916+0.0012680951516503695j),(-0.003509290655998483+0.0032504138478590583j),(0.0006485949123585435+0.004235439187766771j),(0.0037152252093894523-4.184456173624797e-05j),(-0.0009092871543330224-0.0030735015939031755j),(-0.0016905651218853818+0.002300910902384788j),(0.0026126900038180643-0.0009693045581769038j),(-0.003498742118790806+0.0026691928687830433j),(0.0015094274182516972+0.018526061845146255j),(-0.003498742118790806+0.0026691928687830476j),(0.0026126900038180604-0.0009693045581768967j),(-0.00169056512188539+0.0023009109023847843j)
