index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)"
"(0,)",(0.0031019133063037102+0.01835921176973993j),(-0.004002663847217952+0.0029785426604124754j),(0.002883514600041999-0.0020609296799389666j),(-0.0008770381357038755+0.003321695849330978j),(-0.0024090725153023155-0.0027184713771820955j),(0.0035948795994516602-0.001758877104974931j),(0.0023068288163089383+0.0038107343672200856j),(-0.002520394630973771+0.004191920517471242j),(-0.004862526460400297+0.0018683242126837601j),(-0.00527049196855477+0.0007646400049112197j),(-0.004862526460400288+0.0018683242126837588j),(-0.002520394630973767+0.004191920517471241j),(0.002306828816308943+0.0038107343672200804j),(0.0035948795994516537-0.0017588771049749368j),(-0.002409072515302324-0.0027184713771820873j),(-0.0008770381357038679+0.003321695849330982j),(0.002883514600041991-0.00206092967993897j),(-0.0029931678477597475+0.0034310788937811625j)
"(1,)",(-0.004002663847217952+0.0029785426604124754j),(0.0020560576295206206+0.01743058911396209j),(-0.0036783524091264213+0.0030022521366053745j),(0.0023050203729826713-0.0017095344340093915j),(-0.0006715251695232961+0.0027223835678921358j),(-0.0020288419295044534-0.0022209126746277836j),(0.002991800865249417-0.0015230517925681158j),(0.00200936617088679+0.003195748035254875j),(-0.002087203520011755+0.0036157503165014414j),(-0.004137922835213771+0.0016774101567937237j),(-0.004510975678107437+0.0007396354995248494j),(-0.004137922835213773+0.00167741015679372j),(-0.002087203520011761+0.0036157503165014392j),(0.0020093661708867803+0.0031957480352548763j),(0.002991800865249425-0.0015230517925681046j),(-0.002028841929504445-0.0022209126746277966j),(-0.0006715251695233093+0.0027223835678921297j),(0.0023050203729826782-0.0017095344340093768j)
"(2,)",(0.002883514600041999-0.0020609296799389666j),(-0.0036783524091264213+0.0030022521366053745j),(0.002056057629520629+0.01743058911396212j),(-0.0036783524091264274+0.0030022521366053706j),(0.0023050203729826782-0.0017095344340093896j),(-0.0006715251695232981+0.002722383567892139j),(-0.0020288419295044556-0.0022209126746277866j),(0.002991800865249424-0.0015230517925681165j),(0.002009366170886788+0.0031957480352548767j),(-0.0020872035200117573+0.003615750316501445j),(-0.00413792283521377+0.0016774101567937202j),(-0.0045109756781074465+0.0007396354995248508j),(-0.004137922835213777+0.001677410156793725j),(-0.002087203520011758+0.003615750316501442j),(0.0020093661708867833+0.0031957480352548815j),(0.0029918008652494274-0.001523051792568111j),(-0.0020288419295044465-0.0022209126746277927j),(-0.0006715251695233042+0.002722383567892136j)
"(3,)",(-0.0008770381357038755+0.003321695849330978j),(0.0023050203729826713-0.0017095344340093915j),(-0.0036783524091264274+0.0030022521366053706j),(0.0020560576295206284+0.01743058911396212j),(-0.003678352409126426+0.0030022521366053685j),(0.002305020372982677-0.001709534434009391j),(-0.0006715251695232983+0.0027223835678921405j),(-0.0020288419295044547-0.0022209126746277896j),(0.0029918008652494226-0.0015230517925681158j),(0.002009366170886788+0.0031957480352548784j),(-0.002087203520011755+0.0036157503165014397j),(-0.0041379228352137745+0.001677410156793724j),(-0.004510975678107448+0.0007396354995248522j),(-0.004137922835213773+0.0016774101567937217j),(-0.0020872035200117604+0.00361575031650144j),(0.0020093661708867846+0.0031957480352548845j),(0.002991800865249426-0.0015230517925681072j),(-0.002028841929504446-0.0022209126746277935j)
"(4,)",(-0.0024090725153023155-0.0027184713771820955j),(-0.0006715251695232961+0.0027223835678921358j),(0.0023050203729826782-0.0017095344340093896j),(-0.003678352409126426+0.0030022521366053685j),(0.002056057629520625+0.01743058911396212j),(-0.003678352409126426+0.003002252136605374j),(0.0023050203729826748-0.0017095344340093926j),(-0.0006715251695232966+0.0027223835678921384j),(-0.002028841929504455-0.002220912674627788j),(0.002991800865249423-0.0015230517925681156j),(0.002009366170886788+0.0031957480352548724j),(-0.002087203520011756+0.0036157503165014458j),(-0.004137922835213775+0.0016774101567937278j),(-0.004510975678107444+0.0007396354995248519j),(-0.004137922835213773+0.0016774101567937193j),(-0.002087203520011762+0.003615750316501446j),(0.002009366170886781+0.0031957480352548823j),(0.002991800865249426-0.0015230517925681072j)
"(5,)",(0.0035948795994516602-0.001758877104974931j),(-0.0020288419295044534-0.0022209126746277836j),(-0.0006715251695232981+0.002722383567892139j),(0.002305020372982677-0.001709534434009391j),(-0.003678352409126426+0.003002252136605374j),(0.0020560576295206314+0.01743058911396212j),(-0.0036783524091264274+0.003002252136605371j),(0.002305020372982678-0.0017095344340093948j),(-0.0006715251695232975+0.002722383567892141j),(-0.0020288419295044547-0.0022209126746277905j),(0.00299180086524942-0.0015230517925681165j),(0.0020093661708867915+0.0031957480352548767j),(-0.0020872035200117534+0.0036157503165014484j),(-0.00413792283521377+0.0016774101567937274j),(-0.004510975678107441+0.0007396354995248528j),(-0.004137922835213776+0.0016774101567937265j),(-0.00208720352001176+0.003615750316501443j),(0.002009366170886783+0.003195748035254879j)
"(6,)",(0.0023068288163089383+0.0038107343672200856j),(0.002991800865249417-0.0015230517925681158j),(-0.0020288419295044556-0.0022209126746277866j),(-0.0006715251695232983+0.0027223835678921405j),(0.0023050203729826748-0.0017095344340093926j),(-0.0036783524091264274+0.003002252136605371j),(0.002056057629520631+0.01743058911396212j),(-0.0036783524091264274+0.0030022521366053737j),(0.002305020372982677-0.0017095344340093905j),(-0.0006715251695233005+0.002722383567892139j),(-0.0020288419295044547-0.0022209126746277857j),(0.0029918008652494235-0.0015230517925681178j),(0.0020093661708867907+0.003195748035254877j),(-0.0020872035200117556+0.0036157503165014427j),(-0.004137922835213771+0.001677410156793723j),(-0.004510975678107448+0.0007396354995248526j),(-0.0041379228352137745+0.0016774101567937232j),(-0.0020872035200117604+0.0036157503165014397j)
"(7,)",(-0.002520394630973771+0.004191920517471242j),(0.00200936617088679+0.003195748035254875j),(0.002991800865249424-0.0015230517925681165j),(-0.0020288419295044547-0.0022209126746277896j),(-0.0006715251695232966+0.0027223835678921384j),(0.002305020372982678-0.0017095344340093948j),(-0.0036783524091264274+0.0030022521366053737j),(0.0020560576295206275+0.01743058911396213j),(-0.0036783524091264274+0.0030022521366053706j),(0.00230502037298268-0.0017095344340093896j),(-0.0006715251695232981+0.0027223835678921366j),(-0.0020288419295044565-0.0022209126746277896j),(0.0029918008652494226-0.0015230517925681163j),(0.002009366170886788+0.003195748035254875j),(-0.002087203520011758+0.0036157503165014405j),(-0.004137922835213778+0.0016774101567937278j),(-0.004510975678107446+0.0007396354995248505j),(-0.004137922835213775+0.0016774101567937209j)
"(8,)",(-0.004862526460400297+0.0018683242126837601j),(-0.002087203520011755+0.0036157503165014414j),(0.002009366170886788+0.0031957480352548767j),(0.0029918008652494226-0.0015230517925681158j),(-0.002028841929504455-0.002220912674627788j),(-0.0006715251695232975+0.002722383567892141j),(0.002305020372982677-0.0017095344340093905j),(-0.0036783524091264274+0.0030022521366053706j),(0.002056057629520628+0.017430589113962135j),(-0.0036783524091264287+0.0030022521366053706j),(0.0023050203729826743-0.0017095344340093913j),(-0.0006715251695232979+0.0027223835678921423j),(-0.002028841929504456-0.0022209126746277857j),(0.0029918008652494205-0.0015230517925681147j),(0.0020093661708867894+0.0031957480352548763j),(-0.0020872035200117578+0.0036157503165014497j),(-0.004137922835213773+0.001677410156793727j),(-0.0045109756781074465+0.0007396354995248509j)
"(9,)",(-0.00527049196855477+0.0007646400049112197j),(-0.004137922835213771+0.0016774101567937237j),(-0.0020872035200117573+0.003615750316501445j),(0.002009366170886788+0.0031957480352548784j),(0.002991800865249423-0.0015230517925681156j),(-0.0020288419295044547-0.0022209126746277905j),(-0.0006715251695233005+0.002722383567892139j),(0.00230502037298268-0.0017095344340093896j),(-0.0036783524091264287+0.0030022521366053706j),(0.002056057629520631+0.01743058911396213j),(-0.0036783524091264274+0.0030022521366053715j),(0.002305020372982678-0.0017095344340093974j),(-0.0006715251695232928+0.002722383567892139j),(-0.0020288419295044543-0.0022209126746277857j),(0.0029918008652494235-0.0015230517925681173j),(0.002009366170886794+0.0031957480352548793j),(-0.0020872035200117517+0.0036157503165014484j),(-0.004137922835213772+0.001677410156793727j)
