index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(0,)",(0.0037854420065893016+0.016184615563808118j),(-0.003965119168708818+0.0036676036043281467j),(0.0016168941458277117-0.0032003560609385846j),(0.0013445440525372645+0.0029903864783286083j),(-0.003261848359699628-0.00011680843210321392j),(0.0008639105940976916-0.0032890881319630498j),(0.0035450994898549764+0.0007440729437097051j),(0.0005627886431028872+0.0038337227766722356j),(-0.002779653163174007+0.003021888871918081j),(-0.0040949378270591875+0.0012025480870226047j),(-0.004302814076997353+0.0004483450257984822j),(-0.004094937827059193+0.0012025480870226067j),(-0.002779653163174001+0.003021888871918082j),(0.0005627886431028883+0.0038337227766722356j),(0.0035450994898549807+0.0007440729437097038j),(0.0008639105940976869-0.0032890881319630485j),(-0.00326184835969963-0.00011680843210320135j),(0.0013445440525372758+0.0029903864783286027j),(0.001616894145827704-0.003200356060938594j),(-0.003527309859512031+0.00405125705211061j)
"(1,)",(-0.003965119168708818+0.0036676036043281467j),(0.0028732145406522927+0.015414950124245853j),(-0.0036853405768290316+0.0036505904927079547j),(0.0012915440253708514-0.0026507371818137865j),(0.0011417083392832443+0.002447160893170628j),(-0.002712627345778035-6.306352614930311e-05j),(0.0006896480116817062-0.002768073974629728j),(0.0030057568595030773+0.0005891306554558212j),(0.0005246424790971609+0.003255397062341544j),(-0.0023384453492854805+0.002617702903703919j),(-0.003494593617246829+0.0010829403464971406j),(-0.0036856779287480087+0.0004399064504873717j),(-0.0034945936172468242+0.001082940346497141j),(-0.002338445349285482+0.002617702903703919j),(0.0005246424790971583+0.0032553970623415453j),(0.0030057568595030734+0.000589130655455826j),(0.0006896480116817028-0.00276807397462973j),(-0.002712627345778034-6.306352614929795e-05j),(0.0011417083392832458+0.002447160893170628j),(0.0012915440253708531-0.002650737181813781j)
"(2,)",(0.0016168941458277117-0.0032003560609385846j),(-0.0036853405768290316+0.0036505904927079547j),(0.0028732145406522953+0.015414950124245862j),(-0.003685340576829033+0.0036505904927079565j),(0.0012915440253708518-0.0026507371818137865j),(0.0011417083392832436+0.0024471608931706293j),(-0.002712627345778035-6.306352614930387e-05j),(0.0006896480116817047-0.00276807397462973j),(0.003005756859503078+0.0005891306554558244j),(0.0005246424790971588+0.003255397062341544j),(-0.002338445349285484+0.0026177029037039177j),(-0.0034945936172468325+0.0010829403464971375j),(-0.003685677928748003+0.0004399064504873693j),(-0.0034945936172468277+0.0010829403464971367j),(-0.0023384453492854857+0.0026177029037039177j),(0.0005246424790971562+0.003255397062341542j),(0.0030057568595030807+0.0005891306554558229j),(0.0006896480116817036-0.002768073974629729j),(-0.0027126273457780347-6.306352614930273e-05j),(0.0011417083392832386+0.0024471608931706293j)
"(3,)",(0.0013445440525372645+0.0029903864783286083j),(0.0012915440253708514-0.0026507371818137865j),(-0.003685340576829033+0.0036505904927079565j),(0.0028732145406522988+0.015414950124245853j),(-0.003685340576829033+0.003650590492707955j),(0.0012915440253708531-0.0026507371818137873j),(0.0011417083392832434+0.0024471608931706293j),(-0.0027126273457780364-6.3063526149301e-05j),(0.0006896480116817056-0.0027680739746297305j),(0.0030057568595030777+0.0005891306554558238j),(0.0005246424790971599+0.003255397062341544j),(-0.0023384453492854866+0.0026177029037039203j),(-0.0034945936172468247+0.0010829403464971393j),(-0.0036856779287480056+0.00043990645048736963j),(-0.003494593617246829+0.0010829403464971393j),(-0.0023384453492854822+0.0026177029037039163j),(0.000524642479097164+0.0032553970623415474j),(0.00300575685950308+0.0005891306554558209j),(0.0006896480116817046-0.0027680739746297305j),(-0.002712627345778033-6.3063526149306e-05j)
"(4,)",(-0.003261848359699628-0.00011680843210321392j),(0.0011417083392832443+0.002447160893170628j),(0.0012915440253708518-0.0026507371818137865j),(-0.003685340576829033+0.003650590492707955j),(0.0028732145406522996+0.01541495012424585j),(-0.0036853405768290325+0.0036505904927079547j),(0.0012915440253708531-0.0026507371818137865j),(0.0011417083392832477+0.0024471608931706298j),(-0.002712627345778035-6.306352614930256e-05j),(0.0006896480116817079-0.002768073974629728j),(0.0030057568595030786+0.0005891306554558257j),(0.0005246424790971573+0.003255397062341548j),(-0.0023384453492854814+0.0026177029037039172j),(-0.003494593617246827+0.0010829403464971375j),(-0.0036856779287480065+0.00043990645048737033j),(-0.0034945936172468242+0.0010829403464971375j),(-0.0023384453492854827+0.0026177029037039233j),(0.0005246424790971623+0.003255397062341543j),(0.003005756859503077+0.000589130655455825j),(0.0006896480116817099-0.0027680739746297257j)
"(5,)",(0.0008639105940976916-0.0032890881319630498j),(-0.002712627345778035-6.306352614930311e-05j),(0.0011417083392832436+0.0024471608931706293j),(0.0012915440253708531-0.0026507371818137873j),(-0.0036853405768290325+0.0036505904927079547j),(0.0028732145406522953+0.015414950124245862j),(-0.003685340576829033+0.003650590492707958j),(0.0012915440253708492-0.0026507371818137926j),(0.0011417083392832462+0.002447160893170629j),(-0.0027126273457780347-6.306352614930101e-05j),(0.0006896480116817058-0.00276807397462973j),(0.0030057568595030816+0.0005891306554558276j),(0.0005246424790971593+0.003255397062341543j),(-0.002338445349285485+0.002617702903703919j),(-0.0034945936172468294+0.0010829403464971393j),(-0.003685677928748004+0.0004399064504873707j),(-0.003494593617246832+0.001082940346497143j),(-0.0023384453492854822+0.0026177029037039203j),(0.0005246424790971587+0.003255397062341543j),(0.0030057568595030755+0.00058913065545583j)
"(6,)",(0.0035450994898549764+0.0007440729437097051j),(0.0006896480116817062-0.002768073974629728j),(-0.002712627345778035-6.306352614930387e-05j),(0.0011417083392832434+0.0024471608931706293j),(0.0012915440253708531-0.0026507371818137865j),(-0.003685340576829033+0.003650590492707958j),(0.002873214540652299+0.015414950124245857j),(-0.0036853405768290347+0.0036505904927079543j),(0.0012915440253708514-0.0026507371818137873j),(0.0011417083392832436+0.002447160893170629j),(-0.0027126273457780347-6.306352614930283e-05j),(0.0006896480116817116-0.0027680739746297318j),(0.0030057568595030764+0.0005891306554558262j),(0.0005246424790971582+0.003255397062341545j),(-0.002338445349285483+0.00261770290370392j),(-0.0034945936172468242+0.0010829403464971388j),(-0.003685677928748011+0.0004399064504873721j),(-0.0034945936172468277+0.0010829403464971393j),(-0.0023384453492854827+0.002617702903703915j),(0.000524642479097155+0.0032553970623415427j)
"(7,)",(0.0005627886431028872+0.0038337227766722356j),(0.0030057568595030773+0.0005891306554558212j),(0.0006896480116817047-0.00276807397462973j),(-0.0027126273457780364-6.3063526149301e-05j),(0.0011417083392832477+0.0024471608931706298j),(0.0012915440253708492-0.0026507371818137926j),(-0.0036853405768290347+0.0036505904927079543j),(0.0028732145406523022+0.015414950124245848j),(-0.0036853405768290334+0.0036505904927079565j),(0.0012915440253708549-0.002650737181813787j),(0.0011417083392832427+0.002447160893170632j),(-0.0027126273457780403-6.306352614930752e-05j),(0.0006896480116817094-0.0027680739746297274j),(0.003005756859503079+0.0005891306554558271j),(0.0005246424790971598+0.0032553970623415457j),(-0.0023384453492854805+0.002617702903703917j),(-0.003494593617246831+0.0010829403464971406j),(-0.003685677928748005+0.0004399064504873703j),(-0.0034945936172468247+0.0010829403464971362j),(-0.0023384453492854822+0.002617702903703915j)
"(8,)",(-0.002779653163174007+0.003021888871918081j),(0.0005246424790971609+0.003255397062341544j),(0.003005756859503078+0.0005891306554558244j),(0.0006896480116817056-0.0027680739746297305j),(-0.002712627345778035-6.306352614930256e-05j),(0.0011417083392832462+0.002447160893170629j),(0.0012915440253708514-0.0026507371818137873j),(-0.0036853405768290334+0.0036505904927079565j),(0.0028732145406522983+0.015414950124245853j),(-0.003685340576829034+0.0036505904927079543j),(0.0012915440253708525-0.0026507371818137886j),(0.0011417083392832419+0.002447160893170636j),(-0.002712627345778035-6.306352614930428e-05j),(0.0006896480116817094-0.002768073974629731j),(0.00300575685950308+0.0005891306554558263j),(0.0005246424790971608+0.003255397062341542j),(-0.0023384453492854866+0.002617702903703922j),(-0.0034945936172468277+0.0010829403464971367j),(-0.003685677928748005+0.00043990645048736746j),(-0.003494593617246826+0.0010829403464971369j)
"(9,)",(-0.0040949378270591875+0.0012025480870226047j),(-0.0023384453492854805+0.002617702903703919j),(0.0005246424790971588+0.003255397062341544j),(0.0030057568595030777+0.0005891306554558238j),(0.0006896480116817079-0.002768073974629728j),(-0.0027126273457780347-6.306352614930101e-05j),(0.0011417083392832436+0.002447160893170629j),(0.0012915440253708549-0.002650737181813787j),(-0.003685340576829034+0.0036505904927079543j),(0.0028732145406522975+0.015414950124245857j),(-0.0036853405768290347+0.0036505904927079543j),(0.0012915440253708573-0.002650737181813788j),(0.001141708339283243+0.002447160893170629j),(-0.002712627345778036-6.30635261493048e-05j),(0.0006896480116817053-0.002768073974629731j),(0.0030057568595030755+0.0005891306554558226j),(0.0005246424790971589+0.0032553970623415474j),(-0.0023384453492854827+0.002617702903703917j),(-0.0034945936172468255+0.0010829403464971343j),(-0.0036856779287480026+0.0004399064504873687j)
"(10,)",(-0.004302814076997353+0.0004483450257984822j),(-0.003494593617246829+0.0010829403464971406j),(-0.002338445349285484+0.0026177029037039177j),(0.0005246424790971599+0.003255397062341544j),(0.0030057568595030786+0.0005891306554558257j),(0.0006896480116817058-0.00276807397462973j),(-0.0027126273457780347-6.306352614930283e-05j),(0.0011417083392832427+0.002447160893170632j),(0.0012915440253708525-0.0026507371818137886j),(-0.0036853405768290347+0.0036505904927079543j),(0.002873214540652298+0.01541495012424587j),(-0.003685340576829043+0.0036505904927079487j),(0.0012915440253708534-0.0026507371818137878j),(0.0011417083392832432+0.0024471608931706332j),(-0.002712627345778038-6.306352614930174e-05j),(0.0006896480116817048-0.0027680739746297274j),(0.003005756859503081+0.0005891306554558288j),(0.0005246424790971549+0.003255397062341546j),(-0.0023384453492854857+0.0026177029037039155j),(-0.0034945936172468264+0.0010829403464971397j)
"(11,)",(-0.004094937827059193+0.0012025480870226067j),(-0.0036856779287480087+0.0004399064504873717j),(-0.0034945936172468325+0.0010829403464971375j),(-0.0023384453492854866+0.0026177029037039203j),(0.0005246424790971573+0.003255397062341548j),(0.0030057568595030816+0.0005891306554558276j),(0.0006896480116817116-0.0027680739746297318j),(-0.0027126273457780403-6.306352614930752e-05j),(0.0011417083392832419+0.002447160893170636j),(0.0012915440253708573-0.002650737181813788j),(-0.003685340576829043+0.0036505904927079487j),(0.0028732145406523105+0.015414950124245886j),(-0.0036853405768290416+0.0036505904927079547j),(0.0012915440253708534-0.0026507371818137947j),(0.00114170833928325+0.0024471608931706337j),(-0.0027126273457780364-6.30635261492973e-05j),(0.0006896480116817087-0.0027680739746297335j),(0.003005756859503079+0.0005891306554558274j),(0.0005246424790971574+0.0032553970623415466j),(-0.0023384453492854822+0.0026177029037039194j)
"(12,)",(-0.002779653163174001+0.003021888871918082j),(-0.0034945936172468242+0.001082940346497141j),(-0.003685677928748003+0.0004399064504873693j),(-0.0034945936172468247+0.0010829403464971393j),(-0.0023384453492854814+0.0026177029037039172j),(0.0005246424790971593+0.003255397062341543j),(0.0030057568595030764+0.0005891306554558262j),(0.0006896480116817094-0.0027680739746297274j),(-0.002712627345778035-6.306352614930428e-05j),(0.001141708339283243+0.002447160893170629j),(0.0012915440253708534-0.0026507371818137878j),(-0.0036853405768290416+0.0036505904927079547j),(0.002873214540652309+0.015414950124245846j),(-0.003685340576829035+0.0036505904927079534j),(0.0012915440253708518-0.002650737181813792j),(0.0011417083392832473+0.0024471608931706263j),(-0.0027126273457780356-6.306352614930661e-05j),(0.0006896480116817101-0.0027680739746297257j),(0.003005756859503077+0.0005891306554558271j),(0.0005246424790971628+0.0032553970623415396j)
