index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(0.004423099053959906+0.00897050977857347j),(-0.0016587071057176496+0.004681856247392552j),(-0.002502982366098137-0.0016366220118698813j),(0.0013741568014203247-0.002068847242357429j),(0.001945119081243256+0.001076026043987583j),(-0.0007005771855029+0.001947605757120913j),(-0.0019692638161516764-0.00019197743480074063j),(-0.0004783904141649059-0.0018663204230394204j),(0.0014401261712142306-0.0012404633142662456j),(0.0018203064086937922+0.0005160560555030302j),(0.0008083724199751263+0.001713184761666298j),(-0.0005078772339510017+0.0018336421418853267j),(-0.0014133969102363706+0.0012894859932955928j),(-0.0018163481490917144+0.0006314478053843891j),(-0.001921936152929905+0.00017314328068140396j),(-0.0019320553963038788+1.541731555983055e-05j),(-0.0019219361529299065+0.00017314328068140396j),(-0.0018163481490917162+0.0006314478053843893j),(-0.0014133969102363714+0.001289485993295592j),(-0.000507877233951005+0.0018336421418853263j),(0.0008083724199751244+0.0017131847616662995j),(0.001820306408693788+0.0005160560555030329j),(0.001440126171214229-0.0012404633142662396j),(-0.00047839041416490114-0.001866320423039421j),(-0.0019692638161516816-0.00019197743480074225j),(-0.0007005771855028995+0.001947605757120913j),(0.0019451190812432566+0.0010760260439875795j),(0.0013741568014203178-0.002068847242357425j),(-0.0025029823660981357-0.0016366220118698858j),(-0.0012359953516752438+0.004702785747335371j)
"(1,)",(-0.0016587071057176496+0.004681856247392552j),(0.003908390592412258+0.008610979908448078j),(-0.0015401973143301885+0.004604449492079263j),(-0.002130677501262342-0.0013756587713397567j),(0.0011459641910064667-0.0017509784518279657j),(0.0016465885937880097+0.0008983337342050795j),(-0.0005831019975591215+0.0016496333288561183j),(-0.0016689108197827397-0.00015344292333206662j),(-0.0004149257003788503-0.0015818578476849263j),(0.0012188164889100855-0.0010621487508237052j),(0.00155391216310013+0.0004305298272714758j),(0.000699133635066544+0.0014583070515589507j),(-0.00042428681135630946+0.0015705097863232748j),(-0.0012027451796841242+0.0011116916340995046j),(-0.0015526520304194398+0.0005512859522845812j),(-0.001646584575697651+0.00015940900204525958j),(-0.0016564589248216422+2.4298120704495342e-05j),(-0.0016465845756976527+0.00015940900204525985j),(-0.0015526520304194426+0.0005512859522845819j),(-0.0012027451796841242+0.0011116916340995048j),(-0.0004242868113563094+0.0015705097863232746j),(0.0006991336350665411+0.0014583070515589507j),(0.0015539121631001256+0.00043052982727147775j),(0.0012188164889100858-0.0010621487508237022j),(-0.00041492570037885264-0.0015818578476849293j),(-0.0016689108197827406-0.0001534429233320622j),(-0.0005831019975591146+0.00164963332885612j),(0.0016465885937880077+0.0008983337342050737j),(0.0011459641910064665-0.0017509784518279685j),(-0.002130677501262341-0.0013756587713397515j)
"(2,)",(-0.002502982366098137-0.0016366220118698813j),(-0.0015401973143301885+0.004604449492079263j),(0.003908390592412243+0.00861097990844804j),(-0.0015401973143301796+0.004604449492079259j),(-0.0021306775012623403-0.0013756587713397508j),(0.0011459641910064615-0.0017509784518279642j),(0.0016465885937880062+0.0008983337342050775j),(-0.0005831019975591182+0.0016496333288561148j),(-0.0016689108197827376-0.00015344292333206497j),(-0.00041492570037885215-0.0015818578476849228j),(0.0012188164889100812-0.001062148750823704j),(0.0015539121631001265+0.00043052982727147357j),(0.0006991336350665433+0.0014583070515589494j),(-0.0004242868113563085+0.0015705097863232703j),(-0.0012027451796841207+0.0011116916340995014j),(-0.0015526520304194377+0.0005512859522845805j),(-0.001646584575697647+0.00015940900204526j),(-0.0016564589248216405+2.429812070449516e-05j),(-0.0016465845756976484+0.00015940900204525994j),(-0.0015526520304194377+0.0005512859522845792j),(-0.0012027451796841218+0.001111691634099503j),(-0.0004242868113563095+0.0015705097863232672j),(0.0006991336350665376+0.0014583070515589464j),(0.0015539121631001245+0.0004305298272714786j),(0.0012188164889100864-0.001062148750823704j),(-0.0004149257003788523-0.0015818578476849224j),(-0.0016689108197827363-0.00015344292333206223j),(-0.0005831019975591163+0.0016496333288561111j),(0.0016465885937880064+0.0008983337342050806j),(0.0011459641910064628-0.0017509784518279594j)
"(3,)",(0.0013741568014203247-0.002068847242357429j),(-0.002130677501262342-0.0013756587713397567j),(-0.0015401973143301796+0.004604449492079259j),(0.003908390592412243+0.008610979908448039j),(-0.0015401973143301783+0.004604449492079258j),(-0.0021306775012623416-0.0013756587713397485j),(0.0011459641910064628-0.0017509784518279633j),(0.0016465885937880067+0.0008983337342050759j),(-0.0005831019975591176+0.0016496333288561161j),(-0.0016689108197827378-0.00015344292333206345j),(-0.00041492570037885335-0.0015818578476849217j),(0.001218816488910081-0.001062148750823703j),(0.0015539121631001275+0.00043052982727147514j),(0.0006991336350665419+0.0014583070515589486j),(-0.00042428681135630805+0.0015705097863232685j),(-0.001202745179684121+0.0011116916340995027j),(-0.0015526520304194372+0.0005512859522845809j),(-0.0016465845756976484+0.00015940900204526026j),(-0.00165645892482164+2.429812070449503e-05j),(-0.0016465845756976469+0.00015940900204525812j),(-0.001552652030419438+0.00055128595228458j),(-0.0012027451796841205+0.0011116916340994996j),(-0.0004242868113563093+0.001570509786323266j),(0.0006991336350665389+0.0014583070515589494j),(0.0015539121631001301+0.00043052982727147807j),(0.0012188164889100819-0.001062148750823703j),(-0.00041492570037885237-0.0015818578476849213j),(-0.001668910819782733-0.00015344292333206448j),(-0.0005831019975591218+0.0016496333288561153j),(0.001646588593788002+0.0008983337342050783j)
"(4,)",(0.001945119081243256+0.001076026043987583j),(0.0011459641910064667-0.0017509784518279657j),(-0.0021306775012623403-0.0013756587713397508j),(-0.0015401973143301783+0.004604449492079258j),(0.003908390592412242+0.008610979908448035j),(-0.0015401973143301768+0.004604449492079259j),(-0.00213067750126234-0.0013756587713397515j),(0.001145964191006462-0.0017509784518279629j),(0.001646588593788007+0.0008983337342050769j),(-0.0005831019975591173+0.0016496333288561166j),(-0.0016689108197827371-0.0001534429233320625j),(-0.0004149257003788524-0.0015818578476849213j),(0.0012188164889100827-0.0010621487508237035j),(0.0015539121631001262+0.0004305298272714763j),(0.0006991336350665409+0.0014583070515589477j),(-0.00042428681135630724+0.0015705097863232705j),(-0.0012027451796841203+0.0011116916340995033j),(-0.001552652030419439+0.0005512859522845814j),(-0.0016465845756976482+0.00015940900204526056j),(-0.0016564589248216379+2.429812070449457e-05j),(-0.0016465845756976475+0.0001594090020452601j),(-0.001552652030419435+0.0005512859522845788j),(-0.001202745179684119+0.0011116916340994992j),(-0.00042428681135630946+0.001570509786323269j),(0.0006991336350665429+0.001458307051558952j),(0.0015539121631001271+0.0004305298272714741j),(0.0012188164889100801-0.001062148750823703j),(-0.0004149257003788505-0.0015818578476849178j),(-0.0016689108197827382-0.00015344292333206722j),(-0.000583101997559119+0.0016496333288561122j)
"(5,)",(-0.0007005771855029+0.001947605757120913j),(0.0016465885937880097+0.0008983337342050795j),(0.0011459641910064615-0.0017509784518279642j),(-0.0021306775012623416-0.0013756587713397485j),(-0.0015401973143301768+0.004604449492079259j),(0.003908390592412242+0.00861097990844804j),(-0.0015401973143301807+0.0046044494920792585j),(-0.0021306775012623386-0.0013756587713397502j),(0.0011459641910064628-0.0017509784518279638j),(0.0016465885937880064+0.0008983337342050768j),(-0.0005831019975591166+0.0016496333288561157j),(-0.0016689108197827363-0.00015344292333206315j),(-0.00041492570037885074-0.0015818578476849226j),(0.0012188164889100827-0.0010621487508237011j),(0.0015539121631001243+0.0004305298272714766j),(0.0006991336350665425+0.0014583070515589483j),(-0.0004242868113563069+0.0015705097863232707j),(-0.0012027451796841223+0.0011116916340995035j),(-0.001552652030419438+0.0005512859522845825j),(-0.0016465845756976467+0.00015940900204525983j),(-0.001656458924821639+2.429812070449624e-05j),(-0.0016465845756976443+0.00015940900204525953j),(-0.001552652030419434+0.0005512859522845781j),(-0.0012027451796841218+0.0011116916340995011j),(-0.00042428681135630897+0.0015705097863232733j),(0.0006991336350665438+0.0014583070515589475j),(0.001553912163100126+0.00043052982727147325j),(0.0012188164889100784-0.0010621487508237007j),(-0.0004149257003788498-0.0015818578476849232j),(-0.0016689108197827335-0.00015344292333206616j)
"(6,)",(-0.0019692638161516764-0.00019197743480074063j),(-0.0005831019975591215+0.0016496333288561183j),(0.0016465885937880062+0.0008983337342050775j),(0.0011459641910064628-0.0017509784518279633j),(-0.00213067750126234-0.0013756587713397515j),(-0.0015401973143301807+0.0046044494920792585j),(0.003908390592412242+0.008610979908448042j),(-0.0015401973143301787+0.004604449492079257j),(-0.002130677501262342-0.00137565877133975j),(0.0011459641910064606-0.0017509784518279664j),(0.0016465885937880086+0.0008983337342050742j),(-0.0005831019975591158+0.0016496333288561155j),(-0.0016689108197827376-0.00015344292333206442j),(-0.0004149257003788501-0.0015818578476849215j),(0.0012188164889100816-0.001062148750823701j),(0.0015539121631001271+0.00043052982727147487j),(0.0006991336350665433+0.0014583070515589483j),(-0.000424286811356308+0.0015705097863232722j),(-0.0012027451796841216+0.0011116916340995044j),(-0.0015526520304194372+0.0005512859522845808j),(-0.0016465845756976477+0.0001594090020452606j),(-0.001656458924821636+2.429812070449593e-05j),(-0.0016465845756976434+0.0001594090020452579j),(-0.0015526520304194377+0.0005512859522845796j),(-0.0012027451796841242+0.001111691634099505j),(-0.0004242868113563073+0.001570509786323271j),(0.0006991336350665432+0.001458307051558947j),(0.0015539121631001228+0.00043052982727147476j),(0.0012188164889100847-0.001062148750823701j),(-0.0004149257003788481-0.0015818578476849198j)
"(7,)",(-0.0004783904141649059-0.0018663204230394204j),(-0.0016689108197827397-0.00015344292333206662j),(-0.0005831019975591182+0.0016496333288561148j),(0.0016465885937880067+0.0008983337342050759j),(0.001145964191006462-0.0017509784518279629j),(-0.0021306775012623386-0.0013756587713397502j),(-0.0015401973143301787+0.004604449492079257j),(0.003908390592412241+0.008610979908448033j),(-0.001540197314330178+0.004604449492079257j),(-0.002130677501262342-0.0013756587713397487j),(0.0011459641910064597-0.0017509784518279653j),(0.0016465885937880069+0.0008983337342050739j),(-0.0005831019975591177+0.001649633328856115j),(-0.0016689108197827354-0.00015344292333206665j),(-0.0004149257003788493-0.0015818578476849204j),(0.0012188164889100816-0.0010621487508237026j),(0.0015539121631001265+0.0004305298272714742j),(0.0006991336350665434+0.001458307051558949j),(-0.000424286811356307+0.001570509786323271j),(-0.00120274517968412+0.0011116916340995024j),(-0.0015526520304194372+0.0005512859522845813j),(-0.0016465845756976434+0.00015940900204526037j),(-0.0016564589248216337+2.4298120704494655e-05j),(-0.0016465845756976458+0.0001594090020452592j),(-0.0015526520304194405+0.0005512859522845808j),(-0.0012027451796841203+0.0011116916340995029j),(-0.0004242868113563059+0.0015705097863232687j),(0.0006991336350665406+0.0014583070515589442j),(0.0015539121631001258+0.00043052982727147704j),(0.0012188164889100808-0.0010621487508236987j)
"(8,)",(0.0014401261712142306-0.0012404633142662456j),(-0.0004149257003788503-0.0015818578476849263j),(-0.0016689108197827376-0.00015344292333206497j),(-0.0005831019975591176+0.0016496333288561161j),(0.001646588593788007+0.0008983337342050769j),(0.0011459641910064628-0.0017509784518279638j),(-0.002130677501262342-0.00137565877133975j),(-0.001540197314330178+0.004604449492079257j),(0.003908390592412243+0.008610979908448037j),(-0.0015401973143301766+0.0046044494920792585j),(-0.002130677501262343-0.001375658771339749j),(0.0011459641910064608-0.001750978451827964j),(0.0016465885937880069+0.0008983337342050784j),(-0.0005831019975591204+0.0016496333288561146j),(-0.001668910819782736-0.0001534429233320674j),(-0.0004149257003788511-0.001581857847684923j),(0.001218816488910083-0.001062148750823703j),(0.0015539121631001286+0.0004305298272714767j),(0.000699133635066544+0.0014583070515589494j),(-0.0004242868113563083+0.00157050978632327j),(-0.0012027451796841218+0.001111691634099503j),(-0.0015526520304194346+0.0005512859522845802j),(-0.0016465845756976432+0.00015940900204525877j),(-0.0016564589248216383+2.4298120704493797e-05j),(-0.001646584575697651+0.00015940900204525872j),(-0.001552652030419438+0.0005512859522845805j),(-0.00120274517968412+0.0011116916340995022j),(-0.0004242868113563075+0.0015705097863232666j),(0.0006991336350665409+0.0014583070515589494j),(0.0015539121631001232+0.00043052982727147737j)
"(9,)",(0.0018203064086937922+0.0005160560555030302j),(0.0012188164889100855-0.0010621487508237052j),(-0.00041492570037885215-0.0015818578476849228j),(-0.0016689108197827378-0.00015344292333206345j),(-0.0005831019975591173+0.0016496333288561166j),(0.0016465885937880064+0.0008983337342050768j),(0.0011459641910064606-0.0017509784518279664j),(-0.002130677501262342-0.0013756587713397487j),(-0.0015401973143301766+0.0046044494920792585j),(0.003908390592412241+0.008610979908448035j),(-0.0015401973143301763+0.004604449492079255j),(-0.0021306775012623408-0.0013756587713397493j),(0.0011459641910064643-0.0017509784518279633j),(0.0016465885937880045+0.0008983337342050798j),(-0.0005831019975591212+0.001649633328856113j),(-0.0016689108197827376-0.0001534429233320659j),(-0.0004149257003788514-0.0015818578476849232j),(0.0012188164889100847-0.0010621487508237035j),(0.0015539121631001284+0.00043052982727147563j),(0.000699133635066542+0.001458307051558949j),(-0.00042428681135630816+0.0015705097863232714j),(-0.0012027451796841188+0.0011116916340995018j),(-0.0015526520304194342+0.0005512859522845791j),(-0.001646584575697647+0.00015940900204525937j),(-0.0016564589248216429+2.4298120704494546e-05j),(-0.0016465845756976477+0.00015940900204526007j),(-0.0015526520304194366+0.0005512859522845805j),(-0.0012027451796841188+0.0011116916340995007j),(-0.0004242868113563099+0.0015705097863232705j),(0.0006991336350665396+0.001458307051558947j)
