index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)"
"(0,)",(0.0037254573909516133+0.0054891747334482426j),(-0.00015222646875728883+0.00380774929167619j),(-0.002237192370761531+0.00037648800430431923j),(-0.000932817889354905-0.001598001600460082j),(0.0009524805877616151-0.001312270154448876j),(0.0014502087773268222+0.0002556105561140134j),(0.0004296783806729104+0.0012997454940799056j),(-0.0008464092105440577+0.0009788025057962493j),(-0.0012290926446445667-0.0001536947933769208j),(-0.000594600439399092-0.0010392504474434142j),(0.00039575955804572197-0.0010971557298830306j),(0.0010416667156751625-0.00047102048451276915j),(0.001074229498499439+0.00033770812434958796j),(0.0006397322223954724+0.0009114080087162712j),(4.065065395456549e-05+0.0011037520945877998j),(-0.000483503112207019+0.000985993535300203j),(-0.0008312254049630287+0.0007110053929249786j),(-0.0010097873474898557+0.0004130050690589075j),(-0.0010755313270265129+0.00017217198208993129j),(-0.0010880514460753308+2.2275286854815454e-05j),(-0.001087622833101461-2.7970812069565616e-05j),(-0.0010880514460753308+2.2275286854814166e-05j),(-0.0010755313270265133+0.00017217198208993077j),(-0.0010097873474898566+0.0004130050690589077j),(-0.0008312254049630249+0.0007110053929249745j),(-0.00048350311220702127+0.000985993535300202j),(4.0650653954561915e-05+0.0011037520945877976j),(0.000639732222395469+0.0009114080087162705j),(0.00107422949849944+0.0003377081243495893j),(0.0010416667156751599-0.00047102048451276547j),(0.0003957595580457216-0.001097155729883024j),(-0.0005946004393990875-0.0010392504474434155j),(-0.0012290926446445669-0.00015369479337692637j),(-0.0008464092105440596+0.0009788025057962473j),(0.000429678380672906+0.0012997454940799034j),(0.0014502087773268133+0.00025561055611401527j),(0.0009524805877616219-0.0013122701544488725j),(-0.0009328178893548973-0.0015980016004600876j),(-0.0022371923707615385+0.00037648800430431365j),(1.8657406423218262e-05+0.003714058690320445j)
"(1,)",(-0.00015222646875728883+0.00380774929167619j),(0.0033941503472448213+0.005283858099336095j),(-0.00010198751491661023+0.003741631036516102j),(-0.0019131088835786668+0.0003281241574058489j),(-0.0007977989272432847-0.0013537757693880843j),(0.0008052640499871323-0.0011175410241274885j),(0.001233224488767912+0.00021336185463914336j),(0.0003687607283110113+0.0011042443619179382j),(-0.0007178290949140576+0.0008351628767123391j),(-0.0010472095658785553-0.0001277296965715309j),(-0.0005095629267817471-0.0008842690679585328j),(0.00033464435147510807-0.0009370230035695473j),(0.0008880183473543523-0.0004050340401813274j),(0.0009188018198105232+0.00028546840291286967j),(0.0005496678658284463+0.0007774001218752581j),(3.810337723787543e-05+0.0009442365358972115j),(-0.00041088724574772477+0.0008455798042281425j),(-0.000709720269995669+0.0006115783712439387j),(-0.0008639093018859629+0.0003570812258297645j),(-0.0009212599716869215+0.0001510119038930362j),(-0.0009326305145848479+2.2603580648364575e-05j),(-0.000932478868482644-2.0464198943801018e-05j),(-0.0009326305145848481+2.260358064836433e-05j),(-0.000921259971686923+0.00015101190389303653j),(-0.0008639093018859595+0.00035708122582976497j),(-0.0007097202699956683+0.0006115783712439384j),(-0.0004108872457477238+0.0008455798042281405j),(3.8103377237876093e-05+0.0009442365358972103j),(0.000549667865828447+0.0007774001218752572j),(0.0009188018198105217+0.00028546840291286717j),(0.0008880183473543475-0.00040503404018132775j),(0.0003346443514751064-0.0009370230035695452j),(-0.0005095629267817483-0.000884269067958533j),(-0.0010472095658785562-0.00012772969657152776j),(-0.0007178290949140542+0.0008351628767123387j),(0.00036876072831101207+0.0011042443619179321j),(0.0012332244887679142+0.00021336185463914235j),(0.0008052640499871318-0.0011175410241274905j),(-0.0007977989272432918-0.0013537757693880873j),(-0.0019131088835786698+0.00032812415740585506j)
"(2,)",(-0.002237192370761531+0.00037648800430431923j),(-0.00010198751491661023+0.003741631036516102j),(0.003394150347244806+0.005283858099336068j),(-0.00010198751491660467+0.003741631036516096j),(-0.0019131088835786618+0.0003281241574058509j),(-0.0007977989272432838-0.0013537757693880812j),(0.0008052640499871279-0.0011175410241274864j),(0.0012332244887679096+0.00021336185463914067j),(0.000368760728311012+0.001104244361917935j),(-0.000717829094914055+0.0008351628767123374j),(-0.0010472095658785536-0.00012772969657152953j),(-0.000509562926781747-0.0008842690679585308j),(0.00033464435147510574-0.0009370230035695435j),(0.0008880183473543503-0.0004050340401813277j),(0.0009188018198105221+0.0002854684029128673j),(0.000549667865828444+0.0007774001218752548j),(3.8103377237876215e-05+0.0009442365358972108j),(-0.0004108872457477225+0.0008455798042281398j),(-0.0007097202699956662+0.0006115783712439368j),(-0.0008639093018859599+0.00035708122582976513j),(-0.0009212599716869191+0.00015101190389303547j),(-0.0009326305145848453+2.2603580648364453e-05j),(-0.0009324788684826416-2.0464198943800757e-05j),(-0.0009326305145848468+2.2603580648365188e-05j),(-0.0009212599716869165+0.00015101190389303547j),(-0.0008639093018859606+0.0003570812258297641j),(-0.0007097202699956659+0.0006115783712439362j),(-0.0004108872457477221+0.0008455798042281376j),(3.8103377237876764e-05+0.00094423653589721j),(0.0005496678658284431+0.0007774001218752535j),(0.000918801819810517+0.00028546840291286603j),(0.0008880183473543492-0.0004050340401813261j),(0.000334644351475107-0.0009370230035695448j),(-0.0005095629267817477-0.0008842690679585293j),(-0.0010472095658785505-0.0001277296965715285j),(-0.0007178290949140514+0.0008351628767123337j),(0.00036876072831101077+0.0011042443619179371j),(0.0012332244887679105+0.00021336185463914357j),(0.0008052640499871298-0.0011175410241274911j),(-0.0007977989272432859-0.0013537757693880814j)
"(3,)",(-0.000932817889354905-0.001598001600460082j),(-0.0019131088835786668+0.0003281241574058489j),(-0.00010198751491660467+0.003741631036516096j),(0.003394150347244806+0.005283858099336067j),(-0.00010198751491660482+0.003741631036516096j),(-0.001913108883578663+0.0003281241574058492j),(-0.0007977989272432837-0.0013537757693880806j),(0.0008052640499871281-0.001117541024127487j),(0.00123322448876791+0.00021336185463914124j),(0.00036876072831101093+0.0011042443619179356j),(-0.000717829094914056+0.0008351628767123379j),(-0.0010472095658785549-0.00012772969657152982j),(-0.0005095629267817457-0.0008842690679585299j),(0.0003346443514751065-0.0009370230035695444j),(0.000888018347354351-0.00040503404018132807j),(0.0009188018198105207+0.0002854684029128679j),(0.0005496678658284449+0.000777400121875257j),(3.8103377237875924e-05+0.0009442365358972101j),(-0.0004108872457477232+0.0008455798042281388j),(-0.0007097202699956661+0.0006115783712439373j),(-0.0008639093018859607+0.0003570812258297639j),(-0.0009212599716869196+0.00015101190389303455j),(-0.0009326305145848456+2.2603580648363775e-05j),(-0.0009324788684826432-2.046419894380083e-05j),(-0.0009326305145848426+2.260358064836456e-05j),(-0.0009212599716869197+0.00015101190389303434j),(-0.0008639093018859603+0.00035708122582976307j),(-0.0007097202699956654+0.0006115783712439359j),(-0.0004108872457477231+0.00084557980422814j),(3.8103377237875985e-05+0.0009442365358972077j),(0.0005496678658284417+0.0007774001218752519j),(0.0009188018198105195+0.0002854684029128692j),(0.0008880183473543517-0.00040503404018132726j),(0.0003346443514751054-0.0009370230035695447j),(-0.0005095629267817455-0.0008842690679585277j),(-0.0010472095658785483-0.0001277296965715286j),(-0.0007178290949140574+0.0008351628767123377j),(0.0003687607283110101+0.0011042443619179376j),(0.0012332244887679137+0.00021336185463914184j),(0.0008052640499871289-0.001117541024127489j)
"(4,)",(0.0009524805877616151-0.001312270154448876j),(-0.0007977989272432847-0.0013537757693880843j),(-0.0019131088835786618+0.0003281241574058509j),(-0.00010198751491660482+0.003741631036516096j),(0.003394150347244806+0.005283858099336067j),(-0.0001019875149166057+0.0037416310365160957j),(-0.0019131088835786618+0.00032812415740584986j),(-0.0007977989272432843-0.0013537757693880806j),(0.0008052640499871282-0.0011175410241274872j),(0.001233224488767909+0.00021336185463914192j),(0.00036876072831101077+0.0011042443619179363j),(-0.0007178290949140568+0.000835162876712338j),(-0.0010472095658785527-0.00012772969657152977j),(-0.0005095629267817465-0.0008842690679585302j),(0.0003346443514751061-0.000937023003569545j),(0.0008880183473543498-0.00040503404018132715j),(0.0009188018198105222+0.00028546840291286896j),(0.0005496678658284438+0.0007774001218752564j),(3.810337723787501e-05+0.0009442365358972091j),(-0.00041088724574772233+0.000845579804228139j),(-0.0007097202699956664+0.0006115783712439368j),(-0.0008639093018859604+0.00035708122582976405j),(-0.0009212599716869197+0.00015101190389303463j),(-0.000932630514584847+2.2603580648363796e-05j),(-0.000932478868482639-2.0464198943800703e-05j),(-0.0009326305145848458+2.260358064836381e-05j),(-0.000921259971686919+0.00015101190389303442j),(-0.0008639093018859595+0.0003570812258297632j),(-0.000709720269995667+0.0006115783712439377j),(-0.00041088724574772195+0.0008455798042281376j),(3.8103377237875456e-05+0.0009442365358972051j),(0.0005496678658284428+0.0007774001218752554j),(0.0009188018198105222+0.0002854684029128694j),(0.0008880183473543503-0.00040503404018132796j),(0.0003346443514751048-0.0009370230035695422j),(-0.0005095629267817444-0.0008842690679585253j),(-0.0010472095658785549-0.00012772969657153102j),(-0.0007178290949140576+0.0008351628767123376j),(0.0003687607283110134+0.0011042443619179393j),(0.0012332244887679113+0.00021336185463914097j)
"(5,)",(0.0014502087773268222+0.0002556105561140134j),(0.0008052640499871323-0.0011175410241274885j),(-0.0007977989272432838-0.0013537757693880812j),(-0.001913108883578663+0.0003281241574058492j),(-0.0001019875149166057+0.0037416310365160957j),(0.003394150347244807+0.0052838580993360695j),(-0.00010198751491660391+0.0037416310365160957j),(-0.001913108883578663+0.00032812415740585176j),(-0.0007977989272432858-0.0013537757693880804j),(0.000805264049987128-0.001117541024127487j),(0.0012332244887679105+0.0002133618546391413j),(0.0003687607283110115+0.0011042443619179373j),(-0.000717829094914055+0.0008351628767123376j),(-0.001047209565878554-0.00012772969657152928j),(-0.0005095629267817479-0.0008842690679585303j),(0.00033464435147510563-0.0009370230035695438j),(0.000888018347354352-0.00040503404018132807j),(0.0009188018198105217+0.0002854684029128683j),(0.0005496678658284438+0.0007774001218752559j),(3.810337723787671e-05+0.0009442365358972094j),(-0.00041088724574772265+0.0008455798042281394j),(-0.0007097202699956668+0.0006115783712439368j),(-0.0008639093018859615+0.0003570812258297635j),(-0.0009212599716869211+0.0001510119038930352j),(-0.0009326305145848429+2.2603580648364253e-05j),(-0.000932478868482642-2.0464198943801353e-05j),(-0.0009326305145848453+2.2603580648363816e-05j),(-0.0009212599716869188+0.00015101190389303458j),(-0.000863909301885962+0.0003570812258297647j),(-0.0007097202699956654+0.0006115783712439361j),(-0.0004108872457477214+0.0008455798042281355j),(3.810337723787468e-05+0.0009442365358972088j),(0.000549667865828444+0.0007774001218752575j),(0.0009188018198105221+0.0002854684029128681j),(0.0008880183473543489-0.00040503404018132607j),(0.0003346443514751049-0.0009370230035695398j),(-0.0005095629267817457-0.0008842690679585322j),(-0.0010472095658785549-0.00012772969657153188j),(-0.0007178290949140583+0.0008351628767123408j),(0.00036876072831101175+0.0011042443619179373j)
"(6,)",(0.0004296783806729104+0.0012997454940799056j),(0.001233224488767912+0.00021336185463914336j),(0.0008052640499871279-0.0011175410241274864j),(-0.0007977989272432837-0.0013537757693880806j),(-0.0019131088835786618+0.00032812415740584986j),(-0.00010198751491660391+0.0037416310365160957j),(0.003394150347244806+0.005283858099336065j),(-0.00010198751491660512+0.0037416310365160936j),(-0.0019131088835786618+0.0003281241574058513j),(-0.0007977989272432836-0.0013537757693880797j),(0.0008052640499871281-0.001117541024127487j),(0.0012332244887679105+0.00021336185463914235j),(0.0003687607283110111+0.0011042443619179345j),(-0.000717829094914055+0.0008351628767123376j),(-0.0010472095658785536-0.00012772969657152887j),(-0.0005095629267817463-0.0008842690679585287j),(0.00033464435147510633-0.000937023003569545j),(0.0008880183473543502-0.0004050340401813274j),(0.0009188018198105205+0.00028546840291286815j),(0.0005496678658284445+0.0007774001218752542j),(3.810337723787653e-05+0.0009442365358972085j),(-0.00041088724574772254+0.0008455798042281382j),(-0.0007097202699956662+0.0006115783712439366j),(-0.0008639093018859618+0.0003570812258297643j),(-0.0009212599716869163+0.00015101190389303512j),(-0.000932630514584845+2.260358064836392e-05j),(-0.0009324788684826409-2.0464198943801255e-05j),(-0.0009326305145848439+2.260358064836422e-05j),(-0.0009212599716869203+0.0001510119038930359j),(-0.0008639093018859589+0.00035708122582976367j),(-0.0007097202699956631+0.000611578371243934j),(-0.0004108872457477227+0.0008455798042281377j),(3.810337723787526e-05+0.0009442365358972105j),(0.000549667865828445+0.0007774001218752555j),(0.0009188018198105191+0.0002854684029128673j),(0.0008880183473543454-0.0004050340401813253j),(0.00033464435147510736-0.0009370230035695448j),(-0.0005095629267817457-0.0008842690679585314j),(-0.0010472095658785568-0.0001277296965715295j),(-0.0007178290949140558+0.0008351628767123382j)
"(7,)",(-0.0008464092105440577+0.0009788025057962493j),(0.0003687607283110113+0.0011042443619179382j),(0.0012332244887679096+0.00021336185463914067j),(0.0008052640499871281-0.001117541024127487j),(-0.0007977989272432843-0.0013537757693880806j),(-0.001913108883578663+0.00032812415740585176j),(-0.00010198751491660512+0.0037416310365160936j),(0.0033941503472448066+0.005283858099336064j),(-0.0001019875149166032+0.003741631036516095j),(-0.0019131088835786611+0.00032812415740584975j),(-0.0007977989272432842-0.0013537757693880806j),(0.0008052640499871299-0.001117541024127487j),(0.0012332244887679085+0.00021336185463914184j),(0.00036876072831101126+0.0011042443619179354j),(-0.0007178290949140553+0.0008351628767123383j),(-0.0010472095658785525-0.0001277296965715286j),(-0.0005095629267817472-0.0008842690679585306j),(0.00033464435147510617-0.0009370230035695439j),(0.0008880183473543499-0.00040503404018132704j),(0.0009188018198105207+0.00028546840291286717j),(0.0005496678658284443+0.0007774001218752547j),(3.8103377237875904e-05+0.0009442365358972088j),(-0.0004108872457477228+0.0008455798042281385j),(-0.0007097202699956675+0.0006115783712439375j),(-0.0008639093018859577+0.0003570812258297632j),(-0.0009212599716869192+0.00015101190389303528j),(-0.0009326305145848447+2.2603580648364358e-05j),(-0.0009324788684826401-2.046419894380046e-05j),(-0.0009326305145848467+2.2603580648364805e-05j),(-0.0009212599716869177+0.00015101190389303547j),(-0.0008639093018859563+0.000357081225829763j),(-0.0007097202699956656+0.0006115783712439364j),(-0.0004108872457477238+0.00084557980422814j),(3.810337723787676e-05+0.0009442365358972105j),(0.0005496678658284437+0.0007774001218752532j),(0.0009188018198105169+0.00028546840291286603j),(0.0008880183473543516-0.0004050340401813274j),(0.00033464435147510693-0.000937023003569545j),(-0.0005095629267817488-0.0008842690679585327j),(-0.0010472095658785549-0.00012772969657152887j)
"(8,)",(-0.0012290926446445667-0.0001536947933769208j),(-0.0007178290949140576+0.0008351628767123391j),(0.000368760728311012+0.001104244361917935j),(0.00123322448876791+0.00021336185463914124j),(0.0008052640499871282-0.0011175410241274872j),(-0.0007977989272432858-0.0013537757693880804j),(-0.0019131088835786618+0.0003281241574058513j),(-0.0001019875149166032+0.003741631036516095j),(0.0033941503472448044+0.005283858099336065j),(-0.00010198751491660554+0.003741631036516095j),(-0.0019131088835786629+0.0003281241574058501j),(-0.0007977989272432842-0.0013537757693880825j),(0.0008052640499871289-0.0011175410241274855j),(0.0012332244887679103+0.00021336185463914195j),(0.0003687607283110119+0.0011042443619179365j),(-0.0007178290949140551+0.0008351628767123371j),(-0.0010472095658785546-0.00012772969657153015j),(-0.0005095629267817463-0.0008842690679585306j),(0.00033464435147510617-0.0009370230035695439j),(0.0008880183473543498-0.00040503404018132785j),(0.0009188018198105211+0.0002854684029128676j),(0.0005496678658284434+0.0007774001218752553j),(3.810337723787494e-05+0.0009442365358972094j),(-0.00041088724574772433+0.00084557980422814j),(-0.0007097202699956644+0.0006115783712439348j),(-0.0008639093018859607+0.00035708122582976394j),(-0.000921259971686919+0.00015101190389303496j),(-0.0009326305145848443+2.2603580648364267e-05j),(-0.0009324788684826434-2.0464198943800716e-05j),(-0.0009326305145848443+2.2603580648364412e-05j),(-0.0009212599716869157+0.00015101190389303442j),(-0.0008639093018859601+0.0003570812258297637j),(-0.0007097202699956677+0.0006115783712439379j),(-0.0004108872457477231+0.0008455798042281402j),(3.8103377237876e-05+0.0009442365358972077j),(0.0005496678658284416+0.0007774001218752518j),(0.0009188018198105222+0.0002854684029128694j),(0.0008880183473543517-0.0004050340401813274j),(0.0003346443514751068-0.0009370230035695478j),(-0.0005095629267817478-0.0008842690679585311j)
"(9,)",(-0.000594600439399092-0.0010392504474434142j),(-0.0010472095658785553-0.0001277296965715309j),(-0.000717829094914055+0.0008351628767123374j),(0.00036876072831101093+0.0011042443619179356j),(0.001233224488767909+0.00021336185463914192j),(0.000805264049987128-0.001117541024127487j),(-0.0007977989272432836-0.0013537757693880797j),(-0.0019131088835786611+0.00032812415740584975j),(-0.00010198751491660554+0.003741631036516095j),(0.0033941503472448053+0.005283858099336067j),(-0.00010198751491660584+0.003741631036516096j),(-0.0019131088835786633+0.0003281241574058491j),(-0.0007977989272432831-0.0013537757693880795j),(0.000805264049987128-0.0011175410241274866j),(0.0012332244887679105+0.0002133618546391407j),(0.00036876072831101137+0.0011042443619179337j),(-0.0007178290949140563+0.0008351628767123375j),(-0.001047209565878553-0.0001277296965715301j),(-0.0005095629267817457-0.0008842690679585293j),(0.00033464435147510487-0.0009370230035695435j),(0.0008880183473543494-0.0004050340401813274j),(0.0009188018198105198+0.00028546840291286836j),(0.0005496678658284428+0.0007774001218752555j),(3.8103377237875016e-05+0.0009442365358972105j),(-0.0004108872457477218+0.0008455798042281355j),(-0.0007097202699956664+0.0006115783712439365j),(-0.0008639093018859595+0.00035708122582976383j),(-0.0009212599716869177+0.00015101190389303474j),(-0.0009326305145848464+2.2603580648364314e-05j),(-0.0009324788684826401-2.0464198943801377e-05j),(-0.0009326305145848411+2.2603580648364405e-05j),(-0.0009212599716869184+0.00015101190389303493j),(-0.0008639093018859618+0.0003570812258297641j),(-0.0007097202699956669+0.0006115783712439377j),(-0.0004108872457477218+0.0008455798042281373j),(3.810337723787536e-05+0.0009442365358972047j),(0.0005496678658284435+0.0007774001218752572j),(0.0009188018198105217+0.0002854684029128697j),(0.0008880183473543534-0.0004050340401813289j),(0.0003346443514751063-0.0009370230035695452j)
