index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.08743651641841406+0.25792306538611404j),(0.8647859956365688+0.8869920498061565j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.22854137441007266+0.1110884965349689j),(0.11993730502257519+1.1051735814811599j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.22206218666033473-0.07224469546494061j),(-0.6727805568120526+0.3741368279595972j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.1050226992009986-0.18381140720828432j),(-0.7544584561893246-0.6949788391999119j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(-0.03398816442164869-0.18713033419176567j),(-0.06897472735858404-1.1865181169937469j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.12582733234126428-0.11578744312662452j),(0.6958036254673315-0.6858072403008362j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.1545842867663062-0.025698139911508922j),(0.7692833631290065+0.3570139783665931j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.1423760635016965+0.049434101135749434j),(0.03547878559613399+1.0334908335716328j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.11358681199487997+0.108163740287968j),(-0.845042272348852+0.790052961143056j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.07318635034649135+0.16198448509127547j),(-1.0423659645130514-0.0843706964737922j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(-0.011283641876165512+0.2127904623559696j),(-0.32833471686011906-0.7356180023107686j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.07867338948413606+0.247212973917867j),(0.7048514389278743-0.5324671209895477j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.18760755770585594+0.24809691462481626j),(1.1820890775011277+0.3530088147395619j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.29347070951863935+0.20961744673762076j),(0.7431720507849706+1.1027964342106036j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.37368821052945056+0.1434399488968038j),(-0.13428411285288155+1.0048133398705181j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.4163049361119096+0.07330623864627697j),(-0.5829460377013043+0.1120036718084862j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.42266336531140697+0.02400120138955441j),(-0.15040353372833587-0.7955073886965857j)
"(-0.3846153846153846, -3.0)",[-0.38461538 -3.        ],(0.37927880348881066-0.9252824375422329j),(0.4019945751134119+0.01218154712666555j),(0.7812733786022226-0.9131008904155674j)
"(-0.23076923076923084, -3.0)",[-0.23076923 -3.        ],(0.9833895042207711-0.181507804208045j),(0.3631031804760485+0.042607872343535705j),(1.3464926846968197-0.13889993186450927j)
"(-0.07692307692307665, -3.0)",[-0.07692308 -3.        ],(0.6846006950960638+0.7289183001365697j),(0.3084765188805498+0.10873493925635712j),(0.9930772139766135+0.8376532393929268j)
"(0.0769230769230771, -3.0)",[ 0.07692308 -3.        ],(-0.24275454614606543+0.9700877436218941j),(0.23358393314681294+0.19477302349708336j),(-0.009170612999252481+1.1648607671189775j)
"(0.23076923076923084, -3.0)",[ 0.23076923 -3.        ],(-0.9472245930780933+0.3205706946494653j),(0.13143116581488956+0.27752775467675395j),(-0.8157934272632037+0.5980984493262193j)
"(0.384615384615385, -3.0)",[ 0.38461538 -3.        ],(-0.7819999593738021-0.6232784799264066j),(0.000614363675039014+0.328817937157186j),(-0.7813855956987631-0.2944605427692206j)
"(0.5384615384615388, -3.0)",[ 0.53846154 -3.        ],(0.10121828418299657-0.9948642414656635j),(-0.14628009193031732+0.320935479282436j),(-0.045061807747320756-0.6739287621832275j)
"(0.6923076923076925, -3.0)",[ 0.69230769 -3.        ],(0.8915029151833175-0.4530149580528735j),(-0.2785087334469802+0.23688117493037175j),(0.6129941817363374-0.21613378312250175j)
"(0.8461538461538463, -3.0)",[ 0.84615385 -3.        ],(0.8632537488429478+0.5047702102032139j),(-0.3523870938394933+0.0834926814228332j),(0.5108666550034545+0.5882628916260471j)
"(1.0, -3.0)",[ 1. -3.],(0.04240776977795813+0.999100385878446j),(-0.3286138470251444-0.09960061920599651j),(-0.2862060772471863+0.8994997666724495j)
"(1.1538461538461542, -3.0)",[ 1.15384615 -3.        ],(-0.8173749219347579+0.5761060987284793j),(-0.19753336783049646-0.24532076494565985j),(-1.0149082897652544+0.33078533378281944j)
"(1.3076923076923084, -3.0)",[ 1.30769231 -3.        ],(-0.9266844662156044-0.37584025871997856j),(0.001078578451211001-0.28502392164882573j),(-0.9256058877643935-0.6608641803688042j)
"(1.4615384615384617, -3.0)",[ 1.46153846 -3.        ],(-0.18515825645731304-0.9827087157778178j),(0.18174851626882113-0.18840169918717214j),(-0.003409740188491911-1.17111041496499j)
"(1.6153846153846159, -3.0)",[ 1.61538462 -3.        ],(0.7263710886646181-0.6873027291901128j),(0.25035072560244404+0.0050653345816554715j),(0.9767218142670622-0.6822373946084573j)
"(1.7692307692307692, -3.0)",[ 1.76923077 -3.        ],(0.9709824962710165+0.23915056331797652j),(0.1619144699602154+0.19130286125827972j),(1.132896966231232+0.43045342457625624j)
"(1.9230769230769234, -3.0)",[ 1.92307692 -3.        ],(0.3240858938776612+0.946027659949495j),(-0.03714228045217047+0.2550497235149947j),(0.2869436134254907+1.2010773834644897j)
"(2.0769230769230775, -3.0)",[ 2.07692308 -3.        ],(-0.6203703158510077+0.7843090406280684j),(-0.22167230765550383+0.14727841850706686j),(-0.8420426235065115+0.9315874591351352j)
"(2.230769230769231, -3.0)",[ 2.23076923 -3.        ],(-0.9952332446799114-0.0975232725245396j),(-0.26319761605072983-0.06769870266929162j),(-1.2584308607306411-0.16522197519383122j)
"(2.384615384615385, -3.0)",[ 2.38461538 -3.        ],(-0.45632232809179374-0.8898145497152119j),(-0.12443371180282249-0.2425198734469428j),(-0.5807560398946162-1.1323344231621548j)
"(2.5384615384615383, -3.0)",[ 2.53846154 -3.        ],(0.5015611366090934-0.865122203069251j),(0.10067960653550126-0.24849021256116838j),(0.6022407431445946-1.1136124156304195j)
"(2.6923076923076925, -3.0)",[ 2.69230769 -3.        ],(0.9989360210741761-0.04611752162132389j),(0.24677030296795338-0.07830367275413425j),(1.2457063240421296-0.12442119437545814j)
"(2.8461538461538467, -3.0)",[ 2.84615385 -3.        ],(0.5791373543320645+0.8152299827761837j),(0.2037493452727891+0.1379125798550739j),(0.7828866996048536+0.9531425626312576j)
"(3.0, -3.0)",[ 3. -3.],(-0.3723965313866303+0.9280737165824741j),(0.010750628446158483+0.2306543780746794j),(-0.36164590294047183+1.1587280946571534j)
"(-3.0, -2.8461538461538463)",[-3.         -2.84615385],(0.3084073358240364+0.9512543903761601j),(0.2684095690801131+0.12539490972712566j),(0.5768169049041495+1.0766493001032857j)
"(-2.8461538461538463, -2.8461538461538463)",[-2.84615385 -2.84615385],(-0.6332472876405948+0.7739495285196767j),(0.2604792625181447-0.10365835457032876j),(-0.3727680251224501+0.6702911739493479j)
"(-2.6923076923076925, -2.8461538461538463)",[-2.69230769 -2.84615385],(-0.9934856328403785-0.11395743652676912j),(0.10101956239033642-0.2406959563216468j),(-0.8924660704500421-0.3546533928484159j)
"(-2.5384615384615383, -2.8461538461538463)",[-2.53846154 -2.84615385],(-0.4415547032094214-0.897234330637008j),(-0.08710440588804366-0.22281098232275967j),(-0.528659109097465-1.1200453129597676j)
"(-2.3846153846153846, -2.8461538461538463)",[-2.38461538 -2.84615385],(0.5157898731927637-0.8567151257633968j),(-0.1939180607851214-0.095807822752087j),(0.3218718124076423-0.9525229485154838j)
"(-2.230769230769231, -2.8461538461538463)",[-2.23076923 -2.84615385],(0.9995617485482756-0.0296025478483502j),(-0.18851187359762844+0.04592550629312095j),(0.8110498749506472+0.01632295844477075j)
"(-2.0769230769230766, -2.8461538461538463)",[-2.07692308 -2.84615385],(0.5655855607384725+0.82468962251513j),(-0.11149826213959665+0.13450872092740324j),(0.45408729859887587+0.9591983434425333j)
"(-1.923076923076923, -2.8461538461538463)",[-1.92307692 -2.84615385],(-0.38768326074390597+0.9217926498616555j),(-0.021208899633849112+0.15997686264939173j),(-0.40889216037775505+1.0817695125110474j)
"(-1.7692307692307692, -2.8461538461538463)",[-1.76923077 -2.84615385],(-0.985000524269936+0.1725513465260451j),(0.052088214522294674+0.14932631286071166j),(-0.9329123097476413+0.3218776593867567j)
"(-1.6153846153846154, -2.8461538461538463)",[-1.61538462 -2.84615385],(-0.6779391191659766-0.7351180522232192j),(0.11258013785888979+0.1270085991461918j),(-0.5653589813070868-0.6081094530770275j)
"(-1.4615384615384615, -2.8461538461538463)",[-1.46153846 -2.84615385],(0.25157238915791963-0.9678384849825803j),(0.17506207067026386+0.0941207969596938j),(0.4266344598281835-0.8737176880228865j)
"(-1.3076923076923075, -2.8461538461538463)",[-1.30769231 -2.84615385],(0.9501025966958736-0.3119375831023863j),(0.24081930326205991+0.03668358705101509j),(1.1909218999579334-0.2752539960513712j)
