index,value
"(0,)",(-1.3223363575441571-0.3574383726827556j)
"(1,)",(-5.139272206806747+3.1936848547728944j)
"(2,)",(-5.082349166185017+2.5527405747066982j)
"(3,)",(-0.9014911907430136-0.22883748250844282j)
"(4,)",(2.071452333295718+1.5263549849492937j)
"(5,)",(-0.2813495574041944-4.2697866834115406j)
"(6,)",(-5.051380863114198+7.605785376300515j)
"(7,)",(8.461940212471458-5.853374517249913j)
"(8,)",(-10.867002127546991-3.984346006811812j)
"(9,)",(4.785199190309543+14.758579524832376j)
"(10,)",(13.846590916119357+6.365284911937701j)
"(11,)",(13.964717538968246+6.152047241036135j)
"(12,)",(4.938361462385709+14.362292143669045j)
"(13,)",(-10.937293528413885-4.054752424751092j)
"(14,)",(8.26242305312601-5.728988624676556j)
"(15,)",(-5.034021500623658+7.733427479961884j)
"(16,)",(-0.1848786472099726-4.8096707658631j)
"(17,)",(2.2008456615757677+1.5592931658815536j)
